Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 	nazali euh! mokonzi ya mapinga monene, natika musala, lokoka Rick alobi	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 
HYPOTHESIS: nazali euh! mokonzi ya mapinga monene, natika musala, lokoka Rick alobi
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
I'm sorry, but the given information does not form a complete sentence or statement, thus making it difficult to determine whether it is a premise, hypothesis, or any of the options you provided. Please provide more context or clarity.<eos>"	unknown
1	nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 	alobi ezalaki kaka pinzoli mutu kotanga na misu na ye PE alobi, na sima alobi ete joe azali	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 
HYPOTHESIS: alobi ezalaki kaka pinzoli mutu kotanga na misu na ye PE alobi, na sima alobi ete joe azali
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The given premise does not provide enough information to identify whether the hypothesis entails or contradicts it. The information provided is incomplete and unclear, making it impossible to make a determination.<eos>"	unknown
2	nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 	ndenge alobaki mata na porche, atangisaki pinzoli na miso	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 
HYPOTHESIS: ndenge alobaki mata na porche, atangisaki pinzoli na miso
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The statement is a sentence in a different language and does not contain a clear question or hypothesis to be evaluated. Therefore, it is neutral.<eos>"	unknown
3	ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya	bazuaki ngalasisi PONA ba kostume ya pression PE ezuaki NGA tango soki otié 	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya
HYPOTHESIS: bazuaki ngalasisi PONA ba kostume ya pression PE ezuaki NGA tango soki otié 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The statement is a set of disjointed phrases and does not form a coherent question or statement. Therefore, it is neither an entailment nor a contradiction and can be considered as neutral.<eos>"	unknown
4	ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya	ezuaka ti Na basanza misato pona kosilisa koyekola kosalela kostume ya espace mobimba 	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya
HYPOTHESIS: ezuaka ti Na basanza misato pona kosilisa koyekola kosalela kostume ya espace mobimba 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The given premise does not provide enough information to determine whether the hypothesis entails or contradicts the statement. The premise only mentions a conversation about a person's clothing and the mention of space, while the hypothesis talks about a different topic related to actions and clothing. Therefore, the answer is neutral.<eos>"	unknown
5	ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya	Na tie motema na Tina ete naza na posa ya ko Mona kaka ba totaux PONA ko silisa likambu oyo	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya
HYPOTHESIS: Na tie motema na Tina ete naza na posa ya ko Mona kaka ba totaux PONA ko silisa likambu oyo
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
I'm sorry, but the given premise and hypothesis are not clear and do not make sense in any African language that I'm familiar with. Please provide more context or clarify the question.<eos>"	unknown
6	bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango	bayebisaki yo Ete na yebi nionso Oyo ezo leka	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango
HYPOTHESIS: bayebisaki yo Ete na yebi nionso Oyo ezo leka
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The given premise and hypothesis do not provide enough information to identify whether it entails or contradicts. There is not enough context to understand what NGA refers to or what the overall conversation is about. Therefore, the answer is neutral.<eos>"	unknown
7	bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango	eza Liwa ya inspecteur yango Wana ba yebisaki nga	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango
HYPOTHESIS: eza Liwa ya inspecteur yango Wana ba yebisaki nga
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
I'm sorry, but the given premise and hypothesis do not seem to be coherent or logically connected. The premise appears to be a statement about a specific NGA location and individuals, while the hypothesis is a statement about a different group of people (Liwa ya inspecteur) and their relationship to the NGA. Therefore, there is no clear answer to the question asked.<eos>"	unknown
8	bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango	eza Na makombo ya mukié ebele Oyo ba bombelaki nga	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango
HYPOTHESIS: eza Na makombo ya mukié ebele Oyo ba bombelaki nga
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The given premise and hypothesis do not provide enough information to determine whether it is a valid entailment or contradiction. The premise only gives information about the identity of a person and their association with NGA, while the hypothesis makes a claim about a different group of people in a different location. Therefore, we cannot determine whether it is neutral or not.<eos>"	unknown
9	makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi	capitaine Blood azalaki na makoki ya ko kanisa biloko Oyo ezalaki ko pesa ye mawa ko sanga ko kata	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi
HYPOTHESIS: capitaine Blood azalaki na makoki ya ko kanisa biloko Oyo ezalaki ko pesa ye mawa ko sanga ko kata
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
I'm sorry, but the given premises and hypothesis are not in a coherent or logical relationship, making it difficult to determine whether they entail, contradict, or are neutral to each other. The premises seem to be about makinglele and some individuals' dreams, while the hypothesis involves the actions of Captain Blood and the presence of kokiki in a church. Without further context or information, it is impossible to make a determination.<eos>"	unknown
10	makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi	makanisi ya capitaine Blood ekatamaki likolo ya mua makelele 	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi
HYPOTHESIS: makanisi ya capitaine Blood ekatamaki likolo ya mua makelele 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The answer is neutral, as the premise does not directly contradict or support the hypothesis. The premise only mentions individuals and their actions, while the hypothesis involves a different subject (the makanisi of the captain) and a specific action (ekatamaki likolo ya mua makelele). Therefore, there is no clear logical connection between the two statements.<eos>"	unknown
11	makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi	makelele ya muana mbwa ebimisaki capitaine Na makanisi Na ye	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi
HYPOTHESIS: makelele ya muana mbwa ebimisaki capitaine Na makanisi Na ye
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The statement is a contradictory statement. The premise says that makelele ezalaki kotungisa (meaning making a lot of noise) is not related to the blood of a captain and that everyone has dreams. However, the hypothesis contradicts this premise by stating that makelele ya muana mbwa (meaning a puppy's bark) is essential in stopping the captain's bleeding and that makanisi (meaning a glass of wine) is also necessary. Therefore, the statement contradicts the premise.<eos>"	unknown
12	osunga NGA malamu tango nazalaki mo umbu na barbade	Kuna, koleka nktoko misato te, ezalaki mabele, efelo ekokana te ya verdure vive etondisaki horizon 	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: osunga NGA malamu tango nazalaki mo umbu na barbade
HYPOTHESIS: Kuna, koleka nktoko misato te, ezalaki mabele, efelo ekokana te ya verdure vive etondisaki horizon 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The given premise and hypothesis do not seem to be related or coherent, therefore it is difficult to determine whether it entails or contradicts the hypothesis. The premise and hypothesis need to be clarified or reworked to provide a meaningful connection.<eos>"	unknown
13	osunga NGA malamu tango nazalaki mo umbu na barbade	paysage ya luxe ezalaki komonana	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: osunga NGA malamu tango nazalaki mo umbu na barbade
HYPOTHESIS: paysage ya luxe ezalaki komonana
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The premise states that ""osunga NGA malamu tango nazalaki mo umbu na barbade,"" which means ""the lion sleeps with a mane of gold, even in the midst of destruction."" This statement does not directly contradict or support the hypothesis that ""paysage ya luxe ezalaki komonana,"" which means ""luxury landscape in the neighborhood."" Therefore, the answer is neutral.<eos>"	unknown
14	osunga NGA malamu tango nazalaki mo umbu na barbade	mokonzi aza Na bato atindaki, naza Moko na bango	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: osunga NGA malamu tango nazalaki mo umbu na barbade
HYPOTHESIS: mokonzi aza Na bato atindaki, naza Moko na bango
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The given premise contradicts the hypothesis.<eos>"	unknown
15	mokonzi atindaki NGA Awa esali mposo Moko uta Naya	nazuaka mitindo kowuta epayi ya mokinzi te	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: mokonzi atindaki NGA Awa esali mposo Moko uta Naya
HYPOTHESIS: nazuaka mitindo kowuta epayi ya mokinzi te
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The premise states that the person referred to as mokonzi did not attend the NGA Awa ceremony, and the hypothesis suggests that they may have a unique fashion style. 

The hypothesis does not necessarily contradict or violate the premise, as the premise only refers to the individual's absence from the ceremony and not their fashion style. Therefore, the answer is neutral.<eos>"	unknown
16	mokonzi atindaki NGA Awa esali mposo Moko uta Naya	Esengelaki na pesa yo yango, to PE na ndimaki yango, alobaki	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: mokonzi atindaki NGA Awa esali mposo Moko uta Naya
HYPOTHESIS: Esengelaki na pesa yo yango, to PE na ndimaki yango, alobaki
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The premise and hypothesis are not in the same language, therefore it is difficult to determine whether the answer is exact entailment, contradiction, or neutral. Additionally, the labels provided do not give enough information to accurately answer the question. More context or information is needed.<eos>"	unknown
17	mokonzi atindaki NGA Awa esali mposo Moko uta Naya	Natikala ko banza te été asengelaki ko pesa yo eloko moko	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: mokonzi atindaki NGA Awa esali mposo Moko uta Naya
HYPOTHESIS: Natikala ko banza te été asengelaki ko pesa yo eloko moko
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
I'm sorry, but the given premise and hypothesis do not seem to be coherent or meaningful. Please provide clearer and valid input.<eos>"	unknown
