Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Ha ke so buisane le yena hape.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.
HYPOTHESIS: Ha ke so buisane le yena hape.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. The premise suggests that the speaker did not want to talk to the other person again, while the hypothesis contradicts this by stating that the speaker did not want to talk to the other person again.<eos>"	unknown
1	Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Ke ne ke kgopisehile hoo ke ileng ka qala ho mmuisa hape. 	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.
HYPOTHESIS: Ke ne ke kgopisehile hoo ke ileng ka qala ho mmuisa hape. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. The premise suggests that the speaker was unsure and confused, while the hypothesis suggests that they were so frustrated that they had to start over. Contradiction.<eos>"	unknown
2	Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Re bile le puo e monate. 	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.
HYPOTHESIS: Re bile le puo e monate. 
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis does not provide enough information to determine whether the premise entails or contradicts the hypothesis. The hypothesis only states that there was a conversation with someone, which does not directly relate to the premise. Therefore, the answer is neutral.<eos>"	unknown
3	Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Ha ke a ka ka bolellwa letho ka ho kopana le motho.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.
HYPOTHESIS: Ha ke a ka ka bolellwa letho ka ho kopana le motho.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. The premise suggests that the speaker will meet the person at the end of the conversation, while the hypothesis states that the speaker cannot predict when they will meet the person. Therefore, the hypothesis contradicts the premise.<eos>"	unknown
4	Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Ke ile ka bolellwa hore ke tla bitsetswa mohlankana hore ke kopane le yena.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.
HYPOTHESIS: Ke ile ka bolellwa hore ke tla bitsetswa mohlankana hore ke kopane le yena.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. The premise only suggests that the speaker will be asked to meet someone named mohlankana, while the hypothesis states that the speaker will be asked to meet someone named mohlankana and then bitsetswa (introduced) to him. Therefore, the hypothesis contradicts the premise.<eos>"	unknown
5	Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Mohlankana o fihlile morao ho nako.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.
HYPOTHESIS: Mohlankana o fihlile morao ho nako.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Enactment. The statement in the premise contradicts the hypothesis.<eos>"	unknown
6	Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ke batla ho o bolella tsohle tseo ke di tsebang ka seo.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.
HYPOTHESIS: Ke batla ho o bolella tsohle tseo ke di tsebang ka seo.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Enactment: The statement contradicts the hypothesis. 

Explanation: The premise states that there are many things to talk about, which contradicts the hypothesis that the speaker wants to tell everything about the topic. Therefore, the statement is an enactment of the hypothesis and contradicts it.<eos>"	unknown
7	Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ha ke na bua ka seo, le ha ho na le ho hongata ho lokelwang ho etswa.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.
HYPOTHESIS: Ha ke na bua ka seo, le ha ho na le ho hongata ho lokelwang ho etswa.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
The hypothesis contradicts the premise. The premise suggests that there are many things to talk about, while the hypothesis suggests that there are not enough things to talk about.<eos>"	unknown
8	Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ha ke na bua ka nalane ya toropo hobane e na le ditaba tse ngata.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.
HYPOTHESIS: Ha ke na bua ka nalane ya toropo hobane e na le ditaba tse ngata.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Enactment. The premise states that there are many things to talk about, while the hypothesis asserts that the speaker does not want to talk about history because it involves many topics. This is an enactment of the speaker's desire to avoid discussing history, but still acknowledging the existence of its many topics.<eos>"	unknown
9	Jwale hobaneng ke se na bonnte.	Ke na le bonnete ba hore lebaka ke eng.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Jwale hobaneng ke se na bonnte.
HYPOTHESIS: Ke na le bonnete ba hore lebaka ke eng.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction, as the premise contradicts the hypothesis.<eos>"	contradiction
