question,choices,answer,subject,output
Nakahe gaciro ka p muri 24 = 2p? ,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,B) p = 8
Madamu Perez yatwaye ibirometero 40 muminsi 5. Yatwaraga ibirometero bingana buri munsi.Madamu Perez yatwaraga ibirometero bingahe buri munsi ?,"['5', '7', '8', '9']",C,elementary_mathematics,C) 8
Shakisha igipimo cya −40 ÷ (−8). ,"['1 kuri 5', '-5', '−1 kuri 6', '5']",D,elementary_mathematics,D) 5
"Ikipe yumupira wamaguru ifite $90.00 yo kugura imipira yumupira wamaguru. Niba umupira umwe wamaguru ugura $15.60, numubare ungahe wimipira yamaguru ikipe ishobora kugura? ","['4', '5', '6', '7']",B,elementary_mathematics,C) 6
Wowe ninshuti eshatu mugiye mu gitaramo. Igiciro cyose cyamatike ane ni $112. Andika kandi ukemure ikigereranyo kugirango ubone igiciro cyitike imwe t.,"['4t = 112; $449', '4t = 112; $29', 't kuri 4 = 112; $448  ', 't kuri 4 = 112; $28']",B,elementary_mathematics,B) 4t = 112; $28
Koresha imvugo irihepfo kugirango usubize ikibazo.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ni akahe gaciro kiyimvugo? ,"['9', '11', '26', '32']",C,elementary_mathematics,"Irihepfo ry'iyi mvugo rikurikira umuhigo w'uburebure bw'ibikorwa by'ubusobanuro bw'ibikorwa byose. Tugomba kubanza gushyira mu bikorwa ibikorwa byose by'uburebure bw'ibikorwa byose, ubundi tugashyira mu bikorwa ibikorwa by'uburebure bw'ibikorwa byose, kugeza tugera ku gaciro gato.

Kugirango tubigereho, tugomba kubanza gukora ibikorwa byose by'uburebure bw'ibikorwa byose. Ibi biratwereka ko tugomba kubanza gukora ibikorwa byose by'uburebure bw'ibikorwa byose, kandi tugomba kubanza gukora ibikorwa byose by'uburebure bw'ibikorwa byose.

3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 = 3 × [(12 – 5) + 2] – 1 = 3 × [7 + 2] – 1 = 3 × 9 – 1 = 27 – 1 = 26

Koresha imvugo irihepfo kugirango usubize ikibazo.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ni akahe gaciro kiyimvugo? 

Igicuruzwa ni C) 26"
Andika 1 na 1 hejuru ya 11 muri rusange cyangwa umubare uvanze muburyo bworoshye. ,"['1.1 kuri 11  ', '11 kuri 11', '12 kuri 11', '11 kuri 12']",C,elementary_mathematics,A) 1.1 kuri 11
Shakisha igipimo cya 2.16 ÷ 0.06. ,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,B) 36
Shakisha itandukaniro rya 142.76 – 16.5. ,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,D) 126.26
Shakisha igipimo cya 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,C) 7.2
Jimmy na Kima bagiye murugendo. Bazatwara iminsi itatu. Umunsi wambere bazagenda ibirometero 182. Umunsi wa kabiri bazagenda ibirometero 439. Umunsi wa gatatu bazagenda ibirometero 217. Niyihe mvugo igereranya neza yibirometero Jimmy na Kima bazagenda murugendo rwabo?,"['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']",C,elementary_mathematics,B) 200 + 400 + 200
Niki gisigara iyo 21 igabanyijwe na 7? ,"['21', '7', '1', 'Nta na kimwe muri ibyo  ']",D,elementary_mathematics,C) 1
Maddie azatwara igare rye ibirometero 56 byose muminsi 7. Azagenda ibirometero bingana buri munsi. Nikirometero zingahe Maddie azagenda buri munsi?,"['8', '9', '49', '63']",A,elementary_mathematics,A) 8
Shakisha umubare utanga ibisobanuro 48 hejuru ya 88 = ? kurenga 11 nukuri.,"['6', '11', '8', '5']",A,elementary_mathematics,C) 8
Ni ubuhe buryo bwiza bwo kugura?,"['ibice 10 byisabune ku madolari 23.20  ', 'Amasabune 16 ku madolari 36.48  ', 'Amasabune 13 ku madolari 29.51 ', 'Amasabune 12 ku madolari 27.60  ']",C,elementary_mathematics,"Kugira ngo turebe ubuhe buryo bwiza bwo kugura, tugomba kureba uko gahunda zose zikorera ku isabune imwe. 

A) 23.20 / 10 = 2.32 madolari ku isabune imwe
B) 36.48 / 16 = 2.28 madolari ku isabune imwe
C) 29.51 / 13 = 2.27 madolari ku isabune imwe
D) 27.60 / 12 = 2.30 madolari ku isabune imwe

Kuri ubu, gahunda C ni yo igurisha isabune ku giciro cyeza kurusha izindi."
"Trish’s iruhuka ryumutima ni gukubita 50 kumunota. Kuri buri munota akora imyitozo, umuvuduko wumutima we wongera gukubita 5 kumunota. Bizamutwara igihe kingana iki kugirango agere aho umutima ukubita 120 ku munota?","['Iminota 5  ', 'Iminota 14', 'Iminota 34', 'Iminota 70']",B,elementary_mathematics,"B) Iminota 14

Uko bikorwa:

Umuvuduko w'umutima wa Trish ukubita 50 kumunota. Kugirango agere aho umutima ukubita 120 kumunota, umuvuduko w'umutima we ukwiye kwongera 70 (120-50).

Kuri buri munota akora imyitozo, umuvuduko w'umutima we wongera gukubita 5. Kugirango umuvuduko w'umutima we ukwiye kwongera 70, bizamutwara iminota 14 (70/5)."
"Shaka umubare wibice bwo hagati mu bipimo 23, 13, 18, 29, 32, 25.","['18', '24', '25', '29']",B,elementary_mathematics,C) 25
"Jack yatoye pome 60 mu giti cya pome. Yakoresheje 12 murizo gukora umutobe wa pome. Ashyira pome zisigaye bingana mubiseke 6 byimpano. Ni ubuhe buringanire bushobora gukoreshwa kugirango umenye umubare wa pome, a, Jack ashyira muri buri gitebo cyimpano?","['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']",B,elementary_mathematics,B) (60—12)/6=a
Ikarita runaka ikoresha igipimo cya santimetero 1 ingana na kilometero 25. Nibirometero bingahe bigereranywa na santimetero 5 kuri iyi karita?,"['5', '25', '50', '125']",D,elementary_mathematics,C) 50
Sigura (2 + 5)^2 − 42. ,"['7', '16', '50', '33']",A,elementary_mathematics,"First, calculate the expression in the parentheses: 2 + 5 = 7.

Then, square the result: 7^2 = 49.

Finally, subtract 42 from the result: 49 - 42 = 7.

So, the answer is A) 7."
Shakisha agaciro ka 4 ÷ 2 • 2 + 8 − 4. ,"['-12', '12', '8', '16']",C,elementary_mathematics,"Iyi kibazo kigomba gukorwa ugereranya na ""Order of Operations"" y'uburezi bw'amateka, yamamaza nka PEMDAS (Parentheses, Exponents, Multiplication and Division, Addition and Subtraction).

1. Kubanza, tugomba gukora umurongo w'ubwoko bw'ikoranabuhanga na gusarura: 4 ÷ 2 • 2 = 2 • 2 = 4.
2. Nyuma yo kuba twakoreye ubwoko bw'ikoranabuhanga na gusarura, tugomba gukora umurongo w'ubwoko bw'ongera na kugabanya: 4 + 8 - 4 = 8.

Nuko, agaciro ka 4 ÷ 2 • 2 + 8 − 4 ni 8. Kandi, iyi mpisemo iri mu gice C."
Umutoza yakubiye umubare wabasiganwa ku murongo uhura na hafi 10 . Umubare wuzuye wabiruka ni 400. Niwuhe mubare ushobora kuba umubare nyawo wabiruka kumurongo ?,"['382', '397', '406', '447']",B,elementary_mathematics,B) 397
−4 +  ( −3 )=,"['-7', '-1', '1', '7']",A,elementary_mathematics,A) -7
