question,choices,answer,subject,output
Boleng ba p ke bokae ho 24 = 2p,"['p =4', 'p = 8', 'p = 8', 'p = 24']",C,elementary_mathematics,"Ho rarolla bothata bona, re lokela ho qala ka ho lokisa phapang:

\[ 24 = 2p \]

Re arola mahlakore ka bobeli ka 2 ho fumana p:

\[ \frac{24}{2} = p \]
\[ p = 12 \]

Leha ho le joalo, likhetho tse fanoeng ke tsona:
A) p = 4
B) p = 8
C) p = 8
D) p = 24

Ha ho le e 'ngoe ea likhetho tsena e nepahetseng ho latela sephetho se fumanoeng sa \( p = 12 \). Ho ka etsahala hore ho na le phoso kapa ho hloka lintlha tse ling ho potso."
Mof. Perez o kgannile dikhilomitara tse 40 ka matsatsi a 5. O kgannile palo e lekaneng ya dikhilomitara letsatsi le letsatsi. Mof. Perez o kgannile dikhilomitara tse kae letsatsi le letsatsi?,"['5', '7', '8', '9']",C,elementary_mathematics,"Ho fumana palo ya dikhilomitara tseo Mof. Perez a di kgannileng letsatsi le letsatsi, re ka arola kakaretso ya dikhilomitara ka palo ya matsatsi ao a di kgannileng.

Kakaretso ya dikhilomitara ke 40.
Palo ya matsatsi ke 5.

Re arola 40 ka 5 ho fumana palo ya dikhilomitara tseo a di kgannileng letsatsi le letsatsi:
40 ÷ 5 = 8

Kahoo, Mof. Perez o kgannile dikhilomitara tse 8 letsatsi le letsatsi.

Karabo ke C) 8."
Fumana quotient ya - 40/ (-8).,"['1 hodima 5', '-5', '-1 hodima 5', '5']",D,elementary_mathematics,"Ho fumana quotient ya -40 ho arotsoe ka -8, o ka latela mehato ena:

1. Arola -40 ka -8:
   \(-40 \div -8 = 5\)

Ha o arola linomoro tse peli tse mpe, sephetho se tla ba se setle hobane matšoao a mabeli a mpe a hlahisa se setle.

Kahoo, karabo ke:
D) 5"
"Sehlopha sa bolo se na le R90.00 ho reka dibolo tsa maoto. Haeba bolo e le nngwe e bitsa R15.60, ke palo e kae e kgolo eo sehlopha se ka rekang dibolo?","['4', '5', '6', '7']",B,elementary_mathematics,"Ho fumana palo e kahodimodimo ya dibolo tseo sehlopha se ka di rekang, re lokela ho arola chelete eohle e teng ka theko ya bolo e le nngwe.

Chelete e teng: R90.00
Theko ya bolo e le nngwe: R15.60

Re arola R90.00 ka R15.60 ho fumana palo e kahodimodimo ya dibolo tseo ba ka di rekang:

\[ \text{Palo ya dibolo} = \frac{R90.00}{R15.60} = 5.769 \]

Kaha sehlopha se ke ke sa reka karolo ya bolo, re tlameha ho sebelisa palo e felletseng e tlase, e leng 5.

Kahoo, karabo ke:
B) 5"
Wena le metswalle ya hao e meraro le ya khonsareteng. Theko ya ditekete tse nne ke R112. Ngola o be o rarolle equation ho fumana theko ya tekete e le nngwe t.,"['4t = 112; R448', '4t = 112; R28', 't hodima 4 = 112; R448', 't hodima 4 = 112; R28']",B,elementary_mathematics,"Ho rarolla bothata bona, re hloka ho fumana theko ya tekete e le nngwe (t). Re tseba hore theko ya ditekete tse nne ke R112. Equation e lokelang ho sebelisoa ke:

\[ 4t = 112 \]

Mona, \( t \) ke theko ya tekete e le nngwe, mme \( 4t \) e emela theko ya ditekete tse nne. Ho fumana \( t \), re lokela ho arola mahlakore ka bobeli a equation ka 4:

\[ t = \frac{112}{4} \]
\[ t = 28 \]

Kahoo, theko ya tekete e le nngwe ke R28. Ka hona, karabo e nepahetseng ke:

B) 4t = 112; R28"
Sebedisa mohopolo o ka tlase ho araba potso. 3 x [(2 x 6 - 5) + (8/4)] - 1. Boleng ba mohopolo ke eng?,"['9', '11', '26', '32']",C,elementary_mathematics,"Ho rarolla mohopolo ona, re tla latela melao ea ho sebetsana le lipalo tsa mohopolo (order of operations), e tsejoang e le PEMDAS/BODMAS (Parentheses/Brackets, Exponents/Orders, Multiplication and Division (from left to right), Addition and Subtraction (from left to right)).

Mohopolo: 3 x [(2 x 6 - 5) + (8/4)] - 1

1. Qala ka ho sebetsana le lipalo tse ka har'a li-brackets:
   - 2 x 6 = 12
   - 12 - 5 = 7
   - 8 / 4 = 2

   Joale mohopolo o fetoha: 3 x [(7) + (2)] - 1

2. Tsoela pele ka ho eketsa linomoro tse ka har'a li-brackets:
   - 7 + 2 = 9

   Mohopolo o fetoha: 3 x 9 - 1

3. E latelang, atisa:
   - 3 x 9 = 27

   Mohopolo o fetoha: 27 - 1

4. Qetellong, tlosa:
   - 27 - 1 = 26

Kahoo, boleng ba mohopolo ke 26, e leng khetho C) 26."
Ngola 1 le 1 hodima 11 e le palo e felletseng kapa nomoro e tswakuweng ka tsela e bobebe.,"['1.1 hodima 11', '11 hodima 11', '12 hodima 11', '11 hodima 12']",C,elementary_mathematics,"A re qaleng ka ho hlalosa hore na ""palo e felletseng"" e bolelang. Palo e felletseng ke palo e sa robeheng, e leng palo e sa nang le karolo e setseng ha e arolwa ka e 'ngoe. Mohlala, ha 4 e arolwa ka 2, sephetho ke 2, e leng palo e felletseng. Haeba re sheba dikgetho tse fanoeng:

A) 1.1 hodima 11 = 1.1 / 11 = 0.1 (ha se palo e felletseng)
B) 11 hodima 11 = 11 / 11 = 1 (ke palo e felletseng)
C) 12 hodima 11 = 12 / 11 ≈ 1.0909 (ha se palo e felletseng)
D) 11 hodima 12 = 11 / 12 ≈ 0.9167 (ha se palo e felletseng)

Ho tloha tlhalosong ena, khetho e nepahetseng ke:
B) 11 hodima 11 (11 / 11 = 1, e leng palo e felletseng)"
Fumana quotient ya 2.16 / 0.06,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"To find the quotient of 2.16 divided by 0.06, you can perform the division:

\[ \frac{2.16}{0.06} = 36 \]

Thus, the correct answer is:
B) 36"
Fumana phapang ya 142.76 - 16.5,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,"Ho fumana phapang pakeng tsa 142.76 le 16.5, re tla etsa tšebetso ea ho tlosa:

142.76 - 16.5 = 126.26

Ha ho khetho e lekanang le 126.26 lenaneng la dikgetho tse fanweng. Ho bonahala eka ho na le phoso lenaneng la dikgetho kapa potso. Haeba u batla karabo e nepahetseng, e tla ba 126.26."
Fumana quotient ya 5.04 / 0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"To find the quotient of 5.04 divided by 0.7, you perform the division:

\[ \frac{5.04}{0.7} \]

To make the division simpler, you can eliminate the decimal by multiplying both the numerator and the denominator by 10:

\[ \frac{5.04 \times 10}{0.7 \times 10} = \frac{50.4}{7} \]

Now, divide 50.4 by 7:

\[ 50.4 \div 7 = 7.2 \]

Thus, the quotient of 5.04 divided by 0.7 is 7.2. Therefore, the correct answer is:

D) 7.2"
Jimmy le Kima ba nka leeto. Ba tla kganna matsatsi a mararo. Letsatsi la pele ba tla kganna dikhilomitara tse 182. Letsatsi la bobedi ba tla kganna dikhilomitara tse 439. Letsatsi la boraro ba tla kganna dikhilomitara tse 217. Ke mohopolo ofe o atametseng kakanyo ya hore ke dikhilomitara tse kae tseo Jimmy le Kima ba tla di kganna leetong?,"['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']",C,elementary_mathematics,"Re ka sebelisa mokhoa oa ho atamela ho fumana kakaretso ea dikhilomitara tseo Jimmy le Kima ba tla di kganna. Re tla bapisa dikgetho tse fanoeng le palo e nepahetseng ea dikhilomitara tseo ba tla di kganna letsatsi le leng le le leng.

Letsatsi la pele: 182 km
Letsatsi la bobedi: 439 km
Letsatsi la boraro: 217 km

Re bale kakaretso:
182 + 439 + 217 = 838 km

Jwale re sheba dikgetho tse fanoeng ho bona efe e atametseng ho 838 km:
A) 150 + 400 + 200 = 750 km
B) 200 + 400 + 200 = 800 km
C) 200 + 450 + 200 = 850 km
D) 200 + 500 + 200 = 900 km

Ha re bapisa, dikgetho tsena, khetho C (200 + 450 + 200 = 850 km) ke eona e atametseng haholo ho 838 km. Kahoo, karabo e nepahetseng ke:
C) 200 + 450 + 200"
Ho sala bokae ho 21 ha o e arola ka 7?,"['21', '7', '1', 'Letho ho tsona']",D,elementary_mathematics,"Ha o arola 21 ka 7, o fumana 3. Kahoo, ha ho le e 'ngoe ea likhetho tse fanoeng (A, B, C, D) e nepahetseng. Likhetho tse nepahetseng e ne e lokela ho ba 3."
Maddie o tla palama baesekele ya hae dikhilomitara tse 56 ka matsatsi a 7. O tla palama palo e lekanang ya dikhilomitara letsatsi le letsatsi. Ke palo e kae kaofela eo Maddie a tla e palama letsatsi le letsatsi? ,"['8', '9', '49', '63']",A,elementary_mathematics,"Ho fumana palo ea dikhilomitara tseo Maddie a tla di palama letsatsi le letsatsi, re arola kakaretso ea dikhilomitara ka palo ea matsatsi.

Dikhilomitara tse 56 / Matsatsi a 7 = 8 dikhilomitara ka letsatsi

Kahoo, karabo ke:
A) 8"
