question,choices,answer,subject,output
Lithini inani lika p ku 24 = 2p?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,A) p = 12
UNkszn. Perez washayela indawo ende kangango 40 wamamayela izinsuku eziwu 5. Washayela isamba senamba alinganayo amamayela usuku nosuku. Mangaki amamayela uNkszn. Perez awashayele usuku nosuku?,"['5', '7', '8', '9']",C,elementary_mathematics,C) 8
Thola i-qoutient ka −40 ÷ (−8).,"['1 ngaphezu kuka 5', '-5', '−1 ngaphezu kuka 5', '5']",D,elementary_mathematics,D) 5
"Iqembu lebhola lino $90.00 ukuthenga amabhola. Uma ibhola elilodwa libiza u$15.60, ubani inamba enkulu yamabhola iqembu elingawathenga?","['4', '5', '6', '7']",B,elementary_mathematics,C) 6
Wena nabangani bakho abathathu niya kwikhonsethi. Isamba senani lamathikithi amane u$112. Bhala futhi uxazulule lesibalo ukuthi uthole inani lethikithi elilodwa.,"['4t = 112; $448', '4t = 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']",B,elementary_mathematics,"Iphuzu elilungile lingaba yi B) 4t = 112; $28. 

Ukuze uthole inani lethikithi elilodwa, kufanele ukwazi ukuthi u$112 kufanele ukwabiwe ngu-4 (ngoba kunamathikithi amane). 

Ukuze uxazulule lesibalo, kufanele ukwabiwe i-112 ngu-4. 

112 ÷ 4 = 28

Ngakho-ke, inani lethikithi elilodwa lingaba yi-$28."
Sebenzisa lesibalo esingezansi  ukuphendula lombuzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ubani inani lwalokhu okuveziwe lana? ,"['9', '11', '26', '32']",C,elementary_mathematics,C) 26
Bhala 1 kanye no 1 phezu kwa 11 kube onumber eyodwa noma inamba ehlanganisile ngendlela elula,"['1.1 ngaphezu kwa 11', '11 ngaphezu kwa 11', '12 ngaphezu kwa 11', '11 ngaphezu kwa 12']",C,elementary_mathematics,"I-Option C) 12 ngaphezu kwa 11, kuyinto inamba eyodwa."
Thola i-qoutient ka 2. 16 ÷  0.06 ,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,B) 36
Thola umehluko ka 142.76 - 16.5 ,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,A) 126.26
Thola i-qoutient ka 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,D) 7.2
UJImmy kanye no Kima bazothatha uhambo. Bazoshayela izinsuku ezintathu. Usuku lokuqala bazoshayela amamayela awu 182.Ngolwesibili bazoshayela amamayela awu 439. Ngosuku lwesithathu bazoshayela amamayela awu 217. Ikuphi okukhombisa isilinganiso esisondelene nokuthi mangaki amamayela uJimmy no Kima abazowashayela kuloluhambo lwabo? ,"['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']",C,elementary_mathematics,A) 150 + 400 + 200
Kungaki okusalayo uma udivada u21 ngo 7?,"['21', '7', '1', 'Akukho kulokhu ']",D,elementary_mathematics,C) 1
UMaddie uzogibela ibhayisekili indawo engango 56 wamamayela ezinsukwini eziwu 7? Uzogibela ibhayisekili ngokulinganayo usuku nosuku. Sithini isamba senamba yamamayela uMaddie azowagibela usuku nosuku?,"['8', '9', '49', '63']",A,elementary_mathematics,B) 9
Thola inamba eyenza lesitatimende sibe iqiniso 48 ngaphezu kuka 88 = ? ngaphezu kwa 11 kuyiqiniso.,"['6', '11', '8', '5']",A,elementary_mathematics,B) 11
Ikuphi ukuthenga okuhle?,"['10 wamaqhuzu ensipho ngo $23.20', '16 wamaqhuzu ensipho ngo $36.48', '13 wamaqhuzu ensipho ngo $29.52', '12 wamaqhuzu ensipho ngo $27.60']",C,elementary_mathematics,"Ukuze sithole ukuthi yikuphi ukuthenga okuhle, kufanele sibheke ukuthi ukhokha malini ngamunye wamaqhuzu ensipho.

A) $23.20 / 10 = $2.32 ngamunye
B) $36.48 / 16 = $2.28 ngamunye
C) $29.52 / 13 = $2.27 ngamunye
D) $27.60 / 12 = $2.30 ngamunye

Ngakho-ke, ukuthenga okuhle kuyi-C, ngoba ukhokha $2.27 ngamunye wamaqhuzu ensipho."
"Ukuphumula kwenhliziyo kaTrish kuba ukushaya kawu 50 ngeminithi. Iminithi neminithi uyazivocavoca, inhliziyo yakhe inyukela ekushayeni kawu 5 ngeminithi. Kuzothatha isikhathi esingakanani ukuthi inhliziyo yakhe ishaye ifike ku 120  wokushaya ngeminithi?","['imizuzu ewu 5', 'imizuzu ewu  14', 'imizuzu ewu 34', 'imizuzu ewu 70']",B,elementary_mathematics,B) imizuzu ewu 14
"Thola inamba ephakathi nendawo kulesethi yolwazi 23, 13, 18, 29, 32, 25","['18', '24', '25', '29']",B,elementary_mathematics,C) 25
"UJack ucosha ama aphula awu 60 esihlahleni sama aphula. Usebenzisa awu 12 ukwenza i-applesauce. Ubeka asele ama aphula ngokulinganayo ezikhwameni zezipho eziwu 6. Isiphi isibalo esingasetshenziswa ukuthola ukuthi mangaki ama aphula, lawa uJack awabeka endaweni ngayinye kubhasikidi?","['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']",B,elementary_mathematics,B) (60—12)/6=a
Kunemephu thizeni esebenzisa isikali sika 1 inch olinganiselwa ku 25 wamamayela. Mangaki amamayela akhonjiswe la ku 5 inch kulemephu?,"['5', '25', '50', '125']",D,elementary_mathematics,C) 125
Enza kubelula (2 + 5)^2 − 42.,"['7', '16', '30', '33']",A,elementary_mathematics,"First, calculate the value inside the parentheses: 2 + 5 = 7.
Then square that result: 7^2 = 49.
Finally, subtract 42 from that result: 49 - 42 = 7.
So, the answer is A) 7."
