question,choices,answer,subject,output
p akamirira chii pa 24 = 2p?,"['p=4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,"Kuti tigadzirise p mu 24 = 2p, tinofanira kubvisa 2p kubva kune rimwe divi:

24 = 2p

Zvino, tinoparadzanisa ne 2 kune rimwe divi:

24 / 2 = p

12 = p

Saka, mhinduro chaiyo ndeye:

C) p = 12"
Ms Perezi vakatyaira mamaira anoita 40 mumazuva 5. Vaityaira  mamaira akafanana pazuva rega rega. Ms Perezi vakatyaira mamaira mangani pazuva rega rega? ,"['5', '7', '8', '9']",C,elementary_mathematics,"Kuti tione kuti Ms Perezi vakatyaira mamaira mangani pazuva rega rega, tinofanira kupatsanura huwandu hwemamaira avakatyaira nehuwandu hwemazuva. 

Ms Perezi vakatyaira mamaira 40 mumazuva 5. Saka tinopatsanura 40 ne 5:

\[ \frac{40}{5} = 8 \]

Saka, Ms Perezi vakatyaira mamaira 8 pazuva rega rega.

Mhinduro yacho ndeye:
C) 8"
Tsvaka mhinduro ya −40 ÷ (−8).,"['1 pamusoro pa5', '-5', '-1 pamusoro pa 5', '5']",D,elementary_mathematics,"Kuti tsvake mhinduro ye −40 ÷ (−8), tinofanira kutanga taziva kuti kugovera nhamba mbiri dzine zviratidzo zvakafanana (zvose zviri zviviri zvine chiratidzo che ""−"") kunopa mhinduro ine chiratidzo che "" + "".

Saka, −40 ÷ (−8) = 40 ÷ 8.

40 ÷ 8 = 5.

Saka mhinduro ndeye:
D) 5"
"Chikwata chebhora remakumbo chine $90 yekutengesa mabhora. Kana bhora rimwe richiita $15.60, mabhora mangani angatengwe nechikwata ichi.","['4', '5', '6', '7']",B,elementary_mathematics,"Kuti tione kuti mabhora mangani angatengwa nechikwata chine $90, tinofanira kupatsanura mari yese iripo nemutengo webhora rimwe chete.

Mutengo webhora rimwe chete = $15.60

Mari yese iripo = $90

Tinoita kupatsanura uku:
\[ \frac{90}{15.60} \]

Tinoita kuverenga uku:
\[ \frac{90}{15.60} \approx 5.769 \]

Izvi zvinoreva kuti chikwata chinogona kutenga mabhora mashanu (5) chete, nekuti mari yavo haikwanise kutenga bhora rechitanhatu.

Saka mhinduro chaiyo ndeye:
B) 5"
Iwe neshamwari dzako nhatu maenda kukonzati. Matikiti mana anoita $112. Gadzira chinyorwa chinoita kuti uwane mari ye tikiti rimwechete ,"['4t= 112:448', '4t=112:$28', 't pamusoro pa 4 =112:$448', 't pamusoro pa =112:28']",B,elementary_mathematics,"Kuti uwane mutengo wetikiti rimwechete, unofanirwa kugadzirisa chinyorwa chakarurama. Tichishandisa ruzivo rwawakapa, tinoziva kuti matikiti mana anoita $112. Saka tinoda kuwana mutengo we tikiti rimwechete, t.

Chinyorwa chakarurama chinofanira kuva:

\[ 4t = 112 \]

Tichigadzirisa chinyorwa ichi kuti tiwane t, tinopatsanura mativi ese ari maviri ne 4:

\[ t = \frac{112}{4} \]

\[ t = 28 \]

Saka, mutengo wetikiti rimwechete i $28.

Saka mhinduro yakarurama ndeye:

B) 4t = 112 : $28"
Shandisa chinyorwa chiripasi kupindura mibvunzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1. Chinyorwa ichi chakamirira chii?,"['9', '11', '26', '32']",C,elementary_mathematics,"Kuti tipindure mubvunzo uyu, tinofanira kushandisa PEMDAS (Parentheses, Exponents, Multiplication and Division (from left to right), Addition and Subtraction (from left to right)).

Tichatanga nekubvisa zvese zviri mumaparentesisi:

1. Tanga nechekutanga parentheses:
\[ 2 \times 6 - 5 \]
\[ 2 \times 6 = 12 \]
\[ 12 - 5 = 7 \]

2. Zvino, chechipiri parentheses:
\[ 8 \div 4 \]
\[ 8 \div 4 = 2 \]

3. Saka, zvese zviri mumaparentesisi zvava:
\[ (7) + (2) \]
\[ 7 + 2 = 9 \]

4. Zvino, tinoenderera mberi neformula yose:
\[ 3 \times 9 - 1 \]

5. Tanga ne multiplication:
\[ 3 \times 9 = 27 \]

6. Zvino, subtract 1:
\[ 27 - 1 = 26 \]

Saka, mhinduro yechinyorwa ichi i:
C) 26"
Nyora 1 na 1 pamusoro pa 11 se nhamba yakazara kana kuti senhamba yakasanganiswa yakadzikiswa pasi ,"['1.1 pamusoro pa 11', '11 pamusoro pa 11', '12 pamusoro pa 11', '11 pamusoro pa 12']",C,elementary_mathematics,"Nyora 1 na 1 pamusoro pa 11 se nhamba yakazara kana kuti senhamba yakasanganiswa yakadzikiswa pasi.

Kutanga, tichafanira kushandura 1 na 1 pamusoro pa 11 kuita nhamba yakasanganiswa. Nhamba yakasanganiswa inoratidza nhamba yakazara uye chikamu chemufananidzo. 

1 na 1 pamusoro pa 11 inoreva 1 + 1/11. 

Kuti tishandure izvi kuita nhamba yakazara kana kuti yakasanganiswa, tinofanira kuunganidza nhamba dzose dziri pamusoro. 

1 + 1/11 = 12/11

Saka mhinduro ichava:

C) 12 pamusoro pa 11"
Tsvaka mhinduro pa 2.16 ÷ 0.06.,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"Kuti tsvake mhinduro ye 2.16 ÷ 0.06, tinogona kushandisa nzira dzakasiyana-siyana, asi imwe yenzira dzakareruka ndeyekushandura zvose zviri zviviri muzvikamu zvisina madzimainzi.

2.16 ÷ 0.06

Tinogona kuwedzera zvose zviri zviviri numerator ne denominator ne 100 kuti tibvise madzimainzi:

2.16 × 100 = 216
0.06 × 100 = 6

Saka, 2.16 ÷ 0.06 yava 216 ÷ 6.

216 ÷ 6 = 36

Saka mhinduro ndeye 36.

Saka mhinduro yakakodzera ndeye:
B) 36"
Tsvaga musiyano wa 142.76 – 16.5.,"['159.26', '2.224', '14.111', '126.26']",D,elementary_mathematics,"Kuti tsvage musiyano wa 142.76 – 16.5, tinofanira kubvisa 16.5 kubva pa 142.76.

142.76 - 16.5 = 126.26

Saka mhinduro ndeye:
D) 126.26"
Tsvaka mhinduro pa 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"Kuti uwane mhinduro ye 5.04 yakakamurwa ne 0.7, unogona kushandisa nzira iyi:

\[ \frac{5.04}{0.7} \]

Izvi zvinogona kugadziriswa nekushandisa calculator kana kuverenga nemaoko.

Kana tichishandisa calculator:
\[ 5.04 \div 0.7 = 7.2 \]

Saka mhinduro chaiyo ndeye:
D) 7.2"
Jimmy naKima vachafamba rwendo. Vachatyaira kwemazuva matatu. Zuva rekutanga vachatyaira mamaira 182. Rechipiri vachatyaira  mamaira 439. Rechitatu vachatyaira mamaira 217. Ndechipi chinyorwa chiri pedyo nekuti Jimmy na Kima vachafamba mamaira akawanda sei murwendo rwavo?,"['150+400+ 200', '200+ 400 +200', '200+ 250 +200', '200+500+200']",C,elementary_mathematics,"Kuti tione kuti Jimmy naKima vachafamba mamaira akawanda sei murwendo rwavo, tinofanira kuunganidza mamaira avachafamba pazuva rega rega:

Zuva rekutanga: 182 mamaira
Zuva rechipiri: 439 mamaira
Zuva rechitatu: 217 mamaira

Tinounganidza mamaira aya:
182 + 439 + 217 = 838 mamaira

Zvino, tinoongorora kuti ndechipi chinyorwa chiri pedyo ne 838 mamaira:

A) 150 + 400 + 200 = 750 mamaira
B) 200 + 400 + 200 = 800 mamaira
C) 200 + 250 + 200 = 650 mamaira
D) 200 + 500 + 200 = 900 mamaira

Chinyorwa chiri pedyo ne 838 mamaira i:
B) 200 + 400 + 200 = 800 mamaira

Saka, chinyorwa chiri pedyo ndeche B) 200 + 400 + 200."
Musariridzwa wa 21 kugovaniswa na 7 chii?,"['21', '7', '1', 'Hapana chiripo']",D,elementary_mathematics,"Musariridzwa wa 21 kugovaniswa na 7 chii?

Kana tikagovana 21 na 7, tinoita izvi:
21 ÷ 7 = 3

Saka mhinduro chaiyo ndeye:
C) 3"
Maddie achatyaira chimudhudhu chake kwemamaira 56 mumazuva 7. Achazotyaira mamaira akafanana zuva rega rega. Mamaira achafambwa na maddie pazuva rega rega mangani?,"['8', '9', '49', '63']",A,elementary_mathematics,"Kuti tiwane mhinduro, tinofanira kupatsanura huwandu hwemamaira akafambwa na Maddie nehuwandu hwemazuva. Maddie akafamba mamaira 56 mumazuva 7. Saka tinofanira kuita kukamura 56 ne 7.

\[
\frac{56}{7} = 8
\]

Saka Maddie achafamba mamaira 8 pazuva rega rega. Saka mhinduro ndeye:

A) 8"
Tsvaka nhamba inoita kuti chinyorwa ichi chive chechokwadi 48 pamusoro p88 = ? pamusoro pa 11.,"['6', '11', '8', '5']",A,elementary_mathematics,"Kuti tsvake nhamba inoita kuti chinyorwa ichi chive chechokwadi, tinofanira kuenzanisa 48 pamusoro p88 ne ? pamusoro pa 11.

Tine:
\[
\frac{48}{88} = \frac{?}{11}
\]

Tichatanga nekuderedza \(\frac{48}{88}\) kusvika pashoma:

\[
\frac{48}{88} = \frac{48 \div 8}{88 \div 8} = \frac{6}{11}
\]

Saka tinoona kuti:
\[
\frac{6}{11} = \frac{?}{11}
\]

Izvi zvinoreva kuti ? = 6.

Saka mhinduro yakarurama i:
A) 6"
chakanaka kutenga chii?,"['Mabha 10 esipo pa $23.20', 'Mabha 16 esipo pa$36.48', 'mabha 13 esipo pa 29.51', 'mabha 12 esipo pa 427.60']",C,elementary_mathematics,"Kuti tione kuti ndeipi sarudzo iri nani, tinofanira kutarisa mutengo wega wega webha resipo. Tinogona kuita izvi nekupatsanura mutengo wese nenhamba yemabha esipo.

A) Mabha 10 esipo pa $23.20
Mutengo webha rimwe chete = $23.20 / 10 = $2.32

B) Mabha 16 esipo pa $36.48
Mutengo webha rimwe chete = $36.48 / 16 = $2.28

C) Mabha 13 esipo pa $29.51
Mutengo webha rimwe chete = $29.51 / 13 = $2.27

D) Mabha 12 esipo pa $427.60
Mutengo webha rimwe chete = $427.60 / 12 = $35.63

Saka, tichitarisa mitengo yacho:

A) $2.32
B) $2.28
C) $2.27
D) $35.63

Sarudzo C ndiyo ine mutengo wakaderera webha rimwe chete resipo, $2.27. Saka, chakanaka kutenga chiri sarudzo C) Mabha 13 esipo pa $29.51."
"Kurova kwemwoyo waTrish akazorora kunoita 50 pamineti rega. Pamineti yega yega yaanosimbisa muviri, kurova kwemoyo wake kunowedzera mabhiti mashanu pamineti. Anotora nguva yakareba zvakadii kuti asvike mabhiti 120 pamineti? ","['5 minetsi', '14 minetsi', '34 minetsi', '70 minetsi']",B,elementary_mathematics,"Kuti tione kuti Trish anotora nguva yakareba sei kuti kurova kwemoyo wake kusvike 120 pamineti, tinofanira kutanga taverenga kuti kurova kwemoyo wake kunowedzera sei pamineti yega yega paanosimbisa muviri.

Kurova kwemoyo kwaTrish kunotanga pa 50 pamineti rega. Pamineti yega yega yaanosimbisa muviri, kurova kwemoyo kwake kunowedzera mabhiti mashanu.

Ngatitangei nekufunga kuti kurova kwemoyo kwake kunofanira kuwedzera zvakadii kuti kusvike 120 pamineti:
\[ 120 \, \text{bpm} - 50 \, \text{bpm} = 70 \, \text{bpm} \]

Saka, kurova kwemoyo kwake kunofanira kuwedzera 70 bpm.

Kana kurova kwemoyo kwake kuchiwedzera 5 bpm pamineti yega yega, tinogona kuverenga kuti anoda maminetsi mangani kuti kurova kwemoyo kwake kusvike 70 bpm:
\[ \frac{70 \, \text{bpm}}{5 \, \text{bpm/min}} = 14 \, \text{min} \]

Saka, Trish anotora **14 minetsi** kuti kurova kwemoyo wake kusvike 120 pamineti.

Mhinduro yakarurama ndeye:
B) 14 minetsi"
"Tsvaka nhamba inopatsanura pakati nepakati padhata iri 23. 123, 18, 29, 32, 25","['18', '24', '25', '29']",B,elementary_mathematics,"Kuti tsvake nhamba inopatsanura pakati nepakati padhata iri, tinofanira kuisa manhamba aya muhurongwa kubva padiki kusvika pakuru, tobva tatora nhamba iri pakati.

Manhamba acho akarongeka ndeaya:
18, 23, 25, 29, 32

Nhamba iri pakati ndeye:
25

Saka mhinduro chaiyo ndeye:
C) 25"
"Jack anotanha maapuru 60. Anoshandisa maapuru 12 kugadzira chinwiwa. anoisa mapuru asara  6 mubasikitir ezvipo rega rega. Ndechipi chinyorwa chingashandiswa kutsvaka ma apples, a, angaisva mubasikiti na Jack","['(60/6) -12 = a', '(60 -12)/6 =a', '(60 - 6) - 12=a', '(60+12)/6 = a']",B,elementary_mathematics,"Kuti tione kuti mangani maapuru Jack angaisa mubasikiti, tinofanira kutanga taverenga kuti mangani maapuru asara mushure mekushandisa 12 kugadzira chinwiwa.

Jack ane maapuru 60 pakutanga. Anoshandisa maapuru 12 kugadzira chinwiwa, saka maapuru asara ndeekuti:
\[ 60 - 12 = 48 \]

Zvino, maapuru asara aya (48) anofanira kuiswa mubasikiti, uye anoiisa maapuru 6 mubasikiti rega rega. Saka kuti tione kuti mangani maapuru angaiswa mubasikiti, tinofanira kugovera maapuru asara (48) nemubairo waari kuisa mubasikiti rega rega (6):
\[ \frac{48}{6} = 8 \]

Saka chinyorwa chakarurama ndechekuti:
\[ \frac{60 - 12}{6} = a \]

Saka mhinduro chaiyo ndeye:
B) \((60 - 12)/6 = a\)"
