question,choices,answer,subject,output
P kyerɛpɛn a ɛwɔ 24 = 2p no yɛ den?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,"Ɛsɛ sɛ yɛtete nsɛm no mu de kyerɛpɛn a ɛwɔ 24 = 2p no yɛ den.

Ɛwɔ 24 = 2p
Ɛwɔ 24 = 2p

Sɛ yɛpɛ p a, yɛbɛkyekyɛ nsɛm no mu de 2 no bɛyɛ ne ho:

p = 24/2
p = 12

Enti, p = 12. 

Ɛno nti, ɛyɛ den a ɛyɛ D) p = 12."
Ms. Perez twii ne hyɛn kwansini 40 nna num mu. ɔtwii saa kwansini yi da biara. Kwansini sɛn na Ms. Perez twiiɛ da biara?,"['5', '7', '8', '9']",C,elementary_mathematics,"Ms. Perez twii hyɛn kwansini 40 nna num mu. Sɛ ɔtwii saa kwansini yi da biara a, ɛkyerɛ sɛ yɛde 40 nna bɛkyekyere 5 nna mu.

Yɛde 40 nna bɛkyekyere 5 nna mu:
\[ 40 \div 5 = 8 \]

Ɛno nti, kwansini a Ms. Perez twiiɛ da biara yɛ 8.

Ɛho mmuaeɛ ne:
C) 8"
Pɛ nkyɛmade a ɛwɔ saa nkasaeɛ yi mu: −40 ÷ (−8).,"['1 wɔ 5 so', '-5', '−1 wɔ 5 so', '5']",D,elementary_mathematics,"Mɛyɛ saa nkyɛmade yi de, yɛbɛyɛ nkyɛmu no:

−40 ÷ (−8)

Sɛ yɛkyɛ ɔhoɔ a ɛwɔ nkasaeɛ yi mu a, yɛde nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ ɔhoɔ a ɛwɔ nkasaeɛ yi mu a, yɛde nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ ɔhoɔ a ɛwɔ nkasaeɛ yi mu a, yɛde nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ ɔhoɔ a ɛwɔ nkasaeɛ yi mu a, yɛde nkasafua a ɛwɔ ho bɛyɛ adwuma. 

Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. 

Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. 

Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. 

Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma. Sɛ yɛkyɛ nkasafua a ɛwɔ ho bɛyɛ adwuma."
"Bɔɔlobɔ kuo bi wɔ $90.00 a ɔde tɔ bɔɔlo. Sɛ bɔɔlo baako boɔ yɛ $15.60, bɔɔlo bebree sɛn na bɔɔlobɔkuo no bɛtumi atɔ?","['4', '5', '6', '7']",B,elementary_mathematics,"Ɛsɛ sɛ yɛka sɛn bɔɔlo bɔɔlobɔ kuo no bɛtumi atɔ wɔ $90.00. Sɛ bɔɔlo baako boɔ yɛ $15.60 a, yɛde $90.00 bɛkyekyere $15.60 mu.

Yɛde $90.00 bɛkyekyere $15.60 mu:

\[
\frac{90.00}{15.60} = 5.769
\]

Ɛno kyerɛ sɛ bɔɔlobɔ kuo no bɛtumi atɔ bɔɔlo 5 pɛ, efisɛ sɛ wɔtɔ bɔɔlo 6 a, ɛbɛkɔ soro sen $90.00.

Ɛno nti, bɔɔlobɔ kuo no bɛtumi atɔ bɔɔlo 5. 

Ɛno nti, ɛyɛ B) 5."
Wo ne wo nnanfo mmiɛnsa kɔɔ agodibea bi ase. Tekiti nnan boɔ yɛ $112. Twerɛ na pɛ tipɛn nkasaeɛ a wɔde benya tekiti baako a ɛyɛ t boɔ.,"['4t = 112; $448', '4t = 112; $28', 't wɔ 4 so = 112; $448', 't wɔ 4 so = 112; $28']",B,elementary_mathematics,"Ɛyɛ sɛ nnanfo mmiɛnsa ne wo kɔɔ agodibea no ase, enti nnipa 4 na wɔkɔeɛ. Tekiti nnan boɔ yɛ $112. Yɛpɛ sɛ yɛhunu sɛ tekiti baako boɔ yɛ sɛn.

Ɛsɛ sɛ yɛkyekyere $112 no mu nnipa 4 a wɔkɔeɛ no mu:

4t = 112

Ɛno nti, yɛde 112 bɛkyekyere 4:

t = 112 / 4
t = 28

Enti, tekiti baako boɔ yɛ $28.

Ɛno nti, ɛyɛ B) 4t = 112; $28."
Fa saa nkasaeɛ a ɛwɔ aseɛ ha yi asɛmbisa yi ano: 3 x [(2 x 6– 5) + (8 ÷ 4)] – 1. Kyerɛpɛn a ɛwɔ nkasaeɛ no ho yɛ dɛn?,"['9', '11', '26', '32']",C,elementary_mathematics,Ɛsɛ sɛ yɛyɛ nkabom a ɛwɔ nkasaeɛ no mu no mu no mu kɔ so no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu no mu
Twerɛ 1 ne 11 sɛ akontabudeɛ a ɛyɛ mua anaa deɛ adi afra wɔ ne kwan tiawa so.,"['1.1 wɔ 11 so', '11 wɔ 11 so', '12 wɔ 11 so', '11 wɔ 12 so']",C,elementary_mathematics,"Sɛ yɛhwɛ 1 ne 11 sɛ akontabudeɛ a ɛyɛ mua anaa deɛ adi afra wɔ ne kwan tiawa so a, ɛkyerɛ sɛ yɛpɛ sɛ yɛde 1 ne 11 bɔ mu anaa yɛde 1 ne 11 bɔ afra.

Ɛno nti, yɛde 1 ne 11 bɔ mu a, yɛnya 1.1. Enti, ɛyɛ sɛ yɛka 1.1 wɔ 11 so.

A) 1.1 wɔ 11 so

Enti, ɛyɛ deɛ ɛyɛ mua wɔ ne kwan tiawa so."
Hwehwɛ nkyɛmade a ɛwɔ 2.16 ÷ 0.06 mu,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"Sɛ yɛpɛ sɛ yɛhwehwɛ nkyɛmade a ɛwɔ 2.16 ÷ 0.06 mu a, ɛsɛ sɛ yɛyɛ saa division yi pɛpɛɛpɛ.

2.16 ÷ 0.06

Sɛ yɛpɛ sɛ yɛyɛ division a, ɛyɛ mmerɛ sɛ yɛdan divisor no (0.06) kɔ whole number (6) na yɛdan dividend no (2.16) nso kɔ whole number. Yɛbɛyɛ saa deɛ, yɛbɛma divisor no ne dividend no nyinaa yɛ whole numbers. Yɛbɛyɛ saa deɛ, yɛbɛma ɛyɛ sɛ yɛde divisor no ne dividend no nyinaa yɛ 100 (ɛfiri sɛ 0.06 yɛ 6/100 na 2.16 yɛ 216/100).

Enti, yɛbɛyɛ:

2.16 ÷ 0.06 = (2.16 * 100) ÷ (0.06 * 100) = 216 ÷ 6

Afei yɛde 216 bɛkyɛ 6:

216 ÷ 6 = 36

Enti, nkyɛmade a ɛwɔ 2.16 ÷ 0.06 mu yɛ 36.

Nokware ɛyɛ B) 36."
Hwehwɛ ntemu a ɛwɔ 142.76 – 16.5 mu,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,"Ɛsɛ sɛ yɛyɛ ntemu a ɛwɔ 142.76 ne 16.5 ntam:

142.76 + 16.5 = 159.26

Enti, ɛho mmuaeɛ ne A) 159.26."
Hwehwɛ nkyɛmade a ɛwɔ 5.04/0.7 mu,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"Ɛsɛ sɛ yɛyɛ 5.04/0.7 no ho nhwehwɛmu.

5.04/0.7 = 5.04 ÷ 0.7

Sɛ yɛyɛ nhwehwɛmu yi a, yɛbɛka sɛ yɛde 5.04 ne 0.7 no bɛyɛ division.

Ɛyɛ sɛ yɛde 5.04 bɛyɛ 50.4 na yɛde 0.7 bɛyɛ 7 (yɛde 10 bɛka ho).

Enti, 50.4 ÷ 7 = 7.2

Ɛno nti, 5.04/0.7 = 7.2

Ɛno nti, ɛyɛ D) 7.2."
