question	choices	answer	subject	opus	prompt
Home kae le P si le akɔŋta sia me: 24 = 2 P ?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	[TextBlock(text='B)p = 12', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Home kae le P si le akɔŋta sia me: 24 = 2 P ?\n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]
Aƒenɔ Perez zɔ azɔli km 40 le ŋkeke 5 me. Azɔli didime ɖeka tɔgbi wòzɔ gbe sia gbe. Ke didime kae le gbe sia gbe azɔlia si mahã ?	['5', '7', '8', '9']	C	elementary_mathematics	[TextBlock(text='C)8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Aƒenɔ Perez zɔ azɔli km 40 le ŋkeke 5 me. Azɔli didime ɖeka tɔgbi wòzɔ gbe sia gbe. Ke didime kae le gbe sia gbe azɔlia si mahã ?\n A)5 B)7 C)8 D)9'}]}]
Bu numama sia: --40 ÷ (−8).	['1 le 5 dzi', '-5', '(-1 le 5 dzi)', '5']	D	elementary_mathematics	[TextBlock(text='D)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bu numama sia: --40 ÷ (−8).\n A)1 le 5 dzi B)-5 C)(-1 le 5 dzi) D)5'}]}]
Ga kaɖi $ 90,00 le afɔbɔlha aɖe si hena bɔluwo ƒeƒle. Nenye be bɔlu ɖeka ƒe home nye $ 15,60 ɖe bulu neni woate ŋu aƒle mahã ?	['4', '5', '6', '7']	B	elementary_mathematics	[TextBlock(text='B) 5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ga kaɖi $ 90,00 le afɔbɔlha aɖe si hena bɔluwo ƒeƒle. Nenye be bɔlu ɖeka ƒe home nye $ 15,60 ɖe bulu neni woate ŋu aƒle mahã ?\n A)4 B)5 C)6 D)7'}]}]
"Wo kple xɔ̃wo etɔ̃ mieyi nukpɔƒe aɖe. Mì ame eneawo ƒe kpɔmeɖoga nye $ 112. Ŋlɔ kadedemekɔŋta eye nàbu ame ɖeka ƒe kpɔmeɖoga nenye be ga sia nye ""b""."	['4b = 112; 448 $', '4b= 112; 28 $', 'b sur 4 = 112; 448 $', 'b sur 4 = 112; 28 $']	B	elementary_mathematics	[TextBlock(text='B)4b= 112; 28 $', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wo kple xɔ̃wo etɔ̃ mieyi nukpɔƒe aɖe. Mì ame eneawo ƒe kpɔmeɖoga nye $ 112. Ŋlɔ kadedemekɔŋta eye nàbu ame ɖeka ƒe kpɔmeɖoga nenye be ga sia nye ""b"".\n A)4b = 112; 448 $ B)4b= 112; 28 $ C)b sur 4 = 112; 448 $ D)b sur 4 = 112; 28 $'}]}]"
Wɔ akɔŋta 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1 ŋu dɔ ahaɖo biabia sia ŋu: akɔŋtaa ƒe ŋuɖoɖo ɖe ?	['9', '11', '26', '32']	C	elementary_mathematics	[TextBlock(text='B)11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wɔ akɔŋta 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1 ŋu dɔ ahaɖo biabia sia ŋu: akɔŋtaa ƒe ŋuɖoɖo ɖe ?\n A)9 B)11 C)26 D)32'}]}]
Ŋlɔ 1 kple 1 ɖe 11 dzi le nɔnɔme bɔbɔetɔ si ɖe xexlẽmedzesi kotso fia la nu.	['1,1 ɖe 11 dzi', '11 ɖe 11 dzi', '12 ɖe 11 dzi', '11 ɖe 12 dzi']	C	elementary_mathematics	[TextBlock(text='A)1', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ŋlɔ 1 kple 1 ɖe 11 dzi le nɔnɔme bɔbɔetɔ si ɖe xexlẽmedzesi kotso fia la nu.\n A)1 B)1 ɖe 11 dzi C)11 ɖe 11 dzi D)12 ɖe 11 dzi'}]}]
Dzi numamaxɔxɔ sia: 2,16 ÷ 0,06	['3,6', '36', '0', '12,72']	B	elementary_mathematics	[TextBlock(text='C)36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Dzi numamaxɔxɔ sia: 2,16 ÷ 0,06\n A)3 B)6 C)36 D)0'}]}]
Na ŋuɖoɖo na 16,5 ɖeɖe to le 142,76 me.	['159,26', '2 224', '14 111', '126,26']	D	elementary_mathematics	[TextBlock(text='B)26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Na ŋuɖoɖo na 16,5 ɖeɖe to le 142,76 me.\n A)159 B)26 C)2 224 D)14 111'}]}]
Dzi numamaxɔxɔ na 5,04/0,7	['0,72', '702', '10, 0571', '7,2']	D	elementary_mathematics	[TextBlock(text='B)72', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Dzi numamaxɔxɔ na 5,04/0,7\n A)0 B)72 C)702 D)10'}]}]
Jimmy kple Kina zɔ̃ mɔ. Wozɔ̃ ŋkeke etɔ sɔŋu. Ŋkeke gbãtɔ wozɔ̃ Km 182; ŋkeke evelia Km 439 eye ŋkeke etɔ̃lia Km 217. Akɔŋta bɔbɔe ka woawɔ ahatsɔ ŋku tso woƒe mɔzɔzɔa ƒe dzidzime mahã ?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	[TextBlock(text='B)200 + 400 + 200', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Jimmy kple Kina zɔ̃ mɔ. Wozɔ̃ ŋkeke etɔ sɔŋu. Ŋkeke gbãtɔ wozɔ̃ Km 182; ŋkeke evelia Km 439 eye ŋkeke etɔ̃lia Km 217. Akɔŋta bɔbɔe ka woawɔ ahatsɔ ŋku tso woƒe mɔzɔzɔa ƒe dzidzime mahã ?\n A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200'}]}]
Nenie susɔ nenye be woma 21 na 7 hã ?	['21', '7', '1', 'naneke o']	D	elementary_mathematics	[TextBlock(text='D) naneke o', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nenie susɔ nenye be woma 21 na 7 hã ?\n A)21 B)7 C)1 D)naneke o'}]}]
Maddie ku keke ŋkeke 7 hezɔ̃ 56 Km . Ezɔ̃ mɔ didime ɖekaƒomevi ŋkeke sia ŋkeke. Km neni wòzɔna gbe sia gbe mahã?	['8', '9', '49', '63']	A	elementary_mathematics	[TextBlock(text='A) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Maddie ku keke ŋkeke 7 hezɔ̃ 56 Km . Ezɔ̃ mɔ didime ɖekaƒomevi ŋkeke sia ŋkeke. Km neni wòzɔna gbe sia gbe mahã?\n A)8 B)9 C)49 D)63'}]}]
Dzi xexlẽmedzesi ana be nya sia nade blibo: 48 ɖe 88 = ...ɖe 11 dzi	['6', '11', '8', '5']	A	elementary_mathematics	[TextBlock(text='A)6', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Dzi xexlẽmedzesi ana be nya sia nade blibo: 48 ɖe 88 = ...ɖe 11 dzi\n A)6 B)11 C)8 D)5'}]}]
Nuƒeƒle kae nyo wu le esiawo katã domee ?	['Adzalẽ 10 $ 23,20', 'Adzalẽ 16 $ 36,48', 'Adzalẽ 13 $ 29,51', 'Adzalẽ 12 $ 27,60']	C	elementary_mathematics	[TextBlock(text='C)Adzalẽ 16 $ 36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nuƒeƒle kae nyo wu le esiawo katã domee ?\n A)Adzalẽ 10 $ 23 B)20 C)Adzalẽ 16 $ 36 D)48'}]}]
Ne trish le ɖiɖim ɖe eme la, eƒe dzi ƒoa ʋu zi 50 le miniti ɖeka me. Ne edze ʋiʋli gɔme la, ʋuƒoƒo 5 dzea miniti ɖe sia ɖe tɔ dzi. .geyiɣi neni wòawɔ hafi eƒe dzi ƒe ʋuƒoƒo nade 120 le miniti ɖeka me mahã ?	['miniti 5', 'miniti 14', 'miniti 34', 'miniti 70']	B	elementary_mathematics	[TextBlock(text='B)miniti 14', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ne trish le ɖiɖim ɖe eme la, eƒe dzi ƒoa ʋu zi 50 le miniti ɖeka me. Ne edze ʋiʋli gɔme la, ʋuƒoƒo 5 dzea miniti ɖe sia ɖe tɔ dzi. .geyiɣi neni wòawɔ hafi eƒe dzi ƒe ʋuƒoƒo nade 120 le miniti ɖeka me mahã ?\n A)miniti 5 B)miniti 14 C)miniti 34 D)miniti 70'}]}]
Bu titina na akɔŋtaɖoɖo sia	['18', '24', '25', '29']	B	elementary_mathematics	[TextBlock(text='C)25', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bu titina na akɔŋtaɖoɖo sia\n A)18 B)24 C)25 D)29'}]}]
Jack gbe atsitkutsetse 60 le atɔti aɖe dzi. Etsɔ atɔ 12 wɔ tatale eye wòma susɔeawo sɔsɔe ɖe adzafui 6 me. Kadedemekɔŋta ka woawɔ ahakpɔ atɔ home (a) si Jack de adzafui ɖe sia ɖe me mahã ?	['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics	[TextBlock(text='B)(60—12)/6=a', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Jack gbe atsitkutsetse 60 le atɔti aɖe dzi. Etsɔ atɔ 12 wɔ tatale eye wòma susɔeawo sɔsɔe ɖe adzafui 6 me. Kadedemekɔŋta ka woawɔ ahakpɔ atɔ home (a) si Jack de adzafui ɖe sia ɖe me mahã ?\n A)(60/6)—12=a B)(60—12)/6=a C)(60-6)-12=a D)(60+12)/6=a'}]}]
Woɖe dutata aɖe le ɖoɖo sia me be Cm 1 = Km 25 . Ke km neni wota ɖe dutata sia ƒe Cm 5 dzi mahã ?	['5', '25', '50', '125']	D	elementary_mathematics	[TextBlock(text='D)125', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Woɖe dutata aɖe le ɖoɖo sia me be Cm 1 = Km 25 . Ke km neni wota ɖe dutata sia ƒe Cm 5 dzi mahã ?\n A)5 B)25 C)50 D)125'}]}]
Na akɔŋta sia nanɔ hodzoe : (2 + 5)^2 - 42.	['7', '16', '30', '33']	A	elementary_mathematics	[TextBlock(text='B)16', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Na akɔŋta sia nanɔ hodzoe : (2 + 5)^2 - 42.\n A)7 B)16 C)30 D)33'}]}]
Bu akɔŋta sia: 4 ÷ 2 - 2 + 8 - 4.	['-12', '12', '8', '16']	C	elementary_mathematics	[TextBlock(text='D)8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bu akɔŋta sia: 4 ÷ 2 - 2 + 8 - 4.\n A)-12 B)12 C)8 D)16'}]}]
Hadzikpɔla aɖe sɔ eƒe duƒulawo nu ɖe ewolia si sɔ wu la nu. Ame neni wòkpɔ lae nye 400. Ke duƒula nenie anyanɔ duƒuƒea mahã ?	['382', '397', '406', '447']	B	elementary_mathematics	[TextBlock(text='A)382', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Hadzikpɔla aɖe sɔ eƒe duƒulawo nu ɖe ewolia si sɔ wu la nu. Ame neni wòkpɔ lae nye 400. Ke duƒula nenie anyanɔ duƒuƒea mahã ?\n A)382 B)397 C)406 D)447'}]}]
−4 + ( −3 )=	['-7', '-1', '1', '7']	A	elementary_mathematics	[TextBlock(text='A)-7', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': '−4 + ( −3 )=\n A)-7 B)-1 C)1 D)7'}]}]
Le Marc ƒe posugbalẽviwo me la, 22 tso Japon, 34 tso Canada eye 17 tso Mexiko. Posugbalẽvi nenie le Marc si mahã ?	['53', '63', '73', '83']	C	elementary_mathematics	[TextBlock(text='C)73', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Le Marc ƒe posugbalẽviwo me la, 22 tso Japon, 34 tso Canada eye 17 tso Mexiko. Posugbalẽvi nenie le Marc si mahã ?\n A)53 B)63 C)73 D)83'}]}]
Di ŋuɖoɖo na kadedemekɔŋta sia: X + 2,7 = 8,4	['11,1', '5,7', '3,7', '22,68']	B	elementary_mathematics	[TextBlock(text='C)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Di ŋuɖoɖo na kadedemekɔŋta sia: X + 2,7 = 8,4\n A)11 B)1 C)5 D)7'}]}]
Xexlẽmedzesi kae ɖe nya sia fia: 0,32 g = ... Cg ?	['32', '3,2', '3 200', '320']	A	elementary_mathematics	[TextBlock(text='B)3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Xexlẽmedzesi kae ɖe nya sia fia: 0,32 g = ... Cg ?\n A)32 B)3 C)2 D)3 200'}]}]
Di nuteƒeɖoɖo 5,7(8) le tamekɔŋta numamaɖoɖo nu.	['46,4', '456', '4,56', '45,6']	D	elementary_mathematics	[TextBlock(text='B)4', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Di nuteƒeɖoɖo 5,7(8) le tamekɔŋta numamaɖoɖo nu.\n A)46 B)4 C)456 D)4'}]}]
numama kae ado le 2.314 / 4 me ?	['508', '508 r2', '578', '578 r2']	D	elementary_mathematics	[TextBlock(text='B) 578 r2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'numama kae ado le 2.314 / 4 me ?\n A)508 B)508 r2 C)578 D)578 r2'}]}]
Rosa ɖoe be yeaƒu du km 100. Gbe sia gbe si wòƒu du la, ewɔa km 5. Akɔŋtanya ka ƒomevi Rosa ate ŋu ahakpɔ km xexlẽme si susɔ nae nenye be eƒu dua ŋkeke j mahã ?	['100-5j', '5j + 100', '100/5j', '5j']	A	elementary_mathematics	[TextBlock(text='D)5j', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Rosa ɖoe be yeaƒu du km 100. Gbe sia gbe si wòƒu du la, ewɔa km 5. Akɔŋtanya ka ƒomevi Rosa ate ŋu ahakpɔ km xexlẽme si susɔ nae nenye be eƒu dua ŋkeke j mahã ?\n A)100-5j B)5j + 100 C)100/5j D)5j'}]}]
Tia alziɛble nyagbe si ɖe nyagbe sia fia: ganumeha zigbɔ zi 4 wu Tom	['4f', 'f ɖe 4 dzi', 'f-4', 'f+4']	A	elementary_mathematics	[TextBlock(text='A)4f', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tia alziɛble nyagbe si ɖe nyagbe sia fia: ganumeha zigbɔ zi 4 wu Tom\n A)4f B)f ɖe 4 dzi C)f-4 D)f+4'}]}]
Andrew ŋlɔ xexlẽmedzesi 186 425 ɖe taƒlo. Le xexlẽmedzesi siwo gbɔna me la, tia xexlẽme 6 si ƒe hoeme nye zigbɔ zi 10 tututu na xexlẽme 6 si le Andrew tɔa mea.	['681 452', '462 017', '246 412', '125 655']	B	elementary_mathematics	[TextBlock(text='D)125 655', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Andrew ŋlɔ xexlẽmedzesi 186 425 ɖe taƒlo. Le xexlẽmedzesi siwo gbɔna me la, tia xexlẽme 6 si ƒe hoeme nye zigbɔ zi 10 tututu na xexlẽme 6 si le Andrew tɔa mea.\n A)681 452 B)462 017 C)246 412 D)125 655'}]}]
Nenie nye 123 / 8 ?	['15 kple nu susɔ 7', '15 kple nu susɔ 3', '16 kple nu susɔ 5', '16 nu susɔ 1']	B	elementary_mathematics	[TextBlock(text='B)15 kple nu susɔ 3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nenie nye 123 / 8 ?\n A)15 kple nu susɔ 7 B)15 kple nu susɔ 3 C)16 kple nu susɔ 5 D)16 nu susɔ 1'}]}]
