question	choices	answer	subject	opus	prompt
Quelle est la valeur de p dans 24 = 2 p? 	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	[TextBlock(text='B) p = 12', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Quelle est la valeur de p dans 24 = 2 p? \n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]
Mme Perez a parcouru en tout 40 kilomètres en 5 jours. Chaque jour, elle a effectué la même distance en kilomètres. Combien de kilomètres Mme Perez a-t-elle parcourus au quotidien ?	['5', '7', '8', '9']	C	elementary_mathematics	[TextBlock(text='C) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Mme Perez a parcouru en tout 40 kilomètres en 5 jours. Chaque jour, elle a effectué la même distance en kilomètres. Combien de kilomètres Mme Perez a-t-elle parcourus au quotidien ?\n A)5 B)7 C)8 D)9'}]}]
Calcule le quotient de -40 ÷ (−8).	['1 sur 5', '-5', '-1 sur 5', '5']	D	elementary_mathematics	[TextBlock(text='D) 5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Calcule le quotient de -40 ÷ (−8).\n A)1 sur 5 B)-5 C)-1 sur 5 D)5'}]}]
Une équipe de football dispose d'un budget de 90,00 $ pour acquérir des ballons de football. Si un ballon de football coûte 15,60 $, quelle est la quantité maximale de ballons de football que l'équipe peut s'offrir ?	['4', '5', '6', '7']	B	elementary_mathematics	[TextBlock(text='B) 5', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Une équipe de football dispose d'un budget de 90,00 $ pour acquérir des ballons de football. Si un ballon de football coûte 15,60 $, quelle est la quantité maximale de ballons de football que l'équipe peut s'offrir ?\n A)4 B)5 C)6 D)7""}]}]"
Avec trois amis, vous assistez à un concert. Sachant que le coût total des quatre billets s'élève à 112 $,  écris et résouds une équation pour trouver le coût d'un billet b.	['4b = 112; 448 $', '4b= 112; 28 $', 'b sur 4 = 112; 448 $', 'b sur 4 = 112; 28 $']	B	elementary_mathematics	[TextBlock(text='B)4b= 112; 28 $', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Avec trois amis, vous assistez à un concert. Sachant que le coût total des quatre billets s'élève à 112 $,  écris et résouds une équation pour trouver le coût d'un billet b.\n A)4b = 112; 448 $ B)4b= 112; 28 $ C)b sur 4 = 112; 448 $ D)b sur 4 = 112; 28 $""}]}]"
Utilise le calcul ci-après : 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1, pour répondre à la question suivante:  quelle est la valeur de l'opération ?	['9', '11', '26', '32']	C	elementary_mathematics	[TextBlock(text='B) 11', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Utilise le calcul ci-après : 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1, pour répondre à la question suivante:  quelle est la valeur de l'opération ?\n A)9 B)11 C)26 D)32""}]}]"
Écris 1 et 1 sur 11 à la forme de nombre entier ou mixte la plus simple .	['1,1 sur 11', '11 sur 11', '12 sur 11', '11 sur 12']	C	elementary_mathematics	[TextBlock(text='A) 1', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Écris 1 et 1 sur 11 à la forme de nombre entier ou mixte la plus simple .\n A)1 B)1 sur 11 C)11 sur 11 D)12 sur 11'}]}]
Détermine le quotient de 2,16 ÷ 0,06.	['3,6', '36', '0, 01272', '12,72']	B	elementary_mathematics	[TextBlock(text='C) 36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Détermine le quotient de 2,16 ÷ 0,06.\n A)3 B)6 C)36 D)0'}]}]
Trouve la différence entre 142,76 et 16,5.	['159,26', '2,224', '14,111', '126,26']	D	elementary_mathematics	[TextBlock(text='D) 126,26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Trouve la différence entre 142,76 et 16,5.\n A)159 B)26 C)2 D)224'}]}]
Détermine le quotient de 5,04/0,7	['0,72', '702', '10, 0571', '7,2']	D	elementary_mathematics	[TextBlock(text='B)72', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Détermine le quotient de 5,04/0,7\n A)0 B)72 C)702 D)10'}]}]
