question	choices	answer	subject	opus	prompt
24=2p keessatti gatiin p meeqa?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	[TextBlock(text='B)p = 12', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': '24=2p keessatti gatiin p meeqa?\n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]
Aadde Perez guyyoota 5 keessatti walumaa galatti maayilii 40 oofte. Guyyaa hundumaa maayilii wal fakkaataa oofti turte. Aadde Perez guyyaatti maayilii meeqa oofaa turte?	['5', '7', '8', '9']	C	elementary_mathematics	[TextBlock(text='C) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Aadde Perez guyyoota 5 keessatti walumaa galatti maayilii 40 oofte. Guyyaa hundumaa maayilii wal fakkaataa oofti turte. Aadde Perez guyyaatti maayilii meeqa oofaa turte?\n A)5 B)7 C)8 D)9'}]}]
Gahee −40 ÷ (−8) barbaadi	['1 irra 5', '-5', '-1 irra 5', '5']	D	elementary_mathematics	[TextBlock(text='D)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Gahee −40 ÷ (−8) barbaadi\n A)1 irra 5 B)-5 C)-1 irra 5 D)5'}]}]
Gareen kubbaa miilaa tokko kubbaa miilaa bitachuuf $90.00 qabu. Gatiin kubbaa miilaa tokko $15.60 yoo ta'e, Lakkoofsi guddaan kubbaan miilaa gareen kun bitachuu danda'u meeqa?	['4', '5', '6', '7']	B	elementary_mathematics	[TextBlock(text='B)5', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Gareen kubbaa miilaa tokko kubbaa miilaa bitachuuf $90.00 qabu. Gatiin kubbaa miilaa tokko $15.60 yoo ta'e, Lakkoofsi guddaan kubbaan miilaa gareen kun bitachuu danda'u meeqa?\n A)4 B)5 C)6 D)7""}]}]"
Atii fi hiriyyoonni sadii gara konsartii deemtu. Gatiin waliigalaa kan tikkeettii afurii $112. Gatii tikkeettii tokkoo barbaaduuf hima walqixaa barreessi akkasumas furi.  	['4t = 112; $448', '4t = 112; $28', 't irra 4 = 112; $448', 't irra 4 = 112; $28']	B	elementary_mathematics	[TextBlock(text='B)4t = 112; $28', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Atii fi hiriyyoonni sadii gara konsartii deemtu. Gatiin waliigalaa kan tikkeettii afurii $112. Gatii tikkeettii tokkoo barbaaduuf hima walqixaa barreessi akkasumas furi.  \n A)4t = 112; $448 B)4t = 112; $28 C)t irra 4 = 112; $448 D)t irra 4 = 112; $28'}]}]
Gaafficha deebisuuf ibsa armaan gadii fayyadami. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 gatiin ibsichaa maali?	['9', '11', '26', '32']	C	elementary_mathematics	[TextBlock(text='C)26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Gaafficha deebisuuf ibsa armaan gadii fayyadami. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 gatiin ibsichaa maali?\n A)9 B)11 C)26 D)32'}]}]
1 fi 1 irra 11 akka lakkoofsa hundaatti yookiin wal makaatti bifa salphaan barreessi. 	['1.1 irra 11', '11 irra 11', '12 irra 11', '11 irra 12']	C	elementary_mathematics	[TextBlock(text='A)1.1 irra 11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': '1 fi 1 irra 11 akka lakkoofsa hundaatti yookiin wal makaatti bifa salphaan barreessi. \n A)1.1 irra 11 B)11 irra 11 C)12 irra 11 D)11 irra 12'}]}]
Gahee 2.16 ÷ 0.06 barbaadi.	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	[TextBlock(text='B)36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Gahee 2.16 ÷ 0.06 barbaadi.\n A)3.6 B)36 C)0.01272 D)12.72'}]}]
Garaagarummaa 142.76 – 16.5 barbaadi.	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	[TextBlock(text='D)111', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Garaagarummaa 142.76 – 16.5 barbaadi.\n A)159.26 B)2.224 C)14 D)111'}]}]
Gahee 5.04/0.7 barbaadi.	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	[TextBlock(text='A) 7.2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Gahee 5.04/0.7 barbaadi.\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]
