subject	question	choices	answer	opus	prompt
elementary_mathematics	Thamana ya p ni nini katika 24 = 2p?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	[TextBlock(text='B)p = 4', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thamana ya p ni nini katika 24 = 2p?\n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]
elementary_mathematics	Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Aliendesha idadi sawa ya maili kila siku. Bi Perez aliendesha gari kwa maili ngapi kila siku?	[5, 7, 8, 9]	C	[TextBlock(text='C) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Aliendesha idadi sawa ya maili kila siku. Bi Perez aliendesha gari kwa maili ngapi kila siku?\n A)5 B)7 C)8 D)9'}]}]
elementary_mathematics	Tatua uwiano wa −40 ÷ (−8).	['1 juu ya 5', -5, '−1 juu ya 5', 5]	D	[TextBlock(text='D)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tatua uwiano wa −40 ÷ (−8).\n A)1 juu ya 5 B)-5 C)−1 juu ya 5 D)5'}]}]
elementary_mathematics	Timu ya soka ina $90.00 za kununua mipira ya soka. Ikiwa mpira mmoja wa soka utagharimu $15.60, ni idadi gani kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua?	[4, 5, 6, 7]	B	[TextBlock(text='B)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Timu ya soka ina $90.00 za kununua mipira ya soka. Ikiwa mpira mmoja wa soka utagharimu $15.60, ni idadi gani kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua?\n A)4 B)5 C)6 D)7'}]}]
elementary_mathematics	Wewe pamoja na rafiki zako watatu mnaenda kwenye tamasha. Gharama ya jumla ya tiketi nne ni $112. Andika na utatue mlinganyo ili kupata gharama ya tikiti moja t.	['4t = 112; $448', '4t = 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']	B	[TextBlock(text='B)4t = 112; $28', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wewe pamoja na rafiki zako watatu mnaenda kwenye tamasha. Gharama ya jumla ya tiketi nne ni $112. Andika na utatue mlinganyo ili kupata gharama ya tikiti moja t.\n A)4t = 112; $448 B)4t = 112; $28 C)t over 4 = 112; $448 D)t over 4 = 112; $28'}]}]
elementary_mathematics	Tumia usemi ulio hapa chini kujibu swali. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Thamana ya usemi ni nini?	[9, 11, 26, 32]	C	[TextBlock(text='B)11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tumia usemi ulio hapa chini kujibu swali. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Thamana ya usemi ni nini?\n A)9 B)11 C)26 D)32'}]}]
elementary_mathematics	Andika 1 na 1 juu ya 11 kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi.	['1.1 juu ya 11', '11 juu ya 11', '12 juu ya 11', '11 juu ya 12']	C	[TextBlock(text='C)12 juu ya 11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Andika 1 na 1 juu ya 11 kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi.\n A)1.1 juu ya 11 B)11 juu ya 11 C)12 juu ya 11 D)11 juu ya 12'}]}]
elementary_mathematics	Tatua uwiano wa 2.16 ÷ 0.06.	[3.6, 36, 0.01272, 12.72]	B	[TextBlock(text='B)36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tatua uwiano wa 2.16 ÷ 0.06.\n A)3.6 B)36 C)0.01272 D)12.72'}]}]
elementary_mathematics	Tatua utofauti wa 142.76 – 16.5.	[159.26, 2.224, 14111, 126.26]	D	[TextBlock(text='D)126.26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tatua utofauti wa 142.76 – 16.5.\n A)159.26 B)2.224 C)14111 D)126.26'}]}]
elementary_mathematics	Tatua uwiano wa 5.04/0.7	[0.72, 0.702, 10.0571, 7.2]	D	[TextBlock(text='D)7.2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tatua uwiano wa 5.04/0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]
elementary_mathematics	Jimmy na Kima wanaenda safarini. Wataendesha gari kwa siku tatu. Siku ya kwanza wataendesha maili 182. Siku ya pili wataendesha maili 439. Siku ya tatu wataendesha maili 217. Ni usemi gani unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	[TextBlock(text='B)200 + 400 + 200', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Jimmy na Kima wanaenda safarini. Wataendesha gari kwa siku tatu. Siku ya kwanza wataendesha maili 182. Siku ya pili wataendesha maili 439. Siku ya tatu wataendesha maili 217. Ni usemi gani unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao?\n A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200'}]}]
elementary_mathematics	Nini salio la 21 kugawanywa na 7?	[21, 7, 1, 'Hakuna hata moja kati ya hizi']	D	[TextBlock(text='C)3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nini salio la 21 kugawanywa na 7?\n A)21 B)7 C)1 D)Hakuna hata moja kati ya hizi'}]}]
elementary_mathematics	Maddie ataendesha baiskeli yake jumla ya maili 56 kwa siku 7. Ataendesha idadi hii hii ya maili kila siku. Je, Maddie ataendesha baiskeli maili ngapi kila siku?	[8, 9, 49, 63]	A	[TextBlock(text='A) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Maddie ataendesha baiskeli yake jumla ya maili 56 kwa siku 7. Ataendesha idadi hii hii ya maili kila siku. Je, Maddie ataendesha baiskeli maili ngapi kila siku?\n A)8 B)9 C)49 D)63'}]}]
elementary_mathematics	Tafuta nambari inayofanya 48 juu ya 88 = ? juu ya 11 kuwa taarifa ya kweli.	[6, 11, 8, 5]	A	[TextBlock(text='C)8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tafuta nambari inayofanya 48 juu ya 88 = ? juu ya 11 kuwa taarifa ya kweli.\n A)6 B)11 C)8 D)5'}]}]
