question	choices	answer	subject	opus	prompt
Lithini inani lika p ku 24 = 2p?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	[TextBlock(text='C)p = 12', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Lithini inani lika p ku 24 = 2p?\n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]
UNkszn. Perez washayela indawo ende kangango 40 wamamayela izinsuku eziwu 5. Washayela isamba senamba alinganayo amamayela usuku nosuku. Mangaki amamayela uNkszn. Perez awashayele usuku nosuku?	['5', '7', '8', '9']	C	elementary_mathematics	[TextBlock(text='C)8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'UNkszn. Perez washayela indawo ende kangango 40 wamamayela izinsuku eziwu 5. Washayela isamba senamba alinganayo amamayela usuku nosuku. Mangaki amamayela uNkszn. Perez awashayele usuku nosuku?\n A)5 B)7 C)8 D)9'}]}]
Thola i-qoutient ka −40 ÷ (−8).	['1 ngaphezu kuka 5', '-5', '−1 ngaphezu kuka 5', '5']	D	elementary_mathematics	[TextBlock(text='D)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola i-qoutient ka −40 ÷ (−8).\n A)1 ngaphezu kuka 5 B)-5 C)−1 ngaphezu kuka 5 D)5'}]}]
Iqembu lebhola lino $90.00 ukuthenga amabhola. Uma ibhola elilodwa libiza u$15.60, ubani inamba enkulu yamabhola iqembu elingawathenga?	['4', '5', '6', '7']	B	elementary_mathematics	[TextBlock(text='B)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Iqembu lebhola lino $90.00 ukuthenga amabhola. Uma ibhola elilodwa libiza u$15.60, ubani inamba enkulu yamabhola iqembu elingawathenga?\n A)4 B)5 C)6 D)7'}]}]
Wena nabangani bakho abathathu niya kwikhonsethi. Isamba senani lamathikithi amane u$112. Bhala futhi uxazulule lesibalo ukuthi uthole inani lethikithi elilodwa.	['4t = 112; $448', '4t = 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']	B	elementary_mathematics	[TextBlock(text='B)4t = 112; $28', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wena nabangani bakho abathathu niya kwikhonsethi. Isamba senani lamathikithi amane u$112. Bhala futhi uxazulule lesibalo ukuthi uthole inani lethikithi elilodwa.\n A)4t = 112; $448 B)4t = 112; $28 C)t over 4 = 112; $448 D)t over 4 = 112; $28'}]}]
Sebenzisa lesibalo esingezansi  ukuphendula lombuzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ubani inani lwalokhu okuveziwe lana? 	['9', '11', '26', '32']	C	elementary_mathematics	[TextBlock(text='B)11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sebenzisa lesibalo esingezansi  ukuphendula lombuzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ubani inani lwalokhu okuveziwe lana? \n A)9 B)11 C)26 D)32'}]}]
Bhala 1 kanye no 1 phezu kwa 11 kube onumber eyodwa noma inamba ehlanganisile ngendlela elula	['1.1 ngaphezu kwa 11', '11 ngaphezu kwa 11', '12 ngaphezu kwa 11', '11 ngaphezu kwa 12']	C	elementary_mathematics	[TextBlock(text='C)12 ngaphezu kwa 11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bhala 1 kanye no 1 phezu kwa 11 kube onumber eyodwa noma inamba ehlanganisile ngendlela elula\n A)1.1 ngaphezu kwa 11 B)11 ngaphezu kwa 11 C)12 ngaphezu kwa 11 D)11 ngaphezu kwa 12'}]}]
Thola i-qoutient ka 2. 16 ÷  0.06 	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	[TextBlock(text='B)36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola i-qoutient ka 2. 16 ÷  0.06 \n A)3.6 B)36 C)0.01272 D)12.72'}]}]
Thola umehluko ka 142.76 - 16.5 	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	[TextBlock(text='D)126.26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola umehluko ka 142.76 - 16.5 \n A)159.26 B)2.224 C)14 D)111'}]}]
Thola i-qoutient ka 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	[TextBlock(text='D)7.2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola i-qoutient ka 5.04/0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]
