premise	hypothesis	label	opus	prompt
Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Ban ƙara masa magana ba.	contradiction	"[TextBlock(text='Wannan ƙalubale ne (contradiction). A cikin labarin, an ce ""daga ƙarshe na ɓige da ƙara yi masa magana"", wanda ke nufin cewa an ƙara masa magana. Amma a cikin hypothesis ɗin, an ce ""Ban ƙara masa magana ba"", wanda ya ƙi cewa an ƙara masa magana. Saboda haka, labarin da hypothesis ɗin suna ƙalubale (contradiction) da juna.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.\nHypothesis: Ban ƙara masa magana ba.\nIs this an entailment, contradiction, or neutral?'}]}]
Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Naji haushi sosai kawai na fara ƙara yi masa magana.	entailment	"[TextBlock(text='Wannan ba entailment ba ne, kuma ba contradiction ba ne, amma neutral ne.\n\nDalilin shi ne, a cikin premise din, an ce ""daga karshe na ɓige da ƙara yi masa magana"". Wannan yana nufin cewa bayan ya fasa yin magana da mutumin, daga baya sai ya sake ƙara yi masa magana.\n\nAmma a cikin hypothesis ɗin kuwa, an ce ""kawai na fara ƙara yi masa magana"". Wannan bai bayyana ba ko ya taba ƙin yi masa magana a farko kafin ya ƙara yi masa magana.\n\nSaboda haka, premise ɗin bai ƙunshi cikakken ma\'anar hypothesis ɗin ba (wato ba entailment ba ne), kuma kuma bai yi musu sabanin juna ba (wato ba contradiction ba ne). Abubuwan da aka faɗa a premise ɗin da hypothesis ɗin ba su da wani sabanin a tsakaninsu, amma kuma premise ɗin bai bayyana duk abin da hypothesis ɗin ya faɗa ba. Saboda haka, za mu iya cewa neutral ne.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.\nHypothesis: Naji haushi sosai kawai na fara ƙara yi masa magana.\nIs this an entailment, contradiction, or neutral?'}]}]
Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.	Mun yi hira mai dadi.	neutral	"[TextBlock(text=""Wannan yana nuna cewa akwai ƙarancin daidaito tsakanin abin da aka faɗa a farko (premise) da kuma abin da aka yi imanin cewa gaskiya ne (hypothesis). Abin da aka faɗa a farko ya nuna cewa an yi faɗa kuma an ƙare hira cikin fusata, amma hypothesis ɗin ya ce an yi hira mai daɗi. Saboda haka, amsarsa ita ce contradiction, wato abin da aka faɗa a farko ya sabawa ra'ayin da aka bayyana a hypothesis."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.\nHypothesis: Mun yi hira mai dadi.\nIs this an entailment, contradiction, or neutral?'}]}]
Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	Ba'a gaya min komai ba akan zan haɗu da kowa ba.	contradiction	[TextBlock(text='Wannan ƙalubale ne (contradiction). Premise ɗin ya ce an gaya masa cewa za a kira shi don ya haɗu da wani daga ƙarshe, amma hypothesis ɗin ya ce ba a gaya masa komai ba game da haɗuwa da kowa. Abubuwan da suka fada a premise da hypothesis ɗin sun saba da juna.', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.\nHypothesis: Ba'a gaya min komai ba akan zan haɗu da kowa ba.\nIs this an entailment, contradiction, or neutral?""}]}]"
Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	An gayan zaa kira min wani mu haɗu. 	entailment	"[TextBlock(text=""Wannan misali ne na entailment (ƙuntatawa). Premise ɗin ya bayyana cewa an gaya masa za a kira shi don su haɗu daga ƙarshe, kuma hypothesis ɗin ya tabbatar da wannan ra'ayi cewa an gaya za a kira shi su haɗu. Saboda haka, premise ɗin ya ƙunshi abin da hypothesis ɗin ya faɗa."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.\nHypothesis: An gayan zaa kira min wani mu haɗu. \nIs this an entailment, contradiction, or neutral?'}]}]
Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.	Mutumin ya ɗan zo a makare.	neutral	"[TextBlock(text=""Wannan misali ne na entailment (ɗauke ra'ayi). Premise ɗin ya nuna cewa an gaya wa mutumin cewa za a kira shi daga baya, kuma hypothesis ɗin ya tabbatar da hakan ta wajen cewa mutumin ya ɗan zo a makare. Saboda haka, hypothesis ɗin yana ɗauke ra'ayin abin da aka faɗa a cikin premise ɗin."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.\nHypothesis: Mutumin ya ɗan zo a makare.\nIs this an entailment, contradiction, or neutral?'}]}]
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ina so na faɗa ma duk abinda na sani akan hakan.	contradiction	[TextBlock(text='Wannan ba entailment ba ne ko contradiction, neutral ne.\n\nPremise yana cewa akwai abubuwa da yawa da za a iya faɗa akan wani abu, amma ya ce a tsallake wancan. Wato bai faɗi ko menene abubuwan da za a iya faɗa ba.\n\nHypothesis yana cewa yana so ya faɗa duk abin da ya sani akan wani abu. Amma ba a sani ba ko wane abu ake magana a kai.\n\nSaboda haka, babu yadda za a ce hypothesis ɗin yana da nasaba da abin da aka faɗa a cikin premise ɗin. Neutral ne kawai.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.\nHypothesis: Ina so na faɗa ma duk abinda na sani akan hakan.\nIs this an entailment, contradiction, or neutral?'}]}]
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ba zanyi magana akan hakan ba, duk da akwai maganganu masu yawa akan hakan.	entailment	[TextBlock(text='Wannan misali ne na entailment (ƙuntatawa). \n\nA cikin premise din an ce akwai abu da yawa da za a iya cewa akan wani abu, amma za a tsallake yin hakan. Sannan kuma a cikin hypothesis din an ce ba za a yi magana akan wannan abu ba, duk da cewa akwai maganganu da yawa da za a iya yi akan sa.\n\nSaboda haka, hypothesis din na ƙuntatawa abin da aka faɗa a cikin premise din. Premise din ya ƙunshi cewa ba za a yi magana ba, sannan hypothesis din ya ƙara tabbatar da hakan ta wurin cewa ba za a yi magana ba duk da yawan abubuwan da za a iya faɗa.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.\nHypothesis: Ba zanyi magana akan hakan ba, duk da akwai maganganu masu yawa akan hakan.\nIs this an entailment, contradiction, or neutral?'}]}]
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.	Ba zanyi magana akan tarihi jihar ba, saboda akwai abun faɗa da yawa.	neutral	[TextBlock(text='Wannan misali ne na entailment (ƙuntatawa). Fahimtar da aka bayar a cikin premise tana tabbatar da cewa akwai abubuwa da yawa da za a iya faɗa game da batun, amma za a tsallake wani abu na musamman. Haka kuma, hypothesis ɗin ya tabbatar da cewa ba za a yi magana a kan wani sashe na tarihi ba saboda akwai abubuwa da yawa da za a iya faɗa. Saboda haka, premise ɗin yana ƙuntatawa hypothesis ɗin.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.\nHypothesis: Ba zanyi magana akan tarihi jihar ba, saboda akwai abun faɗa da yawa.\nIs this an entailment, contradiction, or neutral?'}]}]
Dan haka ban tabbatar da mene dalili ba.	Na tabbatar da mene dalilin.	contradiction	"[TextBlock(text='Wannan ƙarya ce (contradiction). \n\nPremise ɗin ya ce ""Dan haka ban tabbatar da mene dalili ba"", wanda ke nufin cewa bai tabbatar da dalilin ba.\n\nAmma hypothesis ɗin ya ce ""Na tabbatar da mene dalilin"", wanda ke nufin ya tabbatar da dalilin. \n\nSaboda haka, abin da hypothesis ɗin ya faɗa yana ƙarya da abin da premise ɗin ya faɗa. Premise ɗin ya ce bai tabbatar ba, amma hypothesis ɗin ya ce ya tabbatar. Don haka, ƙarya ce (contradiction).', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Dan haka ban tabbatar da mene dalili ba.\nHypothesis: Na tabbatar da mene dalilin.\nIs this an entailment, contradiction, or neutral?'}]}]
