premise	hypothesis	label	opus	prompt
Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena	Ntabwo narinongera kumuvugisha 	contradiction	"[TextBlock(text='Based on the given premise and hypothesis in Kinyarwanda, this is an entailment.\n\nThe premise says: ""Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena"" which translates to: ""Look, I never thought about that, but I was very hurt, I ended up not talking to him again.""\n\nThe hypothesis states: ""Ntabwo narinongera kumuvugisha"" which means ""I never talked to him again.""\n\nThe premise directly states that the speaker ended up not talking to the person again, which entails (logically includes) the hypothesis that they never talked to him again. Therefore, this is a clear case of entailment.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena\nHypothesis: Ntabwo narinongera kumuvugisha \nIs this an entailment, contradiction, or neutral?'}]}]
Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena	Narimfite intimba nisanga nongeye kumuvugisha 	entailment	"[TextBlock(text='Based on the given premise and hypothesis in Kinyarwanda, this appears to be a contradiction.\n\nPremise translation: ""No, I never thought about that, but I was very hurt, so I ended up talking to him again.""\n\nHypothesis translation: ""I had a grudge, so I talked to him again.""\n\nThe premise suggests the person was hurt but still ended up talking to the other person again, despite not having thought about it before. However, the hypothesis states they talked to the person again because they held a grudge. \n\nHaving a grudge is a premeditated negative feeling, which contradicts the premise\'s notion of the conversation happening without prior thought, even if the result (talking again) is the same. The motivation is opposite between the two statements.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena\nHypothesis: Narimfite intimba nisanga nongeye kumuvugisha \nIs this an entailment, contradiction, or neutral?'}]}]
Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena	Twagiranye ikiganiro kiza	neutral	"[TextBlock(text=""Ibi ni contradiction (ihuzabimenye). \n\nMu ntangiriro, umuntu avuga ko atari yigeze atekereza kuri icyo kibazo, ariko ko yarumiwe cyane n'ikiganiro bagiranye, akaba yarangije atongeye kumuvugisha ukundi. Ibi bigaragaza ko ikiganiro batari cyiza, ahubwo cyari kibi ku buryo yarumiwe maze akareka no kumuvugisha.\n\nNyamara mu byifuzo, havugwa ko bari bafite ikiganiro cyiza. Iki gitekerezo kinyuranyije n'ibivugwa mu ntangiriro. Niba ikiganiro cyari cyiza, ntabwo yari kurumiwa cyangwa ngo areke kumuvugisha.\n\nBityo, izi nteruro zombi zihuzabimenye (contradiction)."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena\nHypothesis: Twagiranye ikiganiro kiza\nIs this an entailment, contradiction, or neutral?'}]}]
Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure	Ntabwo bigeze bambwira ikintu kijyanye noo guhura numuntu	contradiction	"[TextBlock(text='This is a contradiction.\n\nThe premise states: ""Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure"" which means ""They told me that, uh, that they will call the young man when we finish so that we can meet.""\n\nHowever, the hypothesis states: ""Ntabwo bigeze bambwira ikintu kijyanye noo guhura numuntu"" which translates to ""They never told me anything about meeting with someone.""\n\nThe premise indicates they were told about a plan to meet someone, while the hypothesis directly contradicts this by stating they were never told anything about meeting anyone.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure\nHypothesis: Ntabwo bigeze bambwira ikintu kijyanye noo guhura numuntu\nIs this an entailment, contradiction, or neutral?'}]}]
Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure	bambwiye ko hari umusore bazahamagara ngo duhure 	entailment	"[TextBlock(text='This is an entailment. The premise ""Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure"" (They told me that, uh, that they will call a young man when we finish so that we can meet) entails the hypothesis ""bambwiye ko hari umusore bazahamagara ngo duhure"" (they told me that there is a young man they will call so that we meet). The hypothesis conveys the same meaning as the premise, just stated in a slightly more concise way.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure\nHypothesis: bambwiye ko hari umusore bazahamagara ngo duhure \nIs this an entailment, contradiction, or neutral?'}]}]
Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure	Umusore yahageze atinze	neutral	"[TextBlock(text='Ibi ni ibintu bitandukanye (neutral). \n\nMu ntangiriro bavuga ko bazahamagara umusore nyuma yo kurangiza, ariko ntibavuga niba umusore yahageze ku gihe cyangwa yatinze. Rero iyi ""hypothesis"" ntabwo ari ukuri gushingiye ku ntangiriro (entailment), kandi ntabwo ari n\'ikinyuranyo (contradiction). Nta sano ifitanye n\'intangiriro.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure\nHypothesis: Umusore yahageze atinze\nIs this an entailment, contradiction, or neutral?'}]}]
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke	Nshaka kukubwira ibyonzi byose byerekarenye nabyo	contradiction	"[TextBlock(text=""Ibi ni ibintu bitandukanye (neutral). \n\nMu nyandiko y'ibanze, umuntu avuga ko hari byinshi yashobora kuvuga ku kintu runaka, ariko ko adashaka kubisimbuka.\n\nMu gitekerezo cyatanzwe nk'ihame, umuntu avuga ko ashaka kuvuga ibintu byose byerekeranye n'icyo kintu. \n\nIzi nyandiko zombi ntizivuga ibintu bisa cyangwa binyuranye. Ahubwo, zivuga ibintu bitandukanye kandi bidafitanye isano ihagije yo kugaragaza ko ari ukuri kumwe gusa cyangwa ibinyuranye."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke\nHypothesis: Nshaka kukubwira ibyonzi byose byerekarenye nabyo\nIs this an entailment, contradiction, or neutral?'}]}]
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke	Ntabwo nzabivugaho, nubwo hari byinshi byo kuvuga kuribyo	entailment	"[TextBlock(text='This is an entailment.\n\nThe premise states ""Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke"" which roughly translates to ""There are many things you can say about that but I am in a hurry.""\n\nThe hypothesis states ""Ntabwo nzabivugaho, nubwo hari byinshi byo kuvuga kuribyo"" which means ""I will not talk about it, even though there are many things to say about it.""\n\nThe hypothesis follows logically from the premise. The premise indicates the speaker has many things they could say but are in a hurry, implying they will not discuss the topic further at the moment. The hypothesis directly states this - that despite there being much to say, the speaker will not talk about it. Therefore, the hypothesis is entailed by the premise.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke\nHypothesis: Ntabwo nzabivugaho, nubwo hari byinshi byo kuvuga kuribyo\nIs this an entailment, contradiction, or neutral?'}]}]
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke	Ntabwo mvuga amateka yumujyi kuko hari byinshi byo kuvuga	neutral	"[TextBlock(text='This is a contradiction.\n\nThe premise states ""Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke"" which roughly translates to ""There are many things you can say about that but I am in a hurry.""\n\nThe hypothesis states ""Ntabwo mvuga amateka yumujyi kuko hari byinshi byo kuvuga"" which means ""I am not talking about the history of the city because there are many things to say.""\n\nThe premise suggests the speaker has a lot to say but is in a hurry, while the hypothesis suggests the speaker is not talking about the city\'s history because there is too much to say. These statements contradict each other.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke\nHypothesis: Ntabwo mvuga amateka yumujyi kuko hari byinshi byo kuvuga\nIs this an entailment, contradiction, or neutral?'}]}]
Ntabwo rero nzi impamvu	Nzi neza impamvu yabiteye	contradiction	"[TextBlock(text='This is a contradiction.\n\nThe premise ""Ntabwo rero nzi impamvu"" means ""Therefore, I don\'t know the reason.""\n\nThe hypothesis ""Nzi neza impamvu yabiteye"" means ""I know well the reason for doing it.""\n\nThe premise states not knowing the reason, while the hypothesis asserts knowing the reason well. These two statements directly contradict each other.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ntabwo rero nzi impamvu\nHypothesis: Nzi neza impamvu yabiteye\nIs this an entailment, contradiction, or neutral?'}]}]
