premise	hypothesis	label	opus	prompt
nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 	nazali euh! mokonzi ya mapinga monene, natika musala, lokoka Rick alobi	contradiction	"[TextBlock(text='This appears to be written in Lingala, a Bantu language spoken in parts of Africa like the Democratic Republic of the Congo.\n\nFrom what I can understand, the premise and hypothesis seem to be discussing different topics:\n\nPremise (rough translation): ""I am NGA Moko, euh, Brother will regulate FOR, test of the altitude chambers""\n\nHypothesis (rough translation): ""I am euh! a great army leader, I quit my job, it\'s fair Rick says""\n\nBased on these rough translations, the premise is talking about testing altitude chambers, while the hypothesis is talking about someone quitting their job as an army leader.\n\nTherefore, my conclusion is that the relationship between the premise and hypothesis is neutral. The topics seem unrelated and the premise neither entails nor contradicts the hypothesis.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude \nHypothesis: nazali euh! mokonzi ya mapinga monene, natika musala, lokoka Rick alobi\nIs this an entailment, contradiction, or neutral?""}]}]"
nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 	alobi ezalaki kaka pinzoli mutu kotanga na misu na ye PE alobi, na sima alobi ete joe azali	entailment	[TextBlock(text='Ezali neutre. Hypothèse elobeli Joe, kasi prémisse elobeli te moto oyo bazali kolobela. Boye, prémisse ekoki te kondima to koboya hypothèse.', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude \nHypothesis: alobi ezalaki kaka pinzoli mutu kotanga na misu na ye PE alobi, na sima alobi ete joe azali\nIs this an entailment, contradiction, or neutral?""}]}]"
nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude 	ndenge alobaki mata na porche, atangisaki pinzoli na miso	neutral	"[TextBlock(text=""This appears to be written in Lingala, a Bantu language spoken in parts of Africa. However, I don't have enough fluency in Lingala to confidently determine the semantic relationship between the premise and hypothesis. The text provided doesn't contain enough contextual information for me to analyze whether there is entailment, contradiction or a neutral relationship without risking mistranslation or misinterpretation. I would need an accurate translation of the premise and hypothesis into a language I'm fluent in, like English, in order to provide a reliable assessment of entailment. I apologize that I cannot give a more definitive answer based on the Lingala text alone."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude \nHypothesis: ndenge alobaki mata na porche, atangisaki pinzoli na miso\nIs this an entailment, contradiction, or neutral?""}]}]"
ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya	bazuaki ngalasisi PONA ba kostume ya pression PE ezuaki NGA tango soki otié 	contradiction	[TextBlock(text='This appears to be written in Lingala, a Bantu language spoken in parts of Africa. However, I am not fluent in Lingala and cannot confidently determine the semantic relationship between the premise and hypothesis without a full understanding of the language. The text provided is not sufficient for me to assess entailment, contradiction or neutrality. I would need an accurate translation of the premise and hypothesis into a language I am fluent in, like English, to make that determination.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya\nHypothesis: bazuaki ngalasisi PONA ba kostume ya pression PE ezuaki NGA tango soki otié \nIs this an entailment, contradiction, or neutral?'}]}]
ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya	ezuaka ti Na basanza misato pona kosilisa koyekola kosalela kostume ya espace mobimba 	entailment	"[TextBlock(text=""Neutral.\n\nThe premise and hypothesis are in a language I don't understand, likely Lingala which is spoken in parts of central Africa. Without knowing what the sentences mean, there's no way for me to determine if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise. More context or a translation would be needed to analyze the logical relationship between the two statements."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya\nHypothesis: ezuaka ti Na basanza misato pona kosilisa koyekola kosalela kostume ya espace mobimba \nIs this an entailment, contradiction, or neutral?'}]}]
ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya	Na tie motema na Tina ete naza na posa ya ko Mona kaka ba totaux PONA ko silisa likambu oyo	neutral	[TextBlock(text='This appears to be written in Lingala, a Bantu language spoken in parts of Africa. Without knowing the meaning of the text, I cannot determine the logical relationship between the premise and hypothesis. The text would need to be translated into English for me to analyze whether there is entailment, contradiction or a neutral relationship between the statements.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya\nHypothesis: Na tie motema na Tina ete naza na posa ya ko Mona kaka ba totaux PONA ko silisa likambu oyo\nIs this an entailment, contradiction, or neutral?'}]}]
bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango	bayebisaki yo Ete na yebi nionso Oyo ezo leka	contradiction	"[TextBlock(text='Ezali neutral. Hypothèse elobi te ete bayebisaki ""yo"" kasi premise elobi ete bayebisaki ""nga"". Lisusu, hypothèse elobi ""oyo ezo leka"" kasi premise elobi ""na makambu yango"". Yango wana, premise epesi biyano nionso te na hypothèse to ebuki yango te. Ezali kaka différent mwa moke.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango\nHypothesis: bayebisaki yo Ete na yebi nionso Oyo ezo leka\nIs this an entailment, contradiction, or neutral?'}]}]
bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango	eza Liwa ya inspecteur yango Wana ba yebisaki nga	entailment	[TextBlock(text='Based on the limited information provided in Lingala, this appears to be a neutral relationship between the premise and hypothesis. The premise mentions being informed about certain matters, while the hypothesis specifically mentions being informed about the death of an inspector. There is not enough overlap or contradiction between the two statements to determine entailment or contradiction. More context would be needed to make a definitive assessment.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango\nHypothesis: eza Liwa ya inspecteur yango Wana ba yebisaki nga\nIs this an entailment, contradiction, or neutral?'}]}]
bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango	eza Na makombo ya mukié ebele Oyo ba bombelaki nga	neutral	[TextBlock(text='Based on the limited information provided in Lingala, this appears to be a neutral relationship between the premise and hypothesis. The premise mentions someone being told or informed about certain matters, while the hypothesis mentions names or labels used to refer to the speaker. There is no clear entailment or contradiction between the two statements without additional context.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango\nHypothesis: eza Na makombo ya mukié ebele Oyo ba bombelaki nga\nIs this an entailment, contradiction, or neutral?'}]}]
makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi	capitaine Blood azalaki na makoki ya ko kanisa biloko Oyo ezalaki ko pesa ye mawa ko sanga ko kata	contradiction	[TextBlock(text='Ezali neutral. Premise elobeli ete Makelele azalaki kotungisa Capitaine Blood na bandoto na ye, kasi elobeli eloko te na ntina na makoki ya Capitaine Blood ya kokanisa biloko oyo ezalaki kopesa ye mawa to kokosa ye. Boye, premise emonisi te soki hypothesis ezali ya solo to ya lokuta.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi\nHypothesis: capitaine Blood azalaki na makoki ya ko kanisa biloko Oyo ezalaki ko pesa ye mawa ko sanga ko kata\nIs this an entailment, contradiction, or neutral?'}]}]
