premise	hypothesis	label	opus	prompt
Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Ha ke so buisane le yena hape.	contradiction	"[TextBlock(text='Contradiction\n\nThe premise states that the speaker ended up talking to the person again (""ka qetella ke buisane le yena hape""), while the hypothesis states that the speaker has not talked to the person again (""Ha ke so buisane le yena hape""). These two statements directly contradict each other, so this is a clear case of contradiction between the premise and hypothesis.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.\nHypothesis: Ha ke so buisane le yena hape.\nIs this an entailment, contradiction, or neutral?'}]}]
Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Ke ne ke kgopisehile hoo ke ileng ka qala ho mmuisa hape. 	entailment	"[TextBlock(text=""Contradiction\n\nThe premise states that the speaker was confused and ended up talking to the person again, even though they hadn't thought about it. \n\nThe hypothesis contradicts this by saying the speaker was so angry that they started talking to the person again.\n\nBeing confused and talking to someone again is quite different from being angry and then talking to them again because of the anger. So the hypothesis contradicts the premise."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.\nHypothesis: Ke ne ke kgopisehile hoo ke ileng ka qala ho mmuisa hape. \nIs this an entailment, contradiction, or neutral?'}]}]
Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Re bile le puo e monate. 	neutral	[TextBlock(text='Ke neutral. Ha ho na bopaki bo lekaneng ho tswa ho premise ho bontsha hore na puo eo e ne e le e monate kapa che. Premise e bolela feela hore motho o buisane le motho e mong hape, empa ha e hlakise hore na puisano eo e ne e le jwang - e ka be e le e monate, e boima, kapa e sa kgahliseng. Ka hoo, hypothesis ha e tshehetswe kapa ya hanelwa ke premise.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.\nHypothesis: Re bile le puo e monate. \nIs this an entailment, contradiction, or neutral?'}]}]
Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Ha ke a ka ka bolellwa letho ka ho kopana le motho.	contradiction	[TextBlock(text='Contradiction\n\nThe premise states that the speaker was told they would be called to meet with a young man. However, the hypothesis directly contradicts this by saying the speaker was not told anything about meeting with anyone. Therefore, the hypothesis is a contradiction of the premise.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.\nHypothesis: Ha ke a ka ka bolellwa letho ka ho kopana le motho.\nIs this an entailment, contradiction, or neutral?'}]}]
Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Ke ile ka bolellwa hore ke tla bitsetswa mohlankana hore ke kopane le yena.	entailment	"[TextBlock(text='This is an entailment. The premise and hypothesis convey the same meaning in Sesotho:\n\nPremise: ""Ba mpolelletse hore, uh, ke tla bitsetswa mohlankana qetellong hore ke kopane le yena."" \n(They told me that, uh, I will be called for a young man in the end to meet with him.)\n\nHypothesis: ""Ke ile ka bolellwa hore ke tla bitsetswa mohlankana hore ke kopane le yena.""\n(I was told that I will be called for a young man to meet with him.)\n\nThe only difference is that the premise includes a filler word ""uh"" and specifies ""qetellong"" (in the end), which doesn\'t change the core meaning. Both sentences state that the speaker was told they would be called to meet a young man.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.\nHypothesis: Ke ile ka bolellwa hore ke tla bitsetswa mohlankana hore ke kopane le yena.\nIs this an entailment, contradiction, or neutral?'}]}]
Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Mohlankana o fihlile morao ho nako.	neutral	[TextBlock(text='Karabo ke neutral.\n\nLebaka: Premise e bolela feela hore motho o tla bitsetswa mohlankana hore a kopane le yena. Ha e bolele letho ka hore na mohlankana o fihlile ka nako kapa che. Kahoo, hypothesis ha e latele kapa e thulane le premise, empa e neutral.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.\nHypothesis: Mohlankana o fihlile morao ho nako.\nIs this an entailment, contradiction, or neutral?'}]}]
Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ke batla ho o bolella tsohle tseo ke di tsebang ka seo.	contradiction	"[TextBlock(text='Contradiction\n\nThe premise states that there are many things that can be said about the topic, but the speaker will skip over it or not go into detail. (""Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta."")\n\nHowever, the hypothesis contradicts this by saying the speaker wants to tell the listener everything they know about the topic. (""Ke batla ho o bolella tsohle tseo ke di tsebang ka seo."")\n\nSo the premise and hypothesis directly contradict each other - the premise says the speaker will not go into detail, while the hypothesis says the speaker wants to share everything they know.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.\nHypothesis: Ke batla ho o bolella tsohle tseo ke di tsebang ka seo.\nIs this an entailment, contradiction, or neutral?'}]}]
Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ha ke na bua ka seo, le ha ho na le ho hongata ho lokelwang ho etswa.	entailment	[TextBlock(text='This is a contradiction. The premise states that there is a lot that can be said about the topic, but the speaker will skip it. The hypothesis contradicts this by saying the speaker will not talk about it, even though there is a lot that needs to be done.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.\nHypothesis: Ha ke na bua ka seo, le ha ho na le ho hongata ho lokelwang ho etswa.\nIs this an entailment, contradiction, or neutral?'}]}]
Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ha ke na bua ka nalane ya toropo hobane e na le ditaba tse ngata.	neutral	[TextBlock(text='This is an entailment. The premise states that there are many things one could say about a certain topic, but the speaker will skip over it. The hypothesis then states that the speaker will not talk about the history of the town because there is too much to cover. The hypothesis follows logically from the premise.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.\nHypothesis: Ha ke na bua ka nalane ya toropo hobane e na le ditaba tse ngata.\nIs this an entailment, contradiction, or neutral?'}]}]
Jwale hobaneng ke se na bonnte.	Ke na le bonnete ba hore lebaka ke eng.	contradiction	"[TextBlock(text=""Contradiction\n\nPremise: Jwale hobaneng ke se na bonnte. (Now why I don't have certainty.)\nHypothesis: Ke na le bonnete ba hore lebaka ke eng. (I have certainty about what the reason is.)\n\nThe premise states that the speaker does not have certainty, while the hypothesis states that the speaker does have certainty about the reason. These two statements directly contradict each other."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Jwale hobaneng ke se na bonnte.\nHypothesis: Ke na le bonnete ba hore lebaka ke eng.\nIs this an entailment, contradiction, or neutral?'}]}]
