premise	hypothesis	label	opus	prompt
Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.	A gwa beghị m ya okwu ọzọ.	contradiction	"[TextBlock(text='Neither. Ọ dịghị ihe doro anya na ahịrịokwu ahụ gbasara ịgwa ya okwu ọzọ ma ọ bụ na agwaghị ya okwu ọzọ. Ahịrịokwu ahụ kwuru naanị na onye na-ekwu ""mechaa gwawa ya okwu ọzọ"", mana o kwughị ma ọ bụrụ na emechaa meere nke ahụ n\'ezie.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.\nQuestion: A gwa beghị m ya okwu ọzọ. True, False, or Neither?\nAnswer:""}]}]"
Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.	E were m iwe ruo na mụ bidoro gwawa ya okwu ọzọ.	entailment	"[TextBlock(text='Neither. Based on the given statement, it is not explicitly stated that you became angry to the point of talking to the person again. The statement says ""m mechaa gwawa ya okwu ọzọ"" (I ended up talking to them again), but it does not specify that this was done out of anger. The context suggests you felt bad about something and later decided to discuss it with the person again, but anger is not directly mentioned as the reason for doing so.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.\nQuestion: E were m iwe ruo na mụ bidoro gwawa ya okwu ọzọ. True, False, or Neither?\nAnswer:""}]}]"
Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.	Anyị nwere mkparịtaụka dị ukwuu.	neutral	"[TextBlock(text=""Neither. Enweghi ike isi n'ihe i kwuru na unu nwere mkparịtaụka dị ukwuu. I kwuru naanị na ị daara mba n'obi mana na ị mechaa gwawa ya okwu ọzọ. Nke a apụtaghị na mkparịtaụka dị ukwuu dapụtara n'etiti unu."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.\nQuestion: Anyị nwere mkparịtaụka dị ukwuu. True, False, or Neither?\nAnswer:""}]}]"
Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.	A gwaghị m ihe ọ bụla gbasara izute onye ọ bụla.	contradiction	[TextBlock(text='True. Ị gwara na a ga-akpọrọ gị otu nwamadi ma emecha ka ị hụ ya, mana agwaghị gị ihe ọ bụla gbasara izute onye ahụ.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.\nQuestion: A gwaghị m ihe ọ bụla gbasara izute onye ọ bụla. True, False, or Neither?\nAnswer:'}]}]
Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.	Agwara m na-aga kpọ otu nwamadi ka m ga zute.	entailment	"[TextBlock(text='Neither. The original statement does not clearly indicate whether you will actually meet the person or not. It says ""Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ."" This translates to ""They told me that, uh, they will call a man for me and then let me see."" The ""let me see"" part is ambiguous - it could mean letting you see/meet the person, or it could mean they will let you know (i.e. ""see"") what happens after they call the person. More context would be needed to determine if an actual meeting is being arranged or not.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.\nQuestion: Agwara m na-aga kpọ otu nwamadi ka m ga zute. True, False, or Neither?\nAnswer:'}]}]
Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.	Nwamadi ahụ gburu ntakịrị oge tutu ọ pụta.	neutral	[TextBlock(text='Neither. Akụkọ ahụ ekwubeghị ma nwamadi ahụ gburu ntakịrị oge tutu ọ pụta ma ọ bụ na ọ pụtara ozugbo. Ọ bụ naanị na a gwara gị na a ga-akpọrọ gị otu nwamadi ma emecha ka ị hụ ya, mana ọ dịghị ihe ọzọ e kwuru gbasara oge ọ gburu tupu ọ pụta.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.\nQuestion: Nwamadi ahụ gburu ntakịrị oge tutu ọ pụta. True, False, or Neither?\nAnswer:'}]}]
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. 	A chọrọ m ịgwa gị ihe nile m mara gbasara ihe ahụ!	contradiction	[TextBlock(text='False. Ị kwuru na ị ga-ahapụ nke ahụ nọọ, nke pụtara na ị chọghị ịgwa m ihe niile ị maara gbasara ihe ahụ.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. \nQuestion: A chọrọ m ịgwa gị ihe nile m mara gbasara ihe ahụ! True, False, or Neither?\nAnswer:'}]}]
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. 	A gaghị m ekwu maka nke ahụ, agbanyeghị na e nwere ọtụtụ ịhe a ga-arụtụ áká. 	entailment	"[TextBlock(text='The correct answer is Neither.\n\nThe original statement is:\n""E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ.""\n(There are many things you can say about that but I will just leave it.)\n\nWhile the question statement is:\n""A gaghị m ekwu maka nke ahụ, agbanyeghị na e nwere ọtụtụ ịhe a ga-arụtụ áká.""  \n(I will not talk about that, even though there are many things to consider.)\n\nThe two statements are related in talking about not discussing a particular topic despite there being many things to say. However, they are not direct equivalents to be judged as true or false. The original implies choosing not to say more, while the question is a firmer refusal to discuss the topic at all. So the most appropriate answer is Neither.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. \nQuestion: A gaghị m ekwu maka nke ahụ, agbanyeghị na e nwere ọtụtụ ịhe a ga-arụtụ áká.  True, False, or Neither?\nAnswer:'}]}]
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. 	A gaghị m ekwu gbasara akụkọ ihe mere eme maka obodo ahụ n'ihi na enwere ọtụtụ ihe a ga-ekwu.	neutral	"[TextBlock(text=""True. Asusu Igbo a kpọrọ n'elu kwuru na ọ gaghị ekwu gbasara akụkọ ihe mere eme maka obodo ahụ n'ihi na enwere ọtụtụ ihe a ga-ekwu. Nke a bụ eziokwu dịka okwu ahụ si dị."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. \nQuestion: A gaghị m ekwu gbasara akụkọ ihe mere eme maka obodo ahụ n'ihi na enwere ọtụtụ ihe a ga-ekwu. True, False, or Neither?\nAnswer:""}]}]"
Ya mere o dochaghị m anya ịhe kpatara ya.	O doro m anya maka ihe kpatara ya.	contradiction	[TextBlock(text='False. Ị sịrị na ị dochaghi anya ihe kpatara ya, nke pụtara na ọ dịghị doo gị anya maka ihe kpatara ya.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ya mere o dochaghị m anya ịhe kpatara ya.\nQuestion: O doro m anya maka ihe kpatara ya. True, False, or Neither?\nAnswer:'}]}]
