premise	hypothesis	label	opus	prompt
Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Sinnaddamu kwogerako naye.	contradiction	"[TextBlock(text='Okusinziira ku ebyo by\'oyogedde, ky\'ova mu mbeera ey\'okusoberwa n\'oddamu okwogera naye. Kino kiraga nti waliwo omuntu gwe wali tokyayogera naye, naye kati oddiddemu okwogera naye.\n\nNoolwekyo, okuddamu kwo ""Sinnaddamu kwogerako naye"" kuba ""False"" kubanga ebigambo byo biraga nti waddamu okwogera naye.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.\nQuestion: Sinnaddamu kwogerako naye. True, False, or Neither?\nAnswer:""}]}]"
Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Nali munyiivu nnyo, ekyandeetera okuddamu okwogera naye.	entailment	"[TextBlock(text=""Okusinziira ku ebyo by'oyogedde, kyandiba True (Mazima). Oyogera nti wali munyiivu nnyo, era kino kye kyakuwaliriza okuddamu okwogera naye wadde nga tewali kye wali olowoozaako kukola bw'otyo. N'olw'ekyo, okunyiiga kwali kumu ku bintu ebyakuwaliriza okuddamu okwogera naye."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.\nQuestion: Nali munyiivu nnyo, ekyandeetera okuddamu okwogera naye. True, False, or Neither?\nAnswer:""}]}]"
Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Twafunamu okwogera okulungi.	neutral	"[TextBlock(text=""Neither. Okuva ku ebyo by'oyogedde, tewali kintu kyonna ekikakasa nti mwafunamu okwogera okulungi oba nedda. Oyogedde nti mwazzeemu okwogera olw'okuba wali mu mbeera ey'okusoberwa, naye tekitegeeza nti okwogera kwammwe kwali kulungi oba si kulungi."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.\nQuestion: Twafunamu okwogera okulungi. True, False, or Neither?\nAnswer:""}]}]"
Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Tewali kye bantegeeza ku  ky'okusisinkana omuntu yenna.	contradiction	"[TextBlock(text='Okusinziira ku ebyo by\'oyogedde, kyandiba kituufu (True) nti tewali kye bakutegeezezza ku ky\'okusisinkana omuntu yenna.\n\nWayogera nti ""Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero."" Kino kiraga nti bakutegeeza ku ky\'okusisinkana omuvubuka ku nkomerero, so si nti tewali kye bakutegeeza ku nsonga eno.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.\nQuestion: Tewali kye bantegeeza ku  ky'okusisinkana omuntu yenna. True, False, or Neither?\nAnswer:""}]}]"
Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	entailment	"[TextBlock(text=""Neither.\n\nThe given sentence is in Luganda, a Bantu language spoken primarily in Uganda. Without additional context, it's impossible to determine whether the statement is true or false based solely on the information provided.\n\nTo properly evaluate the truthfulness of the statement, one would need to understand the meaning of the sentence in Luganda and have relevant background information about the situation being described."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.\nQuestion: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero. True, False, or Neither?\nAnswer:'}]}]
Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Mwanamulenzi yajja kikeerezimu.	neutral	"[TextBlock(text=""Neither. Tekisoboka kumanya oba mwanamulenzi yajja kikeerezimu oba nedda kubanga ebyo tebivuddeyo mu bigambo ebiweereddwa. Ebigambo byogera ku bantu abaalina enteekateeka ey'okusisinkana omuvubuka ku nkomerero, naye tebituwa bukakkafu oba omuvubuka oyo yajja oba teyajja."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.\nQuestion: Mwanamulenzi yajja kikeerezimu. True, False, or Neither?\nAnswer:'}]}]
Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Njagala nkubuulire byonna bye mmanyi ku ekyo!	contradiction	"[TextBlock(text=""False.\n\nMu nnyiriri ezo waggulu, omuntu agamba nti tajja kwogera bingi ku nsonga eyo, era ajja kugibuuka bubuusi. Kino kiraga nti omuntu oyo teyetegese kubuulira byonna by'amanyi ku nsonga eyo."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.\nQuestion: Njagala nkubuulire byonna bye mmanyi ku ekyo! True, False, or Neither?\nAnswer:'}]}]
Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kubaako kye njogera ku ekyo, newankubadde bingi ebikiriko.	entailment	"[TextBlock(text='The correct answer is True.\n\nThe given statement in Luganda translates to English as:\n""There are many things I would have said about that, but I will skip that completely.""\n\nAnd the question asks whether the following statement is true, false or neither:\n""I will not say anything about that, even though there is a lot to it.""\n\nThis statement accurately paraphrases the original Luganda sentence. The speaker is saying they will not comment on the matter despite there being many things they could say about it. Therefore, the correct answer is True.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.\nQuestion: Sijja kubaako kye njogera ku ekyo, newankubadde bingi ebikiriko. True, False, or Neither?\nAnswer:'}]}]
Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kwogera ku byafaayo bya kibuga kubanga eby'okukyogerako bingi nnyo.	neutral	"[TextBlock(text='True.\n\nMu Luganda, ""Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi"" kitegeeza nti waliwo ebintu bingi ebiyinza okwogerwa ku nsonga eyo, naye omuntu agenda kubibuuka oba kubisimbako. Kino kye kimu n\'ekiddibwamu ""Sijja kwogera ku byafaayo bya kibuga kubanga eby\'okukyogerako bingi nnyo.""\n\nZombi ziraga nti omuntu tasobola oba tayagala kwogera ku nsonga olw\'ensonga nti waliwo bingi nnyo ebiyinza okwogerwa ku nsonga eyo.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.\nQuestion: Sijja kwogera ku byafaayo bya kibuga kubanga eby'okukyogerako bingi nnyo. True, False, or Neither?\nAnswer:""}]}]"
Kale nno, simanyidde ddala lwaki.	Neekakasa ensonga lwaki.	contradiction	[TextBlock(text='Neither.\n\nOkuva mu byoyogedde, tewali kintu kyonna ekikakasa nti waliwo ensonga lwaki simanyidde. Okwogerako kugamba nti simanyidde lwaki, naye tekikakasa nti ddala waliwo ensonga lwaki simanyidde. Kiyinza okuba nti waliwo ensonga oba nedda, naye ebyo byoyogedde tebikakasa oba kutegeeza nti ddala waliwo ensonga.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kale nno, simanyidde ddala lwaki.\nQuestion: Neekakasa ensonga lwaki. True, False, or Neither?\nAnswer:'}]}]
