premise	hypothesis	label	opus	prompt
Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Ha ke so buisane le yena hape.	contradiction	"[TextBlock(text='False. Polelong e fanweng, ho bolelwa hore ""ka qetella ke buisane le yena hape"", e leng ho fapana le polelo ""Ha ke so buisane le yena hape"". Kahoo karabo e nepahetseng ke False.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.\nQuestion: Ha ke so buisane le yena hape. True, False, or Neither?\nAnswer:'}]}]
Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Ke ne ke kgopisehile hoo ke ileng ka qala ho mmuisa hape. 	entailment	[TextBlock(text='Neither\n\nHa ho na bopaki bo lekaneng ho tshehetsa hore ke nnete kapa leshano hore o ne o kgopisehile hoo o ileng wa qala ho mmuisa hape. Polelo e fana ka tlhahisoleseding e itseng, empa ha e bolele letho ka hore na o ne o kgopisehile kapa tjhe, kapa hore na o ile wa qala ho mmuisa hape ka lebaka la ho kgopiseha.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.\nQuestion: Ke ne ke kgopisehile hoo ke ileng ka qala ho mmuisa hape.  True, False, or Neither?\nAnswer:'}]}]
Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.	Re bile le puo e monate. 	neutral	[TextBlock(text='Neither. Ha ho bolelwe letho ka hore na puo eo e ne e le e monate kapa che. Feela ho bolelwa hore ba bile le puo, empa ha ho hlakiswe hore na e ne e le puo e ntle kapa e mpe.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Hantle-ntle, ke ne ke sa nahane ka seo, empa ke ne ke ferekane, mme, ka qetella ke buisane le yena hape.\nQuestion: Re bile le puo e monate.  True, False, or Neither?\nAnswer:'}]}]
Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Ha ke a ka ka bolellwa letho ka ho kopana le motho.	contradiction	"[TextBlock(text='True. Polelo e re ""Ba mpolelletse hore, uh, ke tla bitsetswa mohlankana qetellong hore ke kopane le yena."" Sena se bontsha hore motho o ile a bolellwa ka ho kopana le mohlankana, leha e le ka tsela e sa nepahalang haholo (""uh""). Kahoo karabo e nepahetseng ke ""True"" - motho o ile a bolellwa ka ho kopana le motho.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.\nQuestion: Ha ke a ka ka bolellwa letho ka ho kopana le motho. True, False, or Neither?\nAnswer:'}]}]
Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Ke ile ka bolellwa hore ke tla bitsetswa mohlankana hore ke kopane le yena.	entailment	"[TextBlock(text='True. Polelo e re ""Ba mpolelletse hore, uh, ke tla bitsetswa mohlankana qetellong hore ke kopane le yena."" Sena se tiisa hore motho o ile a bolellwa hore o tla bitsetswa mohlankana hore ba kopane.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.\nQuestion: Ke ile ka bolellwa hore ke tla bitsetswa mohlankana hore ke kopane le yena. True, False, or Neither?\nAnswer:'}]}]
Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.	Mohlankana o fihlile morao ho nako.	neutral	[TextBlock(text='Neither. Ha ho bolelwe letho mabapi le hore na mohlankana o fihlile ka nako kapa che. Polelo e re bolella feela hore motho o tla bitsetswa mohlankana qetellong hore a kopane le yena, empa ha e bolele letho ka nako eo mohlankana a fihlileng ka yona.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ba mpolelletse hore,uh,ke tla bitsetswa mohlankana qetellong hore ke kopane le yena.\nQuestion: Mohlankana o fihlile morao ho nako. True, False, or Neither?\nAnswer:'}]}]
Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ke batla ho o bolella tsohle tseo ke di tsebang ka seo.	contradiction	[TextBlock(text='Neither.\n\nPolelo ya hao ha e bontshe hore na o batla ho mpolella tsohle tseo o di tsebang ka seo kapa che. O mpa o re ho na le tse ngata tseo nka buang ka tsona ka seo empa o tla se feta. Ha o bolele hore o batla ho mpolella tsohle tseo o di tsebang.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.\nQuestion: Ke batla ho o bolella tsohle tseo ke di tsebang ka seo. True, False, or Neither?\nAnswer:'}]}]
Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ha ke na bua ka seo, le ha ho na le ho hongata ho lokelwang ho etswa.	entailment	"[TextBlock(text='Neither.\n\nThe given statement is ambiguous and lacks context to determine if it is true or false. The phrase ""Ha ke na bua ka seo"" (I won\'t talk about that) suggests the speaker is avoiding discussing a particular topic, while ""le ha ho na le ho hongata ho lokelwang ho etswa"" (even though there is a lot that needs to be done) implies there are outstanding tasks or issues related to the unspecified topic. \n\nWithout more information about what the speaker is referring to, it is not possible to classify the statement as definitively true or false. More context would be needed to make that assessment.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.\nQuestion: Ha ke na bua ka seo, le ha ho na le ho hongata ho lokelwang ho etswa. True, False, or Neither?\nAnswer:'}]}]
Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.	Ha ke na bua ka nalane ya toropo hobane e na le ditaba tse ngata.	neutral	"[TextBlock(text='True\n\nPolelo e re ""Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta"", e leng hore motho o re ho na le dintlha tse ngata tseo a ka di hlahisang ka sehlooho seo empa o tla di tlola. Sena se tsamaellana le karabo ya potso e reng ha a na bua ka nalane ya toropo hobane e na le ditaba tse ngata. Ka hoo karabo ke True (Nnete).', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ho na le tse ngata tseo o ka buang ka tsona ka seo empa ke tla se feta.\nQuestion: Ha ke na bua ka nalane ya toropo hobane e na le ditaba tse ngata. True, False, or Neither?\nAnswer:'}]}]
Jwale hobaneng ke se na bonnte.	Ke na le bonnete ba hore lebaka ke eng.	contradiction	"[TextBlock(text='Neither.\n\nPoleloana ""Jwale hobaneng ke se na bonnte"" e bontsha hore ha o na bonnete ba lebaka. Ha e bolele hore o na le bonnete (True) kapa hore ha o na bonnete (False). E mpa e bontsha feela hore ha o tsebe hantle hore na lebaka ke lefe, empa ha e fane ka karabo e hlakileng ya True kapa False. Kahoo karabo e nepahetseng ke Neither.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Jwale hobaneng ke se na bonnte.\nQuestion: Ke na le bonnete ba hore lebaka ke eng. True, False, or Neither?\nAnswer:'}]}]
