premise	hypothesis	label	opus	prompt	verbalized
Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.	Nyemegaƒo nu ake o.	contradiction	"[textblock(text='based on the given statement in ewe, the correct answer is neither.\n\nthe statement ""enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii"" does not explicitly state whether the person will speak to them again or not. it roughly translates to:\n\n""okay, i\'m also not thinking about this, but i\'m not interested, and i eventually started talking to them.""\n\nthere is no clear indication of whether future communication will happen or not. therefore, the question ""nyemegaƒo nu ake o"" (i will not speak again) cannot be answered as either true or false based solely on the information provided. the most appropriate answer is neither.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.\nQuestion: Nyemegaƒo nu ake o. True, False, or Neither?\nAnswer:'}]}]	neutral
Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.	Medo domedzui ale gbegbe be ɖeko megadze nuƒoƒo kpliie nye esia.	entailment	"[textblock(text='true.\n\nwògblɔ be ""enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii."" esia fia be edo domedzui ale gbegbe be wòdi be yeagadze nuƒoƒo kpli amea.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.\nQuestion: Medo domedzui ale gbegbe be ɖeko megadze nuƒoƒo kpliie nye esia. True, False, or Neither?\nAnswer:'}]}]	entailment
Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.	Mǐhe nya vevie ŋutɔ.	neutral	"[textblock(text='neither.\n\nthe statement ""enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii"" is in the ewe language. without knowing the meaning of this statement, it\'s impossible to determine if the subsequent question ""mǐhe nya vevie ŋutɔ"" (which translates to ""our issue is very important"") is true, false or neither in relation to the initial statement.\n\nmore context and translation of the first statement from ewe to english would be needed to make a definitive true/false assessment. with the given information, the most appropriate answer is neither.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.\nQuestion: Mǐhe nya vevie ŋutɔ. True, False, or Neither?\nAnswer:'}]}]	neutral
Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.	Womegblɔ nam be mado go ame aɖeke kpɔ o.	contradiction	"[textblock(text='gblɔmevɛ la nye be womegblɔ nam be mado go ame aɖeke kpɔ o. wogblɔ nam boŋ be ne medo go ame aɖe la, woakplɔe vɛ nam. eyata ŋuɖoɖo si sɔ kple nya si wogblɔ la enye ""false"".', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.\nQuestion: Womegblɔ nam be mado go ame aɖeke kpɔ o. True, False, or Neither?\nAnswer:'}]}]	contradiction
Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.	Wogblɔ nam be woyɔ ɖekakpui aɖe si ado go kplim.	entailment	[textblock(text='neither.\n\nwomeƒo nu tso ɖekakpui aɖeke ŋu o. wogblɔ be woakplɔ ame aɖe si mado go la vɛ, gake womegblɔ be enye ɖekakpui o. eyata nyateƒe kple aʋatso siaa menye o, elabena nyatakaka la mede go o.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.\nQuestion: Wogblɔ nam be woyɔ ɖekakpui aɖe si ado go kplim. True, False, or Neither?\nAnswer:'}]}]	neutral
Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.	Ɖekakpui la tsi megbe vie hafi va.	neutral	[textblock(text='neither.\n\nwomegblɔ naneke le ɖekakpui aɖe ŋu o. wogblɔ be woakplɔ ame aɖe si mado go la vɛ, gake womegblɔ be enye ɖekakpui aɖe alo be etsi megbe vie hafi va o.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.\nQuestion: Ɖekakpui la tsi megbe vie hafi va. True, False, or Neither?\nAnswer:'}]}]	neutral
Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.	Adzrom be magblɔ nu siwo katã menya ku ɖe eŋu la na wò.	contradiction	"[textblock(text='neither.\n\nthe statement ""nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu"" does not clearly indicate whether the speaker wants to tell the listener everything they know about the topic or not. \n\nit roughly translates to: ""there is something so profound that one could talk about it in such a way that i wish it would exist.""\n\nthis statement alone does not give enough context to determine if the speaker desires to share all their knowledge on the subject with the listener. more information would be needed to conclusively answer true or false.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.\nQuestion: Adzrom be magblɔ nu siwo katã menya ku ɖe eŋu la na wò. True, False, or Neither?\nAnswer:'}]}]	contradiction
Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.	Nyemele nya aɖeke gblɔ ge ku ɖe ŋu o, to egbɔ be nu sɔgbɔ lii si ŋu miake ɖo hafi.	entailment	"[textblock(text=""neither. the question is asking whether you will comment on the terrible thing mentioned, but you first want the person to specify what terrible thing they are referring to. so you are not definitively saying you will or won't comment, but rather asking for clarification first before deciding."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.\nQuestion: Nyemele nya aɖeke gblɔ ge ku ɖe ŋu o, to egbɔ be nu sɔgbɔ lii si ŋu miake ɖo hafi. True, False, or Neither?\nAnswer:'}]}]	neutral
Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.	Nyemagblɔ dugãa ƒe ŋutinya o elabena nu sɔgbɔ lii woagblɔ ku ɖe eŋu.	neutral	"[textblock(text='neither. the given text does not contain enough information to determine whether the statement ""nyemagblɔ dugãa ƒe ŋutinya o elabena nu sɔgbɔ lii woagblɔ ku ɖe eŋu"" is true or false. the text simply states that there are many things that could be said, but does not specify what those things are or whether they relate to the history of a city.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.\nQuestion: Nyemagblɔ dugãa ƒe ŋutinya o elabena nu sɔgbɔ lii woagblɔ ku ɖe eŋu. True, False, or Neither?\nAnswer:'}]}]	contradiction
Eya ta nyemenya nu si tae tututu o.	Menye nu si ta wòdzɔ ɖo.	contradiction	"[textblock(text='neither.\n\nthe statement ""eya ta nyemenya nu si tae tututu o"" translates to ""that\'s why i don\'t really know the reason."" this doesn\'t directly confirm or deny the question ""menye nu si ta wòdzɔ ɖo"" which means ""it\'s not the reason it happened.""\n\nthere isn\'t enough information provided to determine if the reason being referred to is indeed the actual cause of what happened or not. the first statement only expresses lack of certainty about the precise reason, but doesn\'t specify if the suggested reason is true or false. more context would be needed to give a definite true or false answer.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Eya ta nyemenya nu si tae tututu o.\nQuestion: Menye nu si ta wòdzɔ ɖo. True, False, or Neither?\nAnswer:'}]}]	contradiction
