premise	hypothesis	label	opus	prompt	verbalized
dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	waxaataguma ak moom	contradiction	"[textblock(text='based on the given sentence ""dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom"", the correct answer is neither.\n\nthe sentence does not explicitly state whether the speaker talked to the person or not. it says ""dama amoon lu ma metti ba ma mujje wax ak moom"" which translates to ""i had something that hurt me until i ended up talking to him/her"". \n\nthis suggests the speaker did eventually talk to the person, but it\'s not a definitive statement that the conversation took place. the sentence focuses more on the speaker\'s feelings and what led them to want to talk, rather than confirming the conversation happened.\n\nso there is not enough information to conclusively determine if the statement ""waxaataguma ak moom"" (i didn\'t talk to him/her) is true or false. the most appropriate answer is neither.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom\nQuestion: waxaataguma ak moom True, False, or Neither?\nAnswer:'}]}]	neutral
dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	Dama jaaxlewoon ba dama mujje waxaat ak moom	entailment	"[textblock(text='true.\n\nthe sentence ""dama amoon lu ma metti ba ma mujje wax ak moom"" translates to ""i had something that hurt me so much that i ended up talking to him/her"".\n\nand the question asks if the statement ""dama jaaxlewoon ba dama mujje waxaat ak moom"" is true based on the given sentence. this statement translates to ""i was so surprised that i ended up talking to him/her again"".\n\nthe original sentence indicates that the person ended up talking to him/her due to being very hurt by something. the question statement says the person ended up talking to him/her again out of great surprise. \n\nso the question statement accurately reflects the meaning of the original sentence, just rephrasing ""being very hurt"" as ""being so surprised"". therefore, the answer is true.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom\nQuestion: Dama jaaxlewoon ba dama mujje waxaat ak moom True, False, or Neither?\nAnswer:'}]}]	entailment
dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom	waxtaan nanu lu yaatu	neutral	"[textblock(text='true. ci wax ji ""dama amoon lu ma metti ba ma mujje wax ak moom"", gisna ne yeen ñaari waxtaan ngeen lu yaatu, ndax mu ne ""mujje wax ak moom"" te it dafa am lu ko metti woon ba tax mu mujje wax ak moom. loolu day wone ne seen waxtaan yaatuwul, waaye amoon na ay tolof-tolof yu tax muy jeex.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'dëggit, xalaatuma woon loolu sax, waaye dama amoon lu ma metti ba ma mujje wax ak moom\nQuestion: waxtaan nanu lu yaatu True, False, or Neither?\nAnswer:'}]}]	entailment
dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	kenn mësu ma wax ma dajeek kenn	contradiction	"[textblock(text='true. ci tekki bi, ñu nee ""dinañu ma yóbbu ci ak góor ngir ma dajeek moom"", loolu moo wone ne dañu la wax nga dajeek kenn.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom\nQuestion: kenn mësu ma wax ma dajeek kenn True, False, or Neither?\nAnswer:'}]}]	entailment
dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	nee nanu ma woowoon nanu  benn waay ngir ma dajeek moom	entailment	"[textblock(text='neither.\n\nci tekki bi, ñu nee ""dinañu ma yóbbu ci ak góor ngir ma dajeek moom"". waxuñu dara ci benn waay. dañu wax rekk ni dinañu la yóbbu ba ca góor googu ngir nga dajeek moom, waaye waxuñu dara ci nan lay demee ba ca moom.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom\nQuestion: nee nanu ma woowoon nanu  benn waay ngir ma dajeek moom True, False, or Neither?\nAnswer:'}]}]	neutral
dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom	waa ji dafa dikkul woon ca waxtu wa	neutral	[textblock(text='neither. the given text does not provide any information about whether the person arrived on time or not. it only mentions that the person was at a party and will be taken to meet someone, but does not specify anything about their arrival time relative to the expected time.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'dañu ne ma woon ca njombaxtal la, dinañu ma yóbbu ci ak góor ngir ma dajeek moom\nQuestion: waa ji dafa dikkul woon ca waxtu wa True, False, or Neither?\nAnswer:'}]}]	neutral
am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	dama leen bëggoon a wax lépp li ma xam ci mbir mi	contradiction	"[textblock(text='based on the limited context provided, the answer appears to be neither. the question asks whether the statement ""dama leen bëggoon a wax lépp li ma xam ci mbir mi"" is true or false. however, without more information about what the person wanted to say and what they actually know about the matter, it\'s impossible to determine if the statement is factually true or false. more context would be needed to give a definitive answer of true or false.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore\nQuestion: dama leen bëggoon a wax lépp li ma xam ci mbir mi True, False, or Neither?\nAnswer:'}]}]	contradiction
am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	duma ci wax, donte sax am na ñu bare ñu may sàng sutura	entailment	"[textblock(text='based on the given text in wolof, the correct answer is true.\n\nthe question asks: ""duma ci wax, donte sax am na ñu bare ñu may sàng sutura"" which translates to ""i won\'t talk about it, but there are even many people who gossip about me.""\n\nand the initial statement says: ""am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore"" which means ""there are many things you can say that i shouldn\'t respond to.""\n\nso the person is acknowledging that while there are things being said that they could respond to, they choose not to talk about it even though many people gossip about them. therefore, the answer to the question based on the text is true.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore\nQuestion: duma ci wax, donte sax am na ñu bare ñu may sàng sutura True, False, or Neither?\nAnswer:'}]}]	entailment
am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore	duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare	neutral	"[textblock(text='based on the given statement in wolof, the correct answer is true.\n\nthe statement ""am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore"" translates to ""there are many things you can say about it that i shouldn\'t get involved in.""\n\nand the question ""duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare"" means ""i won\'t talk about the town\'s bread because there is a lot that can be said about it.""\n\nso the question is essentially stating the same idea as the initial statement - that there are many things that can be said about a certain topic, which the speaker prefers not to get involved in discussing. therefore, the answer to the question is true.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'am ay mbir yu bare yoo leen mën a wax ba jarul ma ciy sore\nQuestion: duma wax ci mbooru dëkk bi ndax li ñu ci mën a wax dafa bare True, False, or Neither?\nAnswer:'}]}]	entailment
kon xamuma, dëgg-dëgg, li ko waral	xam naa  li ko waral	contradiction	"[textblock(text='dëgg-dëgg, xam naa li ko waral. tontoo bi mooy ""neither"" ndax juróom ñaari kàddu yi nga jox man nañu tekki ci benn mbir waaye du tekki ci li nga laaj, maanaam ndax ""xam naa li ko waral"" dëgg la walla dëggu ko. laajte naa ma tont ci benn ci ñetti tont yi nga jox, waaye kàddu yi ñu ngi laaj ñaari mbir yu wuute.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'kon xamuma, dëgg-dëgg, li ko waral\nQuestion: xam naa  li ko waral True, False, or Neither?\nAnswer:'}]}]	neutral
