premise	hypothesis	label	opus	prompt
Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi	Angikaze ngikhulume naye futhi	contradiction	"[TextBlock(text='Impendulo ithi False.\n\nEsitatimendeni esinikeziwe, umuntu uthi ""ngaze ngagcina sengikhuluma naye futhi"". Lokhu kusho ukuthi uye wakhuluma naye futhi, okungaphikisana nesitatimende esithi ""Angikaze ngikhulume naye futhi"". Ngakho-ke impendulo eyiqiniso ithi False - isitatimende asiyona iqiniso.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi\nQuestion: Angikaze ngikhulume naye futhi True, False, or Neither?\nAnswer:'}]}]
Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi	Ngangithukuthele kakhulu ngaze ngaqala ukukhuluma naye	entailment	"[TextBlock(text='Neither. Embuzweni awukho umusho othi ""Ngangithukuthele kakhulu ngaze ngaqala ukukhuluma naye"". Esikhundleni salokho, umusho uthi ""ngaze ngagcina sengikhuluma naye"", okusho ukuthi ekugcineni uye wakhuluma naye, kodwa akusho ukuthi kwakuyingoba wayethukuthele kakhulu. Ngakho-ke impendulo ayikho ku-True noma False, kodwa yi-Neither ngoba umusho onikeziwe awufani ncamashi nalowo okumbuzweni.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi\nQuestion: Ngangithukuthele kakhulu ngaze ngaqala ukukhuluma naye True, False, or Neither?\nAnswer:'}]}]
Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi	Sakhuluma kahle	neutral	"[TextBlock(text='Ngokwemininingwane enikeziwe, impendulo ithi ""Neither"". Imininingwane ayichazi ukuthi nakhuluma kahle noma kabi. Ithi nje ""ngaze ngagcina sengikhuluma naye"", kodwa ayisho lutho ngendlela enakhuluma ngayo. Ngakho-ke asikwazi ukuphendula ngo-""True"" noma ""False"" kulokhu.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ngangingacabangi ngisho nangalokho, kodwa ngangikhathazekile futhi ngaze ngagcina sengikhuluma naye futhi\nQuestion: Sakhuluma kahle True, False, or Neither?\nAnswer:'}]}]
Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye	Angikaze ngitshelwe lutho ngokuthi kumele ngihlangane nobani	contradiction	"[TextBlock(text='True\n\nEmpeleni awukaze utshelwe lutho ngokuthi kumele uhlangane nobani owesilisa ekugcineni. Umbuzo wakho uthi ""Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye"", okusho ukuthi awukaze utshelwe ngokuthi uzohlangana nobani owesilisa ekugcineni. Ngakho-ke impendulo ethi ""True"" iyiqiniso.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye\nQuestion: Angikaze ngitshelwe lutho ngokuthi kumele ngihlangane nobani True, False, or Neither?\nAnswer:'}]}]
Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye	Ngatshelwa ukuthi owesilisa uzobizwa ukuze sihlangane	entailment	[TextBlock(text='Neither. Awukho umbuzo obuziwe lapha, kodwa esikhundleni salokho isitatimende. Isitatimende sithi umuntu watshelwa ukuthi owesilisa uzobizwa ukuze bahlangane, kodwa asikho isinqumo esingathathwa ukuthi lokhu kuyiqiniso noma amanga ngaphandle kolwazi olwengeziwe.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye\nQuestion: Ngatshelwa ukuthi owesilisa uzobizwa ukuze sihlangane True, False, or Neither?\nAnswer:'}]}]
Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye	Owesilisa wafika emva kwesikhathi	neutral	"[TextBlock(text='Angikwazi ukuphendula umbuzo wakho ngoba awunayo ulwazi olwanele. Umbhalo awusho lutho mayelana nokuthi owesilisa ufike ngesikhathi noma emva kwesikhathi. Ngakho-ke, impendulo ithi ""Neither"" - ayikwazi ukuphenduleka ngenxa yokungabi nolwazi olwanele.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bangitshela ukuthi bazobiza owesilisa ekugcineni engizohlangana naye\nQuestion: Owesilisa wafika emva kwesikhathi True, False, or Neither?\nAnswer:'}]}]
Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho	Ngifuna ukukutshela yonke into engiyaziyo ngalokho	contradiction	"[TextBlock(text='Neither. Awunginikanga noma yiluphi ulwazi engingaluhlola ukuthi luyiqiniso noma amanga. Ngakho-ke angikwazi ukuphendula umbuzo wakho ngokuthi ""True"", ""False"" noma ""Neither"" ngoba awukho umbuzo onqala engingawuphendula.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho\nQuestion: Ngifuna ukukutshela yonke into engiyaziyo ngalokho True, False, or Neither?\nAnswer:'}]}]
Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho	Ngeke ngikhulume ngalokho, yize noma kukuningi engingakusho	entailment	"[TextBlock(text='Impendulo ithi Neither.\n\nIsisho esithi ""Ngeke ngikhulume ngalokho, yize noma kukuningi engingakusho"" asiqondile noma singaqondile ngokuphelele. Lesi sisho asichazi ukuthi umuntu uzokhuluma noma ngeke akhulume ngalokho okuningi angakusho. Kunalokho, sisho ukuthi umuntu ngeke akhulume ngalokho okuthile, nakuba eningi angalisho ngakho.\n\nNgakho-ke impendulo ayikwazi ukuba i-True noma i-False ngoba isisho asiqondile ngokugcwele futhi sinezingxenye ezimbili eziphikisanayo - ukungakhulumi ngalokho okuthile kanye nokuningi okungashiwo ngakho.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho\nQuestion: Ngeke ngikhulume ngalokho, yize noma kukuningi engingakusho True, False, or Neither?\nAnswer:'}]}]
Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho	Ngeke ngikhulume ngomlando wedolobha ngoba kuningi engingakusho	neutral	"[TextBlock(text='Impendulo ithi Neither.\n\nIsisho asithi ""True"" noma ""False"" ngoba:\n- Awusho ukuthi uzokhuluma ngomlando wedolobha, kodwa uthi kuningi ongakhuluma ngakho kulokho. Lokhu akusho ukuthi uqinisile noma uqamba amanga.\n- Awusho ukuthi ngeke ukhulume ngomlando wedolobha, kodwa uthi uzoweqa lokho okuningi ongakhuluma ngakho. Lokhu futhi akusho ukuthi uqinisile noma uqamba amanga.\n\nNgakho-ke isisho asiqondile ukuthi uqinisile noma uqamba amanga, kodwa sikhuluma ngokuthi kuningi ongakhuluma ngakho kodwa uzoweqa lokho manje. Ngakho impendulo ithi Neither.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kuningi ongakhuluma ngakho kulokho,ngizokweqa lokho\nQuestion: Ngeke ngikhulume ngomlando wedolobha ngoba kuningi engingakusho True, False, or Neither?\nAnswer:'}]}]
Anginaso isiqiniseko ukuthi kungani	Nginesiqiniseko ukuthi isizathu yini	contradiction	"[TextBlock(text='Neither\n\nUmusho ""Anginaso isiqiniseko ukuthi kungani"" awunikezi iqiniso noma iphutha ngoba awusho lutho olucacile. Awuqinisekisi noma uphika noma yini. Uyasho nje ukuthi umuntu akanaso isiqiniseko ngesizathu esithile, kodwa asichazi ukuthi isizathu leso siyiqiniso noma cha.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Anginaso isiqiniseko ukuthi kungani\nQuestion: Nginesiqiniseko ukuthi isizathu yini True, False, or Neither?\nAnswer:'}]}]
Anginaso isiqiniseko ukuthi kungani	Angazi ukuthi kungani ashintshelwa ezikoleni	neutral	[TextBlock(text='Neither.\n\nAsikho isiqiniseko esicacile sokuthi kungani abantwana bashintshelwa ezikoleni. Kunezizathu eziningi ezingabangela ukushintshwa kwesikole, kodwa azikho izimpendulo eziqondile kulombuzo. Izizathu zingafaka phakathi:\n\n- Ukuthutha komndeni endaweni entsha ngenxa yomsebenzi noma izizathu ezithile\n- Ukufuna ikhwalithi engcono yemfundo noma izinsiza zokufunda\n- Izinkinga zokuziphatha noma ukungezwani nabanye abafundi esikoleni samanje  \n- Izidingo ezikhethekile zemfundo noma usizo oludingwa umfundi\n- Ukukhetha esikoleni esisha ngenxa yezifundo ezithile noma imidlalo ehlinzekwayo\n\nNgakho-ke akukho mpendulo eqondile, njengoba kunezizathu eziningi ezahlukene zokushintsha isikole ngokuncika esimweni somfundi ngamunye.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Anginaso isiqiniseko ukuthi kungani\nQuestion: Angazi ukuthi kungani ashintshelwa ezikoleni True, False, or Neither?\nAnswer:'}]}]
Anginaso isiqiniseko ukuthi kungani	Angazi kwenzekelani lokho	entailment	"[TextBlock(text='Neither\n\nIsisho ""Anginaso isiqiniseko ukuthi kungani"" asiqinisekisi noma siphikise ukuthi kwenzeke okuthile. Sisho nje ukuthi umuntu akazi noma akanaso isiqiniseko sokuthi kungani kwenzeke lokho okuthile. Ngakho-ke, impendulo efanele lapha ithi ""Neither"" - okusho ukuthi isisho asiqinisekisi (True) futhi asiphiki (False) ukwenzeka kwento ethile.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Anginaso isiqiniseko ukuthi kungani\nQuestion: Angazi kwenzekelani lokho True, False, or Neither?\nAnswer:'}]}]
Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane	Angikuthandanga ukuthi kube yimi kuphela osebenzisa izilawuli zokuhlola	neutral	[TextBlock(text='Neither. Izitatimende ezinikeziwe azihlobene ngqo nokusetshenziswa kwezilawuli zokuhlola. Esikhundleni salokho, izitatimende zikhuluma ngomuntu obizwa ngokuthi uKwakuyimina owayesebenza yedwa futhi ehlola izimbobo eziphakeme ezincane. Ayikho imibono eqondile ngeqiniso noma iphutha lokusetshenziswa kwezilawuli zokuhlola.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane\nQuestion: Angikuthandanga ukuthi kube yimi kuphela osebenzisa izilawuli zokuhlola True, False, or Neither?\nAnswer:'}]}]
Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane	Ukuhlolwa kwakwenziwa ezimbobweni eziphakeme ezincane	entailment	"[TextBlock(text='Impendulo ithi: True\n\nIsitatimende sithi ""ukuhlola izimbobo eziphakeme ezincane"", okusho ukuthi ukuhlolwa kwakwenziwa ezimbobweni eziphakeme ezincane.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane\nQuestion: Ukuhlolwa kwakwenziwa ezimbobweni eziphakeme ezincane True, False, or Neither?\nAnswer:'}]}]
Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane	Babambalwa kuthina abagijimela kuzilawuli ukuyohlola	contradiction	[TextBlock(text='Neither. Akukho ulwazi olwanele olunikeziwe embuzweni ukuze uphendule ngo-True noma False. Umbuzo awusho lutho mayelana nenani labantu abagijimela kuzilawuli ukuyohlola, ngakho-ke asikwazi ukusho ukuthi babambalwa noma cha.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kwakuyimina kuphela owayesebenza kuzilawuli, ukuhlola izimbobo eziphakeme ezincane\nQuestion: Babambalwa kuthina abagijimela kuzilawuli ukuyohlola True, False, or Neither?\nAnswer:'}]}]
NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick	Ngisasebenza kuze kube yimanje	contradiction	[TextBlock(text='Neither. Akukho ulwazi olwanele ukuphendula lo mbuzo. Umbhalo uthi uSayitsheni omkhulu usethathe umhlalaphansi, kodwa awusho lutho ngesimo sakhe samanje sokuqashwa.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick\nQuestion: Ngisasebenza kuze kube yimanje True, False, or Neither?\nAnswer:'}]}]
NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick	Ngathatha umhlalaphansi ngonyaka wezi-2002	neutral	[TextBlock(text='Neither. Umbhalo awusho ukuthi ngathatha umhlalaphansi ngonyaka wezi-2002. Uveza nje ukuthi uSayitsheni omkhulu usethathe umhlalaphansi, kodwa awusho ukuthi kwenzeka ngamuphi unyaka.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick\nQuestion: Ngathatha umhlalaphansi ngonyaka wezi-2002 True, False, or Neither?\nAnswer:'}]}]
NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick	URick wakutshela ukuthi ngathatha umhlalaphansi	entailment	[TextBlock(text='Neither. Umbhalo awusho ukuthi uRick wakutshela ukuthi ngathatha umhlalaphansi. Usho nje ukuthi nginguSayitsheni omkhulu osethathe umhlalaphansi njengokusho kukaRick, kodwa awusho ukuthi uRick wakutshela ngqo.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'NginguSayitsheni omkhulu, osethathe umhlalaphansi, njengokusho kukaRick\nQuestion: URick wakutshela ukuthi ngathatha umhlalaphansi True, False, or Neither?\nAnswer:'}]}]
Kwakunezinkomba zokungena nokuphuma kwemali etafuleni lami, yingenxa yalokho noCutty, igama lekhasimende lelo	Ikhasimende uCutty wenza u$10000 ngenyanga	neutral	[TextBlock(text='Ngiyaxolisa, kepha ayikho imininingwane eyanele kulesi sitatimende ukuze ngiphendule ngokuphelele lombuzo. Isitatimende asichazi ukuthi uCutty wenza malini ngenyanga. Ngakho-ke angikwazi ukusho noma kuyiqiniso, iphutha noma akukho okushiwo ukuthi uCutty wenza u$10000 ngenyanga.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kwakunezinkomba zokungena nokuphuma kwemali etafuleni lami, yingenxa yalokho noCutty, igama lekhasimende lelo\nQuestion: Ikhasimende uCutty wenza u$10000 ngenyanga True, False, or Neither?\nAnswer:'}]}]
Kwakunezinkomba zokungena nokuphuma kwemali etafuleni lami, yingenxa yalokho noCutty, igama lekhasimende lelo	Kunekhasimende elibizwa ngoCutty	entailment	"[TextBlock(text='Kuyiqiniso ukuthi kunekhasimende elibizwa ngoCutty ngokwemininingwane enikeziwe embuzweni. Kuthiwa ""Kwakunezinkomba zokungena nokuphuma kwemali etafuleni lami, yingenxa yalokho noCutty, igama lekhasimende lelo"". Ngakho-ke impendulo ithi Kuyiqiniso (True).', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kwakunezinkomba zokungena nokuphuma kwemali etafuleni lami, yingenxa yalokho noCutty, igama lekhasimende lelo\nQuestion: Kunekhasimende elibizwa ngoCutty True, False, or Neither?\nAnswer:'}]}]
Kwakunezinkomba zokungena nokuphuma kwemali etafuleni lami, yingenxa yalokho noCutty, igama lekhasimende lelo	Asinalo ikhasimende elibizwa ngoCutty	contradiction	"[TextBlock(text='Kuyiqiniso ukuthi asinalo ikhasimende elibizwa ngoCutty ngokwemininingwane enikeziwe embuzweni. Umbhali uthi ""yingenxa yalokho noCutty, igama lekhasimende lelo"", okusho ukuthi uCutty uyikhasimende.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kwakunezinkomba zokungena nokuphuma kwemali etafuleni lami, yingenxa yalokho noCutty, igama lekhasimende lelo\nQuestion: Asinalo ikhasimende elibizwa ngoCutty True, False, or Neither?\nAnswer:'}]}]
Intombazane engisizile iphuma ngale kwedolobha	Intombazane engifuna ingisize ihlala kude kakhulu	entailment	"[TextBlock(text='Neither.\n\nThe given statement ""Intombazane engisizile iphuma ngale kwedolobha"" translates to ""The girl who helped me is from outside the city"". \n\nHowever, the question asks whether ""The girl I want to help me lives very far away"" is true, false or neither based on the given statement.\n\nThe original statement does not provide any information about where the girl the speaker wants help from lives. It only mentions where the girl who previously helped the speaker is from. \n\nTherefore, there is insufficient information to determine if the statement in the question is true or false. The correct answer is Neither.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Intombazane engisizile iphuma ngale kwedolobha\nQuestion: Intombazane engifuna ingisize ihlala kude kakhulu True, False, or Neither?\nAnswer:'}]}]
Intombazane engisizile iphuma ngale kwedolobha	Intombazane ezongisiza ihlala kumamayela awu-5 kude	neutral	[TextBlock(text='Neither. Ayikho imininingwane eyanele ukuze sithi intombazane ihlala kumamayela awu-5 kude noma cha. Umbuzo uthi nje intombazane iphuma ngale kwedolobha, kodwa awusho ukuthi ibanga elingakanani eliphakathi kwayo nedolobha.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Intombazane engisizile iphuma ngale kwedolobha\nQuestion: Intombazane ezongisiza ihlala kumamayela awu-5 kude True, False, or Neither?\nAnswer:'}]}]
