q_id,subject,split,question,translate_question,choice_A,translate_choice_A,choice_B,translate_choice_B,choice_C,translate_choice_C,choice_D,translate_choice_D,answer
0,elementary_mathematics,dev,"The population of the city where Michelle was born is 145,826. What is the value of the 5 in the number 145,826?","Idadi ya watu wa jiji ambalo Michelle alizaliwa ni 145,826. Thamana ya 5 ni nini katika nambari 145,826?",5 thousands,Maelfu 5,5 hundreds,Mamia 5,5 tens,makumi 5,5 ones,mamoja 5,A
1,elementary_mathematics,dev,"Olivia used the rule ""Add 11"" to create the number pattern shown below. 10, 21, 32, 43, 54 Which statement about the number pattern is true?","Olivia alitumia sheria ""Ongeza 11"" kuunda muundo wa nambari ulioonyeshwa hapa chini. 10, 21, 32, 43, 54 Ni taarifa gani kuhusu muundo huu ni kweli?",The 10th number in the pattern will be an even number.,Nambari ya 10 katika muundo huu itakuwa nambari inayoweza kugawika mara mbili.,The number pattern will never have two even numbers next to each other.,Muundo huu wa nambari hauwezi kuwa na nambari mbili zinazoweza kugawika mara mbili zikifuatana.,The next two numbers in the pattern will be an even number then an odd number.,Nambari mbili zinazofuata katika muundo zitakuwa nambari ya kugawika mara mbili kisha nambari isiyogawika mara mbili.,If the number pattern started with an odd number then the pattern would have only odd numbers in it.,Ikiwa muundo wa nambari ulianza na nambari isiyogawika marambili basi muundo ungekuwa na nambari zisizogawika mara mbili peke yake.,B
2,elementary_mathematics,dev,A total of 30 players will play basketball at a park. There will be exactly 5 players on each team. Which statement correctly explains how to find the number of teams needed?,Jumla ya wachezaji 30 watacheza mpira wa vikapu kwenye bustani. Kutakuwa na wachezaji 5 haswa kwenye kila timu. Ni taarifa gani inayoelezea kwa usahihi jinsi ya kupata idadi ya timu zinazohitajika?,Add 5 to 30 to find 35 teams.,Jumlisha 5 kwa 30 ili kupata timu 35.,Divide 30 by 5 to find 6 teams.,Gawanya 30 kwa 5 ili kupata timu 6.,Multiply 30 and 5 to find 150 teams.,Zidisha 30 na 5 ili kupata timu 150.,Subtract 5 from 30 to find 25 teams.,Ondoa 5 kutoka 30 ili kupata timu 25.,B
3,elementary_mathematics,dev,A store sells 107 different colors of paint. They have 25 cans of each color in storage. The number of cans of paint the store has in storage can be found using the expression below. 107 × 25. How many cans of paint does the store have in storage?,"Duka linauza rangi 107 tofauti tofauti. Wana makopo 25 ya kila rangi kwenye hifadhi. Idadi ya makopo ya rangi ambayo duka inayo kwenye hifadhi inaweza kupatikana kwa kutumia usemi ulio hapa chini. 107 × 25. Je, duka lina makopo mangapi ya rangi kwenye hifadhi?",749,749,"2,675","2,675","2,945","2,945","4,250","4,250",B
4,elementary_mathematics,dev,Which expression is equivalent to 5 x 9?,Usemi gani ni sawa na 5 x 9?,(5 x 4) x (6 x 5),(5 x 4) x (6 x 5),(5 x 5) + (5 x 4),(5 x 5) + (5 x 4),(5 x 5) + (5 x 9),(5 x 5) + (5 x 9),(5 x 9) x (6 x 9),(5 x 9) x (6 x 9),B
0,elementary_mathematics,val,"Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?","Colton na baba yake walinunua galoni ya rangi iliyogharimu $13. Pia walinunua brashi 2 ambazo ziligharimu $9 kila moja. Gharama ya jumla, bila kutia ushuru, ya brashi na rangi waliyonunua ilikuwa nini?",$22,$22,$24,$24,$31,$31,$35,$35,C
1,elementary_mathematics,val,Solve for y. y – 2 + 3y = 10,Fanya utatuzi wa y. y – 2 + 3y = 10,2,2,3,3,4,4,5,5,B
2,elementary_mathematics,val,Solve 3 over 2 * w = 66.,Tatua 3 juu ya 2 * w = 66.,33,33,44,44,88,88,99,99,B
3,elementary_mathematics,val,Wendy wants to take a survey to determine which flavor of ice cream is the most popular at her school. Which of the following methods is the best way for her to choose a random sample of the students at her school?,Wendy anataka kufanya uchunguzi ili kubaini ni ladha gani ya aiskrimu inayopendwa zaidi shuleni. Ni ipi kati ya njia zifuatazo ndiyo njia bora ya yeye kuchagua sampuli ya wanafunzi katika shule yake bila kufuatilia mpango wowote maalum?,selecting ten students from each homeroom,kuchagua wanafunzi kumi kutoka kwa kila chumba cha mkutano wa wanafunzi,selecting members of the girls’ softball team,kuchagua wachezaji wa timu ya softiboli ya wasichana,selecting members of the boys’ basketball team,kuchagua wachezaji wa timu ya mpira wa vikapu ya wavulana,selecting students who like her favorite flavor of ice cream,kuchagua wanafunzi wanaopenda ladha anayopenda ya aiskrimu,A
4,elementary_mathematics,val,Write 5.875 as a mixed number or fraction in simplest form.,Andika 5.875 kama nambari mchanganyiko au akisami kwa njia rahisi zaidi.,5 and 8 over 9,5 na 8 juu ya 9,5 and 7 over 8,5 na 7 juu ya 8,7 over 8,7 juu ya 8,5 and 87 over 105,5 na 87 juu ya 105,B
