question	choices	answer	subject	output	verbalized
What would p in 24 = 2p mean?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	B) p = 8	B
Ms. Perez drove a total of 40 miles in five days, she drives the same number of miles each day. How many miles does Ms. Perez drive each day?	['The 5th', 'The 7', 'The 8', '9 and 9']	C	elementary_mathematics	Option D) 9	D
find the quotient of −40 ÷ (−8).	['1 out of 5', '-5 years', '-1 over 5', 'The 5th']	D	elementary_mathematics	A) 1 out of 5	A
a soccer team has $90.00 to buy a soccer ball. If a soccer ball costs $15.60, what is the maximum number of soccer balls the team can buy?	['The 4', 'The 5th', '6 and 7', 'The 7']	B	elementary_mathematics	D) The 7	D
You and three friends went to a game show. The total price for four tickets is $112. Write down and solve the equation to find the price of one ticket t.	['4t=112; $448', '4t is 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']	B	elementary_mathematics	D) t over 4 = 112; $28	D
Answer the question with the expression below. 3 × [(2 × 6  5) + (8 ÷ 4)  1 What does the expression mean?	['9 and 9', 'The 11th', '26 years', '32 years old']	C	elementary_mathematics	A) 9 and 9	A
Write 1 and 1 over 11 as a whole or a composite number in the simplest form	['1.1 out of 11', '11 out of 11', '12 out of 11', '11 out of 11']	C	elementary_mathematics	A) 1.1 out of 11	A
Find the quotient of 2.16 ÷ 0.06.	['3.6 years old', '36 years', '0.01272', '12.72 years']	B	elementary_mathematics	C) 0.01272	C
Find the difference between 142.76 - 16.5.	['159.26 years', '2,224 people', '14,111 people', '126.26 years']	D	elementary_mathematics	D) 126.26	D
find the quotient of 5.04/0.7	['0.72', '0.702 days', '10,0571 people', '7.2 and above']	D	elementary_mathematics	A) 0.72	A
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. What is the approximate value of how many miles Jimmy and Kima will drive on their trip?	['One hundred and fifty plus 400 plus 200', '200 and 400 and 200', '200 and 450 and 200', '200 and 500 and 200']	C	elementary_mathematics	C) 200 and 450 and 200	C
what do you get when you subtract 16.5 from 142.76?	['The 21st', 'The 7', '1 and 2', 'None of the above']	D	elementary_mathematics	C) 1 and 2	C
Maddie will ride her bike a total of 56 miles in 7 days. She will ride the same number of miles per day. What is the total number of miles Maddie will ride per day?	['The 8', '9 and 9', '49 years old', '63 years old']	A	elementary_mathematics	A) 8	A
Find the number that makes the equation 48 over 88 = ? over 11 true.	['6 and 7', 'The 11th', 'The 8', 'The 5th']	A	elementary_mathematics	A) 6 and 7	A
What is the best buy?	['10 ounces of soap for $23.20', '16 bars of soap for $36.48', '13 handfuls of soap for $29.51', '12 handfuls of soap for $27.60']	C	elementary_mathematics	B) 16 bars of soap for $36.48	B
Trish's resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases by five beats per minute. How long would it take her to reach a heart rate of 120 beats per minute?	['minutes to shoot', 'fourteen minutes', 'Thirty-four minutes', '70 minutes']	B	elementary_mathematics	C) Thirty-four minutes	C
Find the middle one in the sequence of numbers 23, 13, 18, 29, 32, 25.	['18 and 19', '24 What Is It?', '25 years old', 'The 29th']	B	elementary_mathematics	B) 24	B
Jack takes 60 apples from an apple tree. He uses 12 of them to make apple juice. He puts the remaining apples from the same hand into six gift baskets. What is the equation that can be used to determine the number of apples, a, that Jack puts into each gift basket?	['(60/6) 12 is equal to', '60 to 12/6=a', '60-6-12 = a', '(60+12) /6 = a']	B	elementary_mathematics	A) (60/6) = a	A
A map measures 1 inch equals 25 miles. How many miles does 5 inches represent on this map?	['The 5th', '25 years old', '50 years old', '125 years old']	D	elementary_mathematics	D) 125 miles	D
Simplify the equation to (2 + 5) ^2 − 42.	['The 7', 'The 16th', '30 From the Bible', '33 years old']	A	elementary_mathematics	C) 30	C
Find the square root of 4 ÷ 2 • 2 + 8 - 4.	['-12 years', '12 and 13', 'The 8', 'The 16th']	C	elementary_mathematics	C) The 8	C
One coach calculated the number of runners in a track meeting the nearest 10.The number of runners was 400.What number could be the number of runners actually meeting?	['three hundred and eighty-two', 'French 397', '406 years', 'four hundred and forty-seven']	B	elementary_mathematics	C) 406	C
−4 + (−3 ) =	['-7 years', '-1 to', '1 and 2', 'The 7']	A	elementary_mathematics	A) -7	A
Mark had a collection of 22 stamps from Japan, 34 from Canada, and 17 from Mexico - how many stamps in all?	['53 years old', '63 years old', '73 years old', '83 years old']	C	elementary_mathematics	A) 73 stamps	A
Find the slope for the equation x + 2.7 = 8.4 from the given numbers.	['11.1 years', '5.7 years', '3.7 years', '22.68 years']	B	elementary_mathematics	C) 3.7 years	C
Find the number that makes this calculation true: 0.32 g = _ cg.	['32 years old', '3 and 2', '3,200 people', '320 years old']	A	elementary_mathematics	C) 3	C
Find an increase of 5.7{\displaystyle 5.7} (8) in memory by using a distributor.	['46.4 years', 'four hundred and fifty six', '4.56 years', '45.6 years']	D	elementary_mathematics	D) 45.6 years	D
find out what is the quotient for the expression 5.04/0.7?	['508 years old', '508 r2', '578 years old', '578 r2']	D	elementary_mathematics	D) 578 r2	D
Rosa's goal is to run a total of 100 miles this month. Each day she runs, she runs 5 miles. What indicator can Rosa use to know how many miles she has left after running day d?	['100  5d', '5d+ 100', '100 / 5d', '5d']	A	elementary_mathematics	B) 5d + 100	B
Identify an algebraic term that fits into a sentence: the 4-fold heap that Tom compiled.	['4t', 't over four', 't - 4', 't + 4']	A	elementary_mathematics	A) 4t	A
Andrew wrote the number 196,425 on the board. What number is the function of position 6 exactly 10 times the value of position 6 in the number Andrew wrote?	['681, 452', '462,017 people', '246,412 years old', 'One hundred and twenty-five, 655']	B	elementary_mathematics	B) 452	B
What is 123 / 8?	['ten and painting with seven leaves', 'Fifteen and three cloves', 'Sixteen and a half', 'Sixteen and a half']	B	elementary_mathematics	C) Sixteen and a half	C
