question	choices	answer	subject	output	verbalized
What is the square root of P in this equation: 24 = 2 P ?	['p = 4', 'p = 8', 'p is equal to 12', 'p is equal to 24']	C	elementary_mathematics	B)p = 12	B
Mrs. Perez walked 40 miles in five days. She walked the same distance each day. But how far did each day take her to walk?	['5 and 6', '7th', '8 and 9', '9 years']	C	elementary_mathematics	A) 5 and 6	A
Consider the following equation: -40 ÷ (−8).	['1 out of 5', '-5 years old', '(-1 out of 5)', '5 and 6']	D	elementary_mathematics	D) 5	D
A footballer has $90.00 to buy balls. If a ball costs $15.60, how many balls can they buy?	['4 and 5', '5 and 6', '6th', '7th']	B	elementary_mathematics	A) 4 and 5	A
"You go to an exhibition with three friends. The four-person estimate is $112. Write down the card number and figure out if the one-person estimate is ""b""."	['4b is equal to 112; 448 $', '4b= 112; $28', 'b sur 4 is equal to 112; 448 $', 'b sur 4 is equal to 112; 28 $']	B	elementary_mathematics	B) 4b = 112; $28	B
Use the equation 3 × [(2 × 6 - 5) + (8 ÷ 4) ] - 1 and answer the question: What is the answer to the equation ?	['9 years', 'The 11th', '26 years', '32 years old']	C	elementary_mathematics	C) 26 years	C
Write 1 and 1 to 11 in the simplest form of the decimal system.	['1.1 to 11', '11 to 11', '12 to 11', '11 to 12']	C	elementary_mathematics	A)1.1 to 11	A
Heart rate: 2.16 divided by 0.06	['The 3.6', '36 years', 'Other 0', '12 and 72']	B	elementary_mathematics	B) 36 years	B
Give the answer to 16.5 times 142.76.	['159.26 years', '2,224 people', '14 other 111', '126,26']	D	elementary_mathematics	A) 2350.54	A
Heart transplantation for the 5,04/0,7	['0.72 years', 'number 702', '10, 0571 people', '7.2 years']	D	elementary_mathematics	C) 10	C
Jimmy and Kina traveled for three days. The first day they walked 182 Km; the second day 439 Km; and the third day 217 Km. What would be the easiest route to take and remember the generation of their journey?	['One hundred and fifty plus 400 plus 200', 'Two hundred plus four hundred plus two hundred', '200 and 450 and 200', '200 and 500 and 200']	C	elementary_mathematics	B) Two hundred plus four hundred plus two hundred	B
What is the remainder if we divide 21 by 7 ?	"['The 21st', '7th', '1 and 2', ""It's all right""]"	D	elementary_mathematics	C)1 and 2	C
Maddie walked 56 Km for 7 days. She walked the same distance every day. How many kilometers does she walk every day?	['8 and 9', '9 years', '49 years', '63 years']	A	elementary_mathematics	A)8 and 9	A
A cardinal number would complete the equation: 48 divided by 88 = ... divided by 11	['6th', 'The 11th', '8 and 9', '5 and 6']	A	elementary_mathematics	C) 8 and 9	C
Which of the two is the best?	['10 ounces of soap $23.20', 'Soap and paper 16 $36.48', 'Soap and washing soap 13 $29.51', '12 ounces of soap $27.60']	C	elementary_mathematics	A) 10 ounces of soap $23.20	A
When trish is relaxing, her heart beats 50 times a minute. When she starts to fight, her heart beats 5 times a minute. . .how long will it take for her heart to beat 120 times a minute?	['5 minutes', '14 minutes', '34 minutes', '70 minutes']	B	elementary_mathematics	D) 70 minutes	D
See center for this outline	['18 years', '24 years', '25 years', '29 years']	B	elementary_mathematics	C) 25 years	C
Jack chops 60 nuts from an apple tree. He chops 12 nuts and divides the remaining nuts equally into 6 clusters. What sequence will be used to find the number of nuts (a) that Jack has put in each cluster?	['(60/6) 12 is equal to', '(6012) /6 = a', '60-6-12 is equal to a.', '(60+12) /6 is equal to']	B	elementary_mathematics	A) (60 - 12) / 6 = a	A
A map in this scheme is shown as Cm 1 = Km 25 . How many kilometers are printed on Cm 5 of this map ?	['5 and 6', '25 years', '50 years', '125 years']	D	elementary_mathematics	A) 125	A
Let this side be rounded: (2 + 5) ^2 - 42.	['7th', 'The 16th', '30 years', '33 years']	A	elementary_mathematics	B)The 16th	B
Consider the following equation: 4 divided by 2 - 2 + 8 - 4.	"[""It's not 12."", '12th', '8 and 9', 'The 16th']"	C	elementary_mathematics	A)It's not 12.	A
"The one in charge of the banquet tasted the number of those who had been invited. He said, ""How many of you can boast before the throne of God?"""	['three hundred eighty two', 'French 397', '406 days', '447 years old']	B	elementary_mathematics	A)three hundred eighty two	A
−4 + (−3 ) =	"[""It's seven."", '-1 is negative', '1 and 2', '7th']"	A	elementary_mathematics	B) -1 is negative	B
Of Marc's postcards, 22 are from Japan, 34 are from Canada and 17 are from Mexico. How many postcards does Marc have?	['53 years old', '63 years', '73 years', '83 years old']	C	elementary_mathematics	B) 73 years	B
Find the answer to this equation: X + 2.7 = 8.4	['11 and 1', '5 and 7', '3 and 7', '22 and 68']	B	elementary_mathematics	C) 3 and 7	C
What number represents this statement: 0.32 g = ... Cg ?	['32 years old', '3 and 2', '3 two hundred', 'three hundred twenty']	A	elementary_mathematics	A) 32	A
Look for faithfulness 5,7(8) in the innermost part of the mind.	['46.4 years', '456 days', '4.56 years', '45.6 years']	D	elementary_mathematics	C) 4.56 years	C
What number will appear at 2.314 / 4 ?	['508 years', '508 square feet', 'number 578', '578 square feet']	D	elementary_mathematics	A)508 years	A
Rosa decided to run 100 km. Each day she ran 5 km. What kind of calculator could Rosa use to calculate how many km she would have left if she had run all day?	['100 to 5j', '5j + 100 is equal to', '100 and 5j', '5j or']	A	elementary_mathematics	C)100 and 5j	C
Select the sentence that represents this sentence: 4 times more common than Tom	['4f', 'f squared at 4', 'f to 4', 'and f+4']	A	elementary_mathematics	A)4f	A
From the following list of numbers, pick 6 that is exactly 10 times the number 6 in Andrew's list.	['681 to 452', '462 017', '246 four hundred and twelve', 'One hundred and twenty-five 655']	B	elementary_mathematics	B)462 017	B
What is 123 / 8 ?	['15 and remainder 7', '15 and remainder 3', '16 and remainder 5', '16 remaining 1']	B	elementary_mathematics	A)15 and remainder 7	A
write 8 and 2 divided by 4 in the simplest non-literate order	['17 to 2', '34 to 4', '17 to 4', '19 to 2']	A	elementary_mathematics	D) 19 to 2	D
How could 270 240 be written?	['Two hundred thousand + seven thousand + two hundred + four', '200,000 and 7,000 and 200 and 40', '200,000 + 70,000 + 200 + 40 and so on and so forth', '200,000 and 70,000 and 2,000 and 40']	C	elementary_mathematics	A) Two hundred thousand + seven thousand + two hundred + four	A
If a laborer worked seven hours a day on a piece of limestone, how many stones would he produce in 35 hours?	['number 220', 'stone 770', 'stone 4', 'stone 110']	D	elementary_mathematics	C) stone 4	C
As an equal and middle number for the following number system: 4 ; 3 ; 3. Now 6 worlds will be added to the system, as follows:	['equality will increase', 'the price will go down', 'The middle will increase', 'The center will be lowered']	A	elementary_mathematics	C)The middle will increase	C
If n = 11, what is the value of 10 minus (n+6)?	"[""It's seven."", '5 and 6', '7th', 'The 27th']"	A	elementary_mathematics	B) 5 and 6	B
What is the answer to this equation? 3 appears in a number P.	['The 3-P', 'P+3', '3 and p.', 'P-3']	D	elementary_mathematics	A) The 3-P	A
This movie theater sold 500 tickets for a painting. Would the next screen make them more competitive in ticket sales?: 6 X 500. What other type of screen could be made that would also see the tickets sold?	['30 x 10 ̂ 1', '30 x 10 ̂ 3', '(6 × 5) × 10 to the second power', '(6 × 5) × 10 to the third power']	C	elementary_mathematics	B)30 x 10 ̂ 3	B
Consider the following equation: 12 - 9 + C = 12. Find the value of C such that the tangent line to the curve is zero.	['Other 0', '3 and 4', '9 years', '12th']	C	elementary_mathematics	B)3 and 4	B
The Sojourn family planned a vacation with a bonus of $2000. If his annual salary was $150, what would be the balance of his salary after day X?	['18th century', '2000 to 150X', '150 times', '2000+150x']	B	elementary_mathematics	D) 2000+150x	D
Four books are on a shelf, and their weight in kilograms is: 2,5 ; 3,2 ; 2,7 ; 2,3. What type of chart shows the weight P of a book on a shelf?	['w < 2,3', 'w < 2,4', 'w > 3,2', 'w < 3,3']	D	elementary_mathematics	B) 3	B
What whole number is greater than 5 ?	"[""It's six."", '-5 years old', 'Other 0', '5 and 6']"	A	elementary_mathematics	A) It's six.	A
What is the area of this side ? 2(3(4^2 + 1)) - 2^3 ?	['The 156th', '110 years', '94 years old', '48 years']	C	elementary_mathematics	A) 156	A
What would be the next two digits in Gwen's sequence?	['15. the 17th.', '15. What does the Bible say?', '17. the 19th.', '17. What is the answer?']	D	elementary_mathematics	C)17. the 19th.	C
If 3 pearls cost $2.37, how many pearls can you buy for $9.48?	['go to 3', 'go to 12', 'go to 36', 'go to 13']	B	elementary_mathematics	B)go to 12	B
These numbers are arranged from smallest to largest: 3, 3 and 1 to 8,3. 8,3 and 18	['3.18, 3 and 1 to 8, 3.8,3', '3.3 and 1 to 8, 3.18, 3', '3.8, 3 and 1 to 8, 3.18, 3', '3.8, 3.18, 3 and 1 to 8, 3']	D	elementary_mathematics	C)3.8	C
See also 22 / 2 + 9	['10 years', 'The 11th', '20 years', '2 and 3']	C	elementary_mathematics	C) 20 years	C
There were eight hundred and thirty-six thousand five hundred and twenty-seven persons in the great city. Now if you would number them by the tenth part of ten thousand, how many would you find there?	['800,000 people', '830 000 people', '836 thousand', '840 000 people']	D	elementary_mathematics	A)800	A
Consider the rewards of 5 - (-9).	['The 14th', 'Minus four', '45 years', '- Forty-five']	D	elementary_mathematics	A)The 14th	A
