question,choices,answer,subject,output
What is the position of p in 24 = 2p?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,B)p = 8
Ms. Perez drove 40 miles in 5 days. She traveled one square mile per day. How many miles did Mrs. Perez drive per day?,"['5 The Bible', '7', '8 The Bible', '9 What Is It?']",C,elementary_mathematics,B) 7
Find the result of -40 ÷ (-8).,"['1 out of 5', 'Minus five', '-1 out of 5', '5 The Bible']",D,elementary_mathematics,D)5
"A football team has $90.00 to buy a football. If a football costs $15.60, what is the maximum number of footballs the team can buy?","['4 The Bible', '5 The Bible', '6 of 6', '7']",B,elementary_mathematics,B)5
You and three friends go to a concert. The total cost of four tickets is $112. Type in the invoice and find the answer to find the cost of one ticket t.,"['4t is 112; $448', '4t is equal to 112; $28', 't over 4 is equal to 112; $448', 't over 4 is equal to 112; $28']",B,elementary_mathematics,B
Use the equation below to answer the question. 3 × [(2 × 6 - 5) + (8 ÷ 4) ] - 1 What is the result of the equation?,"['9 What Is It?', '11 The Bible', '26 What Is the Bible?', 'What is it? 32']",C,elementary_mathematics,C)26
Write 1 and 1 over 11 as a whole number or a composite number in a simplified form,"['1.1 out of 11', '11 out of 11', '12 out of 11', '11 out of 12']",C,elementary_mathematics,C)12 out of 11
Find the result of 2.16 ÷ 0.06.,"['3.6', '36 years', '0.01272', '12.72 years']",B,elementary_mathematics,A) 3.6
Find the difference between 142.76 - 16.5.,"['159.26 years', '2,224 people', '14,111 people', '126.26']",D,elementary_mathematics,B)2
Find the result 5.04/0.7,"['0.72', '0.702 days', '10,0571 people', '7.2 and above']",D,elementary_mathematics,A)0.72
"On the first day, they traveled a hundred and eighty-two miles [182 km]; on the second day, they traveled a hundred and forty-nine miles [439 km]; and on the third day, they traveled a hundred and twenty-seven miles [217 km].","['One hundred and fifty + 400 + 200', '200 and 400 and 200', '200 and 450 and 200', '200 and 500 and 200']",C,elementary_mathematics,A)One hundred and fifty + 400 + 200
What is 7 divided by 21?,"['The 21st', '7', '1 and 2', 'None of them']",D,elementary_mathematics,D) None of them
"Maddie had to ride her motorcycle 56 miles in seven days, or about the same number of miles each day.","['8 The Bible', '9 What Is It?', '49 years old', '63 years old']",A,elementary_mathematics,A)8
Find the number that makes the equation 48 over 88 =?,"['6 of 6', '11 The Bible', '8 The Bible', '5 The Bible']",A,elementary_mathematics,C)8 The Bible
Which is the best seller?,"['10 pieces of soap for $26.20', '6 pieces of soap for $36.48', '13 pieces of soap for $29.51', '12 bars of soap for $27.60']",C,elementary_mathematics,C)13 pieces of soap for $29.51
"Trish's normal heart rate is 50 beats per minute. Every time she exercises, her heart rate increases by 5 beats per minute. How long would it take her to reach a heart rate of 120 beats per minute?","['5 minutes', '14 minutes', 'thirty-four minutes', '70 minutes']",B,elementary_mathematics,B) 14 minutes
"Find the median in the sets 23, 13, 18, 29, 32, 25.","['18 What Does It Mean?', '24 What Does It Mean?', '25 years old', '29 What Is It?']",B,elementary_mathematics,B)24
"Jack chops off 60 pieces of clothing from an apple tree. He uses 12 of them to make apple soup. He puts the remaining apples in equal-sized gift baskets 6. What calculation can be used to determine the number of apples, a, that Jack puts into each gift basket?","['(60/6) 12 is equal to', '(6012) /6 = a', '60-6-12 = a', '(60+12) /6 is equal to']",B,elementary_mathematics,B) (6012) /6 = a
How many miles does 5 inches represent on this map?,"['5 The Bible', '25 years old', '50 years old', '125 years old']",D,elementary_mathematics,D)125 years old
Simplify (2 + 5) squared - 42.,"['7', '16 What Happens', '30 From the Scriptures', '33 years old']",A,elementary_mathematics,A)7
Find the position of 4 ÷ 2 • 2 + 8 - 4.,"['-12 years', '12', '8 The Bible', '16 What Happens']",C,elementary_mathematics,B)12
One coach raised the number of runners in the race to the nearest 10. The number of places in the race was 400. What could be the exact number of runners in the race?,"['three hundred and eighty-two', 'French 397', 'four hundred and six', 'four hundred forty-seven']",B,elementary_mathematics,A
Negative 4 plus negative 3 is equal to,"['Minus seven', '-1 is', '1 and 2', '7']",A,elementary_mathematics,A)Minus seven
"Mark had a stack of e-mails - 22 from Japan, 34 from Canada, and 17 from Mexico.","['53 years old', '63 years old', '73 years old', '83 years old']",C,elementary_mathematics,C)73 years old
Find the solution based on the equation x + 2.7 = 8.4 from the given numbers.,"['11 and 1', '5 and 7', '3 and 7', '22.68 years']",B,elementary_mathematics,C) 3 and 7
Find the number that makes the information exactly 0.32 g = _cg.,"['What is it? 32', '3 and a half', '$32.00 each', '320 years old']",A,elementary_mathematics,D)320 years old
Find the calculation of 5.7{\displaystyle 5.7} times 8{\displaystyle 8} that you did using the natural market.r numbers.,"['46.4 years', 'four hundred fifty-six', '4.56 years', '45.6 years']",D,elementary_mathematics,D)45.6 years
"What is the result of adding 2,314/4?","['five hundred and eight', '508 r2', '578 years old', '578 r2']",D,elementary_mathematics,B)508 r2
Rosa's goal for that month was to run a total of 100 miles. Each day she ran five miles. What information could Rosa use to calculate how many miles she had left after running for three days?,"['100  5d', '5d+ 100', '100 / 5d', '5d']",A,elementary_mathematics,A) 100 - 5d
Find the algebraic equation corresponding to the words: 4 times the number of cans as Tom collected.,"['4t', 't divided by 4', 't - 4', 't + 4']",A,elementary_mathematics,A)4t
In what number is 6 equal to 10 times 6 in the number that Andrew wrote?,"['681,452 years old', '462,017', '246,412', '246,412']",B,elementary_mathematics,D)017
What is 123/8?,"['15 divided by 7', '15 and 3 remainders', '16 divided by 5', '16 divided by 1']",B,elementary_mathematics,B) 15 and 3 remainders
Draw 8 plus 2 over 4 as the square root in the simplest form.,"['17 out of 2', '34 out of 4', '17 out of 4', '19 out of 2']",A,elementary_mathematics,C) 17 out of 4
"What mathematical formula can be used to represent the 270,240 figures inscribed on the cover?","['200,000 and 7,000 and 200 and 4', '200,000 and 7,000 and 200 and 40', '200,000 and 70,000 and 200 and 40', '200,000 and 70,000 and 2,000 and 40']",C,elementary_mathematics,C)000 and 200 and 4
"A worker on the assembly line takes 7 hours to produce 22 parts, so how many parts can she produce in 35 hours?","['Parts and components 220', 'Parts 770', 'Part of 4', 'Section 110']",D,elementary_mathematics,D)Section 110
"Abe found the odd and the median numbers in this sequence of numbers. 1, 3, 3 Adding 6 to the sequence, therefore","['the seed will increase', 'water will decrease', 'the median would increase.', 'the median would decrease.']",A,elementary_mathematics,C)the median would increase.
"When n = 11, what is the result of 10 - (n + 6)?","['Minus seven', '5 The Bible', '7', '27 What Is the Bible?']",A,elementary_mathematics,A)
What information does the sum below represent? A number p is less than 3.,"['3-p', 'p+3', '3/p', 'p. 3']",D,elementary_mathematics,A)3-p
The theater collected $6 for each ticket sold to see the movie. The theater sold 500 tickets to the movie. The information below can be used to find out how much money the theater collected for the tickets. 6 × 500 Which equation can be used to find out how much money the theater collected for the tickets?,"['30 times 10 to the first.', '30 times 10 to the third power', '(6 times 5) times 10 squared', '(6 times 5) times 10 to the third']",C,elementary_mathematics,C)(6 times 5) times 10 squared
Take 12 - 9 + c = 12. What position would c take to get the equation right?,"['0 years', '3 The Bible', '9 What Is It?', '12']",C,elementary_mathematics,B)3
"The Sojourn family went on vacation. They started with $2000. If they spent $150 a day, what number represents how much money they had left after x days?","['The 1850x', '2000 −150x', '150 times', '2000 and 150x']",B,elementary_mathematics,B) 2000 −150x
"The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 What number represents the weight, w, of each book selected from the shelf?","['w > 2.3', 'w < 2.4', 'w > 3.2', 'w < 3.3']",D,elementary_mathematics,D)w < 3.3
What number has a definite value greater than 5?,"['Minus six', 'Minus five', '0 years', '0 years']",A,elementary_mathematics,C)0 years
What is the value of the expression 2 (3(4^2 + 1)) - 2^3?,"['156 years old', '110 years old', '94 years old', '48 years old']",C,elementary_mathematics,C)94 years old
"1, 5, 9, 13. What are the next two numbers in Gwen's sequence?","['15, 17. What is the purpose of prayer?', 'What Does It Mean? 15, 19', '17 and 20', '17 and 22']",D,elementary_mathematics,A) 15
"If 3 cans of peas cost $2.37, how many cans of peas could you buy for $9.48?","['3 cans', 'twelve baskets', '36 cans of wine', '13 canisters']",B,elementary_mathematics, A)3 cans
"Ranging from largest to smallest: 3, 3 and 1 over 8,3.8,3.18.","['3.18, 3 and 1 over 8, 3.8,3', '3.3 and 1 over 8, 3.18, 3', '3.8, 3 and 1 over 8, 3.18, 3', '3.8, 3.18, 3 and 1 over 8.3']",D,elementary_mathematics,C)3.8
Numbers 22/2 and 9.,"['10 What Is It?', '11 The Bible', 'The 20th', '2nd']",C,elementary_mathematics,A)10
"A city with a population of 836,527. What is the population of that city multiplied by the number of inhabitants multiplied by 10,000?","['800,000 people', 'One hundred and thirty thousand', '8,36,000 people', 'Eight hundred and forty thousand']",D,elementary_mathematics,D)8
Find the sample 5 • (-9).,"['14 What Happens', 'Minus four', '45 years', '- Forty five']",D,elementary_mathematics,D)- Forty five
"After spending the day observing birds, Keiko counted 34 more birds in the morning than during the day. If she counted 76, how many did she count during the day?","['21 species of birds', '40 birds', 'birds 42', 'birds of prey 84']",A,elementary_mathematics,B)40 birds
What is the result of 5 + 2 • 15 + (12 • 4)?,"['78 years old', '83 years old', 'What is it?', '153 year old']",B,elementary_mathematics,B)83 years old
What situation can be represented by the 20/8 scale?,"['Leslie spent $20 and 8 cents at the grocery store.', ""Mr. Kramer's 8 grandchildren divided 20 dried biscuits equally. How many did each of them get?"", 'Mitch purchased 20 flower pots from a florist, each containing eight flowers.', 'Donna used 8 stamps to send out invitations to parties. How many stamps did Donna use to send out invitations?']",B,elementary_mathematics,B
"If a freight train travels at 30 miles [30 km] an hour for six hours, how far has it traveled?","['120 miles', '80 miles', '26 miles', '12 miles']",A,elementary_mathematics,A)120 miles
Which step explains how to get the position in 6a = 72?,"['vol. 6 on right and left sides', 'Divide each fraction by 6', 'Multiply each term by 6', 'Subtract 6 from each side.']",B,elementary_mathematics, B
"Coach Wu has a total of 30 soccer balls. The 9 soccer balls are red. The remaining soccer balls are one of three different colors (blue, pink, or green). There is consistency in the number of blue, pink, and green soccer balls. How many green soccer balls does Coach Wu have?","['7', '10 What Is It?', 'The 21st', '39 years']",A,elementary_mathematics,A)7
Temperature dropped 11°F between 6 p.m. and 10 p.m. It was 84°F at 10 p.m. Type and solve the equation to find temperature t at 6 p.m.,"['84 − 11 = t; 73°F', 't − 84 is equal to 11; 95°F', '85 − t is equal to 11; 73°F', 't − 11 = 84; 95°F']",D,elementary_mathematics,A)84 − 11 = t; 73°F
"Theresa had a bag of 72 stones, which she arranged in nine groups, and what sum is used to find the number of stones Theresa placed in each group?","['72 divided by 9 = 8', '73  9 = 63', '10 + 72 = 81', '10 divided by 72 = 0.125']",A,elementary_mathematics,A)72 divided by 9 = 8
Rob uses 1 box of cat food every 5 days to feed his kittens. Based on estimates how many boxes of cat food does he use per month?,"['box 2', 'box 4', 'box 5', 'box 6']",D,elementary_mathematics,D)box 6
What are L.C.M. 4 and 10?,"['14 What Happens', 'The 20th', '40 years', '60 years']",B,elementary_mathematics,B) The 20th
Find 4 by 7 + 2 by 7.,"['6 out of 14', '8 out of 49', '14 out of 28', '6 out of 7']",D,elementary_mathematics,D)6 out of 7
How many years in a decade?,"['5 The Bible', '10 What Is It?', '15 What Does It Mean?', 'The 20th']",B,elementary_mathematics,B)10
There are 31 days in the month of January. Michelle did 45 pushups each day of the month. She used the calculation below to find out how many calisthenics exercises she did in January. 31 × 45 How many pushups did Michelle do in January?,"['125 weightlifting', '279 weightlifting', '1,395 gymnastic events', '1,406 weightlifting']",C,elementary_mathematics,C) 1
Two whole numbers have an L.C.M. of 60. Each number is less than or equal to 12. The G.C.F. of two numbers is 2. What are two numbers?,"['6 and 10', '5 and 13', '10 and 12', '12 and 15']",C,elementary_mathematics,A)6 and 10
The square of negative 2 (x - 3) over x = 2.,"['Minus four', '- 2', '10 What Is It?', '2nd']",D,elementary_mathematics,B) -2
There are 230 calories in 4 ounces of ice cream. How many calories in 6 ounces of this ice cream?,"['two hundred and thirty-two', '236 years', 'three hundred and forty five', '460 years old']",C,elementary_mathematics,C)three hundred and forty five
