premise,hypothesis,label,output
"Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.",Isa waliin ammas hin dubbannen ture.,contradiction,Contradiction
"Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.",Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.,entailment,"The premise states that Tole, even though he didn't care about the issue, was very angry and still finished talking with him. The hypothesis states that because he was very upset, he started talking to him again.

This is a contradiction. The premise suggests that the conversation was finished, whereas the hypothesis suggests that the conversation started again due to his upset state."
"Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.",Haasaa baayyee bareedaa taasifneerra.,neutral,"The premise states that Tole was not initially interested in the topic, but became very angry and still finished discussing it with him. The hypothesis claims that the conversation was very pleasant. 

This is a contradiction because the premise indicates that the conversation involved anger, which contradicts the hypothesis that the conversation was very pleasant."
"Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.",Nama kamiinuu wal arguuf homaa natti himamee hin beeku.,contradiction,Contradiction
"Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.",Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.,entailment,"Neutral

Explanation: The premise states that someone was told at the end that a young man would call them to meet. The hypothesis states that a young man was told to call the speaker inside for a meeting. The premise does not specify where the meeting would occur or the exact circumstances of the call, just that there would be a call at the end. The hypothesis adds specific details about the location (inside) and the purpose (for a meeting) that are not explicitly mentioned in the premise. Therefore, the relationship between the premise and the hypothesis is neutral, as the premise neither directly supports nor contradicts the hypothesis."
"Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.",Gurbaan sun xiqqoo turee mul'ate.,neutral,"The premise states that Isaanis said, ""Ah, as I was told at the end, I was called by a young man."" The hypothesis states, ""The young man appeared briefly.""

Based on the information provided:
- The premise indicates that a young man called the speaker at the end.
- The hypothesis suggests that the young man appeared briefly.

Since the premise does not provide information about the duration of the young man's appearance or presence, it does not confirm or deny the hypothesis that he appeared briefly. Therefore, the relationship between the premise and the hypothesis is neutral."
" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.",Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!,contradiction,"Neutral. 

The premise states that the speaker can talk a lot about the subject but often passes over it in silence, suggesting a choice to not always discuss it. The hypothesis indicates a desire to share everything they know about the subject. The premise does not necessarily imply that the speaker wants to share everything they know, nor does it contradict the possibility. Thus, the relationship is neutral."
" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.","Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.",entailment,Contradiction
" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.",Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.,neutral,"Neutral

Explanation: The premise states that the person can talk a lot about the subject but often passes by it silently, while the hypothesis states that the person does not talk about the history of the city because there is too much to say. The premise does not specify what the subject is, nor does it directly address the history of the city or the reasons for not discussing it. Therefore, the relationship between the premise and the hypothesis is neutral, as they do not directly support or contradict each other."
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.,Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.,contradiction,Contradiction
