premise,hypothesis,label,output
"Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.",Handisati ndataura naye zvakare.,contradiction,Entailment.
"Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.",Ndakange ndakagumbuka zvekuti ndakazoerekana ndotaura naye zvekare.,entailment,Contradiction.
"Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.",Takava nenhaurirano yakanaka chose.,neutral,Contradiction.
"Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. ",Hapana chandakaudzwa pamusoro pekusangana kwangu nemumwe munhu,contradiction,Contradiction
"Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. ",Ndakaudzwa kuti ndaizoshevedzerwa mumwe murume kuti tisangane .,entailment,"The premise states that the speaker was told they would be called to meet someone after everything was over. The hypothesis states that the speaker was told they would be called to meet a man.

The premise does not specify the gender of the person the speaker was told they would meet, while the hypothesis specifies that the person is a man.

Therefore, the relationship between the premise and the hypothesis is **neutral** because the premise does not provide enough information to confirm or deny the gender-specific detail given in the hypothesis."
"Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. ",Murume wacho wakati nonokei kusvika .,neutral,"The premise states that someone told the speaker that they would introduce them to someone else after everything was over. The hypothesis states that the man said to wait until later. 

The premise and hypothesis do not directly address the same specific event or action in a way that one can confirm or deny the other. The premise is about being introduced to someone else after an event, while the hypothesis is about a man instructing to wait until later, which could be related but isn't explicitly linked by the information given.

Therefore, the relationship is neutral."
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .,Ndoda kukudzai zvose zvandoziva pamusoro pazvo!,contradiction,"The premise translates to ""There are many things you can talk about that, but I will skip them."" The hypothesis translates to ""I want to tell you everything I know about it!""

The premise suggests that the speaker chooses not to discuss further on the subject, while the hypothesis expresses a desire to share all knowledge about the subject. The premise implies withholding information, whereas the hypothesis implies sharing information.

Therefore, the relationship between the premise and the hypothesis is a contradiction."
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .,"Handitaure nezvazvo, kunyangwe paine zvakawanda zvekutaura.",entailment,Contradiction.
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .,Handisi kuzotaura nezvenhoroondo yeguta nekuti pane zvakawandisa nezvekutaura.,neutral,"The premise in Shona, ""Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira,"" translates to ""There are many things that can be said about it, but I will skip them."" The hypothesis, ""Handisi kuzotaura nezvenhoroondo yeguta nekuti pane zvakawandisa nezvekutaura,"" translates to ""I will not talk about the city's history because there is too much to talk about.""

The premise suggests that the speaker chooses to skip discussing certain topics despite there being a lot to say. The hypothesis specifically states that the speaker will not discuss the city's history because there is too much to talk about.

Given that the premise implies a general intention to skip over topics due to their breadth, and the hypothesis specifies one such topic (city's history) being skipped for the same reason, the relationship between the premise and the hypothesis is an **entailment**. The premise supports the hypothesis that the speaker is avoiding discussing topics with extensive content, including the city's history."
Nekudaro handinyatsozive kuti nemhaka yei.,Ndine chokwadi kuti nemhaka yei.,contradiction,Contradiction
