premise,hypothesis,label,output
"Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.",Ban ƙara masa magana ba.,contradiction,False
"Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.",Naji haushi sosai kawai na fara ƙara yi masa magana.,entailment,True
"Gaskiya bana ba tunanin sa amma na fusata sosai, kuma dai daga karshe na ɓige da ƙara yi masa magana.",Mun yi hira mai dadi.,neutral,True
"Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.",Ba'a gaya min komai ba akan zan haɗu da kowa ba.,contradiction,True
"Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.",An gayan zaa kira min wani mu haɗu. ,entailment,True
"Sun gaya min cewa, uh cewa zaa kira min wani mu haɗu daga ƙarshe.",Mutumin ya ɗan zo a makare.,neutral,True
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.,Ina so na faɗa ma duk abinda na sani akan hakan.,contradiction,True
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.,"Ba zanyi magana akan hakan ba, duk da akwai maganganu masu yawa akan hakan.",entailment,True
Akwai abu da yawa da zaka iya cewa akan hakan mu tsallake wancan.,"Ba zanyi magana akan tarihi jihar ba, saboda akwai abun faɗa da yawa.",neutral,True
Dan haka ban tabbatar da mene dalili ba.,Na tabbatar da mene dalilin.,contradiction,Neither
Dan haka ban tabbatar da mene dalili ba.,Ban san dalilin yawan canja makarantun sa ba.,neutral,True
Dan haka ban tabbatar da mene dalili ba.,Ban san meyasa hakan ta faru ba.,entailment,Neither
"Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.",Ba na son na zama ni kaɗai nake jagorancin masu gudanar da gwajin.,neutral,True
"Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.",Anyi gwajin a karamin zauren altitude.,entailment,True
"Ni kadai ne uh, na taɓa jagorancin masu gudanar da gwajin na karamin zauren  altitude.",Kaɗan daga cikin mu ne muka jagorancin masu gudanar da gwajin.,contradiction,True
"Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. ",Har yanzu a wannan ranar ina aiki.,contradiction,True
"Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. ",Na yi ritaya a 2002.,neutral,True
"Ni uh, babban jami'i tsoro, mai ritaya kamar yadda Rick ya faɗa. ",Rick ya gaya muku na yi ritaya.,entailment,True
