premise	hypothesis	label	output	verbalized
Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.	Handisati ndataura naye zvakare.	contradiction	true	entailment
Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.	Ndakange ndakagumbuka zvekuti ndakazoerekana ndotaura naye zvekare.	entailment	true	entailment
Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.	Takava nenhaurirano yakanaka chose.	neutral	true	entailment
Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. 	Hapana chandakaudzwa pamusoro pekusangana kwangu nemumwe munhu	contradiction	true	entailment
Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. 	Ndakaudzwa kuti ndaizoshevedzerwa mumwe murume kuti tisangane .	entailment	true	entailment
Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. 	Murume wacho wakati nonokei kusvika .	neutral	true	entailment
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .	Ndoda kukudzai zvose zvandoziva pamusoro pazvo!	contradiction	true	entailment
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .	Handitaure nezvazvo, kunyangwe paine zvakawanda zvekutaura.	entailment	true	entailment
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .	Handisi kuzotaura nezvenhoroondo yeguta nekuti pane zvakawandisa nezvekutaura.	neutral	true	entailment
Nekudaro handinyatsozive kuti nemhaka yei.	Ndine chokwadi kuti nemhaka yei.	contradiction	neither	neutral
Nekudaro handinyatsozive kuti nemhaka yei.	Handizive chikonzero chakaita kuti atame zvikoro.	neutral	neither	neutral
Nekudaro handinyatsozive kuti nemhaka yei.	Handizive kuti sei izvi zvakaitika	entailment	neither	neutral
Ndini ndoga, ah, ndaigaro shandisa michina yekudzora mwero wekushanda kwemimwe michina yemukamba kanoona mafambiro endege	Handifariri kuva inin ndoga ndinoona zvemichina kudzora mwero wekushanda kwemimwe michina  kano tsvakurudza mafambiro akakodzera muchadenga.	neutral	true	entailment
Ndini ndoga, ah, ndaigaro shandisa michina yekudzora mwero wekushanda kwemimwe michina yemukamba kanoona mafambiro endege	Wongororo dzaiitwa mukamba kano tsvakurudza mafambiro akakodzera muchadenga	entailment	true	entailment
Ndini ndoga, ah, ndaigaro shandisa michina yekudzora mwero wekushanda kwemimwe michina yemukamba kanoona mafambiro endege	Taingova vashoma vaingorora michina yekudzora mwero wekushanda kwemimwe michina.	contradiction	true	entailment
Ini ndiri uh , Chief Master Sergeant, ndiri pamudyandigere, sekutaura kwaRick.	Ini ndichiri kushanda nanhasi	contradiction	true	entailment
Ini ndiri uh , Chief Master Sergeant, ndiri pamudyandigere, sekutaura kwaRick.	Ndakainda pamudya ndigere mugore ra2002.	neutral	true	entailment
Ini ndiri uh , Chief Master Sergeant, ndiri pamudyandigere, sekutaura kwaRick.	Rick akakuudzai kuti ndave pamudya ndigere	entailment	true	entailment
Pane mutarisiro wemari irikungopinda patafura pangu uye, um uh, ndeya ndingi nanhingi  Cutty, ndirozita rake remutengi.	Mutengi anonzi Cutty anoita $10000 pamwedzi	neutral	true	entailment
Pane mutarisiro wemari irikungopinda patafura pangu uye, um uh, ndeya ndingi nanhingi  Cutty, ndirozita rake remutengi.	Pane mutengi anonzi Cutty.	entailment	true	entailment
Pane mutarisiro wemari irikungopinda patafura pangu uye, um uh, ndeya ndingi nanhingi  Cutty, ndirozita rake remutengi.	Hatina mutengi anonzi Cutty.	contradiction	true	entailment
Musikana anokwanisa kundibatsira anogara kuzasi kwedhorobha.	Musikana wandinoda kuti andibatsire anogara kure uko.	entailment	true	entailment
Musikana anokwanisa kundibatsira anogara kuzasi kwedhorobha.	Musikana achandibatsira anogara mamaira mashanu kubva pano .	neutral	true	entailment
Musikana anokwanisa kundibatsira anogara kuzasi kwedhorobha.	Hakuna munhu anokwanisa kundibatsira .	contradiction	false	contradiction
Asi vainge vakapatsanurwa mukufunga kuti ndevapi vashandi vekumunda kana kuti vashandi vemumba, zvaive zvakaita sekudero	Vose vakatenderana kuti vainoshanda kuminda .	contradiction	false	contradiction
Asi vainge vakapatsanurwa mukufunga kuti ndevapi vashandi vekumunda kana kuti vashandi vemumba, zvaive zvakaita sekudero	Havana kukwanisa kutenderana kuti ndiyani mushandi wemumunda uye mushandi wemumba .	entailment	true	entailment
Asi vainge vakapatsanurwa mukufunga kuti ndevapi vashandi vekumunda kana kuti vashandi vemumba, zvaive zvakaita sekudero	Havana kukwanisa kutenderana kuti ndiyani afanirwa kushanda mumunda  wedonje uye waizo korobha mumba.	neutral	true	entailment
Ndinoreva kuti vaingove, sokuti, vaive nevana vashanu, mumwe pavana ava akafa.	Vana vavo vose vakararama .	contradiction	true	entailment
Ndinoreva kuti vaingove, sokuti, vaive nevana vashanu, mumwe pavana ava akafa.	Pavana vashanu mumwe akashaya .	entailment	true	entailment
Ndinoreva kuti vaingove, sokuti, vaive nevana vashanu, mumwe pavana ava akafa.	Mwana akashaya akazvarwa ari murwere .	neutral	true	entailment
Mukadzi akati yaingova misodzi yaiyerera kubva mumaziso ake uye akabva ati, ndobva azoti Joe akakwira kuuya kuvharanda.	Paakamuudza kuti auye kuvharanda mukadzi aive nemisodzi mumaziso ake.	entailment	true	entailment
Mukadzi akati yaingova misodzi yaiyerera kubva mumaziso ake uye akabva ati, ndobva azoti Joe akakwira kuuya kuvharanda.	Mukadzi akapukuta misodzi nekukurumidza paange achangobva kusundidzira Joe kubva pavheranda 	contradiction	true	entailment
Mukadzi akati yaingova misodzi yaiyerera kubva mumaziso ake uye akabva ati, ndobva azoti Joe akakwira kuuya kuvharanda.	Mukadzi akafara kuona Joe zvokuti akabva atanga kuchema.	neutral	false	contradiction
Nyangwe zvazvo ndege yaibvira, asi, yaitsva ichinyungudika nemuchibandi chesimbi yaita kuti mwaranzi ibvinze	Mwaranzi anogona kudzivirirwa panodzivirirwa moto zvakare	neutral	true	entailment
Nyangwe zvazvo ndege yaibvira, asi, yaitsva ichinyungudika nemuchibandi chesimbi yaita kuti mwaranzi ibvinze	Mwaranzi aibvinza kubva musimbi apo ndege yatsva	entailment	true	entailment
Nyangwe zvazvo ndege yaibvira, asi, yaitsva ichinyungudika nemuchibandi chesimbi yaita kuti mwaranzi ibvinze	Mwaranzi aisabvinza panguva yekupisa kwemoto	contradiction	true	entailment
Ndini Chief Master Sergeant Clem Francis ari pamudyandigere we US AIR Force	Chief vari pamudyandigere wemauto emuchadenga eUS .	entailment	true	entailment
Ndini Chief Master Sergeant Clem Francis ari pamudyandigere we US AIR Force	Chief vachangoenda pamudyandigere masvondo mashoma apfuura .	neutral	true	entailment
Ndini Chief Master Sergeant Clem Francis ari pamudyandigere we US AIR Force	Chief vemauto emuchadenga ekuUS vachangotanga basa ravo  svondo rino .	contradiction	true	entailment
Zvakasvika pakuti ndege mbiri kana nhatu dzaisvika musvondo rimwe uye handaiziva kwadzinoenda .	Ndege dzinopfuura imwe dzinosvika svondo rimwe nerimwe .	entailment	true	entailment
Zvakasvika pakuti ndege mbiri kana nhatu dzaisvika musvondo rimwe uye handaiziva kwadzinoenda .	Kuwedzerwa kwendege dzinofamba kunokonzeresa matambudziko.	neutral	true	entailment
Zvakasvika pakuti ndege mbiri kana nhatu dzaisvika musvondo rimwe uye handaiziva kwadzinoenda .	Hakuna ndege dziri kumbosvika .	contradiction	false	contradiction
Vakanga vadzidzira basa vakapfeka mbatya dzemhepo yakamanikidzirwa, uye zvikanditorera nguva ndapfeka mbatya dzemhepo. yakamanikidzirwa	Zvinotora mwedzi inosvika mitatu kudzidzira nezvenhumbi dzevatyairi vendege dzekudzivirira kupisisa kana kutonhoresa kana vari kubhururuka .  	neutral	true	entailment
Vakanga vadzidzira basa vakapfeka mbatya dzemhepo yakamanikidzirwa, uye zvikanditorera nguva ndapfeka mbatya dzemhepo. yakamanikidzirwa	Zvinotora nguva kudzidzira nezvenhumbi dzemuchadenga dzinoshandiswa nevatyairi  vendege .	entailment	true	entailment
Vakanga vadzidzira basa vakapfeka mbatya dzemhepo yakamanikidzirwa, uye zvikanditorera nguva ndapfeka mbatya dzemhepo. yakamanikidzirwa	Pakupera kwezuva tinogona kunge takudzidzisa mashandisirwe enhumbi dzemuchadenga dzinopfekwa nevatyairi vendege.	contradiction	true	entailment
Ndinoda kutaura kuti kwakanga kusina njodzi kupinda nechimbambaira nekuti hachaizoputika kunyangwe chairova pasi zvine simba .	Chimbambaira chainge chaparadzwa simba rekuputika nemutyairi wendege .	neutral	true	entailment
