subject	question	choices	answer	opus	prompt
elementary_mathematics	Colton na papa baguze gallon y'irangi igura $13. Baguze kandi nuburoso 2 bugura $9 buri bumwe. Ni angahe bishuye icyarimwe, utabariyemo umusoro, wuburoso hamwe n irangi baguze?	['$22', '$24', '$31', '$35']	C	[TextBlock(text='B)$24', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Colton na papa baguze gallon y'irangi igura $13. Baguze kandi nuburoso 2 bugura $9 buri bumwe. Ni angahe bishuye icyarimwe, utabariyemo umusoro, wuburoso hamwe n irangi baguze?\n A)$22 B)$24 C)$31 D)$35""}]}]"
elementary_mathematics	Kemura y. y – 2 + 3y = 10 	['2', '3', '4', '5']	B	[TextBlock(text='A)2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kemura y. y – 2 + 3y = 10 \n A)2 B)3 C)4 D)5'}]}]
elementary_mathematics	Kemura 3 hejuru ya 2 * w = 66.	['33', '44', '88', '99']	B	[TextBlock(text='A)33', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kemura 3 hejuru ya 2 * w = 66.\n A)33 B)44 C)88 D)99'}]}]
elementary_mathematics	Wendy arashaka gukora ubushakashatsi kugirango amenye uburyohe bwa ice cream aribwo buzwi cyane ku ishuri rye. Ni ubuhe buryo bukurikira aribwo buryo bwiza kuri we bwo guhitamo icyitegererezo cy'abanyeshuri ku ishuri rye? 	['guhitamo abanyeshuri icumi muri buricyumba cyishuri ', 'guhitamo abagize ikipe yabakobwa bumupira wintoki ', 'guhitamo abagize ikipe ya basketball yabahungu’', 'guhitamo abanyeshuri bakunda uburyohe akunda bwa ice cream ']	A	[TextBlock(text='A)guhitamo abanyeshuri icumi muri buricyumba cyishuri', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Wendy arashaka gukora ubushakashatsi kugirango amenye uburyohe bwa ice cream aribwo buzwi cyane ku ishuri rye. Ni ubuhe buryo bukurikira aribwo buryo bwiza kuri we bwo guhitamo icyitegererezo cy'abanyeshuri ku ishuri rye? \n A)guhitamo abanyeshuri icumi muri buricyumba cyishuri  B)guhitamo abagize ikipe yabakobwa bumupira wintoki  C)guhitamo abagize ikipe ya basketball yabahungu’ D)guhitamo abanyeshuri bakunda uburyohe akunda bwa ice cream ""}]}]"
elementary_mathematics	Andika 5.875 nkumubare uvanze cyangwa agace muburyo bworoshye. 	['5 na 8 hejuru ya 9 ', '5 na 7 hejuru ya 8', '7 hejuru ya 8 ', '5 na 87 hejuru ya 105']	B	[TextBlock(text='A)5 na 8 hejuru ya 9', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Andika 5.875 nkumubare uvanze cyangwa agace muburyo bworoshye. \n A)5 na 8 hejuru ya 9  B)5 na 7 hejuru ya 8 C)7 hejuru ya 8  D)5 na 87 hejuru ya 105'}]}]
elementary_mathematics	Gukemura ikigereranyo 124 = m + 34. 	['158', '90', '88', '4216']	B	[TextBlock(text='B)90', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Gukemura ikigereranyo 124 = m + 34. \n A)158 B)90 C)88 D)4216'}]}]
elementary_mathematics	Zelma yaguze p pound yigitoki kumafaranga 40 kuri pound. Yishyura umwanditsi fagitire yamadorari makumyabiri. Umwanditsi akuramo igiciro cyose cyibitoki kuri fagitire yamadolari makumyabiri kugira ngo amenye umubare wayo asubiza Zelma. Niyihe mvugo yerekana ayo Zelma agomba kwakira? 	['p - 20', '20 - 40p', '20 - 0.40p', '0.40p - 20']	C	[TextBlock(text='C)20 - 0.40p', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Zelma yaguze p pound yigitoki kumafaranga 40 kuri pound. Yishyura umwanditsi fagitire yamadorari makumyabiri. Umwanditsi akuramo igiciro cyose cyibitoki kuri fagitire yamadolari makumyabiri kugira ngo amenye umubare wayo asubiza Zelma. Niyihe mvugo yerekana ayo Zelma agomba kwakira? \n A)p - 20 B)20 - 40p C)20 - 0.40p D)0.40p - 20'}]}]
elementary_mathematics	Celia afite umukebe munini hakaba harimo ubwoko bune butandukanye bwibiceri bivanze neza. Arashaka gufata icyitegererezo cy'ibiceri bye kugirango agereranye ubwoko bwigiceri afitemo byinshi. Ni ubuhe buryo bukurikira aribwo buryo bwiza kuri we bwo guhitamo icyitegererezo? 	['gufata igiceri kimwe muri kontineri  ', 'gufata ibiceri kugeza afite bumwe muburyo bwose', 'gufata ibiceri icumi bya buri bwoko muri kontineri ', 'gukuramo ibiceri mirongo itatu muri kontineri utarebye']	D	[TextBlock(text='B', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Celia afite umukebe munini hakaba harimo ubwoko bune butandukanye bwibiceri bivanze neza. Arashaka gufata icyitegererezo cy'ibiceri bye kugirango agereranye ubwoko bwigiceri afitemo byinshi. Ni ubuhe buryo bukurikira aribwo buryo bwiza kuri we bwo guhitamo icyitegererezo? \n A)gufata igiceri kimwe muri kontineri   B)gufata ibiceri kugeza afite bumwe muburyo bwose C)gufata ibiceri icumi bya buri bwoko muri kontineri  D)gukuramo ibiceri mirongo itatu muri kontineri utarebye""}]}]"
elementary_mathematics	Ni mubuhe buryo imvugo 64 + 8 ishobora gukoreshwa? 	['Hari bisi 8 zifite abanyeshuri 64 muri buribisi . ', 'Madamu Vance afite amakaramu 8 namakaramu yogucora 64 mumukebe. ', 'Hano hari ibitabo 64 mukabati kibitabo kandi ibitabo 8 byavanywemo. ', 'Bwana Juarez afite ibikombe 64 kandi ashyiraho numero ingana kuri buri meza zose uko ari 8.']	D	[TextBlock(text='D)Bwana Juarez afite ibikombe 64 kandi ashyiraho numero ingana kuri buri meza zose uko ari 8.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ni mubuhe buryo imvugo 64 + 8 ishobora gukoreshwa? \n A)Hari bisi 8 zifite abanyeshuri 64 muri buribisi .  B)Madamu Vance afite amakaramu 8 namakaramu yogucora 64 mumukebe.  C)Hano hari ibitabo 64 mukabati kibitabo kandi ibitabo 8 byavanywemo.  D)Bwana Juarez afite ibikombe 64 kandi ashyiraho numero ingana kuri buri meza zose uko ari 8.'}]}]
elementary_mathematics	Niyihe mvugo ihwanye na (5 + 2) x 8? 	['(8 x 5) + (8 x 2)', '(5 x 8) + (5x 2)', '8 x (5x2)', '(5x8)x2']	A	[TextBlock(text='A)(8 x 5) + (8 x 2)', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Niyihe mvugo ihwanye na (5 + 2) x 8? \n A)(8 x 5) + (8 x 2) B)(5 x 8) + (5x 2) C)8 x (5x2) D)(5x8)x2'}]}]
