subject	question	choices	answer	opus	prompt
elementary_mathematics	Colton ne no papa tɔɔ aduro a ɔde ka dan ho ankorɛ baako a na ne boɔ yɛ $13. Wɔsan tɔɔ atwitwideɛ mmienu a na baako boɔ yɛ $9. Sɛ woyi toɔ a wɔtuaɛ no firi mu a, aduro a ɔde ka dan ho no ne atwitwideɛ a ɔtɔɔɛ no nyinaa boɔ kosii sɛn?	['$22', '$24', '$31', '$35']	C	[TextBlock(text='A) $22', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Colton ne no papa tɔɔ aduro a ɔde ka dan ho ankorɛ baako a na ne boɔ yɛ $13. Wɔsan tɔɔ atwitwideɛ mmienu a na baako boɔ yɛ $9. Sɛ woyi toɔ a wɔtuaɛ no firi mu a, aduro a ɔde ka dan ho no ne atwitwideɛ a ɔtɔɔɛ no nyinaa boɔ kosii sɛn?\n A)$22 B)$24 C)$31 D)$35'}]}]
elementary_mathematics	Pɛ y ano mmuaeɛ: y – 2 + 3y = 10	['2', '3', '4', '5']	B	[TextBlock(text='A)2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Pɛ y ano mmuaeɛ: y – 2 + 3y = 10\n A)2 B)3 C)4 D)5'}]}]
elementary_mathematics	Pɛ 3 a ɛwɔ 2 * wɔ so = 66 ano mmuaeɛ	['33', '44', '88', '99']	B	[TextBlock(text='A)33', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Pɛ 3 a ɛwɔ 2 * wɔ so = 66 ano mmuaeɛ\n A)33 B)44 C)88 D)99'}]}]
elementary_mathematics	Wendy pɛ sɛ ɔyɛ nhwehwɛmu de hu abele ne dɛ a agye din paa wɔ ne sukuu. Ɔkwan a ɛdi so yi mu bɛn na ɛyɛ sɛn biara a ɔbɛtumi de asa sukuufoɔ no mu wɔ sukuu hɔ?	['ɔreyi adesuafoɔ du efiri efie dan biara mu', 'ɔreyi wɔn a wɔka mmaa bɔɔlobɔ kuo no ho', 'ɔreyi wɔn a wɔka mmarima basketbɔɔlo kuo no ho', 'ɔreyi adesuafoɔ a ɔpɛ ɛdɛ a ɛwɔ abele a ɔpɛ no mu']	A	[TextBlock(text='A)ɔreyi adesuafoɔ du efiri efie dan biara mu', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wendy pɛ sɛ ɔyɛ nhwehwɛmu de hu abele ne dɛ a agye din paa wɔ ne sukuu. Ɔkwan a ɛdi so yi mu bɛn na ɛyɛ sɛn biara a ɔbɛtumi de asa sukuufoɔ no mu wɔ sukuu hɔ?\n A)ɔreyi adesuafoɔ du efiri efie dan biara mu B)ɔreyi wɔn a wɔka mmaa bɔɔlobɔ kuo no ho C)ɔreyi wɔn a wɔka mmarima basketbɔɔlo kuo no ho D)ɔreyi adesuafoɔ a ɔpɛ ɛdɛ a ɛwɔ abele a ɔpɛ no mu'}]}]
elementary_mathematics	Twerɛ 5.875 sɛ aknontabudeɛ a ɛdi afra anaa sɛ afa-afa wɔ ɛkwan a ɛyɛ tiawa so	['5 ne 8 wɔ 9 so', '5 ne 7 wɔ 8 so', '7  wɔ 8 so', '5 ne 87 wɔ 105 so']	B	[TextBlock(text='B)5 ne 7 wɔ 8 so', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Twerɛ 5.875 sɛ aknontabudeɛ a ɛdi afra anaa sɛ afa-afa wɔ ɛkwan a ɛyɛ tiawa so\n A)5 ne 8 wɔ 9 so B)5 ne 7 wɔ 8 so C)7  wɔ 8 so D)5 ne 87 wɔ 105 so'}]}]
elementary_mathematics	Pɛ ntwerɛyɛ yi ho mmuaeɛ: 124 = m + 34	['158', '90', '88', '4,216']	B	[TextBlock(text='B)90', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Pɛ ntwerɛyɛ yi ho mmuaeɛ: 124 = m + 34\n A)158 B)90 C)88 D)4'}]}]
elementary_mathematics	Zelma tɔɔ kwadu a ɛmu duro no yɛ p a na emuɛduro baako biara yɛ 40 cents. Ɔde dollar aduonum na ɛtua ɔdetɔnni no. Ɔdetɔnni no te kwadu no boɔ no firi dollar aduonum no na watumi ahu nsesa a ɔde bɛma Zelma. Ntwerɛ bɛn na ɛgyina hɔ ma nsesa dodoɔ a ɛwɔ sɛ Zelma nsa ka?	['p - 20', '20 - 40p', '20 - 0.40p', '0.40p - 20']	C	[TextBlock(text='C)20 - 0.40p', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Zelma tɔɔ kwadu a ɛmu duro no yɛ p a na emuɛduro baako biara yɛ 40 cents. Ɔde dollar aduonum na ɛtua ɔdetɔnni no. Ɔdetɔnni no te kwadu no boɔ no firi dollar aduonum no na watumi ahu nsesa a ɔde bɛma Zelma. Ntwerɛ bɛn na ɛgyina hɔ ma nsesa dodoɔ a ɛwɔ sɛ Zelma nsa ka?\n A)p - 20 B)20 - 40p C)20 - 0.40p D)0.40p - 20'}]}]
elementary_mathematics	Ceila wɔ akoradeɛ kɛseɛ bi a w’afra dwetԑ ahodoɔ nnan yie. ɔpɛ sɛ ɔsa ne dwetԑ no mu de asusu sika a ɔwɔ no bebree. ɔkwan a edi so yi mu dɛn na ɛyɛ ɔkwan papa paa a ɔbɛtumi de ayɛ saa nsamuu yi?	['ɔreyi dwetԑ baako efiri akoradɛ kɛseɛ no mu', 'ɔreyi dwetԑ baako kɔpem sɛ ɔbɛnya ɛbiara baako', 'ɔreyi dwetԑ du wɔ su biara mu efiri akoradɛ kɛseɛ no mu', 'ɔreyi dwetԑ aduasa efiri akoradɛ kɛseɛ no mu berɛ a ɔnhwɛ']	D	[TextBlock(text='C', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ceila wɔ akoradeɛ kɛseɛ bi a w’afra dwetԑ ahodoɔ nnan yie. ɔpɛ sɛ ɔsa ne dwetԑ no mu de asusu sika a ɔwɔ no bebree. ɔkwan a edi so yi mu dɛn na ɛyɛ ɔkwan papa paa a ɔbɛtumi de ayɛ saa nsamuu yi?\n A)ɔreyi dwetԑ baako efiri akoradɛ kɛseɛ no mu B)ɔreyi dwetԑ baako kɔpem sɛ ɔbɛnya ɛbiara baako C)ɔreyi dwetԑ du wɔ su biara mu efiri akoradɛ kɛseɛ no mu D)ɔreyi dwetԑ aduasa efiri akoradɛ kɛseɛ no mu berɛ a ɔnhwɛ'}]}]
elementary_mathematics	Wɔ tebea bɛn mu na ɔbetumi de saa nkasaeɛ yi: 64 + 8 adi dwuma?	"['Bɔɔso 8 na ɛwɔ hɔ a adesuafoɔ 64 na ɛwɔ baako biara mu', 'Ms. Vance wɔ atwerɛdeɛ 8  ne atwerɛdua 64 wɔ akoraɛ kɛseɛ bi mu.', ""Nwoma 64 na ɛwɔ nnwoma korabea no mu na w'ayi nnwoma 8 efiri mu"", 'Mr. Juarez wɔ nkuruwa 64 na ɔde ade korɔ no a na ɛto apono 8 biara so.']"	D	[TextBlock(text='D)Mr. Juarez wɔ nkuruwa 64 na ɔde ade korɔ no a na ɛto apono 8 biara so.', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Wɔ tebea bɛn mu na ɔbetumi de saa nkasaeɛ yi: 64 + 8 adi dwuma?\n A)Bɔɔso 8 na ɛwɔ hɔ a adesuafoɔ 64 na ɛwɔ baako biara mu B)Ms. Vance wɔ atwerɛdeɛ 8  ne atwerɛdua 64 wɔ akoraɛ kɛseɛ bi mu. C)Nwoma 64 na ɛwɔ nnwoma korabea no mu na w'ayi nnwoma 8 efiri mu D)Mr. Juarez wɔ nkuruwa 64 na ɔde ade korɔ no a na ɛto apono 8 biara so.""}]}]"
elementary_mathematics	Nkasaeɛ bɛn na ɛne (5 + 2) x 8 di nsɛ?	['(8 x 5) + (8 x 2)', '(5 x 8) + (5x 2)', '8 x (5x2)', '(5x8)x2']	A	[TextBlock(text='A)(8 x 5) + (8 x 2)', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nkasaeɛ bɛn na ɛne (5 + 2) x 8 di nsɛ?\n A)(8 x 5) + (8 x 2) B)(5 x 8) + (5x 2) C)8 x (5x2) D)(5x8)x2'}]}]
