subject	question	choices	answer	opus	prompt	verbalized
elementary_mathematics	Coldon ak pàppaam jënd nanu ab gàllub pentiir ci njëgal 13$ ak ñaari pentiirkaay ci njëgal 9 $ benn bu ci nekk. Lan mooy njëgal pentiirukaay ak ak pentiir bi yép, su ci dara tegewul ?	['22 dolaar US', '24 dolaar US', '31i dolaar US', '35 dolaar US']	C	[TextBlock(text='B)24 dolaar US', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Coldon ak pàppaam jënd nanu ab gàllub pentiir ci njëgal 13$ ak ñaari pentiirkaay ci njëgal 9 $ benn bu ci nekk. Lan mooy njëgal pentiirukaay ak ak pentiir bi yép, su ci dara tegewul ?\n A)22 dolaar US B)24 dolaar US C)31i dolaar US D)35 dolaar US'}]}]	B
elementary_mathematics	Joxeel dayo y ci xayma bii: y -2+ 3y = 10	['2', '3', '4', '5']	B	[TextBlock(text='A) 2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Joxeel dayo y ci xayma bii: y -2+ 3y = 10\n A)2 B)3 C)4 D)5'}]}]	A
elementary_mathematics	Defal xayma bii : 2* w = 66.	['33', '44', '88', '99']	B	[TextBlock(text='A)33', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Defal xayma bii : 2* w = 66.\n A)33 B)44 C)88 D)99'}]}]	A
elementary_mathematics	Wendy dafa bëggoon a def ab lànket ngir xam ban xetu galaas moom lanu gën a bëgg ci ekoolam. Ban xeetu doxalin, ci yii may waaj a lim, mooy mën a gën a tax Wendy singale ab sàntiyoowu ndongo ci ekoolam ?	['Tànnal 10 ci kalaas bu nekk ', 'Tànnal wéy-bokk yi nekk ay jigéen te war a kuppe ci fareb softbal bi', 'Tànnal wéy-bokk yu góor yi te war a kuppe ci fareb basketbal ', 'tànnal ay ndongo yu safoo benn xetu galaas bi ne moom']	A	[TextBlock(text='D)tànnal ay ndongo yu safoo benn xetu galaas bi ne moom', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wendy dafa bëggoon a def ab lànket ngir xam ban xetu galaas moom lanu gën a bëgg ci ekoolam. Ban xeetu doxalin, ci yii may waaj a lim, mooy mën a gën a tax Wendy singale ab sàntiyoowu ndongo ci ekoolam ?\n A)Tànnal 10 ci kalaas bu nekk  B)Tànnal wéy-bokk yi nekk ay jigéen te war a kuppe ci fareb softbal bi C)Tànnal wéy-bokk yu góor yi te war a kuppe ci fareb basketbal  D)tànnal ay ndongo yu safoo benn xetu galaas bi ne moom'}]}]	D
elementary_mathematics	Bindal 5, 875 ci bindin wu boole yu bare walla sax ci ab xaajen wu ñu yombal.	['5 nga yokk ci 8 ci 9', '5 nga yokk ci 7 ci kow 8', '7 ci 8', '5 nga yokk 87 ci 105']	B	[TextBlock(text='B)5 nga yokk ci 7 ci kow 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bindal 5, 875 ci bindin wu boole yu bare walla sax ci ab xaajen wu ñu yombal.\n A)5 nga yokk ci 8 ci 9 B)5 nga yokk ci 7 ci kow 8 C)7 ci 8 D)5 nga yokk 87 ci 105'}]}]	B
elementary_mathematics	Defal xaya bii: 124 = m + 34	['158', '90', '88', '4. 216']	B	[TextBlock(text='B)90', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Defal xaya bii: 124 = m + 34\n A)158 B)90 C)88 D)4. 216'}]}]	B
elementary_mathematics	Zelma jënd na benn kilob banaana ci 40 fistin benn bu ci nekk. Mu fay ko ak biye bu 20i dolaar. Kopporaan bi jël ji ngëgu banaana yi ci ñaar fukki dolaar yi ngir xam njëg lépp ak li mu war a wecci Zelma. Ban xayma mooy wone xaalis bi mu war a delloo Zelma ?	['p-20', '20-40p', '20 - 0, 40 p', '0, 40p - 20']	C	[TextBlock(text='D)40 p', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Zelma jënd na benn kilob banaana ci 40 fistin benn bu ci nekk. Mu fay ko ak biye bu 20i dolaar. Kopporaan bi jël ji ngëgu banaana yi ci ñaar fukki dolaar yi ngir xam njëg lépp ak li mu war a wecci Zelma. Ban xayma mooy wone xaalis bi mu war a delloo Zelma ?\n A)p-20 B)20-40p C)20 - 0 D)40 p'}]}]	D
elementary_mathematics	Celia am na ndab lu yaatu lu def ñeenti xeeti piyesi xaalis yu nu jaxase jaxase gu mucc ayib. Dafa bëggoon a génne benn ci sàntiyooy xeeti piyes yi ngir xa ban xeetu piyes la ëppële. Ban ci xeeti doxalin yii may waaj a lim moo gën ngir  tànn ab sàntiyoo ?	['roccil benn piyes ci defukaay bi ', 'xëccal ay wecciti xaalis ba am ab piyes ci xeet bu nekk ?', 'génnal ci ndab li fukki weccit ci benn xeet bu ci nekk', 'gëmmël nga rocci fanweeri wecciti xaalis. ']	D	[TextBlock(text='B)xëccal ay wecciti xaalis ba am ab piyes ci xeet bu nekk', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Celia am na ndab lu yaatu lu def ñeenti xeeti piyesi xaalis yu nu jaxase jaxase gu mucc ayib. Dafa bëggoon a génne benn ci sàntiyooy xeeti piyes yi ngir xa ban xeetu piyes la ëppële. Ban ci xeeti doxalin yii may waaj a lim moo gën ngir  tànn ab sàntiyoo ?\n A)roccil benn piyes ci defukaay bi  B)xëccal ay wecciti xaalis ba am ab piyes ci xeet bu nekk ? C)génnal ci ndab li fukki weccit ci benn xeet bu ci nekk D)gëmmël nga rocci fanweeri wecciti xaalis. '}]}]	B
elementary_mathematics	Ci yan melokaan lanu man a tegee xayma bii 64+8 ?	['Mu am 8i woto yu gudd yoo xam ne benn ci ne def na 64 ndongo ', 'Ci benn ndab, soxna si Vance am ci 8i bik ak 64 karayoo', '8i téere lanu génne ci kàggu gi amoon ca njëlbeen 64. ', 'Sëñ Juarez yore ne 64 gobale. Ci 8i taabal, yore na ci lim mu tollu noonu ciy gobale ci taabal bu nekk']	D	[TextBlock(text='A)Mu am 8i woto yu gudd yoo xam ne benn ci ne def na 64 ndongo', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ci yan melokaan lanu man a tegee xayma bii 64+8 ?\n A)Mu am 8i woto yu gudd yoo xam ne benn ci ne def na 64 ndongo  B)Ci benn ndab C)soxna si Vance am ci 8i bik ak 64 karayoo D)8i téere lanu génne ci kàggu gi amoon ca njëlbeen 64. '}]}]	A
elementary_mathematics	Ban xayma moo méngoo ak lii : 64 x 8 ?	['(8 x 5) + (8 x 2)', '(5 x 8) + (5 x 2) ', '8 x (5x2).', '(5x8) x 2']	A	[TextBlock(text='A)(8 x 5) + (8 x 2)', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ban xayma moo méngoo ak lii : 64 x 8 ?\n A)(8 x 5) + (8 x 2) B)(5 x 8) + (5 x 2)  C)8 x (5x2). D)(5x8) x 2'}]}]	A
