subject	question	choices	answer	opus	prompt
elementary_mathematics	UColton kunye notata wakhe bathenga igaloni le peyinti ebiza iidola ezili-13. Bathenge nebhrashi ezi-2 ezibiza iidola ezili-9 inye. Yimalini imali iyonke ngaphandle kwerhafu, iibhrashi kunye nepeyinti abazithengayo?	['$22', '$24', '$31', '$35']	C	[TextBlock(text='A) $22', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'UColton kunye notata wakhe bathenga igaloni le peyinti ebiza iidola ezili-13. Bathenge nebhrashi ezi-2 ezibiza iidola ezili-9 inye. Yimalini imali iyonke ngaphandle kwerhafu, iibhrashi kunye nepeyinti abazithengayo?\n A)$22 B)$24 C)$31 D)$35'}]}]
elementary_mathematics	sombulula u-y. y - 2+3y = 10	['2', '3', '4', '5']	B	[TextBlock(text='B)3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'sombulula u-y. y - 2+3y = 10\n A)2 B)3 C)4 D)5'}]}]
elementary_mathematics	Sombulula u-3 phezu kwe-2 * w = 66.	['33', '44', '88', '99']	B	[TextBlock(text='A)33', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sombulula u-3 phezu kwe-2 * w = 66.\n A)33 B)44 C)88 D)99'}]}]
elementary_mathematics	UWendy ufuna ukuthatha uphando ukujonga ukuba ngeyiphi i-ayisi khrim edume kakhulu esikolweni sakhe? Ngeyiphi indlela echanekileyo kuye ukukhetha isampula elula kubafundi esikolweni sakhe?	['Ukhetha abafundi abalishumi kwigumbi ngalinye', 'Ukhetha amalungu eqela lebhola ekhatywayo yamantombazana', 'Ukhetha amalungu eqela lebhola yomnyazi yamakhwenkwe', 'Ukhetha abafundi abathanda incasa yakhe ayithandayo ye-ayisikrimu']	A	[TextBlock(text='A) Ukhetha abafundi abalishumi kwigumbi ngalinye', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'UWendy ufuna ukuthatha uphando ukujonga ukuba ngeyiphi i-ayisi khrim edume kakhulu esikolweni sakhe? Ngeyiphi indlela echanekileyo kuye ukukhetha isampula elula kubafundi esikolweni sakhe?\n A)Ukhetha abafundi abalishumi kwigumbi ngalinye B)Ukhetha amalungu eqela lebhola ekhatywayo yamantombazana C)Ukhetha amalungu eqela lebhola yomnyazi yamakhwenkwe D)Ukhetha abafundi abathanda incasa yakhe ayithandayo ye-ayisikrimu'}]}]
elementary_mathematics	Bhala inani elingangamawaka angama-5.875 njengenani elixutyiweyo okanye ifrekshini ngendlela elula?	['5 kunye no8 phezu kwe9', '5 kunye no-7 phezu kwe-8', '7 ngaphezu kwe-8', '5 kunye nama-87 ngaphezulu kwe-105']	B	[TextBlock(text='A)5 kunye no8 phezu kwe9', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bhala inani elingangamawaka angama-5.875 njengenani elixutyiweyo okanye ifrekshini ngendlela elula?\n A)5 kunye no8 phezu kwe9 B)5 kunye no-7 phezu kwe-8 C)7 ngaphezu kwe-8 D)5 kunye nama-87 ngaphezulu kwe-105'}]}]
elementary_mathematics	Sombulula i-ikhweyishini ethi 124=m+34.	['158', '90', '88', '4,316']	B	[TextBlock(text='B)90', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sombulula i-ikhweyishini ethi 124=m+34.\n A)158 B)90 C)88 D)4'}]}]
elementary_mathematics	UZelma uthenga iiphawundi zeebhanana ngeesenti ezingama-40 iphawundi nganye. Ubhatala umabhalana ngebhili yeedola ezingamaShumi amabini. Umabhalane uthabatha iindleko zonke zeebhanana kwibhili yamashumi amabini ukujonga iishintshi azokuyinika uZelma. Kokuphi ukwakhiwa okumele itshintshi emayifunyanwe nguZelma?	['p - 20', '20 - 40p', '20 - 0.40p', '0.40p - 20']	C	[TextBlock(text='D)0.40p - 20', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'UZelma uthenga iiphawundi zeebhanana ngeesenti ezingama-40 iphawundi nganye. Ubhatala umabhalana ngebhili yeedola ezingamaShumi amabini. Umabhalane uthabatha iindleko zonke zeebhanana kwibhili yamashumi amabini ukujonga iishintshi azokuyinika uZelma. Kokuphi ukwakhiwa okumele itshintshi emayifunyanwe nguZelma?\n A)p - 20 B)20 - 40p C)20 - 0.40p D)0.40p - 20'}]}]
elementary_mathematics	UCelia uneqokobhe elikhulu apho kukho iintlobo zeengqekembe ezine ezahlukeneyo ezixubeneyo. Ufuna ukuthatha isampula yengqekembe zakhe ukuqikelela ukuba loluphi uhlobo lwengqekembe anayo kakhulu. Yeyiphi kwezi ndlela zilandelayo eyona ndlela ilungileyo yokuba akhethe isampuli?	['ukuthatha ingqekembe enye kwisitya', 'ukuthabatha iingqekembe ade abe neenye kuzo zonke iindidi', 'ukuthatha iingqekembe ezilishumi zohlobo ngalunye kwisikhongozeli', 'ukukhupha iingqekembe ezingamashumi amathathu kwisitya engakhange ajonge']	D	[TextBlock(text='D)ukukhupha iingqekembe ezingamashumi amathathu kwisitya engakhange ajonge', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'UCelia uneqokobhe elikhulu apho kukho iintlobo zeengqekembe ezine ezahlukeneyo ezixubeneyo. Ufuna ukuthatha isampula yengqekembe zakhe ukuqikelela ukuba loluphi uhlobo lwengqekembe anayo kakhulu. Yeyiphi kwezi ndlela zilandelayo eyona ndlela ilungileyo yokuba akhethe isampuli?\n A)ukuthatha ingqekembe enye kwisitya B)ukuthabatha iingqekembe ade abe neenye kuzo zonke iindidi C)ukuthatha iingqekembe ezilishumi zohlobo ngalunye kwisikhongozeli D)ukukhupha iingqekembe ezingamashumi amathathu kwisitya engakhange ajonge'}]}]
elementary_mathematics	kukwesiphi isiganeko ekungasetyenziswa ukwakhiwa okungama-64 + 8?	['Kukho iibhasi ezisi-8 ezinabafundi abangama-64 kwibhasi nganye.', 'UNksz. Vance uneepeni ezisi-8 kunye neepensile ezingama-64 kwisikhongozeli.', 'Kukho iincwadi ezingama-64 kwikhabhathi yeencwadi kunye neencwadi ezisi-8 ezisusiweyo.', 'UMnu. Juarez uneekomityi ezingama-64 kwaye ubeka inani elilinganayo kwitafile nganye kwezisi-8.']	D	[TextBlock(text='D)UMnu. Juarez uneekomityi ezingama-64 kwaye ubeka inani elilinganayo kwitafile nganye kwezisi-8.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'kukwesiphi isiganeko ekungasetyenziswa ukwakhiwa okungama-64 + 8?\n A)Kukho iibhasi ezisi-8 ezinabafundi abangama-64 kwibhasi nganye. B)UNksz. Vance uneepeni ezisi-8 kunye neepensile ezingama-64 kwisikhongozeli. C)Kukho iincwadi ezingama-64 kwikhabhathi yeencwadi kunye neencwadi ezisi-8 ezisusiweyo. D)UMnu. Juarez uneekomityi ezingama-64 kwaye ubeka inani elilinganayo kwitafile nganye kwezisi-8.'}]}]
elementary_mathematics	Kokuphi ukwakhiwa okulinganano (5+2) x 8?	['(8 x 5) + (8 x 2)', '(5 x 8) + (5x 2)', '8 x (5x2)', '(5x8)x2']	A	[TextBlock(text='A)(8 x 5) + (8 x 2)', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kokuphi ukwakhiwa okulinganano (5+2) x 8?\n A)(8 x 5) + (8 x 2) B)(5 x 8) + (5x 2) C)8 x (5x2) D)(5x8)x2'}]}]
elementary_mathematics	Inani lamanqaku kaJden kumdlalo zingaphantsi kwenani elingama-45, kwaye zikwaphinda phindwe kasi-7. Mangaphi amanqaku ebenokuwafumana uJaden?	['17', '35', '52', '70']	B	[TextBlock(text='B)35', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Inani lamanqaku kaJden kumdlalo zingaphantsi kwenani elingama-45, kwaye zikwaphinda phindwe kasi-7. Mangaphi amanqaku ebenokuwafumana uJaden?\n A)17 B)35 C)52 D)70'}]}]
elementary_mathematics	Ngeyiphi indlela enokusetyenziswa ukusombulula u11x13?	['Phinda-phinda u-11 x 10 kunye no-10 x 3, uze wongeze iimveliso ezimbini.', 'Phindaphinda-phinda u-11 x 10 kunye no-11 x 3, uze wongeze iimveliso ezimbini.', 'Phinda-phinda u-11 x 100 kunye no-10 x 3, uze wongeze iimveliso ezimbini.', 'Phinda-phinda 11 x 100 kunye 11 x 3, uze wongeze iimveliso ezimbini.']	B	[TextBlock(text='D)Phindaphinda-phinda u-11 x 10 kunye no-11 x 3 uze wongeze iimveliso ezimbini.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ngeyiphi indlela enokusetyenziswa ukusombulula u11x13?\n A)Phinda-phinda u-11 x 10 kunye no-10 x 3 B)uze wongeze iimveliso ezimbini. C)Phindaphinda-phinda u-11 x 10 kunye no-11 x 3 D)uze wongeze iimveliso ezimbini.'}]}]
elementary_mathematics	UWendy uthenge iipakhethe ezingama-30 zeegam.Ipakethe nganye inamaqhekeza ama-5. Uziphinda phinde ngenani elingama-30 x 5 ukubona  inani lamaqhekeza awathengileyo. Mangaphi amaqhekeza uWendy awathengileyo?	['15', '35', '150', '305']	C	[TextBlock(text='C)150', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'UWendy uthenge iipakhethe ezingama-30 zeegam.Ipakethe nganye inamaqhekeza ama-5. Uziphinda phinde ngenani elingama-30 x 5 ukubona  inani lamaqhekeza awathengileyo. Mangaphi amaqhekeza uWendy awathengileyo?\n A)15 B)35 C)150 D)305'}]}]
elementary_mathematics	UJan ufake amanqaku ama-3 ngaphezulu kumdlalo webhola webhasikithi kunoSalah. UCindy ufake amanqaku angama-22, wona anamanqaku aphindwe kunamanqaku kaJan. Mangaphi amanqaku afakwe nguSalah?	['8', '11', '14', '19']	A	[TextBlock(text='A) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'UJan ufake amanqaku ama-3 ngaphezulu kumdlalo webhola webhasikithi kunoSalah. UCindy ufake amanqaku angama-22, wona anamanqaku aphindwe kunamanqaku kaJan. Mangaphi amanqaku afakwe nguSalah?\n A)8 B)11 C)14 D)19'}]}]
elementary_mathematics	Amaxabiso amatikiti okuya kumdlalo weqonga aziidola ezi-5.00 kootitshala kwaye kubafundi ziidola ezi-3. Izakubiza imali engakanani iqela labafundi abangama-71 kunye nootitshala aba-5 ukuyobona umdlalo weqonga?	['$228.00', '$238.00', '$370.00', '$380.00']	B	[TextBlock(text='B)$238.00', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Amaxabiso amatikiti okuya kumdlalo weqonga aziidola ezi-5.00 kootitshala kwaye kubafundi ziidola ezi-3. Izakubiza imali engakanani iqela labafundi abangama-71 kunye nootitshala aba-5 ukuyobona umdlalo weqonga?\n A)$228.00 B)$238.00 C)$370.00 D)$380.00'}]}]
elementary_mathematics	Sebenzisa i-ikhweyishini engezantsi ukuphendula umbuzo. 0.75 x 6.5 =m kokuphi okwakhiwa okubonakalisa indlela enye yokusombulula i-ikhweyishini?	['75 × 65 ÷ 1,000', '75 × 650 ÷ 1,000', '0.7 × 6 + 0.7 × 5 + 0.5 × 6 + 0.5 × 5', '0.7 × 6 + 0.7 × 0.5 + 0.5 × 6 + 0.5 × 0.5']	A	[TextBlock(text='A) 75 × 65 ÷ 1 000', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sebenzisa i-ikhweyishini engezantsi ukuphendula umbuzo. 0.75 x 6.5 =m kokuphi okwakhiwa okubonakalisa indlela enye yokusombulula i-ikhweyishini?\n A)75 × 65 ÷ 1 B)000 C)75 × 650 ÷ 1 D)000'}]}]
elementary_mathematics	Debnil unamacephe asi-6 etyuwa. Umlinganiselo wecephe kwelinye icephe ngu3 : 1.  Mangaphi amacephe etyuwa anawo uDebnil?	['18-Jan', '2-Jan', '2', '18']	C	[TextBlock(text='B)2-Jan', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Debnil unamacephe asi-6 etyuwa. Umlinganiselo wecephe kwelinye icephe ngu3 : 1.  Mangaphi amacephe etyuwa anawo uDebnil?\n A)18-Jan B)2-Jan C)2 D)18'}]}]
elementary_mathematics	Isazinzulu salinganisa ububanzi beenwele ezine zomntu. Iidayamitha, ngeemilimitha, zaziyi-0.091, 0.169, 0.17, kunye ne-0.023. Kukuphi ukungalingani okuthelekisa ngokuchanekileyo ububanzi beenwele ezimbini zomntu?	['0.17 > 0.023', '0.091 < 0.023', '0.169 > 0.17', '0.17 < 0.091']	A	[TextBlock(text='A)0.17 > 0.023', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Isazinzulu salinganisa ububanzi beenwele ezine zomntu. Iidayamitha, ngeemilimitha, zaziyi-0.091, 0.169, 0.17, kunye ne-0.023. Kukuphi ukungalingani okuthelekisa ngokuchanekileyo ububanzi beenwele ezimbini zomntu?\n A)0.17 > 0.023 B)0.091 < 0.023 C)0.169 > 0.17 D)0.17 < 0.091'}]}]
elementary_mathematics	Zisi-7 iintsuku evekni. Kwinyanga yoMdumba, zingama-28 iintsuku kulo nyaka. Mangaphi amaxesha amaninzi njengeentsuku ezikwinyanga yoMdumba kunezikwiveki enye?	['Ngokuphindaphindene-4', 'Ngokuphindaphindene-7', 'Ngokuphindaphindene-21', 'Ngokuphindaphindene-35']	A	[TextBlock(text='A)Ngokuphindaphindene-4', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Zisi-7 iintsuku evekni. Kwinyanga yoMdumba, zingama-28 iintsuku kulo nyaka. Mangaphi amaxesha amaninzi njengeentsuku ezikwinyanga yoMdumba kunezikwiveki enye?\n A)Ngokuphindaphindene-4 B)Ngokuphindaphindene-7 C)Ngokuphindaphindene-21 D)Ngokuphindaphindene-35'}]}]
