premise	hypothesis	label	opus	prompt
Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.	A gwa beghị m ya okwu ọzọ.	contradiction	"[TextBlock(text='Nke a bụ contradiction. N\'ihi na n\'ime premise, e kwuru na ""m mechaa gwawa ya okwu ọzọ"" nke pụtara na a gwara ya okwu ọzọ. Mana hypothesis kwuru ""A gwa beghị m ya okwu ọzọ"" nke na-emegide ihe e kwuru n\'ime premise.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.\nHypothesis: A gwa beghị m ya okwu ọzọ.\nIs this an entailment, contradiction, or neutral?""}]}]"
Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.	E were m iwe ruo na mụ bidoro gwawa ya okwu ọzọ.	entailment	"[TextBlock(text=""Nke a bụ neutral. N'ihi na:\n\nPremise kwuru na onye na-ekwu okwu adaara mba n'obi mana o mechaa gwawa ya okwu ọzọ. Ọ dịghị ekwu na iwe mere ya jiri gwawa ya okwu ọzọ.\n\nHypothesis kwuru na e were onye na-ekwu okwu iwe wee mee ya gwawa ya okwu ọzọ.\n\nN'ihi ya, premise ekwubeghị ihe ga-eme ka anyị mata n'ezi okwu ma ọ bụ na ọ bụghị eziokwu na iwe mere ya gwawa ya okwu ọzọ. Ọ nwere ike ịbụ iwe, ma enwere ike inwe ihe ndị ọzọ mere o jiri mee ya. Ya mere, ọ bụ neutral."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.\nHypothesis: E were m iwe ruo na mụ bidoro gwawa ya okwu ọzọ.\nIs this an entailment, contradiction, or neutral?""}]}]"
Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.	Anyị nwere mkparịtaụka dị ukwuu.	neutral	"[TextBlock(text=""Nke a bụ neutral. Premise ahụ ekwughị na ha nwere mkparịtaụka dị ukwuu ma ọ bụ na ha enweghị. Ọ na-ekwu naanị na onye ahụ adaala mba n'obi mana o mechara gwawa ya okwu ọzọ. Ọ dịghị ihe ọ na-ekwu gbasara oke nke mkparịtaụka ahụ."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Ọdịmma, anaghị m echedi maka nke ahụ, mana adaara m nọọ mba n'obi, ma, m mechaa gwawa ya okwu ọzọ.\nHypothesis: Anyị nwere mkparịtaụka dị ukwuu.\nIs this an entailment, contradiction, or neutral?""}]}]"
Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.	A gwaghị m ihe ọ bụla gbasara izute onye ọ bụla.	contradiction	"[TextBlock(text=""Nke a bụ mgbagha. N'ihi na ọ gwara gị na a ga-akpọ gị ka ị hụ otu nwoke, mana ịhụtazị adịghị n'isi okwu ahụ na agwaghị gị ihe ọ bụla gbasara izute mmadụ ọ bụla."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.\nHypothesis: A gwaghị m ihe ọ bụla gbasara izute onye ọ bụla.\nIs this an entailment, contradiction, or neutral?'}]}]
Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.	Agwara m na-aga kpọ otu nwamadi ka m ga zute.	entailment	[TextBlock(text='Nke a bụ entailment. Premise na hypothesis na-ekwu otu ihe: na a gwara onye na-ekwu okwu na a ga-akpọ otu nwoke ka ha zute.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.\nHypothesis: Agwara m na-aga kpọ otu nwamadi ka m ga zute.\nIs this an entailment, contradiction, or neutral?'}]}]
Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.	Nwamadi ahụ gburu ntakịrị oge tutu ọ pụta.	neutral	"[TextBlock(text=""Nke a bụ neutral. Premise ekwughị ma nwamadi ahụ gburu ntakịrị oge tupu ọ pụta ma ọ bụ na ọ pụtara ozugbo. Ọ bụghị entailment ma ọ bụ contradiction n'ihi na premise na hypothesis enweghị ihe ha kwuru nke ziri ezi ma ọ bụ na-emegide onwe ha."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ha gwara m na, uh, na a ga-akpọrọ m otu nwamadi ma emecha ka m hụ.\nHypothesis: Nwamadi ahụ gburu ntakịrị oge tutu ọ pụta.\nIs this an entailment, contradiction, or neutral?'}]}]
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. 	A chọrọ m ịgwa gị ihe nile m mara gbasara ihe ahụ!	contradiction	"[TextBlock(text=""Nke a bụ ihe na-emegide. N'ihi na n'ime premise, a sịrị na enwere ọtụtụ ihe e nwere ike ikwu maka ihe ahụ mana a ga-ahapụ ya. Mana n'ime hypothesis, e kwuru na a chọrọ ịgwa gị ihe niile a maara gbasara ihe ahụ. Nke a na-emegide ihe e kwuru n'ime premise."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. \nHypothesis: A chọrọ m ịgwa gị ihe nile m mara gbasara ihe ahụ!\nIs this an entailment, contradiction, or neutral?'}]}]
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. 	A gaghị m ekwu maka nke ahụ, agbanyeghị na e nwere ọtụtụ ịhe a ga-arụtụ áká. 	entailment	"[TextBlock(text=""Nke a bụ entailment. Ihe edemede mbụ kwuru na enwere ọtụtụ ihe a ga-ekwu maka okwu ahụ mana ọ ga-ahapụ ya. Nke abụọ kwukwara na agaghị ekwu maka ya ọzọ n'agbanyeghị na enwere ọtụtụ ihe a ga-arụtụ aka. Ya mere, nke abụọ na-esokwa ihe nke mbụ kwuru, nke pụtara na ọ bụ entailment."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. \nHypothesis: A gaghị m ekwu maka nke ahụ, agbanyeghị na e nwere ọtụtụ ịhe a ga-arụtụ áká. \nIs this an entailment, contradiction, or neutral?'}]}]
E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. 	A gaghị m ekwu gbasara akụkọ ihe mere eme maka obodo ahụ n'ihi na enwere ọtụtụ ihe a ga-ekwu.	neutral	"[TextBlock(text=""Nke a bụ entailment. Premise ahụ na-ekwu na e nwere ọtụtụ ihe a ga-ekwu maka ihe ọ bụla, mana onye ahụ ga-ahapụ ya. Hypothesis ahụ na-egosi nke ahụ site n'ikwu na a gaghị ekwu maka akụkọ ihe mere eme n'obodo ahụ n'ihi na e nwere ọtụtụ ihe a ga-ekwu. N'ihi ya, hypothesis ahụ na-eso ihe premise ahụ kwuru."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: E nwere ọtụtụ ịhe ị nwere ị́ké ị kwu maka nke ahụ aga m ahapụ nke ahụ nọọ. \nHypothesis: A gaghị m ekwu gbasara akụkọ ihe mere eme maka obodo ahụ n'ihi na enwere ọtụtụ ihe a ga-ekwu.\nIs this an entailment, contradiction, or neutral?""}]}]"
Ya mere o dochaghị m anya ịhe kpatara ya.	O doro m anya maka ihe kpatara ya.	contradiction	"[TextBlock(text=""Nke a bụ contradiction. N'ihi na:\n\nPremise: Ya mere o dochaghị m anya ịhe kpatara ya. (Therefore, it's not clear to me the reason for it.)\n\nHypothesis: O doro m anya maka ihe kpatara ya. (The reason for it is clear to me.)\n\nPremise na-ekwu na ihe kpatara ya adochaghị ya anya, mana hypothesis na-ekwu na o doro ya anya ihe kpatara ya. Nke a gosiri na ha abụọ na-emegide onwe ha, ya mere ọ bụ contradiction."", type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Ya mere o dochaghị m anya ịhe kpatara ya.\nHypothesis: O doro m anya maka ihe kpatara ya.\nIs this an entailment, contradiction, or neutral?'}]}]
