	question	answer	llm
0	Igishuhe cya Jane gitera amajyi 16 ku munsi,  buri mugitondo aryamo atatu kandi akora  umugati winshutiye akoresheje ane, agurisha asigaye mwisoko ryabahinzi buri munsi kugichiro cya 2 kuri buri jyi. Na ngahe mumadolali yinjiza ku munsi  mwisoko ryabahinzi ?	18	<pad> Jane yinjiza $0.16 x 16 = $4.00 ku munsi mwisoko ryabahinzi.</s>
1	Umureko ufata  imizunguruko ibiri yubururu  nigice  cyumweru bya faiba. Na maburo angahe murirusange ukoresha ? 	3	<pad> Answer: 2</s>
2	Josh yiyemeje kugundura inzu, yaguze inzu y'amadolari $800,000 nuko ayivugurura na 50,000. Ibi byongereye agaciro k'inzu na 150% . N'inyungu yagahe yabonye ?	70000	<pad> Josh yabonye inyungu ya 150000 * 800,000 = $1,500,000</s>
3	Yakobo yiyemeje kwiruka  3 mucyumweru, Yiruka 60 ibirometro buri nshuro. Ni metro zingahe yiruka mucyumweru?	540	<pad> Yakobo yiruka 60 x 3 = 180 ibirometro mucyumweru.</s>
4	Buri munsi Wendi aha inkoko ze ibikombe bitatau byibiryo byinkoko bivanze , harimo imbuto, utunyorogoto ni mbonga kujyirango zijyire ubuzima bwiza.  Aha inkoko ibiryo mubyiciro  bitatu. Mugitondo aha inkoko ze ibikombe 15 byibiryo, nyuma  ya sa sita aziha ibikombe 25. Nibikombe bingahe byibiryo agomba guha inkoko ze kw'inshuro yanyuma yumunsi , mugihe ubwinshi bw'inkoko ze ari 20.	20	<pad> Wendi agomba guha inkoko ze ibikombe 15 + 25 = 45 byibiryo kw'inshuro yanyuma yumunsi.</s>
5	Kylar yagiye kwiduka kugura ibirahuri bishya  byinzuye. Ikirahuri kimwe kigurishwa $ 5 , ibindi birahuri bikurikira bigurishwa 60% yigiciro. Kylar ashaka kugura ibirahuri 16. Nangahe agomba kwishyura yibirahuri?	64	<pad> Kylar agomba kwishyura $ 5 * 16 = $ 120.</s>
6	Toulouse afite intama zikubye kabiri iza Charleston. Charleston afite inshuro 4 zikubye  intama za  Seattle.  Ni hene zingahe Toulouse , Charleston na  Seattle bafite zose hamwe niba Seattle  afite intama 20?	260	<pad> Charleston afite intama 4 * 20 = 80. Toulouse afite intama 2 * 80 = 160. Charleston afite intama 160 + 80 = 320. Toulouse, Charleston na Seattle bafite intama 320 + 80 + 20 = 440.</s>
7	Carla adawunilodiga GB 200 zidosiye . ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40%  ya  dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.  	160	<pad> Carla adawunilodinga GB 200 zidosiye. ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40% ya dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.</s>
8	Yohani atwara imodoka amasaha 3 kumuvuduko wa 60mph, yumayaho yaje gusubira murugo kuko yasanze yibagiwe ikintu kingira kamaro murugo. Yagerageje kujyera murugo mumasaha 4 ariko amasaha 2  yayamaze ari muri ambuteyaje.Yakoresheje isaha nigice atwara imodoka kumuvuduko wa 30mph mbere yuko ashobora gutwara kumuvuduko wibirometero 80mph mumasaha 4 yarasigaye. nikure hangana  iki yomurugo nyuma y'amasaha 4?  	45	<pad> Yohani yageze murugo nyuma y'amasaha 4 ari munzira.</s>
9	Ubwishyu bwa Eliza k'wisaha kumasaha 40 akora mucyumweru ni $10. Anabona ubundi  bwishyu bwinyongera kumasaha yarengeje mukazi kuri 1.2 yikubye umushaharawe wa buri saha. Niba Eliza akoze amasaha 45 muri ikicyumweru, nangahe izishyurwa muri iki cyumweru? 	460	<pad> Eliza azashyurwa $10 x 40 = $400.</s>
