	question	answer	llm
0	Madhadha a Janet anokandira mazai 16 pa zuva. Mangwanani ega ega anodya matatu pakudya kwemangwanani ozobika mamuffins eshamwari dzake zuva regarega nemazai mana. Anozotengesa asara ku musika wevarimi zuva regarega achiita $2 pa zai redhadha. Anowana mari yemadhora mangani pazuva regarega kumusika wevarimi?	18	<pad> Madhadha aJanet anodya mazai 16 / 3 = 6. Anotengesa mazai asara ku musika wevarimi zuva regarega achiita $2 pa zai redhadha uye anowana $ 2 * 6 = $12.</s>
1	Jira rinotora mabhaudhi 2 eblue fiber nepakati pepakati kufiber jena. Rinotora mabhaudhi mangani jira iri?	3	<pad> Jira rinotora mabhaudhi 4 efiber jena.</s>
2	Josh afunga kumboedza kutenga nekutengesa imba .Anotenga imba ne $80,000 ndokubva aisa $50,000 yekugadzirisa .Izvi zvakakwidza mutengo weimba ne 150% .Akaita purofiti yemarii ?	70000	<pad> Josh akaita purofiti ye$144,000.</s>
3	 James afunga kumhanya masprint 3  ka3 pasvondo. Anomhanya 60 mamita pasprint yoga yoga .Anomhanya mamita mangani pavhiki ?	540	<pad> James anopfuurira kumhanya 60/3=30 mamita pavhiki. Saka anopfuurira kumhanya 30*7=180 mamita pavhiki.</s>
4	Zuva rega rega , Wendi anopa huku yake  imwe neimwe  makapu matatu emusanganiswa wechikafu  chehuku , chine mhodzi ,upfu hwemahwemusi pamwe nemiriwo kuti dzive neutano .Anopa huku chikafu chadzo katatu .Mangwanani anopa huku dzake 15 makapu echikafu .Masikati anopa huku dzake mamwe 25 makapu echikafu. Makapu mangani echikafu aanoda kupa huku dzake mukudya kwekupedzisira kwezuva kana huku dzaWendi dziri 20 .   	20	<pad> Wendi anopa huku dzake 15 + 25 = 35 makapu echikafu zuva nezuva. Saka, anoda kupa huku dzake 35 / 3 = makapu gumi echikafu zuva nezuva.</s>
5	Kylar akainda ku chitoro kunotenga magirazi emumba itsva yake. Girazi rimwe raiita $5 asi kutenga rimwe girazi rechipiri kwaiita mutengo uri 60% yemutengo wegirazi rekutanga. Kylar anoda kutenga magirazi 16. Anofanira kubhadhara marii kutenga magirazi aya?	64	<pad> Kylar anofanira kubhadhara $5 x 16 = $120 nokuda kwemagirazi ose.</s>
6	Toulouse ane makwayi akawanda zvokupfuura Charleston ruviri. Charlestone ane makwayi akawandawo zvokupfuura Seattle  neruna. Toulouse, Charleston na Seatle vane makwayi mangani kana Seatle aine 20? 	260	<pad> Charlestone ane makwayi 20 / 2 = 10 Charlestone ane makwayi 10 + 1 = 11 Toulouse, Charleston na Seattle vane makwayi 11 + 20 = 27</s>
7	Carla ari kudhaunirodha faira re 200GB. Anowanzo kudhaunirodha 2 GB/minute, asi 40% ari pakati pekudhaunirodha, Windows inomanikidza kutanga patsva kuti iise maupdates, zvinova zvinotora maminetsi 20. Carla anotangazve kudhaunirodha kubvira pokutanga. Zvichatora nguva yakadii kudhaunirodha faira?	160	<pad> Carla anotanga kudhaunirodha faira racho mumaminitsi 20 uye anotangazve kudhaunirodha kubva pakutanga. Zvichatora nguva yakakwana yokudhaunirodha faira racho.</s>
8	John anotyaira  kwemaawa 3 achimhanya 60mph  ndokudzokera kwaabva mushure mekuyeuka kuti pane chaange akanganwa kumba. Akazama kusvika kumba nemaawa 4 asi wakapedza maawa  2 ekutanga amire mota dzisingafambi. Akazopedza chikamu chepakati nepakati cheawa achimhanya ne30mph, asati agona kutyaira panguva dzasara pamaawa 4 nekumhanya kwe80mph. Anga ari kure zvakadii nekummba pakaperera maawa 4?	45	<pad> John akanga ari makiromita 80 - 60 = 40 kure nekumba.</s>
9	Mari inowana Eliza paawa rimwe pachikamu chemaawa 40 ekutanga i$10. Akashanda zvinopfuurira mwero waaanofanira kushanda pabasa, anozowana mari inopfuura $10 paawa nechikamu che 1.2 pamusoro. Kana Eliza akashanda kwemaawa 45 pavhiki rino anowana marii?	460	<pad> Eliza anogamuchira $10 * 1.2 = $12 paawa apo anoshanda maawa 45 pavhiki. Saka, anowana $12 + $10 = $14 paawa.</s>
