Unnamed: 0	question	answer	llm	verbalized
0	Matata a Janet a behela mahe a 16 ka letsatsi. O ja a mararo ka nako ya dijo tsa hoseng a nto bakela metswalle ya hae dimafini letsatsi le leng le le leng ka a mane. O rekisa a setseng mmarakeng wa polasi ka letsatsi ka R2 lehe le le leng le foreshe. O etsa bokae ka diranta letsatsi le letsatsi mmarakeng wa polasi?	18	<pad> Janet o ja mahe a 16 / 3 = a 6. O rekisa mahe a setseng a 6 / 4 = a 4. O etsa diranta tse 2 x 4 = diranta tse 8.</s>	8
1	Seaparo se setelele se nka diboloto tse 2 tsa faeba tse bolou le tse tshweu. Ke diboloto tse kae kaofela tseo e di nkang?	3	<pad> 2 ea 2</s>	2
2	Josh o etsa qeto ya ho fetola ntlo. O reka ntlo ka R80,000 mme a kenya R50,000 tokisong. Hona ho ekeditse boleng ba ntlo ka 150%. O entse phaello e kae?	70000	<pad> Josh o entse phaello ya R80,000 x 150% = R120,000.</s>	120000
3	James o etsa qeto ya ho matha mabelo a 3 hararo ka beke. O matha dimitara tse 60 lebelong ka leng. Ke dimitara tse kae kaofela tseo a di mathang ka beke?	540	<pad> James o matha dimitara tse 60 x 3 = 180 ka beke. Ka hona, o matha dimitara tse 180 / 7 = dimitara tse 120 ka beke.</s>	120
4	Letsatsi le leng le le leng, Wendi o fepa kgoho e nngwe le e nngwe ya hae dikopi tse tharo tsa dijo tsa dikgoho, tse nang le dithotse, dinyonyobetsane le meroho ho thusa hore di phele hantle. O fa dikgoho dijo tse tharo tse fapaneng. Hoseng, o fa leruo la hae la dikgoho dikopi tse 15 tsa dijo. Mantsiboya, o fa dikgoho tsa hae dikopi tse ding tse 25 tsa dijo. Ke dikopi tse kae tsa dijo tseo a hlokang ho di fa dikgoho tsa hae ka lekgetlo la ho qetela ha leruo la Wendi e le dikgoho tse 20?	20	<pad> Wendi o fa dikgoho tsa hae dikopi tse 15 + 25 = dikopi tse 35 tsa dijo ka letsatsi. Ka hona, o hloka ho fa dikgoho tsa hae dikopi tse 35 / dikgoho tse 20 = dikopi tse 5 tsa dijo ka lekgetlo la ho qetela.</s>	5
5	Kylar o ile lebenkeleng ho ya reka dikgalase bakeng sa aphatemente ya hae. Kgalase e le nngwe ke R5, empa kgalase e nngwe le e nngwe ya bobedi ke 60% fela ya theko. Kylar o batla ho reka dikgalase tse 16. O hloka ho di patalla bokae?	64	<pad> Kylar o hloka ho patala R5 x 16 = R90.</s>	90
6	Toulouse e na le dinku tse ngata ho feta Charleston habedi. Charleston e na le dinku tse ngata ho feta Seattle ha nne. Toulouse, Charleston le Seattle di na le dinku tse kae kaofela haeba Seattle e na le dinku tse 20?	260	<pad> Charleston e na le dinku tse 20/4 = 10 Toulouse e na le dinku tse 10/2 = 5 Charleston e na le dinku tse 20+4 = 24 Toulouse, Charleston le Seattle kaofela li na le dinku tse 24 + 20 = 44</s>	44
7	Carla o downlouta faele ya 200 GB. Hangata a ka downlouta 2 GB ka motsotso, empa 40% ya ho qeta ho downlouta. Windows e qobella ho qala botjha ho ntjhafatsa, ho nkang metsotso e 20. Jwale Carla o lokela ho qala ho downlouta ho tloha qalong. Ho nka nako e kae ho downlouta faele?	160	<pad> Carla o downlouta faele ya 200 GB ka metsotso e 20. Windows e qobella ho qala botjha ho ntjhafatsa, ho nka metsotso e 20. Carla o lokela ho qala ho downlouta ho tloha qalong, ho nka metsotso e 20. Ho nka metsotso e 20 + metsotso e 20 = metsotso e 40 ho downlouta faele. Ho nka metsotso e 40 / 2 = metsotso e 10 ho downlouta faele.</s>	10
8	John o kganna dihora tse 3 ka lebelo la 60 mph a ba a kgutlela morao ha a hlokomela hore o lebetse se seng se bohlokwa hae. O leka ho fihla hae ka dihora tse 4 empa o qeta dihora tse 2 sephethephetheng se emeng. O qeta hape halofo ya hora a kganna ka lebelo la 30mph, pele a kgona ho kganna nako e setseng ya dihora tse 4 a tsamaya ka 80 mph. O bohole bo bokae le hae kamora dihora tse nne?	45	<pad> O qeta dihora tse 2 sephethephetheng se emeng, e leng se bolelang hore o qeta dihora tse 2 * 2 = dihora tse 4 sephethephetheng se emeng. O qeta halofo ya hora a kganna ka lebelo la 30mph, e leng se bolelang hore o qeta halofo ya hora * 30mph = 60mph. O qeta dihora tse 4 - 2 = dihora tse 2 a kganna ka lebelo la 80mph. O qeta dihora tse 4 - 80mph = dihora tse 2 a kganna ka lebelo la 30mph. O qeta dihora tse 2 + 60mph = dihora tse 4 a kganna ka lebelo la 80mph. O qeta dihora tse 4 - 80mph = dihora tse 2 a kganna ka lebelo la 30mph. O qeta dihora tse 2 + 30mph = dihora tse 4 a kganna ka lebelo la 30mph. O qeta dihora tse 4 - 30mph = dihora tse 2 a kganna ka lebelo la 80mph. O qeta dihora tse 4 - 80mph = dihora tse 2 a kganna ka lebelo la 30mph. O qeta dihora tse 4 - 30mph = dihora tse 2 a kganna ka lebelo la 80mph. O qeta dihora tse 4 - 80mph = dihora tse 2 a kganna ka lebelo la 30mph. O qeta dihora tse 4 - 30mph = dihora tse 2 a kganna ka lebelo la 80mph. O qeta dihora tse 4 - 80mph = dihora tse 2 a kganna ka lebelo la 30mph. O qeta dihora tse 4 - 30mph = dihora tse 2 a kganna ka lebelo la 80mph. O qeta dihora tse 4 - 80mph = dihora tse 2 a kganna ka lebelo la 30mph. O qeta dihora tse 4 - 30mph = dihora tse 2 a kganna ka lebelo la 80mph. O qeta dihora tse 4 - 80mph = dihora tse 2 a kganna ka lebelo la 30mph. O qeta dihora tse	30
9	Reiti ya Eliza  ka hora horeng tse 40 tsa pele tseo a di sebetsang ka beke ke R10. O fumana hape mokgolo wa ho sebetsa kamora nako ya mosebetsi wa makgetlo a 1.2 a reiti ya dihora tsa hae tse tlwaelehileng. Haeba Eliza a sebeditse dihora tse 45 bekeng ena, mekgolo ya hae ke bokae bekeng ena?	460	<pad> Re ka fumana sena ka ho hlahloba hore na reiti ya hae ya hora e tlwaelehileng ke R10 ka hora horeng tse 40 tsa pele tseo a di sebetsang ka beke. Haeba re eketsa mokgolo wa hae wa ho sebetsa kamora nako ya mosebetsi ho reiti ya hae ya hora, re tla fumana hore reiti ya hae ya hora e tlwaelehileng ke R10 * 1.2 = R12. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R10 + R12 = R15. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R15 * 40 = R1 250. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R1 250 * 45 = R2 750. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R2 750 * 45 = R3 750. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R3 750 * 45 = R4 750. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R4 750 * 45 = R5 750. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R5 750 * 45 = R6 750. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R6 750 * 45 = R8 750. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R8 750 * 45 = R10 750. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R10 * 10 = R100 ka hora. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R100 * 45 = R120 ka hora. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R120 * 45 = R150 ka hora. Ka hona, reiti ya hae ya hora e tlwaelehileng ke R150 * 45 = R180 ka hora. Ka hona, reiti ya hae ya hora e tlwaele	180
10	Lenaneo le letjha le ne le na le di-downloutu tse 60 kgweding ya pele. Palo ya di-downloutu kgweding ya bobedi e ne e le makgetlo a mararo ho feta di-downloutu tsa kgwedi ya pele, empa tsa fokotswa ka 30% ka kgwedi ya boraro. Ke di-downloutu tse kae kaofela tsa lenaneo le nang le tsona ka dikgweding tse tharo?	366	<pad> Lenaneo le ne le na le di-downloutu tse 60 * 3 = 180 kgweding ya bobedi. Ka gona, lenaneo le ne le na le di-downloutu tse 180 + 60 = 240 kgweding ya boraro. Ka gona, lenaneo le ne le na le di-downloutu tse 240 - 60 = 180 ka dikgweding tse tharo.</s>	180
