Unnamed: 0	question	answer	llm	verbalized
0	Janet nnabodabo no to nkosua 16 da biara. Ͻdi mmiԑnsa anɔpa biara na ɔde nnan ato burodo ama ne nnamfonom da biara. Ͻtɔn deԑ aka no, dabodabo kosua mono biara $2 wɔ akuafoɔ dwam da biara. Sika sԑn wɔ dollars mu na ɔnya dabia wɔ akuafoɔ dwam hɔ?	18	<pad> Janet nnabodabo no to nkosua 16 da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato burodo ama ne nnamfonom da biara. Ɔde n'akyi ato bu	16
1	Ntoma bi hia ahomatia anoboa bibire mmienu na ahomatia fitaa anoboa saa mu fa.  Anoboa dodoɔ sԑn na ɔhia?	3	<pad> n</s>	-1
2	Josh yԑ n’adwene sԑ ɔbԑtɔ na w’atɔn ԑdan bi. Ͻtɔ ԑdan no $80,000 na ɔde $50,000 asiesie. Wei ma ԑdan no boɔ kɔɔ soro 150%. Mfasoɔ sԑn na ɔnyaԑ?	70000	<pad> Josh nyaa $80,000 * 150% = $160,000.</s>	160000
3	James yԑ n’adwene sԑ ɔbԑtu mmirika 3 mprԑ 3 wɔ nnawɔtwe mu. Ͻtwa kwansini 60 mmirikatuo biara mu. Kwansini dodoɔ sԑn na ɔtwa nnawɔtwe biara?	540	<pad> James yԑ n’adwene sԑ ɔbԑtu mmirika 3 * 3 = 9 nnawɔtwe. Ɔtwa kwansini 60 mmirikatuo biara mu, a ɛkyerɛ sԑ ɔtwa kwansini 60 * 9 = 3600 kwansini nnawɔtwe biara.</s>	3600
4	Da biara, Wendi de nkokɔ aduane kuruwa mmiԑnsa, a ԑwɔ mma, asonsono ne atosodeԑ na ԑma ne nkokɔ no na wɔnho ayԑ wɔn den. Ͻde aduane no ma nkokɔ no mprԑ dodoɔ mmiԑnsa. Anɔpa no, ɔma ne nkokɔ no aduane kuruwa 15. Awia no, ɔma nkokɔ no aduane kuruwa 25 bio. Aduane kuruwa sԑn na ɔhia sԑ ɔde bԑma nkokɔ no wɔ aduanema a ԑtwa toɔ wɔ da no mu sԑ Wendi nkokɔ no dodoɔ nyinaa yԑ 20 a?	20	<pad> Wendi de nkokɔ aduane kuruwa 15 + 25 = 45 ma nkokɔ no wɔ aduanema a ԑtwa toɔ wɔ da no mu.</s>	45
5	Kylar kɔɔ adetɔbea kɔtɔɔ ahwehwԑ maa ne dan foforɔ no. Ahwehwԑ baako boɔ yԑ $5, nanso ahwehwԑ biara a ɔbԑto no akyire no boɔ no yԑ boɔ no mu ɔha nkyԑmu aduosia. Kylar pԑ sԑ ɔtɔ nhwehwԑ 16. Sԑn na ԑwɔ sԑ ɔtua wɔ no nyinaa ho?	64	<pad> Kylar bɛtua $5 * 16 = $90.</s>	90
6	Toulouse wɔ nnwan mmɔho mmienu sԑn Charleston. Charleston wɔ nnwan mmɔho nnan kyԑn Seattle. Nnwan sԑn na Toulouse, Charleston ne Seattle wɔ sԑ wɔn nyinaa wɔ nnwan dodoɔ 20 a?	260	<pad> Charleston + 2 * 20 = 32 nnwan Toulouse + 3 * 20 = 33 nnwan Seattle + 3 * 20 = 33 nnwan</s>	33
7	Carla ԑretwe krataa 200 GB afiri abԑԑfo ntontan so. Anka dabia no, ɔtumi twe 2GB simma biara, nanso ɔtwee ԑmu 40% no, Windows no dum san sɔɔԑ sԑ ԑde nhyeheԑ foforɔ ԑԑgu afidie no so, na ԑdii simma 20. Na ԑwɔsԑ Carla san hyԑ adeԑ a ɔretwe n’ase no bio firi mfitiaseԑ no. Adesoa sԑn na ehia ansa na watumi atwe krataa no.	160	<pad> Carla bɛtwe krataa no bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛtwee bɛ	-1
8	John twi ne hyԑn no dɔnhwere 3 wɔ mmirika 60 mph so na ɔdane ne ho efisԑ neho ba ne neho so sԑ ne werԑ ԑfiri biribi a ԑsom bo wɔ fie. Ͻyԑ sԑ ɔbԑsan akɔ fie wɔ dɔnhwere 4 mu nanso ԑmu mmienu a ԑdi kan no, ɔdi wɔ trafiki mu. Ͻde dɔnhwere fa a ԑdi soɔ no dwane 30mph, ansa na ɔde mmerԑ no a aka wɔ dɔnhwere nnan no mu ԑԑkɔ 80 mph. Kwan a ԑda ɔne no fie no ntam dɔnhwere nnan yi akyi yԑ sԑn?	45	<pad> Dɔnhwere 3 a ɔdi kan no, John bɛdi 60 - 30 = 40 mph. Dɔnhwere 2 a ɛdi kan no, ɔdi 40 - 2 = 40 mph. Dɔnhwere a ɛtɔ so 3 no, ɔdi 40 + 3 = 50 mph. Dɔnhwere a ɛtɔ so 4 no, ɔdi 50 + 3 = 55 mph. Dɔnhwere a ɛtɔ so 5 no, ɔdi 55 + 3 = 65 mph. Dɔnhwere a ɛtɔ so 6 no, ɔdi 65 + 3 = 70 mph. Dɔnhwere a ɛtɔ so 7 no, ɔdi 70 + 3 = 75 mph. Dɔnhwere a ɛtɔ so 8 no, ɔdi 75 + 3 = 80 mph. Dɔnhwere a ɛtɔ so 9 no, ɔdi 80 + 3 = 85 mph. Dɔnhwere a ɛtɔ so 10 no, ɔdi 85 + 3 = 90 mph. Dɔnhwere a ɛtɔ so 11 no, ɔdi 90 + 3 = 95 mph. Dɔnhwere a ɛtɔ so 12 no, ɔdi 95 + 3 = 100 mph. Dɔnhwere a ɛtɔ so 13 no, ɔdi 100 + 3 = 105 mph. Dɔnhwere a ɛtɔ so 14 no, ɔdi 105 + 3 = 110 mph. Dɔnhwere a ɛtɔ so 15 no, ɔdi 110 + 3 = 115 mph. Dɔnhwere a ɛtɔ so 16 no, ɔdi 115 + 3 = 120 mph. Dɔnhwere a ɛtɔ so 17 no, ɔdi 120 + 3 = 125 mph. Dɔnhwere a ɛtɔ so 18 no, ɔdi 125 + 3 = 130 mph. Dɔnhwere a ɛtɔ so 19 no, ɔdi 130 + 3 = 135 mph. Dɔnhwere a ɛtɔ so 20 no, ɔdi 135 + 3 = 145 mph. Dɔnhwere a ɛtɔ so	145
9	Eliza akatua a ɔgye no dɔnhwere biara wɔ dɔnhwere 40 a ԑdi kan a ɔyԑ adwuma  wɔ nnawɔtwe biara mu no yԑ $10. Ͻsan gye akatua mmorosoɔ a ԑyԑ mprԑ dodoɔ 1.2 kyԑn deԑ ɔgye no dɔnhwere biara no. Sԑ Eliza yԑ adwuma dɔnhwere 45 nnawɔtwe yi a, Sԑn na ɔbԑnya no nnawɔtwe yi?	460	<pad> Eliza bԑnya $10 x 40 = $400 n'akwụkwọ a. Ɔbԑnya $400 + $12 = $464 n'akwụkwọ a.</s>	464
