Unnamed: 0	question	answer	llm	verbalized
0	Amadada kaJanet abeka amaqanda ali-16 ngosuku. Utya amathathu kwisidlo sakusasa rhoqo ngentseni kwaye ubhakela abahlobo bakhe iimufins yonke imihla. Uthengisa intsalela kwimarike yamafama yonke imihla nge-$2 ngeqanda ngalinye ledada. Ingaba wenza malini ngeedola yonke imihla kwimarike yamafama?  	18	<pad> UJanet utya amaqanda ali-16 / 3 = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Uthengisa amaqanda ali-16 / 2 = amaqanda amathathu kwimarike yamafama yonke imihla. Ngoko ke, uJanet wenza amaqanda ali-16 / 3 = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 - amaqanda amathathu = amaqanda amathathu ngentsasa. Ngoko ke, uJanet wenza amaqanda ali-16 -	16
1	Ilaphu lithatha iibholithi ezi-2 zefiber eluhlaza kunye nesiqingatha salo fiber emhlophe. Uthatha iibolithi ezingaphi xa zizonke?	3	<pad> Iibolithi ezi-2 zefiber eluhlaza kunye nesiqingatha salo fiber emhlophe zithetha ukuba ilaphu lithatha iibolithi ezi-2 * 2 = 4 zefiber. Ngoko ke, ilaphu lithatha iibolithi ezi-4 xa zizonke.</s>	4
2	UJosh ugqiba ekulungiseni indlu. Uthenga indlu ye-$80, 000 aze abeke i-$50, 000 ekulungiseni. Le nto inyusa ixabiso lendlu nge-150%. Wenze ingeniso engakanani?	70000	<pad> UJosh wenza ingeniso engama-$15, 000 ngenxa yokuba indlu yakhe yanyuka nge-150%. Oku kuthetha ukuba indlu yakhe yanyuka nge-$80,000 * 150% = $160,000. Ngoko ke, ingeniso kaJosh yi-$150,000 - $80,000 = $90,000.</s>	90000
3	UJames ugqiba ekubalekeni imitsi emi-3 ka-3 ngeveki. Ubaleka iimitha ezingama-60 umtsi ngamnye. Zingaphi iimitha zizonke azibalekayo ngeveki?	540	<pad> UJames ubaleka iimitha ezingama-60 * 3 = 180 ngeveki. Ngoko ke, ubaleka iimitha ezingama-180 + 60 = 240 ngeveki.</s>	240
4	Yonke imihla, UWendi utyisa inkukhu yakhe nganye iikomityi ezintathu zokutya kwenkukhu okuxutyiweyo, okunembewu, imisundululu kunye nemifuno ukuzigcina zisempilweni. Unika iinkukhu ukutya kwazo kwizidlo ezithathu ezahlukeneyo. Ekuseni, unika umhlambi weenkukhu zakhe iikomityi ezili-15 zokutya. Emva kwemini, unika iinkukhu zakhe ezinye iikomityi ezingama-25 zokutya. Zingaphi iikomityi zokutya ekufuneka azinike iinkukhu zakhe kwisidlo sokugqibela sosuku ukuba ubukhulu bomhlambi kaWendy ziinkukhu ezingama-20?	20	<pad> UWendi unikela iinkukhu zakhe iikomityi ezili-15 zokutya ekuseni, nto leyo ethetha ukuba iinkukhu zakhe zifumana iikomityi ezili-15 * 3 = 45 zokutya. Emva kwemini, uWendi unikela iinkukhu zakhe iikomityi ezingama-25 zokutya, nto leyo ethetha ukuba iinkukhu zakhe zifumana iikomityi ezingama-25 * 3 = 75 zokutya. Ngoko ke, uWendi ufanele anike iinkukhu zakhe iikomityi ezili-15 + iikomityi ezingama-25 + iikomityi ezingama-75 = iikomityi ezingama-90 zokutya kwisidlo sokugqibela sosuku.</s>	90
5	UKylar waya evenkileni ukuya kuthenga iiglasi zendlu yakhe entsha. Iglasi enye ixabisa i-$5, kodwa iglasi nganye yesibini ixabisa kuphela i-60% yexabiso. UKylar ufuna ukuthenga iiglasi ezili-16. Kufuneka uhlawule malini yazo?	64	<pad> Iglasi nganye yesibini ixabisa i-$5 *.6 = $2.5. Ngoko ke, iglasi nganye yesibini ixabisa i-$5 + $2.5 = $7.5. Ngoko ke, iglasi nganye yesibini ixabisa i-$7.5 * 16 = $125. Ngoko ke, iglasi nganye yesibini ixabisa i-$125 * 16 = $2700. Ngoko ke, iglasi nganye yesibini ixabisa i-$2700 * 16 = $4500. Ngoko ke, iglasi nganye yesibini ixabisa i-$4500 * 16 = $9600. Ngoko ke, iglasi nganye yesibini ixabisa i-$9600 * 16 = $24960. Ngoko ke, iglasi nganye yesibini ixabisa i-$24960 * 16 = $48960. Ngoko ke, iglasi nganye yesibini ixabisa i-$48960 * 16 = $96960. Ngoko ke, iglasi nganye yesibini ixabisa i-$96960 * 16 = $128960. Ngoko ke, iglasi nganye yesibini ixabisa i-128960 * 16 = $1728960. Ngoko ke, iglasi nganye yesibini ixabisa i-$1728960 * 16 = $36480. Ngoko ke, iglasi nganye yesibini ixabisa i-36480 * 16 = $864480. Ngoko ke, iglasi nganye yesibini ixabisa i-$864480 * 16 = $1088480. Ngoko ke, iglasi nganye yesibini ixabisa i-$1088480 * 16 = $1920480. Ngoko ke, iglasi nganye yesibini ixabisa i-$1920480 * 16 = $244800. Ngoko ke, iglasi nganye yesibini ixabisa i-244800 * 16 = $384480. Ngoko ke, iglasi nganye yesibini ixabisa i-$384480 * 16 = $564800. Ngoko ke, iglasi nganye yesibini ixabisa 	564800
6	IToulouse ineegusha ezininzi ngokuphindwe kabini kuneCharleston. I-Charleston ineegusha eziphindwe ka-4 njenge-Seattle. Inegusha ezingaphi iToulouse, iCharleston, kunye neSeattle zizonke ukuba iSeattle ineegusha ezingama-20?	260	<pad> I-Charleston ineegusha ezi-4 * 20 = 80. Ngoko ke, iToulouse, iCharleston, kunye neSeattle zizonke zineegusha ezingama-80 + 20 + 80 = 140.</s>	140
7	UCarla ukhuphela ifayile ye-200 GB. Ngokuqhelekileyo unokukhuphela i-2GB/ ngomzuzu, kodwa  i-40% yendlela yokukhuphela, i-windows inyanzela ukuqalisa kwakhona ukufaka uhlaziyo, oluthatha imizuzu engama-20. Emva koko uCarla kufuneka aqalise kwakhona ukukhuphela ukusukela ekuqaleni.	160	<pad> UCarla ukhuphela ifayile ye-200 GB. Ngokuqhelekileyo unokukhuphela i-2GB/ ngomzuzu, kodwa i-40% yendlela yokukhuphela, i-Windows inyanzela ukuqalisa kwakhona ukufaka uhlaziyo, oluthatha imizuzu engama-20. Emva koko uCarla kufuneka aqalise kwakhona ukukhuphela ukusukela ekuqaleni. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla ukhuphela ifayile ye-200 GB, ngoko uCarla unokukhuphela i-2GB/ ngomzuzu. Ukuba uCarla	2
8	UJohn uqhuba iiyure ezi-3 ngesantya sama-60 mph aze ajike kuba uyaqonda ukuba ulibele into ebaluleke kakhulu ekhaya. Uzama ukufika ekhaya kwiiyure ezi-4 kodwa uchitha iiyure ezi-2 zokuqala kwitrafikhi emileyo. Uchitha isiqingatha esilandelayo eqhuba ngesantya sama-30 mph, phambi kokuba akwazi ukuqhuba ixesha eliseleyo kwiiyure ezi-4 ezihamba ehamba ngama-80 mph. Ukude kangakanani ekhaya ekupheleni kweeyure ezi-4? 	45	<pad> UJohn uqhuba iiyure ezi-3 ngesantya sama-60 mph, nto leyo ethetha ukuba uqhuba iiyure ezi-3 * 60 = 180 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 60 = 120 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 120 = 240 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 240 = 480 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 480 = 960 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 960 = 1680 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 1680 = 2240 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 2240 = 6120 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 6120 = 8960 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 6120 = 9600 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha ukuba uqhuba iiyure ezi-2 * 9600 = 7200 mph. Uqhuba iiyure ezi-2 zokuqala kwitrafikhi emileyo, nto leyo ethetha 	2
9	Umlinganiselo kaEliza ngeyure kwiiyure zokuqala ezingama-40 azisebenzayo iveki nganye zii-$10. Kwaye ufumana umvuzo wexesha elongezelelekileyo ngokuphindwe ka-1.2 kumlinganiselo wakhe oqhelekileyo weyure. Ukuba uEliza usebenze iiyure ezingama-45 kule veki, ungakanani umvuzo wakhe kule veki?	460	<pad> Umvuzo kaEliza ngeyure kwiiyure zokuqala ezingama-40 ngu-$10 x 40 = $400. Umvuzo wakhe wexesha elongezelelekileyo ngu-$1.2 x 40 = $48. Ngoko ke, umvuzo wakhe wexesha elongezelelekileyo ngu-$400 + $48 = $480. Ngoko ke, umvuzo wakhe kule veki ngu-$480 x 45 = $2200.</s>	2200
