	question	answer	llm
0	Àwọn pẹ́pẹ́yẹ Janet máa ń yé ẹyin 16 lọ́jọ́ kan. Ó máa ń jẹ mẹ́ta fún oúnjẹ àárọ̀ láràárọ̀ ó sì máa ń dín àkàrà òyìnbó fún àwọn ọ̀rẹ́ rẹ̀ lójoojúmó pẹ̀lú mẹ́rin. Ó máa ń ta èyí tó kù ní ọjà àgbẹ̀ lójoojúmó fún $2 fún ẹyin pẹ́pẹ́yẹ oòjọ́. Èló ló ń pa ní dọ́là lójoojúmọ́ ní ọjà àgbẹ̀?	18	<pad> Janet máa ń jẹ ẹyin 16 - 3 - 4 = 12 lójoojúmó. Ó máa ń ta ẹyin tó kù ní ọjà àgbẹ̀ fún $2 / ẹyin pẹ́pẹ́yẹ oòjọ́ x 12 ẹyin / ọjọ́ = $24. Ó máa ń pa dọ́là 24 / ọjọ́ = $1.20 lójoojúmọ́ ní ọjà àgbẹ̀.</s>
1	Agbádá kan máa ń gba bóótu òwú olómi aró 2 bẹ́ẹ̀ sì ni àbọ̀ òwú funfun tí ó tó iye yẹn. Iye bóótù mélòó ni ó ń gbà lápapọ̀? 	3	<pad> Answer: (A) 6 Ìdáhùn: Agbádá kan máa ń gba bóótu òwú olómi aró 2 bẹ́ẹ̀ sì ni àbọ̀ òwú funfun tí ó tó iye yẹn.</s>
2	Josh pinnu láti gbìyànjú àràtúntà ilé. Ó ra ilé kan ní $80,000 ó wá fi $50,000 ṣe àtúnṣe. Èyí mú àlékún bá iye owó ilé náà pẹ̀lú 150%. Èló ni èrè tí ó jẹ?	70000	<pad> Josh jẹ́ èrè nípa àtúnṣe ilé náà ní $80,000 * 150% = $160,000.</s>
3	James pinnu láti sá eré ọ̀gbọrangandan 3 ní ìgbà 3 lọ́sẹ̀. Ó sá mítà 60 ní ọ̀gbọrangandan kọ̀ọ̀kan. Iye àpapọ̀ mítà mélòó ni ó máa ń sá lọ́sẹ̀?	540	<pad> James sá mítà 60 ní ọ̀gbọ́rangandan kọ̀ọ̀kan, nítorí náà ó sá mítà 60 x 3 = 180 ní ìgbà mẹ́ta. Nítorí náà, ó sá mítà 180 x 3 = 540 ní ìgbà mẹ́ta.</s>
4	Lójoojúmọ́, Wendi máa ń fún ọ̀kọ̀ọ̀kan nínú àwọn adìyẹ rẹ̀ ní agolo àpòpọ̀ oúnjẹ adìyẹ mẹ́ta, tó ní èso, aràn àti ewébẹ̀ kí wọ́n lè wà ní àlàáfíà. Ó máa ń fún àwọn adìyẹ náà ní oúnjẹ adìyẹ wọn ní oúnjẹ ẹ̀mẹ́ta ọ̀tọ̀ọ̀tọ̀. Ní àárọ̀, ó máa ń fún agbo adìyẹ rẹ̀ ní 15 agolo oúnjẹ adìyẹ. Ní ọ̀sán, ó máa ń fún àwọn adìyẹ rẹ̀ ní 25 agolo oúnjẹ adìyẹ mìíràn. Iye agolo oúnjẹ adìyẹ mélòó ni ó nílò láti fún àwọn adìyẹ rẹ̀ ní oúnjẹ tó gbẹ́yìn lójúmọ́ tí iye agbo Wendi bá jẹ́ adìyẹ 20?	20	<pad> Wendi máa ń fún àwọn adìyẹ rẹ̀ ní 15 + 25 = 45 agolo oúnjẹ adìyẹ ní ọ̀sán. Nítorí náà, ó nílò láti fún àwọn adìyẹ rẹ̀ ní 45 / 3 = 15 agolo oúnjẹ adìyẹ ní oúnjẹ tó gbẹ́yìn lójúmọ́.</s>
5	Kylar lọ sí ilé ìtàjà náà láti ra gílásì fún ilé rẹ̀ tuntun. Gílásì kan tó $5, sùgbọ́n gbogbo gílásì kejì jẹ́ 60% iye owó náà. Kylar fẹ́ ra gílásì 16. Èló ni ó nílò láti sọ fún wọn? 	64	<pad> Kylar nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $5 x 16 = $90. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $90 x 2 = $120. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $120 x 2 = $240. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $240 x 2 = $480. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $480 x 2 = $960. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $960 x 2 = $1440. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $1440 x 2 = $2480. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $2480 x 2 = $4960. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $4960 x 2 = $8960. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $8960 x 2 = $12960. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni $12960 x 2 = $16960. Ó nílò láti sọ fún wọn pé iye owó tí ó nílò láti ra gílásì náà ni
6	Toulouse ní ìlọ́poméjì àgùtàn tí Charleston ní. Charleston ní ìlọ́pomẹ́rin iye àgùtàn tí Seattle ni. Àgùtàn mélòó ní Toulouse, Charleston àti Seattle ní lápapọ̀ nígbà tí Seattle bá ní àgùtàn 20?	260	<pad> àgùtàn 120</s>
7	Carla ń ṣe ìgbàsílẹ̀ fáíli 200 GB. Lóòtọ́ ó lè ṣe ìgbàsílẹ̀ 2 GB/ní ìṣẹ́jú kan, ṣùgbọ́n 40% sínú ìgbàsílẹ̀ náà, Windows máa ń fi ipá ṣe àtúnbẹ́rẹ̀ láti ṣe ìsọdọ̀tun, tó máa ń gbà tó ìṣẹ́jú 20. Carla ní láti tún ìgbàsílẹ̀ náà bẹ̀rẹ̀ láti ìbẹ̀rẹ̀. Báwo ló ṣe pẹ́ tó láti ṣe ìgbàsílẹ̀ fáíli náà?	160	<pad> Carla lè ṣe ìgbàsílẹ̀ fáíli náà ní ìṣẹ́jú kan, ṣùgbọ́n ó máa ń gbà tó ìṣẹ́jú 20 láti tún ìgbàsílẹ̀ náà bẹ̀rẹ̀ láti ìbẹ̀rẹ̀. Nítorí náà, ó máa ń gbà tó ìṣẹ́jú kan àti ìṣẹ́jú méjì láti ṣe ìgbàsílẹ̀ fáíli náà.</s>
8	John wa ọkọ̀ fún wákàtí 3 pẹ̀lú eré 60 mph ó wá yí padà nítorí ó ríi wí pé òhun gbàgbé nǹkan tó ṣe pàtàkì sí ilé. Ó gbìyànjú láti délé ní wákàtí 4 ṣùgbọ́n ó lo wákàtí 2 àkọ́kọ́ nínú ìdúró wápe súnkẹrẹ-fàkẹrẹ. Ó tún lo ààbọ wákàtí tí ó kàn láti wa ọkọ̀ pẹ̀lú eré 30 mph, kó tó lè di wí pé ó wa ìgbà tó kù nínú wákàtí 4 náà tó ń lọ ní 80 mph. Báwo ló ṣe jìnà sí ilé tó ní ìparí wákàtí 4 náà? 	45	<pad> Ó lo wákàtí 2 àkọ́kọ́ láti dúró wápe, nítorí náà ó lo wákàtí 2 + 2 = 4 láti dúró wápe. Ó tún lo ààbọ̀ wákàtí tó kù láti wa ọkọ̀ pẹ̀lú eré 30 mph, nítorí náà ó lo wákàtí 4 - 2 = wákàtí 2 láti wa ọkọ̀. Ó ń lọ ní 80 mph ní ìparí wákàtí 4 náà, nítorí náà ó ń lọ ní 80 / 2 = 40 mph.</s>
9	Òṣùwọ̀n Eliza ní wákàtí kan fún wákàtí 40 àkọ́kọ́ tó fí ń ṣiṣẹ́ lọ́sọ̀ọ̀sẹ̀ jẹ́ $10. Ó tún máa ń gba owó fún iṣẹ́ àṣejù ní ìgbà 1.2 iye òṣùwọ̀n wákàtí ìṣiṣẹ́ rẹ̀ ní gbogbo ìgbà. Ti Eliza bá ṣiṣẹ́ fún wákàtí 45 lọ́sẹ̀ yìí, èló ni owó tó pa lọ́sẹ̀ yìí?	460	<pad> Òṣùwọ̀n ìṣiṣẹ́ àṣejù Eliza jẹ́ $10 x 1.2 = $15. Nítorí náà, owó tó pa lọ́sẹ̀ yìí ni $15 + $10 = $25.</s>
10	Ohun èlò ìmúṣiṣẹ́ kan ní ìgbàsílẹ̀ 60 ní oṣù àkọ́kọ́. Ònkà ìgbàsílẹ̀ náà ní oṣù kejì fi ìlọ́po mẹ́ta pọ̀ ju èyí ti ìgbàsílẹ̀ ní oṣù àkọ́kọ́ lọ, ṣùgbọ́n ó tún dínkù pẹ̀lú 30% ní oṣù kẹta. Mélòó ni iye ìgbàsílẹ̀ tí ètò náà ní lápapọ̀ ní kárí àwọn oṣù mẹ́ta náà?	366	<pad> Ìgbàsílẹ̀ ní oṣù kejì jẹ́ 60 * 3 = 180. Ìgbàsílẹ̀ ní oṣù kẹta jẹ́ 180 - 30 = 120. Nítorí náà, iye ìgbàsílẹ̀ tí ètò náà ní lápapọ̀ ní kárí àwọn oṣù mẹ́ta náà ni 120 + 60 + 120 = 270.</s>
11	Toula lọ sí ilé iṣẹ́ búrẹ́dì ó sì ra onírúurú ìyẹ̀fun. Ó ra dọ́sínì 3 ìyẹ̀fun dídín èyí tó tó $68 fún dọ́sínì kan, dọ́sínì 2 àkàrà òyìnbó kéékèèké èyí tó tó $80 fún dọ́sínì kan, àti dọ́sínì 6 àkàrà òyìnbó kékèké ní $55 fún dọ́sínì kan. Èlò ní iye gbogbo nǹkan tó rà?	694	<pad> $68 + $80 + $55 = $296.</s>
