	question	answer	llm
0	Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?
<eos>
<|assistant|>
Mwaramutse, ndumva ikibazo cyanyu neza. Mu bijyanye n'imiterere y'imirimo y'ubukorikori nk'iyi mwavuze, birashoboka ko mwifuza kumenya umubare w'ibintu bikenewe mu gukora umwambaro. Niba mwifuza gukora umwambaro ukoresheje fibre, mugomba kumenya ko igipimo cy'ibikoresho mukenera gishobora gutandukana bitewe n'ubunini n'ubwoko bw'umwambaro mugiye gukora. Icyakora, mu gihe cyose mwaba mukenera 2 rouleaux de fibre bleue na 1/2 y'ibyo mu fibre blanche, umubare w'ibikoresho byose biza kuba ari 2.5 rouleaux. Niba hari ibindi bisobanuro cyangwa ubufasha mukeneye, mumbwire. Murakoze.<eos>"
1	Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?
<eos>
<|assistant|>
Josh affichage de lance dans l'rénovation d'une maison. Il l'achète au prix de 80,000 $ et investit 50,000 $ dans sa restauration. La valeur de la maison augmente de 150 %. Quel est le bénéfice qu'il a réalisé ?

Josh affichage de lance dans l'rénovation d'une maison. Il l'achète au prix de 80,000 $ et investit 50,000 $ dans sa restauration. La maison, après restauration, vaudra 200,000 $ (80,000 $ x 200 %). Josh affichage de lance de 120,000 $ (200,000 $ - 80,000 $ = 120,000 $).

Bénéficie = (Montant de l'investissement + Montant de l'augmentation de la maison) - Prix d'achat de la maison
Bénéficie = (50,000 $ + 120,000 $) - 80,000 $
Bénéficie = 170,000 $ - 80,000 $
Bénéficie = 90,000 $

Josh affichage de lance de 90,000 $ de comport.<eos>"
2	Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?
<eos>
<|assistant|>
Jacques court 180 mètres par sprint, et il a 3 sprints par semaine. Par rapport, il court 540 mètres par semaine.<eos>"
3	Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?
<eos>
<|assistant|>
Dumela, ke utlwisisa potso ya hao. Ho latela tlhahisoleseding eo u faneng ka yona, Wendi o lokela ho fana ka 30 bols d'aliments ho pouletsa bakeng sa ho qetela ha letsatsi. Sena se tla ba fa palo e lekanang ya lijo tse fanoeng nakong ea letsatsi lohle. Ho bohlokoa ho netefatsa hore lijo li arotsoe ka mokhoa o nepahetseng ho qoba ho tlatsa matsatsi a mang ka lijo tse ngata haholo. Hape, ke khothaletsa ho fana ka metsi a hloekileng le ho hlokomela bohloeki ba sebaka sa ho hōla ho netefatsa bophelo bo botle ba liphoofolo.<eos>"
4	Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?
<eos>
<|assistant|>
Katika kwanza, ni muhimu kuelewa kwamba swali lako linahusu mantiki ya punguzo na jinsi ya kuhesabu gharama za manunuzi. Kwa kutegemea taarifa uliyotoa, tunaweza kufahamu kwamba bei ya kila kikombe ni $5. Kwa kuwa kuna ofa ya punguzo, tunaweza kutumia formula ya asilimia kuhesabu gharama ya kikombe cha pili. Asilimia 60 ya $5 ni $3, hivyo kikombe cha pili kitakostaje $3. Katika manunuzi ya jumla ya 16 vikombe, utahitaji kulipia vikombe 15 kwa bei ya asilimia 60 na moja kwa bei kamili. Gharama ya jumla itakuwa ni:

15 x $3 + $5 = $45 + $5 = $50

Kwa hivyo, Kylar atahitaji kulipia $50 kwa 16 vikombe. Ni muhimu pia kuzingatia kwamba manunuzi yenye punguzo yanaweza kuwa na faida ya kiuchumi lakini pia yanaweza kuhitaji uchambuzi wa kina ili kuepuka matumizi yasiyo ya lazima.<eos>"
5	Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?
<eos>
<|assistant|>
Toulouse a deux fois plus de moutons que Charleston, Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, on peut calculer le total de moutons de Toulouse, Charleston et Seattle en effectuant le calcul suivant :

Toulouse a 2 x 20 = 40 moutons
Charleston a 4 x 20 = 80 moutons
Seattle a 20 moutons

Total de moutons = 40 + 80 + 20 = 140 moutons

Par rapport à la question, Toulouse, Charleston, et Seattle ont 140 moutons au total.<eos>"
6	Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?
<eos>
<|assistant|>
Nshuti yanjye, ndumva ikibazo cyawe ariko nkeneye kumenya neza ururimi n'ikinyabupfura by'ikibazo cyawe mbere yo kuguha igisubizo. Niba ushaka ko tuganira mu Kinyarwanda, ndagushimira ko wanyandikiye ariko nkaba ntegereje ko wanyongera amagambo make mu Kinyarwanda kugira ngo ntange igisubizo gihuje n'umuco wacu. Murakoze.<eos>"
7	Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?
<eos>
<|assistant|>
Nshuti, ndumva ikibazo cyawe ari mu rurimi rw'icyongereza ariko nk'uko umuco wacu ubidushishikariza, reka nguhe igisubizo mu Kinyarwanda.

Mu gutanga igisubizo, turabanza kumenya ko umuntu ugendeye ku muvuduko utandukanye, urugendo rwe rushobora kuba rufite ubugari butandukanye. Iyo umuntu atangiye urugendo afite umuvuduko wa 60 mph, akagenda igihe kingana na 3 hours, bivuze ko yagenze umubare w'ama-mile ungana n'igihe cye cyo gutwara, ni ukuvuga 60 mph * 3 hours = 180 miles.

Nyuma yo gukora demi-tour, agomba kongera guhaguruka iyo 180 miles kugira ngo agaruke aho yari atangiriye. Iyo 180 miles yakongereweho n'ibindi byagenda mu gihe cyo kwiruka umuvuduko wa 30 mph mu gihe cy'iminota 30, n'umuvuduko wa 80 mph mu gihe cy'amasaha 2 (cyangwa 2 hours), bizatanga umubare w'ama-mile yose yagenze.

Iyo mibare ya miles yose yakusanyijwe, ni ukuvuga 180 + (30 * 0.5) + (80 * 2) = 270 miles.

Ibi bivuze ko nyuma yo gukora urugendo rwe ruzere, umuntu uwo ari we wese aba ahagariye ibilometero 270 ku muhanda.

Nizeye ko ibi bisubizo byagufashije. Niba hari ibindi bisobanuro ukeneye, ntutinye kumbaza.<eos>"
8	Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?
<eos>
<|assistant|>
Mwiriwe neza! Ndabona mufite ikibazo cyerekeye imishahara n'amasaha y'akazi. Nk'uko mwabivuze, Élisa afite umushahara w'amasaha 40 ku cyumweru ku 10 $ by'amasaha. Iyo yagera ku masaha arenze 40, ahabwa umushahara w'ikinyabupfura cya 1,2 ku masaha yongeyeho. Bityo, kugira ngo mubashe kubara umushahara we w'icyumweru, muzakenera kumenya umubare w'amasaha yongeyeho arenze 40 yarakoreye muri icyo cyumweru.

Nk'urugero, niba yahagaritse amasaha 45 nk'uko mubivuze, amasaha 5 yongeyeho ku 40 asanzwe azamuhesha 1,2 * 10 $ = 12 $ ku masaha y'inyongera. Umushahara we w'icyumweru uzaba ari 10 $ * 40 + 12 $ * 5 = 400 $ + 60 $ = 460 $.

Niba hari ibindi bisobanuro cyangwa ubufasha mukeneye kuri iki kibazo cyangwa ibindi bijyanye n'imishahara n'amasaha y'akazi, mumbwire ntiteguye kubafasha. Murakoze!<eos>"
9	Un nouveau programme a été téléchargé 60 fois au cours du premier mois. Le nombre de téléchargements au cours du deuxième mois était trois fois supérieur à celui du premier mois. Il a ensuite diminué de 30 % au cours du troisième mois. Combien de fois au total le programme a-t-il été téléchargé au cours de ces trois mois ?	366	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Un nouveau programme a été téléchargé 60 fois au cours du premier mois. Le nombre de téléchargements au cours du deuxième mois était trois fois supérieur à celui du premier mois. Il a ensuite diminué de 30 % au cours du troisième mois. Combien de fois au total le programme a-t-il été téléchargé au cours de ces trois mois ?
<eos>
<|assistant|>
Dumela mokopi, kea utloisisa potso ya hao. Ho latela tlhahisoleseding eo u faneng ka yona, ho bonahala eka ho na le liphetoho tse itseng ka har'a palo ya downloads. Re ka bala ka tsela ena:

1. Pelo ya pele: 60 downloads
2. Pelo ya bobedi: 3 x 60 = 180 downloads (kaha e bile tharo ya palo ya pele)
3. Pelo ya boraro: 70% ya 180 (kaha e bile 30% e fokotsehile) = 126 downloads

Ka hona, palo ya kakaretso ya downloads nakong ya libeke tse tharo e tla ba:

60 + 180 + 126 = 366 downloads

Ho bohlokwa ho hlokomela hore tlhahisoleseding ena e thehiloe holim'a seo u se boleletseng mme e ka fapana haeba ho na le liphetoho tse ling tse sa tsejoeng. Na ho na le ntho e 'ngoe eo u batlang ho e tseba ka taba ena?<eos>"
