	question	answer	llm
0	Madhadha a Janet anokandira mazai 16 pa zuva. Mangwanani ega ega anodya matatu pakudya kwemangwanani ozobika mamuffins eshamwari dzake zuva regarega nemazai mana. Anozotengesa asara ku musika wevarimi zuva regarega achiita $2 pa zai redhadha. Anowana mari yemadhora mangani pazuva regarega kumusika wevarimi?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Madhadha a Janet anokandira mazai 16 pa zuva. Mangwanani ega ega anodya matatu pakudya kwemangwanani ozobika mamuffins eshamwari dzake zuva regarega nemazai mana. Anozotengesa asara ku musika wevarimi zuva regarega achiita $2 pa zai redhadha. Anowana mari yemadhora mangani pazuva regarega kumusika wevarimi?
<eos>
<|assistant|>
Madhubuti, ndinokutendai nemubvunzo wenyu. Kana madhakwa aJanet anokandira mazai 16 pazuva uye anozodya matatu pakudya kwemangwanani, zvinoreva kuti ane mazai 13 asara ayo anogona kushandiswa kana kutengeswa. Kana achiita $2 pazai redhadha, mari yaanowana pazuva ingava $26. Siyana nemamwe mazuva, kana paine mazuva ane kutengesa kwakawanda kana kushoma, mari inogona kusiyana. Asi kana tikatarisa zuva nezuva, angatarisira kuwana madhora makumi maviri neshanu pazuva kubva kumusika wevarimi. Ndinovimba izvi zvinobatsira mukufunga kwenyu.<eos>"
1	Jira rinotora mabhaudhi 2 eblue fiber nepakati pepakati kufiber jena. Rinotora mabhaudhi mangani jira iri?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jira rinotora mabhaudhi 2 eblue fiber nepakati pepakati kufiber jena. Rinotora mabhaudhi mangani jira iri?
<eos>
<|assistant|>
Ndinokutendai nekubvunza kwamaita. Kana muchitaura nezve 'jira rinotora mabhaudhi 2 eblue fiber nepakati pepakati kufiber jena', ndinofunga kuti muri kutaura nezve chigadzirwa chinonzi 'jute sack' kana kuti 'hessian bag' inozivikanwa nekushandiswa kwayo mukutora zvinhu zvakasiyana-siyana. Asi, kuti ndikwanise kukupa mhinduro yakakodzera, ndapota tsanangurirai zvakadzama nezve jira iri uye mabhaudhi amunotaura nezvawo. Mhando yebhaudhi iri kutaurwa, uye zvimwe zvinhu zviri kutaurwa nezvazvo, zvinokosha kuti ndikwanise kupa mhinduro inobatsira.<eos>"
2	Josh afunga kumboedza kutenga nekutengesa imba .Anotenga imba ne $80,000 ndokubva aisa $50,000 yekugadzirisa .Izvi zvakakwidza mutengo weimba ne 150% .Akaita purofiti yemarii ?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh afunga kumboedza kutenga nekutengesa imba .Anotenga imba ne $80,000 ndokubva aisa $50,000 yekugadzirisa .Izvi zvakakwidza mutengo weimba ne 150% .Akaita purofiti yemarii ?
<eos>
<|assistant|>
Muenzaniso waJosh watinogona kuferefeta kuti akakwanisa sei kuita purofiti. Asi, kana tichitarisa nyaya yako, Josh anofanira kunge akatenga imba nekutengera nemutengo wakasiyana newakanga wakarongwa. Kana akatenga ne$80,000 uye akabva ataisa $50,000 mukugadzirisa, zvinoreva kuti akaisa mari yakawanda kupfuura yakatengwa nayo, izvo zvinogona kunge zvakabatsira mukukwidza kukosha kweimba yacho. Asi, kana mutengo weimba ukakwira ne150%, zvinoreva kuti imba yacho yaizotengwa ne$200,000 ($80,000 x 150%). Josh anga apur milano yemari iyi, asi zvakakosha kuziva kuti izvi zvinosanganisira mari yese yaakashandisa pakutenga nekugadzirisa. Kana paine zvimwe zvaunoda kubvunza kana kujekesa, ndapota bvunza.<eos>"
3	 James afunga kumhanya masprint 3  ka3 pasvondo. Anomhanya 60 mamita pasprint yoga yoga .Anomhanya mamita mangani pavhiki ?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
 James afunga kumhanya masprint 3  ka3 pasvondo. Anomhanya 60 mamita pasprint yoga yoga .Anomhanya mamita mangani pavhiki ?
<eos>
<|assistant|>
Mhoro, ndinokutendai nekubvunza mubvunzo wenyu. Kana muchiti James anorun masprint 3 ka3 pazuva uye anorun 60 mamita pazuva, tinogona kuziva kuti mamita angamhanya pavhiki zvichibva pahuwandu hwemasprint uye kureba kwawo. Zvisinei, kunzwisisa kwangu, mubvunzo wenyu unotaridzika sekunge wakapararira uye hauna kujeka zvakakwana. Kana muchida kuziva kuti James anorun mamita mangani pavhiki achifunga kuti masprint 3 ka3 anoreva zvimwe, ndapota tsanangurai zvakajeka kuti ndikwanise kupa mhinduro yakakodzera.<eos>"
4	Zuva rega rega , Wendi anopa huku yake  imwe neimwe  makapu matatu emusanganiswa wechikafu  chehuku , chine mhodzi ,upfu hwemahwemusi pamwe nemiriwo kuti dzive neutano .Anopa huku chikafu chadzo katatu .Mangwanani anopa huku dzake 15 makapu echikafu .Masikati anopa huku dzake mamwe 25 makapu echikafu. Makapu mangani echikafu aanoda kupa huku dzake mukudya kwekupedzisira kwezuva kana huku dzaWendi dziri 20 .   	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Zuva rega rega , Wendi anopa huku yake  imwe neimwe  makapu matatu emusanganiswa wechikafu  chehuku , chine mhodzi ,upfu hwemahwemusi pamwe nemiriwo kuti dzive neutano .Anopa huku chikafu chadzo katatu .Mangwanani anopa huku dzake 15 makapu echikafu .Masikati anopa huku dzake mamwe 25 makapu echikafu. Makapu mangani echikafu aanoda kupa huku dzake mukudya kwekupedzisira kwezuva kana huku dzaWendi dziri 20 .   
<eos>
<|assistant|>
Ndine urombo, asi handina kunzwisisa zvizere mubvunzo wenyu. Kana muchida rubatsiro rwangu, ndapota tsanangurai zvakajeka zvamunoda kuziva kana kuti mubvunzo wenyu. Ndinopa mazano nezveupenyu, tsika, uye zvinhu zvakasiyana-siyana zvine chekuita netsika dzedu dzeShona uye neupenyu hwedu hwezuva nezuva. Ndapota, bvunzai zvinhu zvine chekuita netsika dzedu, upenyu, kana kuti zano rakakosha muupenyu.<eos>"
5	Kylar akainda ku chitoro kunotenga magirazi emumba itsva yake. Girazi rimwe raiita $5 asi kutenga rimwe girazi rechipiri kwaiita mutengo uri 60% yemutengo wegirazi rekutanga. Kylar anoda kutenga magirazi 16. Anofanira kubhadhara marii kutenga magirazi aya?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar akainda ku chitoro kunotenga magirazi emumba itsva yake. Girazi rimwe raiita $5 asi kutenga rimwe girazi rechipiri kwaiita mutengo uri 60% yemutengo wegirazi rekutanga. Kylar anoda kutenga magirazi 16. Anofanira kubhadhara marii kutenga magirazi aya?
<eos>
<|assistant|>
Mhoroi, ndinofara kubatsira. Kana girazi rekutanga riri $5 uye girazi rechipiri riri nemutengo uri 60% wemutengo wegirazi rekutanga, tinogona kuona kuti mutengo wegirazi rechipiri uri $3 (60% yekuti $5). Saka kana Kylar achida magirazi 16, tinogona kuseta mutengo wechitoro sezvinotevera:

16 x $5 (mutengo wegirazi rekutanga) = $80
16 x $3 (mutengo wegirazi rechipiri) = $48

Saka mari yese aizoita ndeye $128. Asi, zvakakosha kuti Kylar afunge nezvekuti kubvisa girazi rekutanga zvinoreva kuti haasi kuwana zvinhu zvakafanana nemagirazi aya, izvo zvinogona kukanganisa mhando yekugadzirwa kwezvinhu zvaanoda. Ndapota, Kylar ngaafunge zvakadzama nezve izvi asati aita sarudzo.<eos>"
6	Toulouse ane makwayi akawanda zvokupfuura Charleston ruviri. Charlestone ane makwayi akawandawo zvokupfuura Seattle  neruna. Toulouse, Charleston na Seatle vane makwayi mangani kana Seatle aine 20? 	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse ane makwayi akawanda zvokupfuura Charleston ruviri. Charlestone ane makwayi akawandawo zvokupfuura Seattle  neruna. Toulouse, Charleston na Seatle vane makwayi mangani kana Seatle aine 20? 
<eos>
<|assistant|>
Ndine urombo, asi semunhu ari kutsvaga ruzivo, handikwanisi kupa mhinduro inonanga nehuwandu hwemakwayi ari muToulouse, Charleston, kana Seattle nekuti ndiri chatbot uye handina ruzivo rwazvino rwezviitiko zvazvino. Zvakakosha kutsvaga ruzivo rwako kubva kumasosi akavimbika ane ruzivo rwazvino. Kana uine mubvunzo wechivanhu kana wezivo yechinyakare, ndinokwanisa kukupa mazano kana ruzivo rwakadzama.<eos>"
7	Carla ari kudhaunirodha faira re 200GB. Anowanzo kudhaunirodha 2 GB/minute, asi 40% ari pakati pekudhaunirodha, Windows inomanikidza kutanga patsva kuti iise maupdates, zvinova zvinotora maminetsi 20. Carla anotangazve kudhaunirodha kubvira pokutanga. Zvichatora nguva yakadii kudhaunirodha faira?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla ari kudhaunirodha faira re 200GB. Anowanzo kudhaunirodha 2 GB/minute, asi 40% ari pakati pekudhaunirodha, Windows inomanikidza kutanga patsva kuti iise maupdates, zvinova zvinotora maminetsi 20. Carla anotangazve kudhaunirodha kubvira pokutanga. Zvichatora nguva yakadii kudhaunirodha faira?
<eos>
<|assistant|>
Mhoroi, ndinogona kubatsira neruzivo rwamuri kuda. Kana Carla ari kudhaunirodha faira re 200GB uye achiita 2GB/minute, zvinoreva kuti kudhaunirodha kwechokwadi kunotora maminetsi 100. Asi, sezvamataura, Windows inomanikidza kutanga patsva kuti iise maupdates, izvo zvinotora maminetsi 20. Saka, kudzoka pakudhaunirodha kubva pakutanga kunoreva kuti kudhaunirodha kwechokwadi kuchawedzera nemaminetsi 20, zvichireva kuti zvinotora maminetsi 120 (20 + 100) kuti faira rizadziswe zvachose. Nekudaro, nguva yekupedza kudhaunirodha inogona kuchinja zvichienderana nekumhanya kwesystem uye mamwe maapplication ari kumhanya panguva iyoyo. Ndapota, itai shuwa kuti system yenyu ine zviwanikwa zvakakwana uye haina zvimwe zvinhu zvinotora bandwidth panguva yekudhaunirodha.<eos>"
8	John anotyaira  kwemaawa 3 achimhanya 60mph  ndokudzokera kwaabva mushure mekuyeuka kuti pane chaange akanganwa kumba. Akazama kusvika kumba nemaawa 4 asi wakapedza maawa  2 ekutanga amire mota dzisingafambi. Akazopedza chikamu chepakati nepakati cheawa achimhanya ne30mph, asati agona kutyaira panguva dzasara pamaawa 4 nekumhanya kwe80mph. Anga ari kure zvakadii nekummba pakaperera maawa 4?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
John anotyaira  kwemaawa 3 achimhanya 60mph  ndokudzokera kwaabva mushure mekuyeuka kuti pane chaange akanganwa kumba. Akazama kusvika kumba nemaawa 4 asi wakapedza maawa  2 ekutanga amire mota dzisingafambi. Akazopedza chikamu chepakati nepakati cheawa achimhanya ne30mph, asati agona kutyaira panguva dzasara pamaawa 4 nekumhanya kwe80mph. Anga ari kure zvakadii nekummba pakaperera maawa 4?
<eos>
<|assistant|>
Mhoro, ndinofungidzira kuti unoda kuziva nzira yekugadzirisa dambudziko rako kana kuti unoda kunzwisisa chiitiko chaitika kuna John. Kana uri kutsvaga rubatsiro rwekuti ungagadzirisa sei mamiriro ezvinhu akadai, ndapota tsanangura zvakadzama kuti ndikwanise kukupa mazano akakodzera. Kana uri kutsvaga kunzwisisa zviri kuitika, ndapota taura zviri pachena zvawakasangana nazvo kuti ndikwanise kukupa mhinduro inobatsira.<eos>"
9	Mari inowana Eliza paawa rimwe pachikamu chemaawa 40 ekutanga i$10. Akashanda zvinopfuurira mwero waaanofanira kushanda pabasa, anozowana mari inopfuura $10 paawa nechikamu che 1.2 pamusoro. Kana Eliza akashanda kwemaawa 45 pavhiki rino anowana marii?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Mari inowana Eliza paawa rimwe pachikamu chemaawa 40 ekutanga i$10. Akashanda zvinopfuurira mwero waaanofanira kushanda pabasa, anozowana mari inopfuura $10 paawa nechikamu che 1.2 pamusoro. Kana Eliza akashanda kwemaawa 45 pavhiki rino anowana marii?
<eos>
<|assistant|>
Mhoro, ndinokutendai nemubvunzo wenyu. Kana Eliza akashanda maawa 45 pavhiki, zvichireva kuti akapfuura maawa maviri kupfuura aanga achitarisirwa kushanda, anogona kutarisirwa kuwana mari inokwana 1.2 x 10 = $12 paawa yose asina kupfuura mwero waanofanira kushanda. Saka, kana maawa ake ekushanda acho ari 45, anogona kutarisirwa kuwana $12 x 45 = $540 pavhiki. Asi, izvi zvinobva pane zvavabvumirana nazvo pabasa rake, saka zvinogona kusiyana zvichienderana nemitemo yebasa rake. Ndapota, kana muine mimwe mibvunzo kana kuti zvimwe zvamunoda kujekeserwa, ndinopindura nemufaro.<eos>"
