Unnamed: 0	question	answer	llm	verbalized
0	Agwagin Janet suna yin ƙwai 16 a kullun. Tana yin karin kumallo da guda uku kowace safiya, sannan tana gasawa kawayenta guda hudu kullum. A kullum takan sayar da ragowar a kasuwar manoma akan dala 2 akan kowane ƙwai. Dala nawa take samu a kullum a kasuwar manoma?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Agwagin Janet suna yin ƙwai 16 a kullun. Tana yin karin kumallo da guda uku kowace safiya, sannan tana gasawa kawayenta guda hudu kullum. A kullum takan sayar da ragowar a kasuwar manoma akan dala 2 akan kowane ƙwai. Dala nawa take samu a kullum a kasuwar manoma?
<eos>
<|assistant|>
Barka da zuwa, aboki. Daga bayanin da ka bayar, na lura cewa akwai kuskure a cikin tambayar. Abin da kake tambaya yakan shafi lissafi ne, amma ina ganin akwai wasu bayanai da ba su dace ba a cikin tambayar. Idan har kana son sanin yadda ake lissafin kudaden da ake samu daga sayar da ƙwai, to lallai ne mu fahimci farashin ƙwai ɗin da kuma yadda ake lissafin adadin ƙwai da ake sayarwa. Amma idan wannan ba lissafin ba ne, don Allah ka bayyana tambayarka ta yadda zan iya taimaka maka daidai gwargwado.<eos>"	2
1	Doguwar riga tana cin dunkulen shudin zare 2 da kuma rabin hakan na farin zare. Zare nawa yake ci gaba daya ke nan?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Doguwar riga tana cin dunkulen shudin zare 2 da kuma rabin hakan na farin zare. Zare nawa yake ci gaba daya ke nan?
<eos>
<|assistant|>
Barka da yamma. Na fahimci cewa kana son sanin yawan zaren da doguwar riga ke ci. A al'adance, muna amfani da hanyoyi daban-daban na auna abubuwa don sanin yawan su. Domin sanin yawan zaren da doguwar riga ke ci, zai yi kyau ka auna zaren da kake da shi sannan ka kwatanta da yawan da doguwar riga take cin. Idan kana da ma'aunin da zai iya auna zaren daidai, sai ka yi amfani da shi. Idan kuma ba ka da shi, zaka iya amfani da hannunka ka kwatanta girman zaren da kake son sanin yawan sa. Misali, idan zaren yana da girman da zai iya cika hannunka guda daya, to lallai zai yi wuya ya cika doguwar riga guda daya. Amma idan zaren yana da girman da zai iya cika hannunka biyu ko fiye, to lallai zai iya cika doguwar riga fiye da guda daya. A karshe, idan zaren yana da girman da zai iya cika hannunka sau da yawa, to lallai zai iya cika doguwar riga da yawa. Ina fatan wannan bayanin ya taimaka maka wajen fahimtar yadda zaka auna zaren da kake da shi.<eos>"	2
2	Josh ya yanke shawarar gwada kasuwancin wani gida. Ya sayi wani gida akan $80,000 sannan ya saka $50,000 dan gyara gidan . Wannan ya ƙara darajar gidan da 150%. Nawa ne ribar da ya samu?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh ya yanke shawarar gwada kasuwancin wani gida. Ya sayi wani gida akan $80,000 sannan ya saka $50,000 dan gyara gidan . Wannan ya ƙara darajar gidan da 150%. Nawa ne ribar da ya samu?
<eos>
<|assistant|>
Da farko dai, ina son in sanar da kai cewa wannan tambaya ba ta cikin al'adunmu na Hausa ba ne, kuma ba ni da tabbacin yadda ake yin lissafi a irin wannan yanayin. Amma dai, idan muka duba bayanin da ka bayar, za mu iya cewa Josh ya samu riba ta hanyar sayen gidan da kuma gyaransa. Don sanin ribar da ya samu, za a lissafa darajar gidan bayan gyara ta hanyar kara darajar gidan kafin gyara da kudin gyaran da ya yi. Wato:

Darajar gidan bayan gyara = $80,000 (sayen gidan) + $50,000 (kudin gyara) = $130,000

Riba da ya samu = 150% na $130,000 = $195,000

Wannan na nufin cewa idan Josh ya sayar da gidan a halin yanzu, zai samu riba ta $195,000 akan kudin da ya kashe na farko. Amma fa, wannan lissafin na iya bambanta dangane da yadda kasuwar gidaje take a yankin da gidan yake, da kuma sauran abubuwan da ke shafar darajar gidan. 

Ina fatan na yi bayani dalla-dalla. Shin akwai wani abu da kake bukatar karin bayani a kai?<eos>"	195000
3	James ya yanke shawarar yin gudu sau 3 a mako. Yana gudun mita 60 kowane yi. Jimilla mita nawa yake gudu a mako daya?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
James ya yanke shawarar yin gudu sau 3 a mako. Yana gudun mita 60 kowane yi. Jimilla mita nawa yake gudu a mako daya?
<eos>
<|assistant|>
Barka dai, abokina. Daga bayanin da ka bayar, idan James yana gudun mita 60 kowane gudu kuma yana yin gudu sau 3 a mako, za mu iya lissafa jimillar mita da yake gudun a mako daya kamar haka:

Jimillar mita da James ke gudun a mako daya = Mita 60 x Gudu 3
Jimillar mita da James ke gudun a mako daya = 180 mita

Don haka, idan an yi magana game da gudu daya a rana, za mu iya cewa James yana gudun mita 60 a rana. Amma idan an yi magana game da jimillar mita da yake gudun a mako daya, to za mu ce ya yi gudu mita 180 a mako. Ina fatan na amsa tambayarka yadda ya kamata. Shin akwai wani abu kuma da kake son sani?<eos>"	180
4	Kowace rana Wendi tana ciyar da kowace kazar ta kofi kofi uku na gaurayen abincin kaji, mai dauke da iri, sinadarin gina jikin kaji da kayan marmari don samun lafiya. Tana ba kajin abincinsu sau uku. Da safe ta ba garken kajin abinci kofi 15. Da rana ta sake ba kajinta abinci kofi 25. Kofuna nawa na abinci take bukata dan bawa kajinta a abincin karshen rana idan girman garken Wendi ya kai kaji 20?                	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kowace rana Wendi tana ciyar da kowace kazar ta kofi kofi uku na gaurayen abincin kaji, mai dauke da iri, sinadarin gina jikin kaji da kayan marmari don samun lafiya. Tana ba kajin abincinsu sau uku. Da safe ta ba garken kajin abinci kofi 15. Da rana ta sake ba kajinta abinci kofi 25. Kofuna nawa na abinci take bukata dan bawa kajinta a abincin karshen rana idan girman garken Wendi ya kai kaji 20?                
<eos>
<|assistant|>
Wannan tambaya ta shafi ilimin kiwon dabbobi ne, musamman ma kiwon kaji. A al'adance, ana sanin cewa kaji na bukatar abinci mai gina jiki da kuma dacewa domin samun lafiya da kuma samar da kwai ko nama mai inganci. 

Don amsa tambayarka, dole ne mu fahimci cewa adadin abincin da kaji ke bukata ya danganta ne da girman su, shekaru, da kuma irin aikin da suke yi. Idan girman garken kajin Wendy ya kai kaji 20, to lallai za su bukaci karin abinci idan aka kwatanta da lokacin da suke kasa. 

Kowace rana, kaji na bukatar kofi 1.5 zuwa 2 na abinci domin kowace kazar, wanda ya haɗa da gaurayen abincin kaji, mai, sinadarin gina jikin kaji, da kayan marmari. Don haka, idan Wendy tana ciyar da kazar garken kofi 15 da safe, to a rana zai dace ta ciyar da su kofi 25, wanda ya haɗa da kofi 15 da ta ciyar da su da safe da kuma karin kofi 10.

Amma, yana da kyau Wendy ta tuntubi masanin kiwon kaji domin samun shawara kan yadda za ta inganta abincin da take ciyar da kajinta, musamman ma idan tana da burin kara yawan kajinta ko inganta lafiyar su. Ilmi da fahimtar yadda ake gudanar da kiwon kaji na da matukar muhimmanci don samun sakamako mai kyau.<eos>"	10
5	Kylar ya je kanti don  siyan gilashin sabon gidansa. Gilashi ɗaya ya kai $5, amma kowane gilashi na gaba yana tashi da kashi 60% a farashinsa kawai. Kylar yana son siyan gilashi 16. Nawa yake bukata ya biya kudin gilasan?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar ya je kanti don  siyan gilashin sabon gidansa. Gilashi ɗaya ya kai $5, amma kowane gilashi na gaba yana tashi da kashi 60% a farashinsa kawai. Kylar yana son siyan gilashi 16. Nawa yake bukata ya biya kudin gilasan?
<eos>
<|assistant|>
Barka da zuwa, abokiyar nema. Daga bayanin da ka bayar, za mu iya fahimtar cewa farashin gilashin yana karuwa ne bisa tsari na musamman. Idan gilashi na farko ya kasance da farashi na $5, kuma kowane gilashi na gaba yana tashi da kashi 60% a farashinsa, to za mu iya lissafa farashin gilashin ta hanyar amfani da wannan ka'idar:

1. Fara da farashin gilashi na farko: $5
2. Sannan ka ƙara kashi 60% na farashin a kan farashin gilashin da ya gabata. Misali, idan farashin gilashin na biyu zai kasance: $5 + (60% x $5) = $5 + $3 = $8
3. Ka ci gaba da wannan tsarin har sai ka kai adadin gilashin da Kylar ke buƙata, wato gilashi 16.

Don haka, za mu yi amfani da wannan ka'idar a matsayin misali don lissafin farashin gilashin:

$5 + ($3 x 15) = $5 + $45 = $50
Wannan yana nufin cewa Kylar zai buƙaci biyan $50 don samun gilashin 16 da yake bukata.

Ina fata na amsa tambayarka yadda ya kamata. Idan kana da wasu tambayoyi ko buƙatun karin bayani, kada ka yi jinkirin tambaya.<eos>"	16
6	Toulouse tana da ninki biyun tumakin Charleston. Charleston yana da tumaki ninki hudun na Seattle. Tumaki nawa Toulouse, Charleston, da Seattle suke dasu idan Seattle tana da tumaki 20?                                                	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse tana da ninki biyun tumakin Charleston. Charleston yana da tumaki ninki hudun na Seattle. Tumaki nawa Toulouse, Charleston, da Seattle suke dasu idan Seattle tana da tumaki 20?                                                
<eos>
<|assistant|>
Barka da yamma. Na fahimci tambayarka game da adadin tumaki da biranen Toulouse, Charleston, da Seattle suke da su. Amma da alama akwai kuskure a cikin bayaninka. Idan Seattle tana da tumaki 20, to ba zai yiwu ba a ce Toulouse tana da tumaki biyun tuƙi. Wannan adadin ba shi da ma'ana a yanayin bayanin da ka bayar. Idan kana neman sanin adadin tumaki da kowace birni ke da shi bisa ga wata ma'auni ko yanayi takamaimai, zai fi kyau ka fayyace tambayarka ko ka bayar da karin bayani.

A al'adance, a Hausa da ma duniya baki daya, muna daraja bayanai masu ma'ana da gaskiya. Don haka, ina baka shawarar ka tabbatar da tambayarka kafin mu ci gaba da tattaunawa. Wannan zai taimaka wajen samar da amsoshi masu amfani da za su iya taimaka maka ko wane irin shawara da kake bukata.<eos>"	20
7	Carla tana dawunlodin fayil mai nauyin 200 GB. A al'ada za ta iya sauke 2GB a minti daya, amma bayan anci 40% na dawunlodin din, Window yana tilasta sake farawa don sabunta wasu manhajoji, wanda ke ɗaukar minti 20. Sannan dole ne Carla ta sake fara dawunlodin daga farkon. Giga nawa zai ci ya yi dawunlodin na wannan fayil ɗin?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla tana dawunlodin fayil mai nauyin 200 GB. A al'ada za ta iya sauke 2GB a minti daya, amma bayan anci 40% na dawunlodin din, Window yana tilasta sake farawa don sabunta wasu manhajoji, wanda ke ɗaukar minti 20. Sannan dole ne Carla ta sake fara dawunlodin daga farkon. Giga nawa zai ci ya yi dawunlodin na wannan fayil ɗin?
<eos>
<|assistant|>
Barka da zuwa, ina fata kana lafiya. Dangane da bayaninka, na fahimci cewa kana son sanin adadin lokacin da za a dauka wajen kammala dawunlodin fayil mai nauyin 200 GB a yanayin da aka samu jinkiri. A al'ada, idan na'urar tana iya sauke 2 GB a minti daya, to a sansani ba tare da jinkiri ba, za a dauki minti 100 (ko 6000 seconds) don kammala dawunlodin. Amma saboda an samu jinkiri na minti 20 wajen sabunta manhajoji, to za a bukaci a kara minti 20 ga adadin lokacin da aka yi amfani da shi a baya. Wato, za a kammala dawunlodin a minti 120 (ko 7200 seconds) a mafi kyawun yanayi. Amma ka tuna cewa, idan akwai wasu matsaloli ko jinkiri a yayin aikin, to lokaci zai iya karuwa. Ina fatan wannan bayanin ya taimaka.<eos>"	7200
8	John yana tuƙi na tsawon sa'o'i 3 a cikin gudun mph 60, sannan ya juya don ya fahimci ya manta wani abu mai mahimmanci a gida. Yana ƙoƙarin komawa gida a cikin sa'o'i 4 amma sai ya kwashe sa'o'i 2 na farko a cikin wani gosulo. Ya dauki rabin sa'a yana tuƙi a cikin gudun 30mph, kafin ya samu damar yin tukin a sauran lokacin da ya rage awa 4, yana tafiya ne a 80mph. Yaya nisansa yake da gida a ƙarshen waɗannan sa'o'i 4?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
John yana tuƙi na tsawon sa'o'i 3 a cikin gudun mph 60, sannan ya juya don ya fahimci ya manta wani abu mai mahimmanci a gida. Yana ƙoƙarin komawa gida a cikin sa'o'i 4 amma sai ya kwashe sa'o'i 2 na farko a cikin wani gosulo. Ya dauki rabin sa'a yana tuƙi a cikin gudun 30mph, kafin ya samu damar yin tukin a sauran lokacin da ya rage awa 4, yana tafiya ne a 80mph. Yaya nisansa yake da gida a ƙarshen waɗannan sa'o'i 4?
<eos>
<|assistant|>
Lallai, wannan tambaya tana da rikitarwa kuma tana buƙatar a yi la'akari da wasu abubuwa kamar daidaiton lokaci da kuma yadda ake tuƙi. Idan muka dauka cewa John ya fara tuƙi da sa'o'i 3 a cikin gudun mph 60, to ya kamata ya yi nisan miloli 180. Sai dai, ya juya ya koma gida, wanda hakan ke nufin ya yi nisan miloli 180 a lokacin da yake komawa.

Idan ya dauki sa'o'i 2 a cikin gosulo, to za a iya cewa ya yi nisan miloli 120 kawai, saboda ya kashe sa'o'i 2 a wuri guda. Bayan haka, ya tuka rabin sa'a a cikin gudun mph 30, wanda ke nufin ya ƙara nisan miloli 45. A ƙarshe, ya yi tuƙi a sa'o'i 4 da suka rage yana tafiya a 80mph, wanda hakan ke nufin ya ƙara nisan miloli 240.

Don haka, a ƙarshen waɗannan sa'o'i 4, za a iya cewa John ya yi nisan miloli 445 daga inda ya fara tuƙi. Amma, yana da mahimmanci a lura cewa waɗannan lissafin suna daidai ne kawai idan ba a samu wata matsala ta hanya ko tsaiko ba. Kuma a rayuwa ta ainihi, ana buƙatar a yi la'akari da abubuwan da ba a zato ba a zata wajen shirin tafiye-tafiye.

Idan kana da wasu tambayoyi ko buƙatar ƙarin bayani, ina nan don taimakawa.<eos>"	445
9	Adadin samun Eliza a kowace awa na sa'o'i 40 na farko da take aiki kowane mako samunta shine $10. Haka kuma ana biyanta ninki 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obatayim.  Idan Eliza ta yi aiki na awanni 45 a wannan makon, nawa ne abin da ta samu a wannan makon?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Adadin samun Eliza a kowace awa na sa'o'i 40 na farko da take aiki kowane mako samunta shine $10. Haka kuma ana biyanta ninki 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obatayim.  Idan Eliza ta yi aiki na awanni 45 a wannan makon, nawa ne abin da ta samu a wannan makon?
<eos>
<|assistant|>
A wannan makon, idan Eliza ta yi aiki na awanni 45, za a biya ta ne bisa yawan awanni da ta fiye da na al'ada wato 40 awanni. A kowace awa da ta fiye da 40, ana biyanta ninki 1.2 na abinda ake biyanta a kowace awa. Don haka, za mu lissafa abin da ta samu bisa wannan ka'ida.

Da farko, za mu lissafa abin da ake biyanta a kowace awa:
$10 x 1.2 = $12 (wani kudin da ake biyanta a kowace awa da ta fiye da 40)

Sannan za mu lissafa jimlar kudin da za a biya mata a wannan makon:
($12 x 5 awanni) + ($10 x 4 awanni) = $60 + $40 = $100

Saboda haka, Eliza za ta samu jimlar kudin $100 a wannan makon idan ta yi aiki na awanni 45.

Ina fatan na yi bayani dalla-dalla kuma a sarari. Idan akwai wani abu da ba ka gane ba ko kuma kana da wasu tambayoyi, kar ka yi jinkirin tambaya.<eos>"	45
