Unnamed: 0	question	answer	llm	verbalized
0	Matata a Janet a behela mahe a 16 ka letsatsi. O ja a mararo ka nako ya dijo tsa hoseng a nto bakela metswalle ya hae dimafini letsatsi le leng le le leng ka a mane. O rekisa a setseng mmarakeng wa polasi ka letsatsi ka R2 lehe le le leng le foreshe. O etsa bokae ka diranta letsatsi le letsatsi mmarakeng wa polasi?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Matata a Janet a behela mahe a 16 ka letsatsi. O ja a mararo ka nako ya dijo tsa hoseng a nto bakela metswalle ya hae dimafini letsatsi le leng le le leng ka a mane. O rekisa a setseng mmarakeng wa polasi ka letsatsi ka R2 lehe le le leng le foreshe. O etsa bokae ka diranta letsatsi le letsatsi mmarakeng wa polasi?
<eos>
<|assistant|>
Lumela mokopi, ke utlwa potso ya hao. Le ha ke sa tsebe lintlha tsohle tsa mosebetsi wa Janet, ho bonahala eka o na le boikarabelo bo itseng mmarakeng wa polasi. Haeba o rekisa diranta ka R2 ka e 'ngoe, mme o ja a mararo ka nako ya dijo tsa hoseng, ho bolela hore o na le litšenyehelo tsa R6 hoseng ka 'ngoe. Haeba a nto bakela metswalle ya hae ka a mane, seo se ka eketseha ka R12 haeba a na le metswalle e mene. Ho etsa bokae ka diranta letsatsi le letsatsi ho itšetlehile ka palo ya diranta tseo a li rekang le theko eo a e fumanang mmarakeng. Haeba o ka mpolella palo ya diranta tseo a li rekang le theko e tloaelehileng mmarakeng, nka o fa karabo e nepahetseng le e qaqileng.<eos>"	12
1	Seaparo se setelele se nka diboloto tse 2 tsa faeba tse bolou le tse tshweu. Ke diboloto tse kae kaofela tseo e di nkang?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Seaparo se setelele se nka diboloto tse 2 tsa faeba tse bolou le tse tshweu. Ke diboloto tse kae kaofela tseo e di nkang?
<eos>
<|assistant|>
Dumela, kea leboha ka potso ya hao. Ho latela se o se boletseng, seaparo se setelele seo o se buang se ka nka diboloto tse 2 tsa faeba tse bolou le tse tshweu. Haeba o batla ho tseba palo e ka sehloohong ya diboloto tseo e ka bang le tsona, o tla hloka ho tseba palo ya diboloto tse bolou le tse tshweu tseo seaparo seo se di tloaelaneng ho di nka. Ka tloaelo, diboloto di na le boholo bo fapaneng, 'me ho itšetlehile ka boholo le mofuta wa diboloto tseo, palo ya tsona e ka fapana. Ka mohlala, haeba diboloto tseo ke tsa boholo bo tloaelehileng, seaparo se ka 'na sa se ke sa nka diboloto tse fetang 50 ho isa ho 70. Empa haeba diboloto tseo e le tse nyane kapa tse kgolo, palo e ka fetoha. Ke tšepa hore sena se o thusa ho utlwisisa mokhoa oa ho bala palo ya diboloto tse ka nkang seaparo se setelele. Na ho na le ntho e nngwe hape eo nka o thusang ka eona?<eos>"	70
2	Josh o etsa qeto ya ho fetola ntlo. O reka ntlo ka R80,000 mme a kenya R50,000 tokisong. Hona ho ekeditse boleng ba ntlo ka 150%. O entse phaello e kae?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh o etsa qeto ya ho fetola ntlo. O reka ntlo ka R80,000 mme a kenya R50,000 tokisong. Hona ho ekeditse boleng ba ntlo ka 150%. O entse phaello e kae?
<eos>
<|assistant|>
Josh o entse phaello e kholo. O reka ntlo ka R80,000 mme a sebelisa R50,000 ho e ntlafatsa, e leng se entseng hore e be le boleng bo eketsehileng. Haeba boleng ba ntlo bo eketsehile ka 150%, e tlameha ho be e le R200,000 joale. Phaello eo a e entseng ke ho reka ka R80,000 le ho rekisa ka R200,000, e leng phaello ya R120,000. Ke mohato o motle wa ho tsetela haeba o entse lipatlisiso tse nepahetseng le ho etsa qeto ka bohlale.<eos>"	120000
3	James o etsa qeto ya ho matha mabelo a 3 hararo ka beke. O matha dimitara tse 60 lebelong ka leng. Ke dimitara tse kae kaofela tseo a di mathang ka beke?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
James o etsa qeto ya ho matha mabelo a 3 hararo ka beke. O matha dimitara tse 60 lebelong ka leng. Ke dimitara tse kae kaofela tseo a di mathang ka beke?
<eos>
<|assistant|>
Dumela mohokahanyi, ke thabela ho u thusa. Haeba James o matha dimitara tse 60 ka leng le leng ka beke, 'me o etsa sena hararo ka beke, re ka bala kakaretso ya dimitara tseo a di mathang ka beke e le:

60 dimitara x 3 liketso tse le 'ngoe = 180 dimitara ka beke

Ka hona, ka beke e 'ngoe James o matha dimitara tse 180. Ke tšepa sena se araba potso ea hau. Na ho na le ntho e 'ngoe eo u ka ratang ho e tseba?<eos>"	180
4	Letsatsi le leng le le leng, Wendi o fepa kgoho e nngwe le e nngwe ya hae dikopi tse tharo tsa dijo tsa dikgoho, tse nang le dithotse, dinyonyobetsane le meroho ho thusa hore di phele hantle. O fa dikgoho dijo tse tharo tse fapaneng. Hoseng, o fa leruo la hae la dikgoho dikopi tse 15 tsa dijo. Mantsiboya, o fa dikgoho tsa hae dikopi tse ding tse 25 tsa dijo. Ke dikopi tse kae tsa dijo tseo a hlokang ho di fa dikgoho tsa hae ka lekgetlo la ho qetela ha leruo la Wendi e le dikgoho tse 20?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Letsatsi le leng le le leng, Wendi o fepa kgoho e nngwe le e nngwe ya hae dikopi tse tharo tsa dijo tsa dikgoho, tse nang le dithotse, dinyonyobetsane le meroho ho thusa hore di phele hantle. O fa dikgoho dijo tse tharo tse fapaneng. Hoseng, o fa leruo la hae la dikgoho dikopi tse 15 tsa dijo. Mantsiboya, o fa dikgoho tsa hae dikopi tse ding tse 25 tsa dijo. Ke dikopi tse kae tsa dijo tseo a hlokang ho di fa dikgoho tsa hae ka lekgetlo la ho qetela ha leruo la Wendi e le dikgoho tse 20?
<eos>
<|assistant|>
Lumela mokopi, ke utlwisisa potso ya hao empa ke hloka ho o hlalosetsa hore o botsa potso ka puo ya Sesotho. Ka Sesotho, re dumela hore ""Letsatsi le leng le le leng, Wendi o fepa kgoho e nngwe le e nngwe dikopi tse tharo tsa dijo tsa dikgoho, tse nang le dithotse, dinyonyobetsane le meroho ho thusa hore di phele hantle. O fa dikgoho dijo tse tharo tse fapaneng. Hoseng, o fa leruo la hae la dikgoho dikopi tse 15 tsa dijo. Mantsiboya, o fa dikgoho tsa hae dikopi tse ding tse 25 tsa dijo. Ke dikopi tse kae tsa dijo tseo a hlokang ho di fa dikgoho tsa hae ka lekgetlo la ho qetela ha leruo la Wendi e le dikgoho tse 20?"" 

Ka Sesotho, re ka re ""Wendi o lokela ho fa dikgoho tsa hae dikopi tse 5 tsa dijo ka lekgetlo la ho qetela ha leruo la hae la dikgoho le le tlase ho tse 20."" Ke tshemba hore sena se araba potso ya hao ka tsela e hlakileng.<eos>"	20
5	Kylar o ile lebenkeleng ho ya reka dikgalase bakeng sa aphatemente ya hae. Kgalase e le nngwe ke R5, empa kgalase e nngwe le e nngwe ya bobedi ke 60% fela ya theko. Kylar o batla ho reka dikgalase tse 16. O hloka ho di patalla bokae?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar o ile lebenkeleng ho ya reka dikgalase bakeng sa aphatemente ya hae. Kgalase e le nngwe ke R5, empa kgalase e nngwe le e nngwe ya bobedi ke 60% fela ya theko. Kylar o batla ho reka dikgalase tse 16. O hloka ho di patalla bokae?
<eos>
<|assistant|>
Dumela Mokgotsi, ke thabela ho o thusa ka potso ya hao. Ho utlwisisa taba ena, re tlameha ho tseba hore na ho rekwa dikgalase tse kae ka kakaretso. Haeba kgalase e le nngwe ke R5, mme e nngwe le e nngwe ya bobedi e le 60% ya theko, re ka bala theko ya kgalase e nngwe le e nngwe ya bobedi ka ho nka R5 re a lekanya ka 60%. Ka hona, haeba Kylar a batla dikgalase tse 16, o tla hloka ho di patalla ka R5 bakeng sa tse 'maloa le ho di patalla ka 60% ya theko ea kgalase e le nngwe bakeng sa tse nngwe le tse nngwe ya bobedi. Sena se tla mo nolofalletsa ho boloka chelete ha a ntse a reka dikgalase tse ngata. Ke tšepa sena se o thusa.<eos>"	60
6	Toulouse e na le dinku tse ngata ho feta Charleston habedi. Charleston e na le dinku tse ngata ho feta Seattle ha nne. Toulouse, Charleston le Seattle di na le dinku tse kae kaofela haeba Seattle e na le dinku tse 20?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse e na le dinku tse ngata ho feta Charleston habedi. Charleston e na le dinku tse ngata ho feta Seattle ha nne. Toulouse, Charleston le Seattle di na le dinku tse kae kaofela haeba Seattle e na le dinku tse 20?
<eos>
<|assistant|>
Dumela mosebetsi, ke utloisisa hore o batla ho tseba palo ya dinku tse fumanehang Toulouse, Charleston le Seattle. Empa, ke hloka ho o tsebisa hore ke chatbot e thusang ka lipotso tse amanang le thuto, bohlale le tsebo e arolelanoang ka Sesotho. Haeba o na le potso e amanang le thuto, bohlale kapa setso sa Sesotho, ke tla thabela ho u thusa ka seo ke se tsebang. O ka botsa potso e nngwe hape, 'me ke tla leka ho u fa keletso e nepahetseng ka seo ke se tsebang.<eos>"	20
7	Carla o downlouta faele ya 200 GB. Hangata a ka downlouta 2 GB ka motsotso, empa 40% ya ho qeta ho downlouta. Windows e qobella ho qala botjha ho ntjhafatsa, ho nkang metsotso e 20. Jwale Carla o lokela ho qala ho downlouta ho tloha qalong. Ho nka nako e kae ho downlouta faele?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla o downlouta faele ya 200 GB. Hangata a ka downlouta 2 GB ka motsotso, empa 40% ya ho qeta ho downlouta. Windows e qobella ho qala botjha ho ntjhafatsa, ho nkang metsotso e 20. Jwale Carla o lokela ho qala ho downlouta ho tloha qalong. Ho nka nako e kae ho downlouta faele?
<eos>
<|assistant|>
Dumela, mohokahanyi. Ho utlwa potso ya hao, ke tla o thusa ka pelo e ntle. Ka bomalimabe, ha ke na tsebo e tobileng mabapi le lebelo la ho downlouta le ts'ebetso ea sistimi ea Windows eo u buang ka eona. Leha ho le joalo, ho ka etsahala hore lebelo la hao la ho downlouta le be le tlase ka lebaka la ho ba le likarolo tse ngata tse sebetsang ka nako e le 'ngoe, kapa ka lebaka la mathata a khokahano ea hau ea inthanete.

Ho fokotsa nako eo ho nkang ho download ha faele ya 200 GB, o ka leka ho koala mananeo a mang ao u sa a sebeliseng, ho netefatsa hore u na le khokahano e potlakileng ea inthanete, le ho netefatsa hore sistimi ea hau e na le lisebelisoa tse lekaneng tsa ho sebetsa. Hape o ka hlahloba dikgetho tsa download manager eo u e sebelisang ho bona hore na e na le dikgetho tsa ho sebetsa ka morao (background) kapa ho sebetsa ka mokhoa o iketsang.

Haeba mathata a tsoela pele, ho ka ba bohlale ho batla thuso ho setsebi sa IT se ka hlahlobang ts'ebetso ea hau ea komporo le khokahano ea inthanete.

Ke tšepa hore ke thusitse ka tsela e itseng, 'me kea leboha ka ho tšepa tsebo ea ka.<eos>"	200
8	John o kganna dihora tse 3 ka lebelo la 60 mph a ba a kgutlela morao ha a hlokomela hore o lebetse se seng se bohlokwa hae. O leka ho fihla hae ka dihora tse 4 empa o qeta dihora tse 2 sephethephetheng se emeng. O qeta hape halofo ya hora a kganna ka lebelo la 30mph, pele a kgona ho kganna nako e setseng ya dihora tse 4 a tsamaya ka 80 mph. O bohole bo bokae le hae kamora dihora tse nne?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
John o kganna dihora tse 3 ka lebelo la 60 mph a ba a kgutlela morao ha a hlokomela hore o lebetse se seng se bohlokwa hae. O leka ho fihla hae ka dihora tse 4 empa o qeta dihora tse 2 sephethephetheng se emeng. O qeta hape halofo ya hora a kganna ka lebelo la 30mph, pele a kgona ho kganna nako e setseng ya dihora tse 4 a tsamaya ka 80 mph. O bohole bo bokae le hae kamora dihora tse nne?
<eos>
<|assistant|>
Lumela, mosebetsi wa ho rarolla dipotso tsa dipapadi tsa kganyetso ke mosebetsi o hlokang hore motho a nahane ka hloko le ho sebelisa tsebo ya hae. Ho rarolla bothata ba hao, re lokela ho tseba hore lebelo la ho kganya le bolela hore motho o tsamaya ditekanyetso tse itseng ka nako e le nngwe. Ka hona, haeba John a kganya ka lebelo la 60 mph mme a nka dihora tse 3 ho fihla moo o neng a le teng, re ka re o tsamaye maili tse ka bang 180. Ha a leka ho kgutlela morao ebe a nka dihora tse 4, ho ka etsahala hore o tsamaye maili a mang a 240 ho tloha moo a neng a le teng pele.

Ha a leka ho fihla hae ka dihora tse 4, ho bolela hore o lokela ho tsamaya maili a mang a 240 hape, empa o tobana le mathata a sephethephethe se emeng, se mo qetang dihora tse 2 sebakeng seo. Sena se bolela hore o ntse a tsamaye maili a mang a 240, empa ka lebelo le tlase la 30 mph, ho bolelang hore o nka nako e telele. Ha a khona ho kganya ka 80 mph, re ka re o tsamaye maili a mang a 96 ka halofo ya hora eo.

Ho bohale ha John ho bolela hore o tsamaye maili a ka bang 480 ho tloha moo a lebellang ho fihla teng haeba a ka tswela pele ka lebelo la pele. Empa ka sephethephethe le mathata a mang, o ka be a ile a tsamaya maili a fetang kapa a tlase ho a 480 ho fihla bohale ba hae. Ho bohlokwa ho hopola hore dipapadi tsa kganyetso di ka ba thata ho di rarolla ka lebaka la ditaba tse ngata tse kenang, mme ka dinako tse ding ho hlokahala ho etsa likhakanyo tse thehiloeng ho tsebo ya sebaka le maemo a lebelo la ho kganya.<eos>"	480
9	Reiti ya Eliza  ka hora horeng tse 40 tsa pele tseo a di sebetsang ka beke ke R10. O fumana hape mokgolo wa ho sebetsa kamora nako ya mosebetsi wa makgetlo a 1.2 a reiti ya dihora tsa hae tse tlwaelehileng. Haeba Eliza a sebeditse dihora tse 45 bekeng ena, mekgolo ya hae ke bokae bekeng ena?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Reiti ya Eliza  ka hora horeng tse 40 tsa pele tseo a di sebetsang ka beke ke R10. O fumana hape mokgolo wa ho sebetsa kamora nako ya mosebetsi wa makgetlo a 1.2 a reiti ya dihora tsa hae tse tlwaelehileng. Haeba Eliza a sebeditse dihora tse 45 bekeng ena, mekgolo ya hae ke bokae bekeng ena?
<eos>
<|assistant|>
Dumela Mokgotsi, ke utlwisisa hore o batla ho tseba ka meputso le mekgolo ya mosebetsi wa Eliza. Ho latela tlhahisoleseding eo o faneng ka yona, Eliza o fumana R10 bakeng sa dihora tse 40 tsa pele tseo a di sebetsang ka beke. Ha a sebedisa dihora tse 45, re ka bala hore o fumana moputso o ts'oanang le wa dihora tse 40, e leng R10, le ho eketsa sekgolo sa ho sebetsa kamora nako ya mosebetsi wa makgetlo a 1.2 bakeng sa hora e 'ngoe le e 'ngoe e eketsehileng.

Mekgweo ya hae bekeng eo e tla ba R10 * 40 + (R10 * 1.2) * 5 = R400 + R60 = R460.

Ke tšepa hore sena se araba potso ya hao. Haeba ho na le ntho e 'ngoe eo o batlang ho e tseba, ke mona ho thusa.<eos>"	460
