	question	answer	llm
0	Janet ƒe kpakpaxe ɖaa azi 16 gbe sia gbe. ŋdi sia ŋdi la, eɖua etɔ̃ le eŋu le ŋdinuɖuɖuɣi eye wògazãna ene bubu hemea muffin-keke na xɔ̃awo. Edraa esiwo susɔ la gbe sia gbe le kɔƒemesi la me, azi mumu ɖe sia ɖe $ 2 . Ho neni wokpɔna (le dollars nu) gbe sia gbe le kɔƒemesi la me?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Janet ƒe kpakpaxe ɖaa azi 16 gbe sia gbe. ŋdi sia ŋdi la, eɖua etɔ̃ le eŋu le ŋdinuɖuɖuɣi eye wògazãna ene bubu hemea muffin-keke na xɔ̃awo. Edraa esiwo susɔ la gbe sia gbe le kɔƒemesi la me, azi mumu ɖe sia ɖe $ 2 . Ho neni wokpɔna (le dollars nu) gbe sia gbe le kɔƒemesi la me?
<eos>
<|assistant|>
E kaaro. Mo ye pe o n wa alaye nipa bi a ṣe le ṣe iṣiro owo ti Janet fi pamọ. Lati ṣe eyi, a gbọdọ kọkọ mọ iye owo ti muffin-keke naa ni gbigbe. Nigbati a ba mọ iye owo naa, a le ṣe iṣiro owo ti a fi pamọ nipa kiko iye owo ti a ti lo lati ra muffin-keke naa kuro ni owo ti a ti lo lati ra ẹja ẹdẹ. Fun apẹẹrẹ:

1. Ṣe akiyesi iye owo ti muffin-keke (a le sọ pe o jẹ $1 fun apẹẹrẹ)
2. Fi iye owo ti a lo lati ra ẹja ẹdẹ naa (a le sọ pe o jẹ $5) kuro ninu iye owo ti o ti lo lati ra muffin-keke naa ($1), eyi yoo fun wa ni iye owo ti a fi pamọ ($5 - $1 = $4).

Nitorinaa, owo ti Janet fi pamọ ni $4. Ṣugbọn o ṣe pataki lati mọ pe iye owo ti a fi pamọ le yatọ da lori iye owo ti a ti lo lati ra ẹja ẹdẹ naa. Ti o ba ni iye owo pato ti a lo lati ra ẹja ẹdẹ, jọwọ lo iye owo yẹn ninu iṣiro naa. 

Mo nireti pe eyi ṣe iranlọwọ fun ọ. Ti o ba ni ibeere miiran, ma ṣe ṣiyemeji lati beere.<eos>"
1	Hena awu legbe ɖeka la, wohiã ka blɔ babla 2 eye wohiã agbɔsɔsɔ ma ƒe mamame na ka ɣi. ka babla nenie hiã mahã?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Hena awu legbe ɖeka la, wohiã ka blɔ babla 2 eye wohiã agbɔsɔsɔ ma ƒe mamame na ka ɣi. ka babla nenie hiã mahã?
<eos>
<|assistant|>
እንዴት ነህ? ጥያቄህን በጥንቃቄ አስተዋውቻለሁ። እንደምታስብህ የሚመስል እንዳለ በአንድ አካል እንዲህ ማለት ነው። አንድ ባለሙያ ወይም አንድ አካል በእውነት እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአንድ አካል እንደሚሆን እና በአን"
2	Josh ge ɖe aƒeɖɔɖodɔ me. Eƒle ɖe $ 80 000 eye wozã $ 50 000 heɖɔe ɖo. Aƒea ƒlega dzi ɖe edzi 150%. Ale ka wòkpɔ ɖe aƒea szi?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh ge ɖe aƒeɖɔɖodɔ me. Eƒle ɖe $ 80 000 eye wozã $ 50 000 heɖɔe ɖo. Aƒea ƒlega dzi ɖe edzi 150%. Ale ka wòkpɔ ɖe aƒea szi?
<eos>
<|assistant|>
ሰላም ነው? ጥያቄዎን በሙሉ አልረዳሁም እንጂ እባክዎ ጥያቄዎን በእንግሊዝኛ እና በግልጽ መልክ አቅርቡ። በዚህ ሁኔታ እንዴት እንደምትረዳ በተጨማሪ መረጃ እንድሰጥዎ እፈልጋለሁ። እባክዎን እንደገና ጥያቄዎን ይላኩ።<eos>"
3	Jacques ƒua afɔnudu zi 3 eye wowɔa esia zi 3 le kɔsiɖa ɖeka me. Afɔnudu ɖe sia ɖe didi mɛta 60. Du mɛta neni wòƒuna le kɔsiɖa ɖeka me maha?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jacques ƒua afɔnudu zi 3 eye wowɔa esia zi 3 le kɔsiɖa ɖeka me. Afɔnudu ɖe sia ɖe didi mɛta 60. Du mɛta neni wòƒuna le kɔsiɖa ɖeka me maha?
<eos>
<|assistant|>
Ndewo, enyi m. A ga m agwa gị nkenke ihe ị jụrụ. Jacques na-agagharị gburugburu nke 3 eye na-akpọ, a na-asịkwa na o nwere ike ịdị ka 3. A na-ekwukwa na 3 le kọsi 60, nke pụtara na o nwere ike ịdị ka ihe dị iche iche n'ime oge 60. Maka ajụjụ gị nke abụọ, ọ dị ka ị na-ajụ maka ọnụọgụgụ nke kọsi n'ime mmekọrịta dị n'etiti Jacques na kọsi 60, ma ọ bụ na ị na-achọ ịmata etu esi agbakọta ihe ndị a abụọ. Biko, gwa m ka m nwee ike inyere gị aka n'ụzọ ziri ezi.<eos>"
4	Hena eƒe koklowo ƒe lãmesê me nɔnɔ la, Wendi nana wo nuɖuɖu baka agba etɔ̃ siwo me nukuwo, vɔkli tutuwo kple gbekuiwo le. Enana nuɖuɖuwo zi etɔ̃. Le ŋdi me enana nuɖuɖu agba 15. Ɣetrɔ me agba 25 bubuwo. Nenye be koklo 20 ye le kpɔa me la, nuɖuɖu agba nenie asusɔ hena nuɖuɖu susɔe le ŋkekea me mahã?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Hena eƒe koklowo ƒe lãmesê me nɔnɔ la, Wendi nana wo nuɖuɖu baka agba etɔ̃ siwo me nukuwo, vɔkli tutuwo kple gbekuiwo le. Enana nuɖuɖuwo zi etɔ̃. Le ŋdi me enana nuɖuɖu agba 15. Ɣetrɔ me agba 25 bubuwo. Nenye be koklo 20 ye le kpɔa me la, nuɖuɖu agba nenie asusɔ hena nuɖuɖu susɔe le ŋkekea me mahã?
<eos>
<|assistant|>
እንኳን ደህና መጡ እና ጥያቄዎን ለመመለስ እኔ እዚህ ነኝ። በእርስዎ ጥያቄ ውስጥ ያሉት ቃላት በአማርኛ ቋንቋ እንደሚታዩ ይመስላል። ሆኖም እኔ በእርግጥ በእርስዎ ጥያቄ ውስጥ የተጠቀሱትን ቃላት በአማርኛ ቋንቋ ማስተካከያ አልቻልኩም። እባክዎ ጥያቄዎን በእርስዎ ቋንቋ ወይም በእርስዎ እና እኔ መካከል የሚገባ ቋንቋ በመቀየር እንድረዳዎ እምነት አለኝ። እባኮትን ጥያቄዎን በተጨማሪ ዝርዝር እና በግልጽ መንገድ ይቅርታ ማቅረብ ይቻላል።<eos>"
5	Kylar yi ɖe fiase me bena yeaƒle kpluwo na eƒe aƒe yeye la. kplu ɖeka ƒe home le $ 5, eye kplu evelia ɖe sia ɖe nye gaa ƒe 60% ko. Kylar le didim be yeaƒle kplu 16. Neni wòazã hena wo ƒeƒle mahã?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar yi ɖe fiase me bena yeaƒle kpluwo na eƒe aƒe yeye la. kplu ɖeka ƒe home le $ 5, eye kplu evelia ɖe sia ɖe nye gaa ƒe 60% ko. Kylar le didim be yeaƒle kplu 16. Neni wòazã hena wo ƒeƒle mahã?
<eos>
<|assistant|>
ሰላም ነው? እባክህ ጥያቄህን በግልጽ እና በአማርኛ ቋንቋ በመስጠት እኔን እንደምታበረክት አስታውቀኛለሁ። እባክህ ጥያቄህን እንደገና አቅርብ። እኔ በትክክል እና በአማርኛ ቋንቋ እምነትን ለመስጠት እሞክራለሁ።<eos>"
6	Alẽ sɔgbɔ zigbɔ zi eve le Toulouse hewu Charleston. Ele Charleston zigbɔ zi ene wu Seattle. Nenye be alẽ 20 le Seattle ɖe, ekem alẽ nenie le Toulouse, Charleston kple Seattle katã mahã?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Alẽ sɔgbɔ zigbɔ zi eve le Toulouse hewu Charleston. Ele Charleston zigbɔ zi ene wu Seattle. Nenye be alẽ 20 le Seattle ɖe, ekem alẽ nenie le Toulouse, Charleston kple Seattle katã mahã?
<eos>
<|assistant|>
Alafia ni fun ọ, ẹ jọwọ, ṣe o le ṣalaye ohun ti o fẹ ki n ṣe fun ọ? Bi o ba n wa alaye lori bi o ṣe le rin irin-ajo lati Seattle lọ si Toulouse, tabi boya o n wa alaye lori bi o ṣe le gba lati Charleston lọ si Seattle, jọwọ sọ fun mi ki n le fun ọ ni imọran to dara.<eos>"
7	Carla le yaʋalagbalẽ si kpẽ Go 200 la hem. Nuhehea ƒe ablaɖeɖe nye Go 20 le miniti ɖeka me; esi wohe nua va ɖo 40% la, Windows ɖe asi te na nua alebe woagbugbɔ asi eɖokui hena nuyeyeawo dede tome, eye esia xɔ miniti 20 sɔŋ. Esia wɔ be, Carla nagbugbɔ adze nuhehea gɔme tso gɔmedzedzea ke. Ɣeyiɣi nenie hiã hena agbalẽ hehe mahã?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla le yaʋalagbalẽ si kpẽ Go 200 la hem. Nuhehea ƒe ablaɖeɖe nye Go 20 le miniti ɖeka me; esi wohe nua va ɖo 40% la, Windows ɖe asi te na nua alebe woagbugbɔ asi eɖokui hena nuyeyeawo dede tome, eye esia xɔ miniti 20 sɔŋ. Esia wɔ be, Carla nagbugbɔ adze nuhehea gɔme tso gɔmedzedzea ke. Ɣeyiɣi nenie hiã hena agbalẽ hehe mahã?
<eos>
<|assistant|>
E kaasan. Mo ti gbọ ohun ti o sọ. Sibẹsibẹ, o dabi pe o n wa alaye nipa bi a ṣe n ṣakoso iṣẹ akanṣe kan tabi bi a ṣe le ṣe atunto iṣeto iṣẹ. Ṣe o le ṣalaye siwaju nipa iṣẹ akanṣe ti o n sọrọ nipa rẹ tabi iṣoro ti o n dojuko? Nipa sisọ pato ohun ti o nilo imọran lori rẹ, Emi yoo ni anfani lati fun ọ ni esi ti o yẹ. Bakan naa, ti o ba n wa alaye nipa eto ẹkọ tabi imọ-ẹrọ, Mo le ṣe iranlọwọ pẹlu iyẹn. E jọwọ, sọ fun mi ki n le fun ọ ni imọran ti o dara julọ.<eos>"
8	Jean ku ʋu gaƒoƒo 3 eye eƒe duƒuƒu nye mph 60, eye ẁgbugbɔ trɔ yi aƒeme elabena eŋkɔ nu vevi aɖe be. Edze gbagba be yeayi le gaƒoƒo 4 me gake egu gaƒoƒo 2 le mɔa ƒe dzadzã ta. Le gaƒoƒo afã si kplɔ esia ɖo me la, eƒu du mph 30 hafi vaƒui mph 80 le ɣeyiɣi si ne susɔ le gaƒoƒo 4 la me la me. Esi gaƒoƒo 4 wu enu ɖe, mɔdidime kae tso eƒe aƒeme kple afi si ẁova ɖo la dome mahã?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jean ku ʋu gaƒoƒo 3 eye eƒe duƒuƒu nye mph 60, eye ẁgbugbɔ trɔ yi aƒeme elabena eŋkɔ nu vevi aɖe be. Edze gbagba be yeayi le gaƒoƒo 4 me gake egu gaƒoƒo 2 le mɔa ƒe dzadzã ta. Le gaƒoƒo afã si kplɔ esia ɖo me la, eƒu du mph 30 hafi vaƒui mph 80 le ɣeyiɣi si ne susɔ le gaƒoƒo 4 la me la me. Esi gaƒoƒo 4 wu enu ɖe, mɔdidime kae tso eƒe aƒeme kple afi si ẁova ɖo la dome mahã?
<eos>
<|assistant|>
ሰላም እንዴት ነህ/ነሽ? እባክህ/እባክሽ የተጠየቅከውን እንደገና በግልጽ ማቅረብ ይቻላልን? በተጨማሪ እንደ ምሳሌ የተናገረውን እንደገና ማቅረብ ይቻላልን? በዚህ አይነት ጉዳይ ላይ መረጃ እና ምክር ማግኘት ከፈለግህ/ፈለግሽ እኔ እርዳታ ማድረግ እሞክራለሁ።<eos>"
9	Gaƒoƒo 40 gbatɔ siwo Elisa nawɔ dɔ le kɔsiɖa me me la, gaƒoƒo ɖekafee nye $ 10. Gaƒoƒo wɔɖedzi ɖe sia ɖe ƒe fe nye 1,2 na gaƒoƒo ɖeka gbɔlofe. Nenye be le kɔsiɖa sia me, Elisa wɔ dɔ gaƒoƒo 45 ɖe, nenie anye eƒe fetu kɔsiɖa sia me mahã.	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Gaƒoƒo 40 gbatɔ siwo Elisa nawɔ dɔ le kɔsiɖa me me la, gaƒoƒo ɖekafee nye $ 10. Gaƒoƒo wɔɖedzi ɖe sia ɖe ƒe fe nye 1,2 na gaƒoƒo ɖeka gbɔlofe. Nenye be le kɔsiɖa sia me, Elisa wɔ dɔ gaƒoƒo 45 ɖe, nenie anye eƒe fetu kɔsiɖa sia me mahã.
<eos>
<|assistant|>
Kedu, onye nchọta ihe ọmụma. Ihe ị jụrụ gbasara ga-adị mfe ma ọ bụrụ na m ghọta gị nke ọma. Site n'ihe ị kọwara, ọ dị ka ị na-achọ ịma banyere ego na ọnụ ahịa n'ahịa ma ọ bụ ị na-ajụ banyere ihe ọzọ. Mana, ọ dị ka ihe ị na-ajụ adịghị ka ihe dị mfe ịzaghachi n'ihi na ọ na-adabere n'ọtụtụ ihe dịka omenala, ebe a na-azụ ahịa, na ọnọdụ akụ na ụba. 

Ọ bụrụ na ị na-achọ ịma banyere ọnụahịa n'ahịa, ọ ga-adị mma ịjụ onye maara banyere ahịa ahụ ma ọ bụ onye na-ere ahịa ahụ kpọmkwem. Maka ihe ọzọ, ọ bụrụ na ị na-achọ ndụmọdụ gbasara ihe ọ bụla, ọ dị mkpa ịtụle ọnọdụ gị na mkpa gị tupu ime mkpebi ọ bụla. 

Ọ bụrụ na ị nwere ajụjụ ọzọ ma ọ bụ mkpa ịmatakwu banyere ihe ụfọdụ, biko mee ka m mara ka m nwee ike inye gị enyemaka ka mma.<eos>"
