Unnamed: 0	question	answer	llm	verbalized
0	Igishuhe cya Jane gitera amajyi 16 ku munsi,  buri mugitondo aryamo atatu kandi akora  umugati winshutiye akoresheje ane, agurisha asigaye mwisoko ryabahinzi buri munsi kugichiro cya 2 kuri buri jyi. Na ngahe mumadolali yinjiza ku munsi  mwisoko ryabahinzi ?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Igishuhe cya Jane gitera amajyi 16 ku munsi,  buri mugitondo aryamo atatu kandi akora  umugati winshutiye akoresheje ane, agurisha asigaye mwisoko ryabahinzi buri munsi kugichiro cya 2 kuri buri jyi. Na ngahe mumadolali yinjiza ku munsi  mwisoko ryabahinzi ?
<eos>
<|assistant|>
Mwiriwe, ndumva mwifuza kumenya amafaranga Jane ashobora kwakira ku munsi mubisanzwe agurisha umugati mu isoko ryabahinzi. Nk'inzobere mu by'ubukungu n'ubucuruzi, icyo nakubwira ni uko igiciro cy'umugati gishobora gutandukana bitewe n'ahantu, ibihe, n'ubwoko bw'umugati. Gusa, nk'urugero rusange, umugati ushobora kugurishwa ku giciro kiri hagati y'amadolari 1 kugeza kuri 3 ku gipimo cy'igihugu. Bityo, ku munsi, Jane ashobora kwakira hagati y'amadolari 16 na 30, bitewe n'umubare w'umugati ashobora kugurisha n'agaciro k'isoko muri ako gace. Ni ngombwa kandi ko Jane yita ku isuku no ku buziranenge bw'umugati we kugira ngo abashe guhangana ku isoko no kubona abaguzi.<eos>"	30
1	Umureko ufata  imizunguruko ibiri yubururu  nigice  cyumweru bya faiba. Na maburo angahe murirusange ukoresha ? 	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Umureko ufata  imizunguruko ibiri yubururu  nigice  cyumweru bya faiba. Na maburo angahe murirusange ukoresha ? 
<eos>
<|assistant|>
Muraho neza, ndabashimiye ko mwegera umuntu w'inararibonye ngo abagire inama. Ku bijyanye n'ikibazo cyanyu, imizunguruko ibiri yubururu mugihe cy'umwaka wa faiba, ni byiza kubanza kwita ku buzima bw'imirima yanyu, mukanasiga neza aho imizunguruko ishobora kugera. Ku bijyanye na maburo, ni ngombwa kubanza gusuzuma ubwoko bw'ubutaka bwanyu n'ibimera mufite, kugira ngo mubashe guhitamo maburo akwiye. Ntimukwiye gukoresha maburo menshi cyane kuko byangiza ubutaka n'ibidukikije. Gukoresha umunyu wa bentonite cyangwa andi maburo y'umwimerere ni byiza kuko afasha mu kongera intungamubiri mu butaka. Mwibuke kandi ko gukoresha ifumbire y'umwimerere nk'umwanda w'amatungo bifasha mu kubungabunga ubuzima bw'ubutaka. Niba hari ibindi bisobanuro mukenera cyangwa inama zihariye, mumbwire mbafashe.<eos>"	-1
2	Josh yiyemeje kugundura inzu, yaguze inzu y'amadolari $800,000 nuko ayivugurura na 50,000. Ibi byongereye agaciro k'inzu na 150% . N'inyungu yagahe yabonye ?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh yiyemeje kugundura inzu, yaguze inzu y'amadolari $800,000 nuko ayivugurura na 50,000. Ibi byongereye agaciro k'inzu na 150% . N'inyungu yagahe yabonye ?
<eos>
<|assistant|>
Muraho neza, ndabashimiye ko mwegera umuntu w'inararibonye ngo mbagire inama. Nk'umuntu uzi neza ibijyanye n'ubukungu n'ubwubatsi, ndabona ko mwakoze igikorwa cyiza cyo kugura inzu hanyuma muyivugurura. Iyo umuntu agura inzu, yubaka ishingiro ry'ubukungu bwe bwite, kandi gushora imari mu kuvugurura bishobora kongera agaciro k'inzu n'inyungu igihe cyose igurishijwe. 

Ku bijyanye n'inyungu mwashoboye kubona, biragoye kuyimenya neza kuko biterwa n'ibintu byinshi nk'isoko ry'imitungo y'ubukonje, igiciro cy'ubutaka n'ibindi. Icyakora, niba umuntu asanze yavuguruye inzu ye yatumye igurishwa ku giciro cyo hejuru kurushaho, ibyo byongera inyungu yabonye. 

Mu kubara inyungu, ni ingenzi kandi kureba ku biciro by'inyongera byavuyemo nk'ubushakashatsi, amadeni yashoboraga kuba yaragabanyije, n'ibindi bishobora kuba byaragabanyije agaciro k'inzu mbere y'ivugurura. 

Mboneyeho no kubagira inama yo gukomeza gukurikirana neza imicungire y'imari yanyu no kugira umuco wo gushora imari mu buryo butekanye kandi bwubaka ejo hazaza hanyu h'ubukungu.<eos>"	150
3	Yakobo yiyemeje kwiruka  3 mucyumweru, Yiruka 60 ibirometro buri nshuro. Ni metro zingahe yiruka mucyumweru?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Yakobo yiyemeje kwiruka  3 mucyumweru, Yiruka 60 ibirometro buri nshuro. Ni metro zingahe yiruka mucyumweru?
<eos>
<|assistant|>
Muraho neza, ndabashimiye ku kibazo cyanyu. Nk'uko mubivuga, Yakobo yiyemeje kwiruka 3 mucyumweru kandi akiruka 60 ibirometro buri nshuro. Icyo kibazo cyanyu gisaba kumenya umubare w'ibirometro Yakobo aziruka mucyumweru. Iyo umuntu yiyemeje gukora igikorwa runaka, ni byiza kucyitaho no kugikora neza. Mu bijyanye no kwiruka, ni ingenzi kwita ku buzima n'umutekano w'uwiruka, ndetse no kubahiriza amategeko agenga umukino. Iyo bikubiye mu gukora siporo, ni byiza kandi kumenya ko umubiri wacu ukeneye kuruhuka no kugarura imbaraga. Mbere yo kwitabira igikorwa nk'icyo, ni byiza kugisha inama abatoza b'inzobere kugira ngo babashe kubaha amakuru y'ingenzi ajyanye n'ubuzima bwabo n'uburyo bwo kwiruka neza. Mwibuke ko ubuzima ari ubw'agaciro kurusha ibindi byose, kandi ko kugira ubumenyi n'ubuhanga mu byo dukora ari ingenzi.<eos>"	60
4	Buri munsi Wendi aha inkoko ze ibikombe bitatau byibiryo byinkoko bivanze , harimo imbuto, utunyorogoto ni mbonga kujyirango zijyire ubuzima bwiza.  Aha inkoko ibiryo mubyiciro  bitatu. Mugitondo aha inkoko ze ibikombe 15 byibiryo, nyuma  ya sa sita aziha ibikombe 25. Nibikombe bingahe byibiryo agomba guha inkoko ze kw'inshuro yanyuma yumunsi , mugihe ubwinshi bw'inkoko ze ari 20.	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Buri munsi Wendi aha inkoko ze ibikombe bitatau byibiryo byinkoko bivanze , harimo imbuto, utunyorogoto ni mbonga kujyirango zijyire ubuzima bwiza.  Aha inkoko ibiryo mubyiciro  bitatu. Mugitondo aha inkoko ze ibikombe 15 byibiryo, nyuma  ya sa sita aziha ibikombe 25. Nibikombe bingahe byibiryo agomba guha inkoko ze kw'inshuro yanyuma yumunsi , mugihe ubwinshi bw'inkoko ze ari 20.
<eos>
<|assistant|>
Muraho neza, ndabashimiye ko mwanyiyambaje ngo mbagire inama ku kibazo cyanyu. Nk'uko mubivuga, guha inkoko ibiryo mubyiciro bitatu ni ingenzi kugira ngo zikomere kandi zibashe kororoka neza. Mu gitondo, inkoko yagombye guhabwa ibikombe 15 by'ibiryo, naho nyuma ya saa sita, ibikombe 25 ni byiza. Ibi bivuze ko ku munsi umwe, inkoko yagombye guhabwa ibikombe 35. Iyo ubwinshi bw'inkoko buringaniye na 20, buri yagombye guhabwa ibikombe 17.5 by'ibiryo, ni ukuvuga ko buri gikonoshwa k'ibiryo kigomba kuba kirimo n'ibirungo nkenerwa. Niba mufite ibindi bibazo cyangwa mushaka inama zirenzeho, mumbwire mbafashe. Murakoze.<eos>"	17
5	Kylar yagiye kwiduka kugura ibirahuri bishya  byinzuye. Ikirahuri kimwe kigurishwa $ 5 , ibindi birahuri bikurikira bigurishwa 60% yigiciro. Kylar ashaka kugura ibirahuri 16. Nangahe agomba kwishyura yibirahuri?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar yagiye kwiduka kugura ibirahuri bishya  byinzuye. Ikirahuri kimwe kigurishwa $ 5 , ibindi birahuri bikurikira bigurishwa 60% yigiciro. Kylar ashaka kugura ibirahuri 16. Nangahe agomba kwishyura yibirahuri?
<eos>
<|assistant|>
Muraho neza, ndabashimiye ku kibazo cyanyu cyiza. Icya mbere, ni ukumenya ko igiciro cy'ikirahuri kimwe ari $5. Ku bijyanye n'ibirahuri 16, igiciro cyabyo cyakurikirana uburyo buzwi nka 'bulk purchase discount' aho ushobora kugabanya igiciro ukurikije umubare w'ibintu ugura. Niba igiciro cy'ikirahuri kimwe ari $5, igiciro cy'ibirahuri 16 cyaba ari 16 x $5 = $80. Ariko kubera ko ushaka kugura 16 muri rusange, ushobora kubona igabanyirizwa rya 60% ku giciro cy'ibirahuri 16, bityo ukaba wakwishyura $52.40 (80 - 30 = 52.4). Ni ingenzi kandi kuzirikana ko hari igihe igabanyirizwa riba ritandukanye bitewe n'utugurisha. Niba hari ibindi bisobanuro mukenera, mubwire ntiteguye kubafasha.<eos>"	52
6	Toulouse afite intama zikubye kabiri iza Charleston. Charleston afite inshuro 4 zikubye  intama za  Seattle.  Ni hene zingahe Toulouse , Charleston na  Seattle bafite zose hamwe niba Seattle  afite intama 20?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse afite intama zikubye kabiri iza Charleston. Charleston afite inshuro 4 zikubye  intama za  Seattle.  Ni hene zingahe Toulouse , Charleston na  Seattle bafite zose hamwe niba Seattle  afite intama 20?
<eos>
<|assistant|>
Muraho neza! Icyo kibazo cyanyu gisaba gusesengura imiterere y'amakuru atandukanye n'ubumenyi bw'imibare. Nk'uko mubivuze, Toulouse ifite intama zikubye kabiri iza Charleston, naho Charleston ikubye inshuro 4 z'intama za Seattle. Icyo dusabwa ni ukumenya umubare w'intama za Seattle zikubye kabiri na Charleston.

Kugira ngo tubone umubare w'intama za Seattle zikubye kabiri na Charleston, tugomba gukurikiza izi ntambwe:

1. Menya umubare w'intama za Seattle zikubye kabiri: Iyo ntambwe yavuzwe haruguru ivuga ko Seattle ifite intama 20, bityo umubare w'intama zikubye kabiri uba 20 x 2 = 40.

2. Menya umubare w'intama za Charleston zikubye kabiri: Uyu mubare wari usanzwe uzi, ni ukuvuga 2.

3. Kubera ko Toulouse ifite intama zikubye kabiri iza Charleston, umubare w'intama za Charleston zikubye kabiri ni 2 x 4 = 8.

4. Kubera ko Charleston ifite inshuro 4 zikubye intama za Seattle, umubare w'intama za Charleston zikubye kabiri na Seattle ni 4 x 8 = 32.

Bityo, umubare w'intama zose zikubye kabiri mu gihe Seattle ifite intama 20 ni 40 + 8 + 32 = 80.

Ibyo ni byo bishingirwaho, kandi niba hari ikindi kibazo cyangwa se ushaka ibindi bisobanuro, ntutinye kumbaza. Murakoze!<eos>"	80
7	Carla adawunilodiga GB 200 zidosiye . ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40%  ya  dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.  	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla adawunilodiga GB 200 zidosiye . ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40%  ya  dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.  
<eos>
<|assistant|>
Muraho neza, ndumva neza ikibazo cyawe kandi ndagishyira mu Kinyarwanda kugira ngo ngikomeze kuganira nawe neza. Nk'uko Carla yabibwiye, ikoreshwa ry'uburyo bwo gucapa porogaramu (programming) rigomba gukorwa neza kugira ngo ritange umusaruro mwiza. Iyo hari ibibazo by'uburyo bwo gucapa porogaramu, nk'uko Carla yavuze ko hari igihe igikoresho cye cya komputa cyatangiye guhura n'ikibazo, ni ingenzi cyane gufata ingamba zikwiye kugira ngo ikibazo gikemuke.

Nk'umuntu uzi neza iby'ubuhanga mu bya mudasobwa, ndakugira inama yo gukora ibi bikurikira: Icya mbere, ni ukugerageza gusubiramo gahunda (program) yawe, ukareba niba hari amakosa yaba yarabayeho mu gihe cyo kuyicapiro. Icya kabiri, ni ukureba niba ibikoresho bya mudasobwa (hardware) byawe biri mu mwanya mwiza kandi ko bitari kugira ikibazo. Icya gatatu, ni ukugerageza gukoresha amahugurwa cyangwa ibitabo by'ubumenyi ku bijyanye n'ikibazo cyawe kugira ngo ubone uburyo bwo gukemura ikibazo.

Ikindi kandi, ni byiza kwirinda gukora impinduka zikomeye ku bikoresho byawe mbere y'uko ubona neza ko byose biri gukora neza. Ni byiza kandi kugisha inama abandi bantu bafite ubuhanga mu bya mudasobwa, kuko ubunararibonye bwabo bushobora kukugirira akamaro kanini.

Niba ukurikije izi nama, uzabasha gukemura ikibazo cyawe mu buryo bwihuse kandi bwubaka. Niba hari ikindi kibazo cyangwa ubundi bufasha ukeneye, ntutinye kubaza.<eos>"	20
8	Yohani atwara imodoka amasaha 3 kumuvuduko wa 60mph, yumayaho yaje gusubira murugo kuko yasanze yibagiwe ikintu kingira kamaro murugo. Yagerageje kujyera murugo mumasaha 4 ariko amasaha 2  yayamaze ari muri ambuteyaje.Yakoresheje isaha nigice atwara imodoka kumuvuduko wa 30mph mbere yuko ashobora gutwara kumuvuduko wibirometero 80mph mumasaha 4 yarasigaye. nikure hangana  iki yomurugo nyuma y'amasaha 4?  	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Yohani atwara imodoka amasaha 3 kumuvuduko wa 60mph, yumayaho yaje gusubira murugo kuko yasanze yibagiwe ikintu kingira kamaro murugo. Yagerageje kujyera murugo mumasaha 4 ariko amasaha 2  yayamaze ari muri ambuteyaje.Yakoresheje isaha nigice atwara imodoka kumuvuduko wa 30mph mbere yuko ashobora gutwara kumuvuduko wibirometero 80mph mumasaha 4 yarasigaye. nikure hangana  iki yomurugo nyuma y'amasaha 4?  
<eos>
<|assistant|>
Muraho neza! Ibibazo byawe biragoye ariko reka ngerageze kubisubiza. Icya mbere, kugira ngo umenye igipimo cy'iki yomurugo nyuma y'amasaha 4, ugomba kumenya umuvuduko n'uburebure bwa murugo. Dufate ko umuvuduko wa 60mph urimo uburebure bwa metero 60, naho uwo wa 30mph urimo uburebure bwa metero 30. 

Mu gihe cy'amasaha 4, umuntu atazengurutse umuvuduko umwe gusa. Ahubwo ateza imbere umuvuduko we, bikaba bisobanuye ko mu masaha 2 ya mbere yari ku muvuduko wa 60mph, yagenze metero 120 (60 x 60 / 3600 = 17.78m). Nyuma y'amasaha 2, yongeyeho uburebure bwa metero 60 ku muvuduko wa 30mph, bikaba metero 60 + 60 = 120.

Ku bijyanye n’isabune y'umuntu, reka dufate ko yasabuneye 250g ya sabune ku masaha 4, ibi bivuze ko yasabuneye 62.5g ku isaha.

Ku kibazo cyawe, umuntu yasabuneye 62.5g ya sabune mu isaha, bityo nyuma y'amasaha 4, yomereye 120 + 62.5g = 182.5g ya sabune. 

Icyakora, ibi ni ibipimo rusange, ntabwo bishobora guhuzwa n'igihe nyacyo cy'umuntu ku giti cye. Niba ufite ibindi bibazo cyangwa ukeneye ibisobanuro birambuye, ntutinye kubaza. Murakoze!<eos>"	182
9	Ubwishyu bwa Eliza k'wisaha kumasaha 40 akora mucyumweru ni $10. Anabona ubundi  bwishyu bwinyongera kumasaha yarengeje mukazi kuri 1.2 yikubye umushaharawe wa buri saha. Niba Eliza akoze amasaha 45 muri ikicyumweru, nangahe izishyurwa muri iki cyumweru? 	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Ubwishyu bwa Eliza k'wisaha kumasaha 40 akora mucyumweru ni $10. Anabona ubundi  bwishyu bwinyongera kumasaha yarengeje mukazi kuri 1.2 yikubye umushaharawe wa buri saha. Niba Eliza akoze amasaha 45 muri ikicyumweru, nangahe izishyurwa muri iki cyumweru? 
<eos>
<|assistant|>
Muraho neza! Icyo kibazo cyanyu kirerekana ko mwifuza kumenya uko mushobora kubara umushahara w'umuntu ukorera amasaha arenze ayateganyijwe mu cyumweru. Mu muco nyarwanda, guha agaciro umurimo ni ingenzi cyane, kandi ni byiza ko mubaza kugira ngo mumenye uko mubara umushahara. Mu bijyanye n'ubwishyu bwa Eliza, ikintu cya mbere ni ukumenya umushahara we usanzwe ku masaha 40. Iyo umuntu akoze amasaha arenze ayo asanzwe, umushahara ushobora kongerwa hashingiwe ku masaha yongeye gukorwa. 

Nk'urugero, niba Eliza asanzwe yishyurwa amadolari 10 ku masaha 40, umushahara we ushobora kuba wiyongereye ku madolari 1.2 ku masaha yongeye gukorwa (1.2% ya 10% byaba ari 1.2%). Iyo yongeye gukorera amasaha 5 kuri uwo mubare, ibyo byatuma yishyurwa amadolari 10.50 (10% + 1.2%). 

Mu gihe Eliza yakoze amasaha 45, umushahara wayo ushobora kuba wiyongereye ku madolari 12 (10% + 1.2% ya 10%). Mwibuke ko ibi ari ibipimo rusange kandi bishobora guhinduka bitewe n'aho muba n'amategeko agenga umurimo wanyu. 

Niba hari ibindi bisobanuro cyangwa ubufasha bukenewe, muzatinyuke kumbaza. Murakoze!<eos>"	10
