Unnamed: 0	question	answer	llm	verbalized
0	Àwọn pẹ́pẹ́yẹ Janet máa ń yé ẹyin 16 lọ́jọ́ kan. Ó máa ń jẹ mẹ́ta fún oúnjẹ àárọ̀ láràárọ̀ ó sì máa ń dín àkàrà òyìnbó fún àwọn ọ̀rẹ́ rẹ̀ lójoojúmó pẹ̀lú mẹ́rin. Ó máa ń ta èyí tó kù ní ọjà àgbẹ̀ lójoojúmó fún $2 fún ẹyin pẹ́pẹ́yẹ oòjọ́. Èló ló ń pa ní dọ́là lójoojúmọ́ ní ọjà àgbẹ̀?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Àwọn pẹ́pẹ́yẹ Janet máa ń yé ẹyin 16 lọ́jọ́ kan. Ó máa ń jẹ mẹ́ta fún oúnjẹ àárọ̀ láràárọ̀ ó sì máa ń dín àkàrà òyìnbó fún àwọn ọ̀rẹ́ rẹ̀ lójoojúmó pẹ̀lú mẹ́rin. Ó máa ń ta èyí tó kù ní ọjà àgbẹ̀ lójoojúmó fún $2 fún ẹyin pẹ́pẹ́yẹ oòjọ́. Èló ló ń pa ní dọ́là lójoojúmọ́ ní ọjà àgbẹ̀?
<eos>
<|assistant|>
Ẹ kú àárọ̀. Láti dáhùn ìbéèrè rẹ, a gbọ́dọ̀ mọ̀ pé ètò ọjà àgbẹ̀ kọ̀ọ̀kan ní ìlànà àti àwọn ìdí pàtàkì tó ń ṣe àkóso bí a ṣe ń tà àwọn ọjà. Ìyẹn ni pé, ìwọ̀n owo àwọn ọjà yàtọ̀ síra wọn gẹ́gẹ́ bí iye tó wà lórí ọjà, ìbéèrè àwọn ènìyàn, àti àwọn ìfàǹtí ìṣòwò tó wà. 

Nípa èló tó ń pa ní dọ́là lójoojúmọ́, ó ṣe pàtàkì kí ẹ ṣe àyẹ̀wò àwọn ìdí bíi ìyàtọ̀ nínú ọjà, ìpèsè àti ìbéèrè, àti àwọn ìdí ẹ̀kọ́ tó lè wà níbẹ̀. Kí ẹ tún ṣe àkíyèsí pé àwọn ọjà àgbẹ̀ lè ní àwọn ìdíyelé bíi ìrísí, àwọn ìfowópamọ́, àti àwọn ìdí míràn tí ó lè nípa lórí ìwọ̀n owo.

Bí ó bá jẹ́ pé ẹ fẹ́ mọ̀ nípa bí ẹ ṣe lè ṣe àtúnṣe sí èló tó ń pa ní dọ́là, ẹ lè ṣe àwọn ìgbésẹ̀ bíi wíwá àwọn ọjà míràn tí ó ní ìwọ̀n owo tó tọ́, ṣíṣe àgbékalẹ̀ ètò ìtàjà tó dára, àti wíwá àwọn ọ̀nà láti mú kí ìpèsè àwọn ọjà yín pọ̀ síi láìpẹ́. 

Mo gbà yín nímọ̀ràn pé kí ẹ máa ṣe àtúnṣe sí ètò ìtàjà yín, kí ẹ sì máa ṣe àyẹ̀wò lórí àwọn ìdíyelé àti ìpèsè yín nígbà gbogbo láti lè ṣe àtúnṣe bí ó bá yẹ.<eos>"	2
1	Agbádá kan máa ń gba bóótu òwú olómi aró 2 bẹ́ẹ̀ sì ni àbọ̀ òwú funfun tí ó tó iye yẹn. Iye bóótù mélòó ni ó ń gbà lápapọ̀? 	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Agbádá kan máa ń gba bóótu òwú olómi aró 2 bẹ́ẹ̀ sì ni àbọ̀ òwú funfun tí ó tó iye yẹn. Iye bóótù mélòó ni ó ń gbà lápapọ̀? 
<eos>
<|assistant|>
Ẹ kú àárọ̀. Ojúṣe àgbádá kan ní láti mọ iye bóótù tí ó yẹ kí ó gba. Nígbà tí a bá ń sọ nípa bóótù, a gbọ́dọ̀ mọ pé iye bóótù tí àgbádá kan yẹ kí ó gba dá lórí ìwọn àti ìlànà ìsèjọba tó wà níbẹ̀. Ní ìbẹ̀rẹ̀, ó ṣe pàtàkì kí àgbádá náà mọ ìwọn ìṣẹ́ tó yẹ kí ó gba bóótù, èyí lè jẹ́ lílò àwọn ètò ìṣirò tàbí àwọn ìlànà ìṣètò. Bákan náà, ó gbọ́dọ̀ mọ ohun tó jẹ́ pé iye bóótù tó yẹ kí ó gba kò yẹ kí ó ju iye owó tí àwọn ènìyàn lè san fún ìṣẹ́ náà lọ. Mo gbà ọ níyànjú láti wádìí àwọn òfin àti ìlànà tó wà níbẹ̀ kí o lè mọ iye bóótù tó yẹ kí àgbádá kan gba. Ìmọ̀ nípa èyí yóò ràn ọ lọ́wọ́ láti ṣe ìpinnu tó tọ́.<eos>"	2
2	Josh pinnu láti gbìyànjú àràtúntà ilé. Ó ra ilé kan ní $80,000 ó wá fi $50,000 ṣe àtúnṣe. Èyí mú àlékún bá iye owó ilé náà pẹ̀lú 150%. Èló ni èrè tí ó jẹ?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh pinnu láti gbìyànjú àràtúntà ilé. Ó ra ilé kan ní $80,000 ó wá fi $50,000 ṣe àtúnṣe. Èyí mú àlékún bá iye owó ilé náà pẹ̀lú 150%. Èló ni èrè tí ó jẹ?
<eos>
<|assistant|>
Ẹ kú àárọ̀. Òótọ́ ni pé ìgbésẹ̀ tí Josh gbé yìí jẹ́ ìgbésẹ̀ òǹkọ̀wé nítorí nípasẹ̀ àtúnṣe ilé, ó lè mú kí iye ilé náà pọ̀ síi, èyí tí yóò sì mú kí èrè tó pọ̀ síi wá fún un. Síbẹ̀síbẹ̀, ó ṣe pàtàkì kí Josh mọ̀ pé ìgbéga iye ilé kò lè wáyé láìsí àwọn ìdílé tí yóò nífẹ̀ẹ́ sí ilé náà. Ìgbéga iye owó ilé lè jẹ́ àbájáde ti ìgbéga ìbèèrè fún ilé, àwọn ìlànà ìjọba tí ó lè mú kí ilé náà ní àwọn àǹfààní tuntun, tàbí nítorí àwọn àtúnṣe tí ó ṣe.

Nígbàtí a bá ń sọ nípa èrè, ó ṣe pàtàkì láti ṣe àkànṣe ìṣirò tó tọ́ àti láti mọ̀ pé èrè kìí ṣe nípa owó nìkan, ṣùgbọ́n nípa bí ilé náà ṣe lè mú àwọn ènìyàn dàní lójú àti bí ó ṣe lè ṣe àtìlẹ́yìn fún àwọn ìlànà àti àṣà àgbègbè náà. Josh yóò ní láti ríi pé àwọn àtúnṣe tí ó bá ṣe kò bá àwọn ènìyàn sọ̀rọ̀ tàbí kò bá àṣà àti ìlànà ilé náà mu.

Ní ìparí, ó ṣe pàtàkì fún Josh láti ṣe àyẹ̀wò ìgbésẹ̀ rẹ̀ nígbà gbogbo, kí ó sì ríi pé ó ní ètò fún ìdánilójú pé ilé náà yóò tẹ̀síwájú láti jẹ́ ohun èlò àwùjọ tó dára fún àwọn ènìyàn tó wà ní ayíká rẹ̀.<eos>"	150
3	James pinnu láti sá eré ọ̀gbọrangandan 3 ní ìgbà 3 lọ́sẹ̀. Ó sá mítà 60 ní ọ̀gbọrangandan kọ̀ọ̀kan. Iye àpapọ̀ mítà mélòó ni ó máa ń sá lọ́sẹ̀?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
James pinnu láti sá eré ọ̀gbọrangandan 3 ní ìgbà 3 lọ́sẹ̀. Ó sá mítà 60 ní ọ̀gbọrangandan kọ̀ọ̀kan. Iye àpapọ̀ mítà mélòó ni ó máa ń sá lọ́sẹ̀?
<eos>
<|assistant|>
Ẹ kú àárọ̀. Lati yanju ibeere yin, a gbọdọ̀ lo ètò ìṣirò. Ohun ti James fẹ ṣe ni lati ṣe àpapọ̀ iye eré ọ̀gbọrangandan ti ó ti sá, eyí túmọ̀ sí pé ó gbọdọ̀ ṣe àpapọ̀ 3 pẹlu 60 tí ó ti sá tẹ́lẹ̀. Èyí túmọ̀ sí pé ó gbọdọ̀ sá 3 pọ̀ mọ́ 60, ó sì gbọdọ̀ jẹ́ 60 nítorí pé ó jẹ́ iye àpapọ̀ ti ó ṣe pàtàkì láti ṣe àfihàn. Nítorí náà, ohun ti James máa ń sá lọ́sẹ̀ jẹ́ 60. 

Nígbà tí a bá ń ṣe àpapọ̀, ó ṣe pàtàkì kí a máa ṣe àyẹ̀wò àwọn nọ́mbà tí a ti sá kí a tó lè mọ iye àpapọ̀ náà. Ìmọ̀ ẹ̀kọ́ ìṣirò jẹ́ pàtàkì fún ìgbésí ayé wa lóòótọ́, nítorí pé ó ṣe iranlọwọ fún wa láti ṣe àwọn ìpinnu tó dára àti láti ṣe àpapọ̀ ní ọ̀nà tí ó tọ́. 

Bí ó bá sí ní àwọn ìbéèrè mìíràn tàbí ìlànà kan tí ẹ fẹ́ mọ̀ síwájú síi, ẹ má ṣe ṣiyèméjì láti béèrè. Mo wà níbí láti ràn yín lọ́wọ́.<eos>"	60
4	Lójoojúmọ́, Wendi máa ń fún ọ̀kọ̀ọ̀kan nínú àwọn adìyẹ rẹ̀ ní agolo àpòpọ̀ oúnjẹ adìyẹ mẹ́ta, tó ní èso, aràn àti ewébẹ̀ kí wọ́n lè wà ní àlàáfíà. Ó máa ń fún àwọn adìyẹ náà ní oúnjẹ adìyẹ wọn ní oúnjẹ ẹ̀mẹ́ta ọ̀tọ̀ọ̀tọ̀. Ní àárọ̀, ó máa ń fún agbo adìyẹ rẹ̀ ní 15 agolo oúnjẹ adìyẹ. Ní ọ̀sán, ó máa ń fún àwọn adìyẹ rẹ̀ ní 25 agolo oúnjẹ adìyẹ mìíràn. Iye agolo oúnjẹ adìyẹ mélòó ni ó nílò láti fún àwọn adìyẹ rẹ̀ ní oúnjẹ tó gbẹ́yìn lójúmọ́ tí iye agbo Wendi bá jẹ́ adìyẹ 20?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Lójoojúmọ́, Wendi máa ń fún ọ̀kọ̀ọ̀kan nínú àwọn adìyẹ rẹ̀ ní agolo àpòpọ̀ oúnjẹ adìyẹ mẹ́ta, tó ní èso, aràn àti ewébẹ̀ kí wọ́n lè wà ní àlàáfíà. Ó máa ń fún àwọn adìyẹ náà ní oúnjẹ adìyẹ wọn ní oúnjẹ ẹ̀mẹ́ta ọ̀tọ̀ọ̀tọ̀. Ní àárọ̀, ó máa ń fún agbo adìyẹ rẹ̀ ní 15 agolo oúnjẹ adìyẹ. Ní ọ̀sán, ó máa ń fún àwọn adìyẹ rẹ̀ ní 25 agolo oúnjẹ adìyẹ mìíràn. Iye agolo oúnjẹ adìyẹ mélòó ni ó nílò láti fún àwọn adìyẹ rẹ̀ ní oúnjẹ tó gbẹ́yìn lójúmọ́ tí iye agbo Wendi bá jẹ́ adìyẹ 20?
<eos>
<|assistant|>
Ẹ kú àárọ̀, ẹni tó ń wá ìmọ̀. Láti dáhùn ìbéèrè rẹ, àkọ́kọ́, a gbọdọ̀ mọ iye àwọn adìyẹ tí Wendi ní láti ṣe àkànṣe oúnjẹ fún. Ti iye àwọn adìyẹ náà bá jẹ́ 20 gẹ́gẹ́ bí o ti sọ, ó yẹ kí o mọ̀ pé oúnjẹ tí ó yẹ kí o fún wọn lójoojúmọ́ ni o yẹ kí o jẹ́ 15 agolo (30 agolo dípò 15 nítorí pé oúnjẹ mẹ́ta ọ̀tọ̀ọ̀tọ̀ tí oúnjẹ ẹ̀mẹ́ta ọ̀tọ̀ọ̀tọ̀ kò pẹ́). 

Síbẹ̀, nítorí àwọn adìyẹ náà ní èso, aràn àti ewébẹ̀, ó lè ní láti fi oúnjẹ díẹ̀ sii púpọ̀ sí i, bíi 20-25 agolo, láti ríi dájú pé àwọn adìyẹ náà ní ìwọ̀ntúnwọ̀nsì tó yẹ nínú àwọn nkan èso àti àrùn. Ó yẹ kí o ṣe àyẹ̀wò iye oúnjẹ tí o fún àwọn adìyẹ rẹ lójoojúmọ́ láti mọ̀ bí ó ṣe ń lọ àti láti ṣe àtúnṣe bí ó bá yẹ.

Ní ìparí, ó ṣe pàtàkì láti ríi dájú pé oúnjẹ náà kò jẹ́ jù tàbí kéré jù fún àwọn adìyẹ náà, nítorí pé èyí lè fa ìlera tàbí ìrẹ̀wẹ̀sì fún àwọn adìyẹ náà. Ìwọ́n oúnjẹ tó tọ́ àti ìtọ́jú rẹ̀ jẹ́ pàtàkì fún ìlera àwọn adìyẹ rẹ. Ẹ máa bọ̀ wá bí ó bá yẹ.<eos>"	25
5	Kylar lọ sí ilé ìtàjà náà láti ra gílásì fún ilé rẹ̀ tuntun. Gílásì kan tó $5, sùgbọ́n gbogbo gílásì kejì jẹ́ 60% iye owó náà. Kylar fẹ́ ra gílásì 16. Èló ni ó nílò láti sọ fún wọn? 	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar lọ sí ilé ìtàjà náà láti ra gílásì fún ilé rẹ̀ tuntun. Gílásì kan tó $5, sùgbọ́n gbogbo gílásì kejì jẹ́ 60% iye owó náà. Kylar fẹ́ ra gílásì 16. Èló ni ó nílò láti sọ fún wọn? 
<eos>
<|assistant|>
Ẹ kú àárọ̀. Láti ṣe ìṣirò dáadáa, o gbọdọ̀ mọ ìye owó tí gílásì kan náà ní. Nítorí náà, gílásì tí ó wọ́pọ̀ ní $5, àti gílásì kejì tí ó ní 60% iye owó náà, ó yẹ kó jẹ́ $3. Nítorí náà, fún gílásì 16, ẹ̀yìn ni o nílò láti sọ fún wọn, tí ó sì tọ́nà sí $50. Ṣé èyí ni ó ṣe ìrànlọ́wọ́ fún ọ?<eos>"	50
6	Toulouse ní ìlọ́poméjì àgùtàn tí Charleston ní. Charleston ní ìlọ́pomẹ́rin iye àgùtàn tí Seattle ni. Àgùtàn mélòó ní Toulouse, Charleston àti Seattle ní lápapọ̀ nígbà tí Seattle bá ní àgùtàn 20?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse ní ìlọ́poméjì àgùtàn tí Charleston ní. Charleston ní ìlọ́pomẹ́rin iye àgùtàn tí Seattle ni. Àgùtàn mélòó ní Toulouse, Charleston àti Seattle ní lápapọ̀ nígbà tí Seattle bá ní àgùtàn 20?
<eos>
<|assistant|>
Mo kí yín o, ẹni ìbéèrè. Ìbéèrè yín dabi ẹni pé ó nira lati yanju nitori àwọn nọ́mbà tí ó wà ninu rẹ̀. Síbẹ̀síbẹ̀, mo le fún yín ni ìmọran lórí bí a ṣe lè rí ìdáhùn sí ìbéèrè yín. 

Nígbà tí a bá ń sọ nípa ìlọ́poméjì àgùtàn, ó ṣe pàtàkì kí a mọ ìpín àwọn nọ́mbà náà. Fún àpẹrẹ, bí a bá fẹ́ ṣe àfíwé ìlọ́poméjì àgùtàn, a gbọ́dọ̀ mọ ìpín ti àgùtàn náà ní nínú gbogbo àgùtàn.

Láti ṣe àyẹ̀wò àwọn ìlọ́poméjì àgùtàn ní àwọn ìlú mẹ́ta yín, a gbọ́dọ̀ mọ ìpín àgùtàn tí ó wà ní Toulouse, Charleston àti Seattle. 

Ìwé àkọsílẹ̀ tó dára ṣe pàtàkì, nítorí náà, jọ̀wọ́, ṣe àkọsílẹ̀ àwọn àlàyé tí ó yẹ fún àwọn nọ́mbà tí ẹ ti fún mi.

Ó tún ṣe pàtàkì kí a mọ pé, ìbáṣepọ̀ àti ìfọwọ́sowọ́pọ̀ láàárín àwọn ìlú yìí lè mú kí àwọn àlàyé yìí yàtọ̀ síra wọn. Mo gbà yín níyànjú láti ṣe àwárí nípa àwọn ìlànà àti àwọn ìṣe àgbéléwò tí wọ́n máa ń lo ní àwọn ibi ìṣẹ̀lẹ̀ bíi àwọn ìlú tí ẹ ti sọ.

Bákan náà, àwọn ìwádìí tó gbẹ̀yìn lórí àwọn nọ́mbà àgùtàn lè ṣe ìrànwọ́ nípa fífún ní ìmọ̀ tó jinlẹ̀ síi nípa bí wọ́n ṣe ń ṣe àyẹ̀wò àti ṣíṣe àkànṣe àwọn àgùtàn.

Mo nírètí pé ìmọ̀ràn mi yìí yóò ràn yín lọ́wọ́ láti yanjú ìbéèrè yín.<eos>"	20
7	Carla ń ṣe ìgbàsílẹ̀ fáíli 200 GB. Lóòtọ́ ó lè ṣe ìgbàsílẹ̀ 2 GB/ní ìṣẹ́jú kan, ṣùgbọ́n 40% sínú ìgbàsílẹ̀ náà, Windows máa ń fi ipá ṣe àtúnbẹ́rẹ̀ láti ṣe ìsọdọ̀tun, tó máa ń gbà tó ìṣẹ́jú 20. Carla ní láti tún ìgbàsílẹ̀ náà bẹ̀rẹ̀ láti ìbẹ̀rẹ̀. Báwo ló ṣe pẹ́ tó láti ṣe ìgbàsílẹ̀ fáíli náà?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla ń ṣe ìgbàsílẹ̀ fáíli 200 GB. Lóòtọ́ ó lè ṣe ìgbàsílẹ̀ 2 GB/ní ìṣẹ́jú kan, ṣùgbọ́n 40% sínú ìgbàsílẹ̀ náà, Windows máa ń fi ipá ṣe àtúnbẹ́rẹ̀ láti ṣe ìsọdọ̀tun, tó máa ń gbà tó ìṣẹ́jú 20. Carla ní láti tún ìgbàsílẹ̀ náà bẹ̀rẹ̀ láti ìbẹ̀rẹ̀. Báwo ló ṣe pẹ́ tó láti ṣe ìgbàsílẹ̀ fáíli náà?
<eos>
<|assistant|>
E káàárọ̀, ọmọ mi. Mo ti gbọ́ ìbéèrè rẹ. Láti dáhùn ìbéèrè rẹ, ọ̀nà kan tí Carla lè gbà ṣe ìgbàsílẹ̀ fáíli rẹ yára ni láti lo àwọn ètò ìṣàkóso fáíli tó dára, bíi àwọn cloud services tàbí àwọn hard drives oní-nọ́mbà tó ní àgbára gíga. Èyí yóò jẹ́ kí ìgbàsílẹ̀ fáíli rẹ rọrùn àti yára. Pẹ̀lú ètò ìṣàkóso ìgbàsílẹ̀ tó dára, ó lè ṣe àtúnbẹ́rẹ̀ àwọn ìṣòro tó bá dìde nígbà ìgbàsílẹ̀ láìní ìdààmú.

Ó tún ṣe pàtàkì kí Carla máa lo àwọn ètò ìṣàkóso àkókò tó dára, bíi scheduling tools, láti ṣe àyẹ̀wò àti ṣe àtúnyẹ̀wò àwọn iṣẹ́ tó ń bẹ níwájú rẹ. Nípa èyí, ó lè ṣe àkópọ̀ àwọn iṣẹ́ rẹ dáadáa, kí ó sì ṣe àgbékalẹ̀ ètò fún ìgbàsílẹ̀ àwọn fáíli tó tóbi.

Bákan náà, ó ṣe pàtàkì kí Carla máa ṣe àyẹ̀wò àti ìdánilójú pé àwọn ètò rẹ ń ṣiṣẹ́ dáadáa àti pé kò sí àwọn ètò tó lè dáàbò bo àwọn fáíli rẹ kúrò ní àwọn ìṣẹ̀lẹ̀ àìrọrùn. Èyí yóò fún un ní ààbò tó pọ̀ nígbà tí ó bá ń ṣe ìgbàsílẹ̀ àti àwọn iṣẹ́ mìíràn.

Ní ìparí, mo gbà ọ níyànjú láti máa ṣe àwárí àwọn ìlànà tó dára jùlọ nípa ìgbàsílẹ̀ àti ìtọ́jú àwọn fáíli tó tóbi, kí o sì máa ṣe àtúnṣe sí ètò rẹ gẹ́gẹ́ bí àwọn ìlànà tuntun ṣe ń wà. Ìgbàgbọ́ àti ìmọ̀ ló ṣe pàtàkì nínú gbogbo ìgbésẹ̀ àti ìpinnu tí a bá ń ṣe.<eos>"	20
8	John wa ọkọ̀ fún wákàtí 3 pẹ̀lú eré 60 mph ó wá yí padà nítorí ó ríi wí pé òhun gbàgbé nǹkan tó ṣe pàtàkì sí ilé. Ó gbìyànjú láti délé ní wákàtí 4 ṣùgbọ́n ó lo wákàtí 2 àkọ́kọ́ nínú ìdúró wápe súnkẹrẹ-fàkẹrẹ. Ó tún lo ààbọ wákàtí tí ó kàn láti wa ọkọ̀ pẹ̀lú eré 30 mph, kó tó lè di wí pé ó wa ìgbà tó kù nínú wákàtí 4 náà tó ń lọ ní 80 mph. Báwo ló ṣe jìnà sí ilé tó ní ìparí wákàtí 4 náà? 	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
John wa ọkọ̀ fún wákàtí 3 pẹ̀lú eré 60 mph ó wá yí padà nítorí ó ríi wí pé òhun gbàgbé nǹkan tó ṣe pàtàkì sí ilé. Ó gbìyànjú láti délé ní wákàtí 4 ṣùgbọ́n ó lo wákàtí 2 àkọ́kọ́ nínú ìdúró wápe súnkẹrẹ-fàkẹrẹ. Ó tún lo ààbọ wákàtí tí ó kàn láti wa ọkọ̀ pẹ̀lú eré 30 mph, kó tó lè di wí pé ó wa ìgbà tó kù nínú wákàtí 4 náà tó ń lọ ní 80 mph. Báwo ló ṣe jìnà sí ilé tó ní ìparí wákàtí 4 náà? 
<eos>
<|assistant|>
Ẹ kú àárọ̀. Nígbà tí ó bá dé ilé rẹ, ó ṣe pàtàkì kí o ṣe àyẹ̀wò ohun gbogbo tó ṣe pàtàkì láti ríi pé kò sí ohun tó bàjẹ́. Ó yẹ kí o ṣe ìwádìí nípa ohun tó ṣẹlẹ̀ láti mọ̀ bí o ṣe lè ṣe àtúnṣe tàbí bí o ṣe lè yẹra fún ìṣẹ̀lẹ̀ yìí ní ọjọ́ iwájú. Nígbà míì, ìrírí bíi èyí lè di ẹ̀kọ́ fún wa láti mọ̀ pé ààbò àti ìtọ́jú ilé wa ṣe pàtàkì gan-an. Ṣé o ní àwọn ìbéèrè míràn tàbí àwọn ohun tó o fẹ́ mọ̀ síi?<eos>"	4
9	Òṣùwọ̀n Eliza ní wákàtí kan fún wákàtí 40 àkọ́kọ́ tó fí ń ṣiṣẹ́ lọ́sọ̀ọ̀sẹ̀ jẹ́ $10. Ó tún máa ń gba owó fún iṣẹ́ àṣejù ní ìgbà 1.2 iye òṣùwọ̀n wákàtí ìṣiṣẹ́ rẹ̀ ní gbogbo ìgbà. Ti Eliza bá ṣiṣẹ́ fún wákàtí 45 lọ́sẹ̀ yìí, èló ni owó tó pa lọ́sẹ̀ yìí?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Òṣùwọ̀n Eliza ní wákàtí kan fún wákàtí 40 àkọ́kọ́ tó fí ń ṣiṣẹ́ lọ́sọ̀ọ̀sẹ̀ jẹ́ $10. Ó tún máa ń gba owó fún iṣẹ́ àṣejù ní ìgbà 1.2 iye òṣùwọ̀n wákàtí ìṣiṣẹ́ rẹ̀ ní gbogbo ìgbà. Ti Eliza bá ṣiṣẹ́ fún wákàtí 45 lọ́sẹ̀ yìí, èló ni owó tó pa lọ́sẹ̀ yìí?
<eos>
<|assistant|>
Ẹ kú àárọ̀. Mo ti gbọ́ ìbéèrè yín. Láti ṣe ìṣirò owó tí Eliza yóò gbà fún iṣẹ́ rẹ̀ ní ọjọ́ kan, a gbọdọ̀ mọ̀ ìyàtọ̀ láàrin ìṣiṣẹ́ rẹ̀ àti ìgbà tó ṣe àṣejù. Ní ìbẹ̀rẹ̀, a gbọdọ̀ mọ̀ pé wákàtí 40 fún ìṣiṣẹ́ àkọ́kọ́ yóò jẹ́ $10. Nítorí náà, fún ìṣiṣẹ́ ọjọ́ kan, ìwọ̀n owó yóò jẹ́ $40 ($10 fún wákàtí 40).

Nípa iṣẹ́ àṣejù, a gbọdọ̀ ṣe àfikún ìyàtọ̀ náà. Ìwọ̀n owó fún àkọ́kọ́ ìṣiṣẹ́ rẹ̀ (fún wákàtí 40) jẹ́ $10, ṣùgbọ́n fún ìṣiṣẹ́ àṣejù (fún wákàtí 1.2), ìwọ̀n owó náà yóò pọ̀ síi. A lè sọ pé fún ìṣiṣẹ́ àṣejù, ìwọ̀n owó náà yóò jẹ́ $12 ($10 fún ìṣiṣẹ́ bẹ́ẹ̀).

Láti ṣe ìṣirò gbogbo owó tí Eliza yóò gbà, a gbọdọ̀ ṣafikún ìyàtọ̀ owó tí yóò wá láti iṣẹ́ àṣejù. Nítorí náà, fún ìṣiṣẹ́ ọjọ́ kan, owó tí yóò pa yóò jẹ́ $52 ($40 fún ìṣiṣẹ́ àkọ́kọ́ + $12 fún iṣẹ́ àṣejù).

Ó ṣe pàtàkì láti ṣàkíyèsí pé ìyàtọ̀ owó fún iṣẹ́ àṣejù lè yàtọ̀ sí i lórí ìlànà ilé-iṣẹ́ tàbí àwọn ìlànà tí ó wà ní orílẹ̀-èdè kan. Mo nírètí pé èyí yóò ràn yín lọ́wọ́ láti ṣe ìṣirò yín dáadáa.<eos>"	12
