	question	answer	llm
0	Embaata za Janet zibiika amagi 16 buli lunaku. Alya amagi asatu buli lunaku ku kyenkya n'afumbisa amalala ana g'ateeka mu bukkeeki bwa muffin bw'akolera mikwano gye. Agasigadde agatunda mu katale k'abalimi n'abalunzi buli lunaku nga buli ggi alitunda $2. Afuna ssente mmeka buli lunaku mu katale k'abalimi n'abalunzi?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Embaata za Janet zibiika amagi 16 buli lunaku. Alya amagi asatu buli lunaku ku kyenkya n'afumbisa amalala ana g'ateeka mu bukkeeki bwa muffin bw'akolera mikwano gye. Agasigadde agatunda mu katale k'abalimi n'abalunzi buli lunaku nga buli ggi alitunda $2. Afuna ssente mmeka buli lunaku mu katale k'abalimi n'abalunzi?
<eos>
<|assistant|>
Janet afuna $8 buli lunaku okuva mu kutunda amagi mu katale k'abalimi n'abalunzi.<eos>"
1	Egganduula emalawo jjoola z'olugoye lwa bbulu 2 n'ekitundu ezenkana ne jjoola z'olugoye olweru. Emalawo omugatte gwa jjoola mmeka? 	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Egganduula emalawo jjoola z'olugoye lwa bbulu 2 n'ekitundu ezenkana ne jjoola z'olugoye olweru. Emalawo omugatte gwa jjoola mmeka? 
<eos>
<|assistant|>
Eggulu lirimu obuwanvu bwa jjoola 2.5.<eos>"
2	Josh yasalawo okugezaako okugula ennyumba etali ku mutindo  agiteekemu ssente, amale egitunde. Yagula ennyumba ku $80,000 n'asaasaanya $50,000 ng'agiddaabiriza. Kino kyayongera ku muwendo ennyumba z'egula ebitundu150%.  Yakola amagoba ga ssente mmeka?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh yasalawo okugezaako okugula ennyumba etali ku mutindo  agiteekemu ssente, amale egitunde. Yagula ennyumba ku $80,000 n'asaasaanya $50,000 ng'agiddaabiriza. Kino kyayongera ku muwendo ennyumba z'egula ebitundu150%.  Yakola amagoba ga ssente mmeka?
<eos>
<|assistant|>
Josh yafuna amagoba ga ddoola 20,000.<eos>"
3	James asalawo okudduka emisinde gy'akafubutuko emirundi  esatu esatu ng'akikora emirundi 3 buli wiiki. buli lufubutuka adduka mmita 60. Adduka mmita mmeka omugatte buli wiiki?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
James asalawo okudduka emisinde gy'akafubutuko emirundi  esatu esatu ng'akikora emirundi 3 buli wiiki. buli lufubutuka adduka mmita 60. Adduka mmita mmeka omugatte buli wiiki?
<eos>
<|assistant|>
James atambula mayiro nga 18 buli wiiki.<eos>"
4	Buli lunaku, Wendi buli nkoko ye agiriisa ebikopo bisatu eby'emmere y'enkoko entabule, nga mulimu obusigo, obuwuka n'ebivaavava okuziyamba okubeera ennamu obulungi. Enkoko zino azigabula emirundi esatu esatu. Kumakya ekisibo ky'enkoko ze akiwa ebikopo by'emmere 15. Emisana, enkoko ze n'azongera ebikopo by'emmere 25. Ebikopo bimeka by'alina okuwa enkoko ze mu lulya olusembayo mu lunaku ssinga ekisibo kya Wendi kiba kirimu enkoko 20?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Buli lunaku, Wendi buli nkoko ye agiriisa ebikopo bisatu eby'emmere y'enkoko entabule, nga mulimu obusigo, obuwuka n'ebivaavava okuziyamba okubeera ennamu obulungi. Enkoko zino azigabula emirundi esatu esatu. Kumakya ekisibo ky'enkoko ze akiwa ebikopo by'emmere 15. Emisana, enkoko ze n'azongera ebikopo by'emmere 25. Ebikopo bimeka by'alina okuwa enkoko ze mu lulya olusembayo mu lunaku ssinga ekisibo kya Wendi kiba kirimu enkoko 20?
<eos>
<|assistant|>
Wendi bw'aba alina ekikopo ky'enkoko 20 mu lunyiriri lwe olw'ekyemisana, yeetaaga okugabula enkoko 5 ez'emmere ez'enkoko mu lunyiriri lwe olw'enkoko ez'ekiro.<eos>"
5	Kylar yagenda ku dduuka okugula endabirwamu za kalina ye empya. Endabirwamu emu egula $5 wabula buli ndabirwamu eyookubiri egula ebitundu 60% ez'ebbeeyi eyo. Kylar ayagala kugula endabirwamu 16. Yeetaaga ssente mmeka okuzisasula?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar yagenda ku dduuka okugula endabirwamu za kalina ye empya. Endabirwamu emu egula $5 wabula buli ndabirwamu eyookubiri egula ebitundu 60% ez'ebbeeyi eyo. Kylar ayagala kugula endabirwamu 16. Yeetaaga ssente mmeka okuzisasula?
<eos>
<|assistant|>
Kylar yandyeetaaga ddoola 160 okugula endabirwamu 16 ez'ekika kya 30.<eos>"
6	Toulouse alina endiga ezikubisa mu za Charleston emirundi ebiri. Charleston alina endiga ezikubisa mu za Seattle emirundi 4.  Endiga.  Toulouse, Charleston, ne Seattle baba n'omugatte gwa ndiga mmeka bwe kiba nti Seattle alina endiga 20?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse alina endiga ezikubisa mu za Charleston emirundi ebiri. Charleston alina endiga ezikubisa mu za Seattle emirundi 4.  Endiga.  Toulouse, Charleston, ne Seattle baba n'omugatte gwa ndiga mmeka bwe kiba nti Seattle alina endiga 20?
<eos>
<|assistant|>
Mu bibuuzo byo eby'Olufalansa, tusaanidde okukimanya nti omuwendo gw'ebika by'endiga oguli mu kibuga ekimu gwesigamye ku mbeera ezitali zimu, gamba ng'empaka z'ebika by'endiga, embeera y'obudde, n'ebintu ebirala. N'olwekyo, tebusobola kuddamu mu bujjuvu ku muwendo gw'ebika by'endiga ebiri mu kibuga ekyo.<eos>"
7	Carla awanula ekiwandiiko kya GB 200. Mu ngeri eya bulijjo awanula GB 2 buli ddakiika, wabula bw'atuuka ku 40% ng'ekiwandiiko kiwanulwa, kompyuta ye ne yeggyako, esobole okuddako ng'ekoze enkyukakyuka empya ne kitwala eddakiika 20. Oluvannyuma Carla alina okuddamu okuwanula ekiwandiiko okuva we kitandikira. Kinaatwala buwanvu ki okuwanula ekiwandiiko?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla awanula ekiwandiiko kya GB 200. Mu ngeri eya bulijjo awanula GB 2 buli ddakiika, wabula bw'atuuka ku 40% ng'ekiwandiiko kiwanulwa, kompyuta ye ne yeggyako, esobole okuddako ng'ekoze enkyukakyuka empya ne kitwala eddakiika 20. Oluvannyuma Carla alina okuddamu okuwanula ekiwandiiko okuva we kitandikira. Kinaatwala buwanvu ki okuwanula ekiwandiiko?
<eos>
<|assistant|>
Ekiwandiiko kyonna kyandibadde kyetaagisa eddakiika nga 60 okuwanula, okuggyako nga kompyuta ye eyimiridde, era oluvannyuma lw'eddakiika nga 20 okuwanula ekiwandiiko ekisigaddeyo nga kompyuta ye tennaddamu kuteekawo.<eos>"
8	John avuga okumala essaawa 3 ku misinde gya mmayiro 60 buli ssaawa naye n'adda emabega kubanga akizuula nti yeerabidde ekintu eky'amakulu ennyo awaka. Agezaako okutuuka awaka mu ssaawa 4 naye amala essaawa 2 ezisooka mu kalippagano k'ebidduka ak'amaanyi. Amala ekitundu ky'essaawa ekiddako ng'avugira ku misinde gya mmayiro 30 buli ssaawa nga tannafuna busobozi kuvuga misinde gya mmayiro 80 buli ssaawa z'avugira mu budde obuba busigaddeyo okuweza essaawa 4. Aba asigazzaayo bbanga ki okutuuka awaka we ziwerera essaawa 4?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
John avuga okumala essaawa 3 ku misinde gya mmayiro 60 buli ssaawa naye n'adda emabega kubanga akizuula nti yeerabidde ekintu eky'amakulu ennyo awaka. Agezaako okutuuka awaka mu ssaawa 4 naye amala essaawa 2 ezisooka mu kalippagano k'ebidduka ak'amaanyi. Amala ekitundu ky'essaawa ekiddako ng'avugira ku misinde gya mmayiro 30 buli ssaawa nga tannafuna busobozi kuvuga misinde gya mmayiro 80 buli ssaawa z'avugira mu budde obuba busigaddeyo okuweza essaawa 4. Aba asigazzaayo bbanga ki okutuuka awaka we ziwerera essaawa 4?
<eos>
<|assistant|>
John yandimaze essaawa nga 12 ng'agenda ku mmotoka n'atuuka awaka we.<eos>"
9	Ensasula ya Eliza eya buli ssaawa mu ssaawa 40 ezisooka buli wiiki eri $10. Aweebwa ne ssente endala ez'obudde bw'aba ayisizzaamu ng'akola ezikubisa emirundi 1.2 mu ezo z'afuna mu budde bwe. Singa Eliza aba yakoze essaawa 45 mu wiiki eno, aba yayingizza ssente mmeka mu wiiki eno?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Ensasula ya Eliza eya buli ssaawa mu ssaawa 40 ezisooka buli wiiki eri $10. Aweebwa ne ssente endala ez'obudde bw'aba ayisizzaamu ng'akola ezikubisa emirundi 1.2 mu ezo z'afuna mu budde bwe. Singa Eliza aba yakoze essaawa 45 mu wiiki eno, aba yayingizza ssente mmeka mu wiiki eno?
<eos>
<|assistant|>
Omuwendo gwonna Eliza gwe yafuna mu wiiki eno gwa doola 16. Kino kibalirwa nga doola 10 buli ssaawa ez'essaawa 40 ezisooka, awamu n'ebirala 1.20 mu ssaawa ez'ebiseera eby'ebweru, ne bibala doola 10 + (1.2 x doola 10) = doola 16.<eos>"
