Unnamed: 0	question	answer	llm	verbalized
0	Agwagin Janet suna yin ƙwai 16 a kullun. Tana yin karin kumallo da guda uku kowace safiya, sannan tana gasawa kawayenta guda hudu kullum. A kullum takan sayar da ragowar a kasuwar manoma akan dala 2 akan kowane ƙwai. Dala nawa take samu a kullum a kasuwar manoma?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Agwagin Janet suna yin ƙwai 16 a kullun. Tana yin karin kumallo da guda uku kowace safiya, sannan tana gasawa kawayenta guda hudu kullum. A kullum takan sayar da ragowar a kasuwar manoma akan dala 2 akan kowane ƙwai. Dala nawa take samu a kullum a kasuwar manoma?
<eos>
<|assistant|>
A gaskiya, al'amarin kasuwanci na da matukar muhimmanci, kuma yana da kyau a yi shi da basira da lura. Don amsa tambayarka, Agwagin Janet zai samu kudin shiga na dala 32 a kullum idan ta sayar da ragowar kwayinta 16 a kudin dala 2 kowane. Amma fa, yana da kyau ka lura cewa wannan yawan na iya bambanta dangane da yanayin kasuwa da bukatun abokan ciniki. 

Idan ka na da wata tambaya ko bukatar karin bayani, ina nan don taimakawa.<eos>"	2
1	Doguwar riga tana cin dunkulen shudin zare 2 da kuma rabin hakan na farin zare. Zare nawa yake ci gaba daya ke nan?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Doguwar riga tana cin dunkulen shudin zare 2 da kuma rabin hakan na farin zare. Zare nawa yake ci gaba daya ke nan?
<eos>
<|assistant|>
A matsayina na chatbot, ba ni da cikakken bayani game da yawan zare da ake amfani da shi a wani wuri daidai ba. Amma, idan muna magana ne akan yawan zare da ake ci gaba da ajiye a wani wuri, to yana dogara da yawan mutanen da ke halartar taron ko kuma yawan ajiyar da ake yi a wajen. Idan kana nufin yawan zare da zai isa ya cika bukatun mutane na tsawon lokaci, to ya kamata ka yi la'akari da yawan mutanen da ke halartar taron da kuma yawan zare da ake samu. Misali, idan taron na da yawan mutane kuma akwai bukatar zare fiye da 2, to akwai bukatar a samu karin zare. A karshe, yana da kyau a yi la'akari da tsawon lokacin taron da kuma yiwuwar bukatar kara zare ko ajiya a nan gaba.<eos>"	2
2	Josh ya yanke shawarar gwada kasuwancin wani gida. Ya sayi wani gida akan $80,000 sannan ya saka $50,000 dan gyara gidan . Wannan ya ƙara darajar gidan da 150%. Nawa ne ribar da ya samu?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh ya yanke shawarar gwada kasuwancin wani gida. Ya sayi wani gida akan $80,000 sannan ya saka $50,000 dan gyara gidan . Wannan ya ƙara darajar gidan da 150%. Nawa ne ribar da ya samu?
<eos>
<|assistant|>
An bayyana tambayarka daidai, amma don amsa tambayarka, zai yi kyau a lura cewa kasuwancin gida ya dogara ne akan yankin da ake magana akai, yanayin tattalin arziki da kuma bukatar gidaje a wannan yanki. Idan muka dauki misali na gida da Josh ya saya a $80,000, kuma bayan gyaran ya kai $50,000, ya kara darajar gidan da 150% kamar yadda ka ce, to ribar da ya samu za ta dogara ne akan farashin da ya sayar da gidan da kuma kudin da ya kashe a kan gyaran. Duk da haka, ba tare da sanin farashin sayarwa da kudin gyaran ba, ba za mu iya bada ainihin ribar da Josh ya samu ba.<eos>"	150
3	James ya yanke shawarar yin gudu sau 3 a mako. Yana gudun mita 60 kowane yi. Jimilla mita nawa yake gudu a mako daya?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
James ya yanke shawarar yin gudu sau 3 a mako. Yana gudun mita 60 kowane yi. Jimilla mita nawa yake gudu a mako daya?
<eos>
<|assistant|>
Jim na gudu mita 200 a mako daya.<eos>"	200
4	Kowace rana Wendi tana ciyar da kowace kazar ta kofi kofi uku na gaurayen abincin kaji, mai dauke da iri, sinadarin gina jikin kaji da kayan marmari don samun lafiya. Tana ba kajin abincinsu sau uku. Da safe ta ba garken kajin abinci kofi 15. Da rana ta sake ba kajinta abinci kofi 25. Kofuna nawa na abinci take bukata dan bawa kajinta a abincin karshen rana idan girman garken Wendi ya kai kaji 20?                	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kowace rana Wendi tana ciyar da kowace kazar ta kofi kofi uku na gaurayen abincin kaji, mai dauke da iri, sinadarin gina jikin kaji da kayan marmari don samun lafiya. Tana ba kajin abincinsu sau uku. Da safe ta ba garken kajin abinci kofi 15. Da rana ta sake ba kajinta abinci kofi 25. Kofuna nawa na abinci take bukata dan bawa kajinta a abincin karshen rana idan girman garken Wendi ya kai kaji 20?                
<eos>
<|assistant|>
Barka dai. Abin da kake tambaya ya shafi lissafi da kuma ilimin kimiyyar halittu. A gaskiya, wannan tambaya na bukatar a yi la'akari da abubuwa da dama kamar yanayin muhalli, nau'in kaji, da kuma bukatun abinci na kaji. Idan muna magana ne akan girman kaji da kuma yawan kofi da take ci, to ya kamata a yi la'akari da cewa kowace kaji tana da bukatunta na musamman dangane da shekaru, lafiya, da kuma yanayin rayuwarta.

Don haka, idan girman garken Wendi ya kai kaji 20, to yana da kyau a ba ta kofi 30 zuwa 35 na abinci a kowace safiya da kuma kofi 50 zuwa 60 a lokacin abincin rana don tabbatar da cewa ta samu isasshen abinci da take bukata don rayuwa mai inganci. Amma, yana da muhimmanci a lura cewa wadannan lambobi na iya bambanta dangane da yanayin kewayen da kaji take rayuwa da kuma nau'in abincin da take ci.

A takaice, don tabbatar da lafiyar kaji, yana da kyau a yi la'akari da shawarwarin masana kimiyyar halittu da kuma masu kula da kiwon kaji don samun adadin kofi da ya dace da bukatun kowace kaji. Kuma kar a manta da cewa, kiwon lafiyar kaji na da matukar muhimmanci ga lafiyar ta da kuma samar da sashi mai kyau na abinci. Ina fatan wannan bayanin ya taimaka maka wajen fahimtar yadda za a kula da kaji da kuma bukatun abinci na kaji.<eos>"	60
5	Kylar ya je kanti don  siyan gilashin sabon gidansa. Gilashi ɗaya ya kai $5, amma kowane gilashi na gaba yana tashi da kashi 60% a farashinsa kawai. Kylar yana son siyan gilashi 16. Nawa yake bukata ya biya kudin gilasan?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar ya je kanti don  siyan gilashin sabon gidansa. Gilashi ɗaya ya kai $5, amma kowane gilashi na gaba yana tashi da kashi 60% a farashinsa kawai. Kylar yana son siyan gilashi 16. Nawa yake bukata ya biya kudin gilasan?
<eos>
<|assistant|>
Barka da zuwa, ina farin cikin taimakawa. Idan muka yi la'akari da bayanin da kuka bayar, ga yadda za a iya warware matsalar:

1. A farko, muna buƙatar mu ƙirƙiri wata ƙa'ida da za ta taimaka mana wajen lissafin farashin gilashin. Misali, za mu iya cewa farashin kowane gilashi na gaba shine 60% na farashin da aka yi amfani da shi a farko.

2. Bayan haka, za mu yi ƙididdigar yawan gilashin da Kylar zai iya siyan da $200 (wannan shine kudin da aka bayar a matsayin misali). Idan muka ce $5 kowane gilashi, to za mu iya cewa:

   - $5 x 4 (gila 4 na gaba) = $20
   
   - $5 x 16 (gila 16 na gaba) = $80

   - $80 - $20 (rabawa 60%) = $60

   - Saboda haka, Kylar zai iya siyan gilashi 16 na gaba da $60.

3. Idan kuna son ƙarin bayani ko taimako wajen amfani da wannan ƙa'ida, ko kuma idan akwai wasu tambayoyi, ina nan don amsawa.

Ina fatan na samar muku da amsar da kuke buƙata. Allah ya taimaka.<eos>"	3
6	Toulouse tana da ninki biyun tumakin Charleston. Charleston yana da tumaki ninki hudun na Seattle. Tumaki nawa Toulouse, Charleston, da Seattle suke dasu idan Seattle tana da tumaki 20?                                                	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse tana da ninki biyun tumakin Charleston. Charleston yana da tumaki ninki hudun na Seattle. Tumaki nawa Toulouse, Charleston, da Seattle suke dasu idan Seattle tana da tumaki 20?                                                
<eos>
<|assistant|>
Da alama kana son sanin yawan tumaki da Charleston ke da shi idan akwai tumaki 20 da Seattle ke da shi?<eos>"	20
7	Carla tana dawunlodin fayil mai nauyin 200 GB. A al'ada za ta iya sauke 2GB a minti daya, amma bayan anci 40% na dawunlodin din, Window yana tilasta sake farawa don sabunta wasu manhajoji, wanda ke ɗaukar minti 20. Sannan dole ne Carla ta sake fara dawunlodin daga farkon. Giga nawa zai ci ya yi dawunlodin na wannan fayil ɗin?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla tana dawunlodin fayil mai nauyin 200 GB. A al'ada za ta iya sauke 2GB a minti daya, amma bayan anci 40% na dawunlodin din, Window yana tilasta sake farawa don sabunta wasu manhajoji, wanda ke ɗaukar minti 20. Sannan dole ne Carla ta sake fara dawunlodin daga farkon. Giga nawa zai ci ya yi dawunlodin na wannan fayil ɗin?
<eos>
<|assistant|>
Barka dai, na fahimci cewa kana buƙatar sanin gigabytes da za a yi amfani da su wajen dawunlodin fayil ɗin da ke nauyin 200 GB. Da farko dai, yana da muhimmanci a lura cewa gigabytes (GB) ɗaya daidai ne da 1,073,741,824 bytes. Don haka, idan ana maganar 200 GB, ana nufin za a yi amfani da kusan 200,000,000,000 bytes.

Idan fayil ɗin yana daukar minti 20 don sake farawa, to, zai dauki kimanin minti 20 x 40% = 8 minti don kammala sauran dawunlodin bayan an ragewa 40%. Wannan zai ba ka kusan 160 GB. Sai dai, saboda tsarin sabunta manhajoji da Windows ya tilasta, zai iya ɗaukar minti 20 don kammala sauran dawunlodin daga farko.

Don haka, za a yi amfani da kimanin 160 GB (wanda yake kusan 16 GB a cikin ɗan gajeren lokaci) don kammala sauran dawunlodin fayil ɗin da ke nauyin 200 GB. Amma, yana da kyau a lura cewa waɗannan su ne kawai ƙimar da za a iya tsammani, kuma za a iya samun bambanci bisa ga yanayin aiki na kwamfutarka da kuma saurin hanyar sadarwar intanet da kake amfani da ita.

Ina fatan na amsa tambayarka yadda ya kamata. Idan akwai wani abu da ba ka gane ba ko kana buƙatar ƙarin bayani, ina nan don taimaka maka.<eos>"	200
8	John yana tuƙi na tsawon sa'o'i 3 a cikin gudun mph 60, sannan ya juya don ya fahimci ya manta wani abu mai mahimmanci a gida. Yana ƙoƙarin komawa gida a cikin sa'o'i 4 amma sai ya kwashe sa'o'i 2 na farko a cikin wani gosulo. Ya dauki rabin sa'a yana tuƙi a cikin gudun 30mph, kafin ya samu damar yin tukin a sauran lokacin da ya rage awa 4, yana tafiya ne a 80mph. Yaya nisansa yake da gida a ƙarshen waɗannan sa'o'i 4?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
John yana tuƙi na tsawon sa'o'i 3 a cikin gudun mph 60, sannan ya juya don ya fahimci ya manta wani abu mai mahimmanci a gida. Yana ƙoƙarin komawa gida a cikin sa'o'i 4 amma sai ya kwashe sa'o'i 2 na farko a cikin wani gosulo. Ya dauki rabin sa'a yana tuƙi a cikin gudun 30mph, kafin ya samu damar yin tukin a sauran lokacin da ya rage awa 4, yana tafiya ne a 80mph. Yaya nisansa yake da gida a ƙarshen waɗannan sa'o'i 4?
<eos>
<|assistant|>
Barka da zuwa, ina fata kana lafiya. Game da tambayarka, abu na farko da ya kamata a lura shi ne, John ya fuskanci wata matsala ta rashin lura da abubuwa da ke kewaye da shi. Wannan abu ne da ke faruwa ga kowa a wani lokaci. Abin da John ya yi shi ne ya dauki matakin gaggawa ta hanyar rage gudu domin ya samu damar yin tunani da kuma tunawa da abin da ya manta. Ta hanyar rage gudu zuwa 30mph, ya samu damar yin tunani da kuma sake tunani kan hanya mafi kyau da zai bi don ya dawo gida.

Idan muka duba ta bangaren lissafi, zai yiwu a yi amfani da tsarin lissafi na 'fractional reserve' inda za a lissafa yawan lokacin da ya rage da kuma gudun da ya rage, a yi amfani da shi don gano nisan da ya rage daga inda yake zuwa gidan sa. Amma ba tare da cikakken bayani na nisan da ya ke tafiya da kuma lokacin da ya rage ba, zai yi wuya a lissafa daidai.

Duk da haka, abu mai mahimmanci shi ne, John ya fahimci cewa kuskure wani bangare ne na rayuwa kuma ya koyi darasi daga wannan kuskuren. Yana da kyau mu dauki darasi daga kuskurenmu kuma mu ci gaba da neman hanyoyin inganta ayyukanmu. Ina fatan wannan ya amsa tambayarka.<eos>"	30
9	Adadin samun Eliza a kowace awa na sa'o'i 40 na farko da take aiki kowane mako samunta shine $10. Haka kuma ana biyanta ninki 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obatayim.  Idan Eliza ta yi aiki na awanni 45 a wannan makon, nawa ne abin da ta samu a wannan makon?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Adadin samun Eliza a kowace awa na sa'o'i 40 na farko da take aiki kowane mako samunta shine $10. Haka kuma ana biyanta ninki 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obatayim.  Idan Eliza ta yi aiki na awanni 45 a wannan makon, nawa ne abin da ta samu a wannan makon?
<eos>
<|assistant|>
A gafarce ni, amma na fahimci cewa kana bukatar karin bayani akan yadda ake lissafin kudin da Eliza za ta samu a kowane mako, da kuma yadda ake lissafin kudin da za ta samu idan ta yi aiki na awanni 45 a wannan makon. 

Lallai, idan Eliza ta yi aiki na awanni 45 a wannan makon, za a lissafa kudin da ta samu kamar haka:

1. Za a lissafa kudin awa na farko 40 kamar yadda aka ambata, wato $10.
2. Sai a kara kudin awa na 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obata na awanni 45.

Don haka, idan muka yi la'akari da cewa Eliza ta yi aiki na awanni 45 a wannan makon, za a lissafa kudin da ta samu kamar haka:

$10 (kudin awa na farko 40) + ($12 (kudin awa na 1.2) x 45 awa) = $10 + $522 = $632.

Wannan na nufin cewa Eliza ta samu kudin dala 632 a wannan makon idan ta yi aiki na awanni 45. 

Ina fatan wannan bayanin ya taimake ka, kuma ina nan don amsa wasu tambayoyinka ko bada karin haske idan akwai bukatar hakan.<eos>"	45
