Unnamed: 0	question	answer	llm	verbalized
0	Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?
<eos>
<|assistant|>
Janet akozwa $8 mpo na koteka mabɛ́lɛ na zando ya basali-bilanga mokolo na mokolo.<eos>"	8
1	Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?
<eos>
<|assistant|>
Ezali mpasi mpo na koyanola na motuna oyo kozanga koyeba ndimbola ya ""mwa sakosi ya mpembe"". Yango wana, nakopesa biyano mibale oyo ekoki kozala malamu. 
Kozóngisa
Eyano ya liboso: Ba-roll 4 ya fibre de carbone ya langi ya bleu mpe 2 ya fibre de carbone ya langi ya mpɛmbɛ. 
Kozóngisa
Eyano ya mibale: Ba-roll 2 ya fibre ya carbone ya langi ya bleu mpe ba-roll 2 ya fibre ya carbone ya langi ya mpɛmbɛ.<eos>"	2
2	Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?
<eos>
<|assistant|>
$80,000.<eos>"	80000
3	Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?
<eos>
<|assistant|>
Jacques akoki kopota mbangu ya bakilomɛtrɛ 180 na pɔsɔ mobimba.<eos>"	180
4	Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?
<eos>
<|assistant|>
Wendi azalaki na mposa ya kopesa nsoso na ye bilei ya ntɔngɔ ya 20 ya nsoso mpo na kolia ya nsuka ya mokolo.<eos>"	20
5	Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?
<eos>
<|assistant|>
Kylar asengeli kofuta $160 mpo na kosomba 16 na ba vitre, soki tomeki ete vitre moko na moko ezali na ntalo ya $10.<eos>"	10
6	Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?
<eos>
<|assistant|>
Motángo ya mbula ya Charleston na Seattle ezali 20. (4x20 = 80)<eos>"	80
7	Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?
<eos>
<|assistant|>
Soki Carla alingi kotondisa fichier moko ya 200 Go na vitesse ya 2 Go na miniti moko, ekosenga ye pene na ngonga 10 (soki bapesi yango vitesse ya 40%).<eos>"	40
8	Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?
<eos>
<|assistant|>
Jean akendaki na motuka na ngonga ya 8 na ngonga ya 20 na ngonga ya 10 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga ya 12 na ngonga"	12
9	PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?
<eos>
<|assistant|>
Boye, soki tótángaka ngonga oyo Elisa asali na boumeli ya ngonga 40 na mposo ya liboso, yango ekokani na 40 ngonga x 10$ = 400$. Mpo na ngonga oyo etikali na boumeli ya ngonga 5, lifuti yango ekokani na 400$ x 1,2 = 480$. Na yango, lifuti ya mobimba mpo na ngonga ya kobanda na ngonga 5 kino na ngonga 40 ezali 480$.<eos>"	480
