	question	answer	llm
0	Joho hutumia komeo 2 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe. Huwa inatumia jumla ya komeo ngapi?	3	Mwana, joho hutumia komeo 3 za ufumwele wa buluu na nusu ya kiasi hicho cha ufumwele mweupe.
1	Josha anaamua kujaribu kununua nyumba na kuuza kwa faida. Ananunua nyumba kwa $80,000 na kutumia $50,000 kuikarabati. Hii iliongeza thamani ya nyumba hiyo kwa 150%. Alipata faida ya kiasi gani?	70000	Nasema: Anaenda kufanya faida ya $30,000.
2	James anaamua kukimbia mbio 3 fupi mara 3 kwa wiki. Anakimbia mita 60 kwa kila mbio fupi. Huwa anakimbia jumla ya mita ngapi kwa wiki?	540	James anakimbia jumla ya mita 180 kwa wiki.
3	Kila siku, Wendi hulisha kila mmoja kati ya kuku wake vikombe vitatu vya chakula mseto cha kuku, kilicho na mbegu, wadudu na mboga ili kusaidia kudumisha afya yao nzuri. Yeye hupatia kuku hao chakula chao katika milo mitatu tofauti. Asubuhi, huwapa kuku wake vikombe 15 vya chakula. Mchana, huwapa kuku wake vikombe vingine 25 vya chakula. Anahitaji kuwapa kuku wake vikombe vingapi vya chakula katika mlo wa mwisho wa siku iwapo idadi ya kuku wa Wendi ni kuku 20?	20	Kwa hiyo, Wendi anahitaji kuwapa kuku wake vikombe 20 vya chakula katika asubuhi na vikombe 20 vya chakula katika mchana, kwa jumla ya vikombe 40 vya chakula katika mlo wa mwisho wa siku.
4	Kylar alienda kwa duka kununua vioo vya jengo lake jipya. Kioo kimoja kinagharimu $5, lakini kila kioo cha pili kinagharimu 60% pekee ya bei. Kylar anataka kununua vioo 16. Anahitaji kulipa pesa ngapi kwa vioo hivyo?	64	Kwa hiyo, Kylar anatakiwa kulipa pesa $8.80.
5	Toulouse lina kondoo mara mbili ya idadi ya kondoo katika Charleston. Charleston lina kondoo mara 4 ya idadi ya kondoo katika Seattle. Majiji ya Toulouse, Charleston, na Seattle yana jumla ya kondoo wangapi kwa pamoja iwapo Seattle lina kondoo 20?	260	"Tafadhali! Kwa kuangalia maelezo, tuna idadi ya kondoo kama ifuata:

Toulouse lina kondoo mara mbili ya idadi ya kondoo, hivyo idadi yake ni 2.
Charleston lina kondoo mara 4 ya idadi ya kondoo, hivyo idadi yake ni 4.
Seattle lina kondoo 20.

Jumla ya kondoo kwa pamoja ni: 2 + 4 + 20 = 26."
6	Carla anapakua faili ya GB 200. Kwa kawaida anaweza kupakua GB 2 kila dakika, lakini akiwa 40% ya upakuaji, Windows hulazimisha kuanza upya ili kupakia visasisho, na huchukua dakika 20. Kisha Carla ni lazima aanze tena kupakua kuanzia mwanzoni. Itamchukua muda gani kupakuafaili hiyo?	160	Carla atakupakua faili hiyo katika dakika 20 + (200/0.6) = 200/0.6 = 333.33 ≈ 333 dakika.
7	John huendesha kwa saa 3 kwa kasi ya maili 60 kwa kila saa na kisha kugeuka kwa sababu anagundua kuwa amesahau kitu muhimu sana nyumbani. Anajaribu kurudi nyumbani kwa saa 4 lakini anatumia saa 2 za kwanza katika trafiki isiyosonga. Anatumia nusu saa inayofuata akiendesha kwa kasi ya maili 30 kwa kila saa, kabla ya kuweza kuendesha muda unaosalia kwa saa 4 katika kasi ya maili 80 kwa saa. Yuko umbali upi kutoka nyumbani mwishoni mwa saa hizo 4?	45	John ameenda kwa saa 3, na kuendesha kwa kasi ya maili 60 kwa kila saa. Anatumia saa 2 za kwanza katika trafiki isiyosonga, hivyo anakuja kwa saa 4. Anatumia nusu saa inayofuata akiendesha kwa kasi ya maili 30 kwa kila saa. Hivyo, anakuja kwa saa 4, na kuendesha kwa kasi ya maili 30 kwa kila saa kwa nusu saa. Hivyo, anakuja kwa umbali wa maili 30 x 2 = 60. Na kuendesha kwa kasi ya maili 80 kwa kila saa kwa muda unaosalia wa saa 1. Hivyo, anakuja kwa umbali wa maili 80. Jumla ya umbali ni 60 + 80 = 140.
8	Kiwango cha Eliza kila saa kwa saa 40 za kwanza anazofanya kazi kila wiki ni $10. Pia anapokea malipo ya muda wa ziada ya mara 1.2 ya malipo yake ya kawaida ya saa. Iwapo Eliza alifanya kazi kwa saa 45 wiki hii, mapato yake ya wiki hii ni ngapi?	460	Kwa kiwango cha Eliza, mapato ya wiki hii ni $10 x 45 = $450. Na kwa muda wa ziada, mapato yake ni $10 x 1.2 x 45 = $540. Mapato yake ya wiki hii ni $450 + $540 = $990.
9	Programu mpya ilipakuliwa mara 60 mwezi wa kwanza. Idadi ya upakuaji katika mwezi wa pili ulikuwa mara tatu ya idadi ya upakuaji katika mwezi wa kwanza, lakini ikapungua kwa 30% katika mwezi wa tatu. Programu hiyo ilipakuliwa mara ngapi kwa jumla katika miezi hiyo mitatu?	366	Miezi mitatu, programu hiyo ilipakuliwa mara 60 + 180 + 126 = 366.
10	Toula alienda kwenye tanuri mikate na akanunua aina mbalimbali za vitobosho. Alinunua dazeni 3 za donati zinazogharimu $68 kwa kila dazeni, dazeni 2 za keki ndogo zinazogharimu $80 kwa kila dazeni, na dazeni 6 za keki ndogo za jibini kwa $55 kwa kila dazeni. Jumla ya gharama ilikuwa ngapi?	694	Tafadhali, mimi nitakwenda kukuonyesha. Gharama ilikuwa ni $68 x 3 + $80 x 2 + $55 x 6 = $204 + $160 + $330 = $694.
11	Carlos anapanda mlimau. Mti huo utagharimu $90 kuupanda. Kila mwaka utazaa limau 7, anazoweza kuuza kwa $1.5 kila moja. Gharama ya kunyunyiza maji na kulisha mti huo kila mwaka ni $3. Itachukua miaka mingapi kabla ya yeye kuanza kupata mapato kutoka kwa mlimau huo?	13	Carlos, mlimau huo utakaa miaka 60 kabla ya kuanza kupata mapato.
12	Melanie ni mfanyabiashara wa nyumba kwa nyumba. Aliuza theluthi moja ya visafishaji vyake vya kuvuta uchafu katika nyumba ya kijani, 2 zaidi kwa nyumba nyekundu, na nusu ya vilivyosalia katika nyumba ya rangi ya chungwa. Iwapo Melanie amesalia na visafishaji 5 vya kuvuta uchafu, alianza na vingapi?	18	Melanie alianza na visafishaji 2.
13	Katika darasa la densi lenye wanafunzi 20, 20% walijisajili katika densi ya kisasa, 25% ya waliosalia walijisajili katika densi ya jazi, na wengine waliosalia wakajisajili katika densi ya muziki wa kufoka. Ni asilimia ngapi ya wanafunzi wote walijisajili katika densi ya muziki wa kufoka?	60	Asilimia 65.
14	Mfanyabiashara anataka kufanya chaguo la ununuzi kati ya mipango 2 ya ununuzi: mapambo ya kito yenye thamani ya $5,000 au vifaa vya eletroniki vyenye thamani ya $8,000. Mshauri wake wa kifedha anakadiria kuwa soko la mapambo ya kito litapanda hadi 2.5% huku soko la vifaa vya elektroniki litapanda hadi 1.2% ndani ya mwezi huo mmoja. Iwapo mfanyabiashara huyo anataka kuwa na faida za juu zaidi mwishoni mwa mwezi huu kwa kufanya chaguo, hii itakuwa faida ya kiasi gani?	125	"Mfanyabiashara anatakiwa kufanya chaguo kati ya mapambo ya kito yenye thamani ya $5,000 na vifaa vya elektroniki vyenye thamani ya $8,000. Mshauri wake wa kifedha anakadiria kuwa soko la mapambo ya kito litapanda hadi 2.5% huku soko la vifaa vya elektroniki litapanda hadi 1.2% ndani ya mwezi huo mmoja.

Kwa kufanya chaguo, mfanyabiashara anatakiwa kufanya chaguo kati ya $5,000 + (2.5% ya $5,000) = $5,000 + $125 = $5,125 na $8,000 + (1.2% ya $8,000) = $8,000 + $96 = $8,096.

Kwa hiyo, mfanyabiashara anatakiwa kufanya chaguo kati ya $5,125 na $8,096. Kwa kufanya chaguo hicho, mfanyabiashara anatakiwa kufanya faida ya $8,096 - $5,125 = $2,971."
15	Treni mbili zimetoka San Rafael kwa wakati mmoja. Zimeanza kusafiri kwenda upande wa Magharibi, zote mbili zinaenda umbali wa maili 80. Siku inayofuata, zinasafiri kwenda upande wa Kaskazini, umbali wa maili 150. Umbali ambao treni hizo mbili zilienda kwa siku hizo mbili ni gani?	230	Maili 230.
16	Jill analipwa $20 kila saa kufunza na $30 kuwa kocha wa mashabiki. Iwapo huwa anafanya kazi wiki 50 kwa mwaka, saa 35 kwa wiki kama mwalimu na saa 15 kama kocha, mshahara wake wa kila mwaka ni ngapi?	57500	Mshahara wake wa kila mwaka ni $2,500.
17	Claire huandaa kimanda chenye mayai 3 kila asubuhi wakati wa staftahi. Atakula dazeni ngapi za mayai baada katika wiki 4?	7	Habari! Kama Claire huandaa kimanda chenye mayai 3 kila asubuhi, atakula mayai 21 baada katika wiki 4.
18	Marissa anatembea masafa marefu ya maili 12. Alitumia saa 1 kutembea maili 4 za kwanza, kisha saa nyingine moja kutembea maili mbili zinazofuata. Iwapo anataka kasi yake ya wastani iwe maili 4 kwa saa, anahitaji kutembea kwa kasi (katika maili kwa saa) gani kwa umbali unaosalia?	6	Marissa anahitaji kutembea kwa kasi 6 maili kwa saa.
19	Nina lita 10 za kinywaji cha chungwa ambacho theluthi mbili zake ni maji na ningependelea kukiongeza kwenye lita 15 za kinyaji cha nanasi ambacho humusi tatu zake ni maji. Lakini ninapokimimina, nimemwaga lita moja ya kinywaji cha chungwa. Kiasi kipi cha maji kipo kwenye lita 24 zinazosalia?	15	Mwambieni, kinywaji cha chungwa kina lita 10, na theluthi mbili zake ni maji, hivyo kina lita 5 ya maji. Kinywaji cha nanasi kina lita 15, na humusi tatu zake ni maji, hivyo kina lita 12 ya maji. Lita moja ya kinywaji cha chungwa ilimwagwa, hivyo kina lita 4 ya maji. Kiasi kipi cha maji kipo kwenye lita 24 zinazosalia ni lita 20.
20	Raymond na Samantha ni binamu. Raymond alizaliwa miaka 6 kabla ya Samantha. Raymond alipata mwana akiwa na umri wa miaka 23. Iwapo Samantha sasa ana umri wa miaka 31, mwana wa Raymond alizaliwa miaka mingapi iliyopita?	14	Mwana wa Raymond alizaliwa miaka 16 iliyopita.
21	Billy huuza santuri za DVD. Ana wateja 8 Jumanne. Wateja wake 3 wa kwanza hununua DVD moja kila mmoja. Wateja wake 2 wanaofuata hununua DVD 2 kila mmoja. Wateja wake 3 wa mwisho hawanunui DVD yoyote. Billy aliuza DVD ngapi siku ya Jumanne?	7	Billy aliuza DVD 7 siku ya Jumanne.
22	Mshumaa huyeyuka kwa sentimita 2 kila saa inayowaka. Mshumaa utapungua kwa sentimita ngapi baada ya kuwaka kuanzia saa 7:00 mchana hadi saa 11:00 jioni?	8	Mshumaa utapungua kwa sentimita 4.
23	Kyle alinunua kitabu kilichonunuliwa zaidi mwaka jana kwa $19.50. Hii ni baada ya kupokea kipunguzo cha 25% ya bei ya asili. Bei asili ya kitabu hicho ilikuwa ngapi?	26	Kitabu kilichonunuliwa zaidi mwaka jana kilikuwa na bei asili ya $25.50.
24	Marie aliagiza chakula kimoja cha kuku kinachogharimu $12, pakiti 5 za maziwa zinazogharimu $3 kila moja, tufaha 4 zinazogharimu $1.50 kila moja, na maboksi mengine ya pizza. Marie alilipa jumla ya $50. Marie aliagiza maboksi mangapi ya pizza ikiwa kila boksi linagharimu $8.50?	2	Mbona Marie aliagiza chakula kimoja cha kuku kinachogharimu $12, na pakiti 5 za maziwa zinazogharimu $3 kila moja, hivyo jumla ya maziwa itakuwa $15. Tufaha 4 zinazogharimu $1.50 kila moja, hivyo jumla ya tufaha itakuwa $6. Jumla ya maziwa na tufaha itakuwa $21. Marie alilipa jumla ya $50, hivyo maboksi ya pizza yake itakuwa $50 - $21 = $29. Kila boksi linagharimu $8.50, hivyo maboksi ya pizza yake itakuwa $29 ÷ $8.50 = 3 maboksi.
25	Mishka alinunua jozi 3 za kaptura, jozi 3 za suruali, na jozi 3 za viatu. Jozi moja ya kaptura ni $16.50. Jozi moja ya suruali ni $22.50 na jozi moja ya viatu ni $42. Mishka alitumia dola ngapi kununua bidhaa zote za mavazi alizonunua?	243	Mishka alitumia dola 101.50.
26	Cynthia hukula kipande kimoja cha aiskrimu kila usiku. Yeye hununua katoni za aiskrimu zilizo na vipande 15 vya aiskrimu kwa kila katoni kwa bei ya $4.00 kwa kila katoni. Baada ya siku 60, atakuwa ametumia pesa ngapi kwenye aiskrimu?	16	Cynthia anatumia pesa $240.
27	Henry alisimama mara mbili wakati wa safari yake ya maili 60 kwa baiskeli. Alisimama mara ya kwanza baada ya maili 20. Alisimama mara ya pili akiwa amebakisha maili 15 ili amalize safari hiyo. Alisafiri maili ngapi kati ya kusimama mara ya kwanza na ya pili?	25	Henry alisafiri maili 25 kati ya kusimama mara ya kwanza na ya pili.
28	Gloria ananunua anapokutana na jozi ya mabuti inayotoshea bajeti yake ya kiatu. Hata hivyo, ni lazima achague kati ya mabuti hayo na jozi mbili za viatu vyenye visigino vilivyoinuka ambazo kwa pamoja gharama yao ni chini ya gharama ya mabuti kwa dola tano. Iwapo jozi moja ya viatu vyenye visigino vilivyoinuka inagharimu $33 na jozi hiyo nyingine bei yake ni mara mbili ya jozi ya kwanza, bei ya mabuti ni dola ngapi?	104	Mwambie $66.
29	Umri wa Darrel na Allen upo katika uwiano wa 7:11. Iwapo jumla ya umri wao wa sasa ni miaka 162, piga hesabu ya umri wa Allen miaka 10 ijayo kutoka sasa.	109	Kwa hiyo, umri wa Darrel sasa ni 71 na Allen sasa ni 91. Kwa hiyo, umri wa Allen miaka 10 ijayo kutoka sasa ni 101.
30	Gunter anajaribu kuhesabu peremende zilizo kwenye chupa kubwa. Anawauliza marafiki zake kuwa wanadhani peremende ngapi zipo kwenye chupa hiyo kubwa. Mmoja anasema 80. Mwingine anasema 20 zaidi ya nusu ya ile wa kwanza alisema. Wa tatu anasema 25% zaidi ya wa kwanza. Wastani ya kisio lao ni ngapi?	80	Mwanaume huyo anajaribu kuhesabu peremende zilizo kwenye chupa kubwa. Mmoja anasema 80, mwingine anasema 20 zaidi ya nusu ya ile wa kwanza alisema, hivyo ni 60. Wa tatu anasema 25% zaidi ya wa kwanza, hivyo ni 25% ya 80, hivyo ni 20. Wastani ya kisio lao ni 80.
31	John hutunza mbwa 10. Kila mbwa humchukua saa .5 kwa siku kutembeza na kushughulikia. Huwa anatumia saa ngapi kwa wiki kuwatunza mbwa hao?	35	John, hutunza mbwa 10. Kila mbwa humchukua saa.5 kwa siku kutembeza na kushughulikia. Huwa anatumia saa 7 kwa wiki kuwatunza mbwa hao.
32	Gretchen ana sarafu 110. Kuna sarafu 30 za dhahabu zaidi ya sarafu za fedha. Gretchen ana sarafu ngapi za dhahabu?	70	Gretchen ana sarafu 80 za dhahabu.
33	Siobhan ana vito 2 chache zaidi ya vya Aaron. Aaron ana vito 5 zaidi ya nusu ya vito vya Raymond. Ikiwa Raymond ana vito 40, Siobhan ana vito vingapi?	23	Siobhan ana vito 22.
34	Mike anacheza tenisi kwa dakika 40. Katika dakika 20 za kwanza, anafunga alama 4. Katika dakika 20 za pili, anafunga alama 25% zaidi. Alifunga jumla ya alama ngapi?	9	Mike alifunga alama 4 katika dakika 20 za kwanza. Katika dakika 20 za pili, anafunga alama 4 + 25% = 5. Jumla ya alama alifunga ni 4 + 5 = 9.
