Unnamed: 0	question	answer	llm	verbalized
0	Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?	3	Ndiyo, mimi ninaweza kukuonyesha! (Yes, I can show you!) Kwa kuwa robe inahitaji 2 rouleaux ya fibre bleue na nusu ya hiyo kiasi cha fibre blanche, tunahitaji 2 + 1 = 3 rouleaux ya fibre.	3
1	Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?	70000	Hamba kahle! (Farewell!)	-1
2	Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?	540	Hamba kahle! Jacques kuthola 3 sprints 3 lesomo, kuthola 3 x 3 = 9 sprints. 9 sprints kuthola 60m each, kuthola 9 x 60 = 540m. Jacques kuthola 540m per lesomo, kuthola 540m per lesomo x 1 lesomo = 540m per week.	540
3	Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?	20	Ndi mboo! Wendi aya kuba abe 20, ndi 15 aya kuba kwa mbwe, ndi 25 aya kuba kwa mbele. Aba kuba 40, ndi kuba 3 aya kuba kwa kwa, aba kuba 40/3 = 13,33... ndi kuba 13. Wendi aya kuba 13 kwa mbele.	13
4	Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?	64	Ndiyo, kylar atakapenda kushuka $120.	120
5	Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?	260	"Kwaku, kwa kwa! (Okay, let me calculate!)

Seattle has 20 moutons.
Charleston has 4 fois (times) more than Seattle, so Charleston has 20 x 4 = 80 moutons.
Toulouse has 2 fois (times) more than Charleston, so Toulouse has 80 x 2 = 160 moutons.

Total moutons: 20 + 80 + 160 = 260 moutons."	260
6	Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?	160	"Ndiyo, mbona! (Yes, okay!) 

Carla alitumia dakika 40 kwa kuendesha kazi, halafu Windows kikasimamisha kazi kwa dakika 20. Kwa hiyo, Carla atakayeanza tena kazi yake ya kuendesha kazi kwa dakika 40 + 20 = 60. Kwa hiyo, Carla atakayeanza kuendesha kazi kwa dakika 60, lakini kwa kuwa inaendesha kazi kwa dakika 2 kwa kila dakika, atakayeanza kuendesha kazi kwa dakika 60 x 2 = 120."	120
7	Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?	45	"Kwaku, mmi! (Ah, my friend!)

First, let's calculate the distance Jean traveled during the initial 3 hours:

Distance = Speed x Time = 60 mph x 3 hours = 180 miles

Then, he spent 2 hours stuck in traffic, so he didn't move at all during that time.

Next, he drove at 30 mph for 0.5 hours:

Distance = Speed x Time = 30 mph x 0.5 hours = 15 miles

Finally, he drove at 80 mph for the remaining 3.5 hours:

Distance = Speed x Time = 80 mph x 3.5 hours = 280 miles

Adding up the distances, we get:

Total distance = 180 miles + 0 miles + 15 miles + 280 miles = 475 miles

Kwaku, mmi! Jean is now 475 miles away from his home."	475
8	Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?	460	"Ndiyo, ngwana! (Yes, my child!) 

Élisa travaille 40 heures à 10 $ l'heure, ce qui fait 40 x 10 = 400 $.

Elle travaille également 5 heures supplémentaires, ce qui fait 5 x (10 x 1,2) = 60 $.

Son salaire total est donc 400 + 60 = 460 $."	460
9	Un nouveau programme a été téléchargé 60 fois au cours du premier mois. Le nombre de téléchargements au cours du deuxième mois était trois fois supérieur à celui du premier mois. Il a ensuite diminué de 30 % au cours du troisième mois. Combien de fois au total le programme a-t-il été téléchargé au cours de ces trois mois ?	366	Ndiyo, mwezi wa kwanza, programu ilipewa kushindwa 60 mara. Mwezi wa pili, programu ilipewa kushindwa 3 x 60 = 180 mara. Mwezi wa tatu, programu ilipewa kushindwa 180 x 0.7 = 126 mara. Jumla ya mara zote, programu ilipewa kushindwa 60 + 180 + 126 = 366 mara.	366
