Unnamed: 0	question	answer	llm	verbalized
0	Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?	18	Mokolo, ntalo ya 2$ na likei ya mabata ya sika ezwaka 16 na mokolo.	16
1	Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?	3	Mokonzi, motuya boni ya ba rouleau na nyoso, motuya ya mpembe ya bilamba ya langi blue, mpe ya ndambo ya bilamba ya langi blue.	-1
2	Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?	70000	Matabisi boni azwi, motuya ya ndako ebanda na 225 000 $.	225000
3	Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?	540	Kosala kolanda mbangu ya makasi 3 mbala 3 na poso, akopota 60 metele na mbangu ya makasi nyoso, ba metele boni apoti na poso, ba metele 20.	20
4	Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?	20	Ato na ntongo, mpo na kolia ya nsuka ya mokolo ezali na 5.	5
5	Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?	64	Mokili ya kosomba, kylar alingi 16 verre. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. 60% ya ntalo ya 5$ ezali 3$. Motuya boni asengeli kofuta mpo ya kosomba yango, kylar alingi 16 verre, kasi motuya boni asengeli ya kosomba yango ezali 16 x 3$ = 48$.	48
6	Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?	260	Mpe mpe! Na ko, Seattle azali na mpata 20, motuya ya mpata ya Toulouse. Na ko, Charleston azali na mpata minei ya Seattle, na ko, Charleston azali na mpata 20 x 4 = 80. Na ko, Toulouse azali na koleka mbala mibale na ba mpata ya Charleston, na ko, Toulouse azali na mpata 80. Na ko, Toulouse azali na mpata 20 + 80 = 100.	100
7	Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?	160	Carla, azali na kala na ebandela, azali na kala na mbangu ya 2 Go na minute. Azo telecharge na 40% ya telechargement, azali na kala na 80 Go. Azali na kala na 20 minute, azali na kala na 40 Go. Azali na kala na 80 Go, azali na kala na 40 minute.	40
8	Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?	45	Ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4.	4
9	PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?	460	Ntango, Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni? Na ye eko Zala boni!	45
