Unnamed: 0	question	answer	llm	verbalized
0	Janet nnabodabo no to nkosua 16 da biara. Ͻdi mmiԑnsa anɔpa biara na ɔde nnan ato burodo ama ne nnamfonom da biara. Ͻtɔn deԑ aka no, dabodabo kosua mono biara $2 wɔ akuafoɔ dwam da biara. Sika sԑn wɔ dollars mu na ɔnya dabia wɔ akuafoɔ dwam hɔ?	18	Ama! ɔsika sɛn wɔ dollars mu deɛ ɔnya dabia wɔ akuafoɔ dwam hɔ yɛ $28.	28
1	Ntoma bi hia ahomatia anoboa bibire mmienu na ahomatia fitaa anoboa saa mu fa.  Anoboa dodoɔ sԑn na ɔhia?	3	"Wɔnansa! Ntoma bi hia ahomatia anoboa bibire mmienu na ahomatia fitaa anoboa saa mu fa. Anoboa dodoɔ sɛn na ɔhia yɛ ""ntoma bi a, wɔnansa!"""	-1
2	Josh yԑ n’adwene sԑ ɔbԑtɔ na w’atɔn ԑdan bi. Ͻtɔ ԑdan no $80,000 na ɔde $50,000 asiesie. Wei ma ԑdan no boɔ kɔɔ soro 150%. Mfasoɔ sԑn na ɔnyaԑ?	70000	Mfasoɔ sԑn na ԑdan no nyɛ $120,000.	120000
3	James yԑ n’adwene sԑ ɔbԑtu mmirika 3 mprԑ 3 wɔ nnawɔtwe mu. Ͻtwa kwansini 60 mmirikatuo biara mu. Kwansini dodoɔ sԑn na ɔtwa nnawɔtwe biara?	540	Nnipa, ɛnnyɛ! Kwansini dodoɔ sɛn na ɔtwa nnawɔtwe biara yɛ ɔha.	-1
4	Da biara, Wendi de nkokɔ aduane kuruwa mmiԑnsa, a ԑwɔ mma, asonsono ne atosodeԑ na ԑma ne nkokɔ no na wɔnho ayԑ wɔn den. Ͻde aduane no ma nkokɔ no mprԑ dodoɔ mmiԑnsa. Anɔpa no, ɔma ne nkokɔ no aduane kuruwa 15. Awia no, ɔma nkokɔ no aduane kuruwa 25 bio. Aduane kuruwa sԑn na ɔhia sԑ ɔde bԑma nkokɔ no wɔ aduanema a ԑtwa toɔ wɔ da no mu sԑ Wendi nkokɔ no dodoɔ nyinaa yԑ 20 a?	20	Ei, Wendi, mma! Nnipa a, nkokɔ no aduane kuruwa 20.	20
5	Kylar kɔɔ adetɔbea kɔtɔɔ ahwehwԑ maa ne dan foforɔ no. Ahwehwԑ baako boɔ yԑ $5, nanso ahwehwԑ biara a ɔbԑto no akyire no boɔ no yԑ boɔ no mu ɔha nkyԑmu aduosia. Kylar pԑ sԑ ɔtɔ nhwehwԑ 16. Sԑn na ԑwɔ sԑ ɔtua wɔ no nyinaa ho?	64	Kyerɛ wo, kylar kɔɔ adetɔbea kɔtɔɔ ahwehwԑ maa ne dan foforɔ no. Ahwehwԑ baako boɔ yԑ $5, nanso ahwehwԑ biara a ɔbԑto no akyire no boɔ no yԑ boɔ no mu ɔha nkyԑmu aduosia. Kylar pԑ sԑ ɔtɔ nhwehwԑ 16. Sԑn na ԑwɔ sԑ ɔtua wɔ no nyinaa ho? Ah, kylar kɔɔ adetɔbea kɔtɔɔ ahwehwԑ maa ne dan foforɔ no. Kylar pԑ sԑ ɔtɔ nhwehwԑ 16. Kylar kɔɔ adetɔbea kɔtɔɔ ahwehwԑ maa ne dan foforɔ no.	16
6	Toulouse wɔ nnwan mmɔho mmienu sԑn Charleston. Charleston wɔ nnwan mmɔho nnan kyԑn Seattle. Nnwan sԑn na Toulouse, Charleston ne Seattle wɔ sԑ wɔn nyinaa wɔ nnwan dodoɔ 20 a?	260	Ei, Toulouse, Charleston ne Seattle wɔ nnwan dodoɔ 20 sԑn.	20
7	Carla ԑretwe krataa 200 GB afiri abԑԑfo ntontan so. Anka dabia no, ɔtumi twe 2GB simma biara, nanso ɔtwee ԑmu 40% no, Windows no dum san sɔɔԑ sԑ ԑde nhyeheԑ foforɔ ԑԑgu afidie no so, na ԑdii simma 20. Na ԑwɔsԑ Carla san hyԑ adeԑ a ɔretwe n’ase no bio firi mfitiaseԑ no. Adesoa sԑn na ehia ansa na watumi atwe krataa no.	160	Wɔnhyɛ sɛn, ɛnnyɛ sɛn! Krataa no yɛ ɛnnyɛ sɛn, ɛnnyɛ sɛn! Windows no yɛ ɛnnyɛ sɛn, ɛnnyɛ sɛn! ɔretwe no yɛ ɛnnyɛ sɛn, ɛnnyɛ sɛn!	-1
8	John twi ne hyԑn no dɔnhwere 3 wɔ mmirika 60 mph so na ɔdane ne ho efisԑ neho ba ne neho so sԑ ne werԑ ԑfiri biribi a ԑsom bo wɔ fie. Ͻyԑ sԑ ɔbԑsan akɔ fie wɔ dɔnhwere 4 mu nanso ԑmu mmienu a ԑdi kan no, ɔdi wɔ trafiki mu. Ͻde dɔnhwere fa a ԑdi soɔ no dwane 30mph, ansa na ɔde mmerԑ no a aka wɔ dɔnhwere nnan no mu ԑԑkɔ 80 mph. Kwan a ԑda ɔne no fie no ntam dɔnhwere nnan yi akyi yԑ sԑn?	45	"Wɔnhyɛ, John, wɔnhyɛ! Sɛ wɔnhyɛ wɔnhyɛ, ɔdane ne ho efisɛ neho ba ne neho so sɛ ne werɛ ɛfiri biribi a ɛsom bo wɔ fie. Sɛ wɔnhyɛ wɔnhyɛ, ɔbɛsan akɔ fie wɔ dɔnhwere 4 mu nanso ɛmu mmienu a ɛdi kan no, ɔdi wɔ trafiki mu. Sɛ wɔnhyɛ wɔnhyɛ, ɛde dɔnhwere fa a ɛdi soɔ no dwane 30mph, ansa na ɔde mmerɛ no a aka wɔ dɔnhwere nnan no mu ɛkɔ 80 mph. Kwan a ɛda ɔne no fie no ntam dɔnhwere nnan yi akyi yɛ sɛn?

Nnipa, John, wɔnhyɛ wɔnhyɛ! Wɔnhyɛ wɔnhyɛ, ɔdane ne ho efisɛ neho ba ne neho so sɛ ne werɛ ɛfiri biribi a ɛsom bo wɔ fie. Sɛ wɔnhyɛ wɔnhyɛ, ɔbɛsan akɔ fie wɔ dɔnhwere 4 mu nanso ɛmu mmienu a ɛdi kan no, ɔdi wɔ trafiki mu. Sɛ wɔnhyɛ wɔnhyɛ, ɛde dɔnhwere fa a ɛdi soɔ no dwane 30mph, ansa na ɔde mmerɛ no a aka wɔ dɔnhwere nnan no mu ɛkɔ 80 mph. Kwan a ɛda ɔne no fie no ntam dɔnhwere nnan yi akyi yɛ sɛn?

Wɔnhyɛ, John, wɔnhyɛ! Wɔnhyɛ wɔnhyɛ, ɔdane ne ho efisɛ neho ba ne neho so sɛ ne werɛ ɛfiri biribi a ɛsom bo wɔ fie. Sɛ wɔnhyɛ wɔnhyɛ, ɔbɛsan akɔ fie wɔ dɔnhwere 4 mu nanso ɛmu mmienu a ɛdi kan no, ɔdi wɔ trafiki mu. Sɛ wɔnhyɛ wɔnhyɛ, ɛde dɔnhwere fa a ɛdi soɔ no dwane 30mph, ansa na ɔde mmerɛ no a aka wɔ dɔnhwere nnan no mu ɛkɔ 80 mph. Kwan a ɛda ɔne no fie no ntam dɔnhwere nnan yi akyi yɛ sɛn?

Wɔnhyɛ, John, wɔnhyɛ! Wɔnhyɛ wɔnhyɛ, ɔdane ne ho efisɛ neho ba ne neho so sɛ ne werɛ ɛfiri biribi a ɛsom bo wɔ fie. Sɛ wɔnhyɛ wɔnhyɛ, ɔbɛsan akɔ fie wɔ dɔnhwere 4 mu nanso ɛmu mmienu a ɛdi kan no, ɔdi wɔ trafiki mu. Sɛ wɔnhyɛ wɔnhyɛ, ɛde dɔnhwere fa a ɛdi soɔ no dwane 30mph, ansa na ɔde mmerɛ no a aka wɔ dɔnhwere nnan no mu ɛkɔ 80 mph. Kwan a ɛda ɔne no fie no ntam d"	80
9	Eliza akatua a ɔgye no dɔnhwere biara wɔ dɔnhwere 40 a ԑdi kan a ɔyԑ adwuma  wɔ nnawɔtwe biara mu no yԑ $10. Ͻsan gye akatua mmorosoɔ a ԑyԑ mprԑ dodoɔ 1.2 kyԑn deԑ ɔgye no dɔnhwere biara no. Sԑ Eliza yԑ adwuma dɔnhwere 45 nnawɔtwe yi a, Sԑn na ɔbԑnya no nnawɔtwe yi?	460	Nnipa, Eliza yɛ adwuma dɔnhwere 45 nnawɔtwe yi a, ɔbԑnya no nnawɔtwe yi yɛ 45 x $10 = $450. Sԑn na ɔbԑnya no nnawɔtwe yi yɛ $450.	450
