Unnamed: 0	question	answer	llm	verbalized
0	የጃኔት ዳክዬዎች በቀን 16 እንቁላሎችን ይጥላሉ። በየቀኑ ሦስት ለቁርስ ትበላለች እና በየቀኑ ለጓደኞቹዋ በአራቱ ማፋን ትጋግራለች። ቀሪውን በየቀኑ በአርሶ አደሮች ገበያ በ 2 ዶላር ለእያንዳንዱ ትኩስ ዳክዬ እንቁላል ትሸጣለች። በአርሶ አደሮች ገበያ በየቀኑ በዶላር ምን ያህል ታገኛለች?	18	በአርሶ አደሮች ገበያ በየቀኑ በዶላር 16 ታገኛለች።	16
1	አንድ ቀሚስ የሰማያዊ ድር 2 ብሎን እና ግማሽ ያህል ነጭ ድር ይወስዳል። በጠቅላላው ስንት ብሎን ይወስዳል?	3	አንድ ቀሚስ የሰማያዊ ድር 2 ብሎን እና ግማሽ ያህል ነጭ ድር ይወስዳል ስለሆነት በጠቅላላው 2.5 ብሎን ይወስዳል።	2
2	ጆሽ ቤት ለመለወጥ ወሰነ። ቤቱን በ80,000 ዶላር ገዝቶ በ50,000 ዶላር ለጥገና አደረገ። ይህም የቤቱን ዋጋ በ150% ከፍ አደረገው። ምን ያህል ትርፍ አገኘ?	70000	ከቤቱ ዋጋ 80,000 ዶላር ከሆነ በ50,000 ዶላር ለጥገና አደረገ ስለዚያም ትርፍ አገኘው 30,000 ዶላር ነው።	30000
3	ጄምስ በሳምንት 3 ጊዜ 3 ስፕሪንቶችን ለመሮጥ ወሰነ። በእያንዳንዱ ስፕሪንት 60 ሜትር ይሮጣል። በሳምንት ውስጥ ምን ያህል ሜትር ይሮጣል?	540	"በሳምንት ውስጥ 3 ጊዜ 3 ስፕሪንቶችን ለመሮጥ ወሰነ። በእያንዳንዱ ስፕሪንት 60 ሜትር ይሮጣል። ከ3 ጊዜ 3 ስፕሪንቶች የተረጎምበት ሜትር ይህ ነው፡-

3 ጊዜ 3 ስፕሪንቶች = 3 ጊዜ 3 = 9 ስፕሪንቶች
9 ስፕሪንቶች በ60 ሜትር ይሮጣል = 9 ጊዜ 60 = 540 ሜትር

በሳምንት ውስጥ 540 ሜትር ይሮጣል።"	540
4	በየቀኑ፣ ዌንዲ እያንዳንዷን ዶሮዋን ሶስት ኩባያ የተደባለቀ የዶሮ መኖን ትመግባዋለች፣ ይህም ዘሮችን፣ የምግብ ትሎች እና አትክልቶችን የያዘ ሲሆን ይህም ጤናማ እንዲሆኑ ይረዳቸዋል። ለዶሮዎቹ ምግባቸውን በሦስት የተለያዩ ምግቦች ትሰጣለች። በማለዳ ለመንጋ ዶሮዎች 15 ኩባያ መኖ ትሰጣለች። ከሰአት በኋላ ለዶሮቿ ሌላ 25 ኩባያ መኖ ትሰጣለች። የዌንዲስ መንጋ መጠን 20 ዶሮዎች ከሆነ በቀኑ የመጨረሻ ምግብ ላይ ዶሮዎቿን ለመስጠት ስንት ኩባያ መኖ ያስፈልጋታል?	20	40 ኩባያ መኖ ያስፈልጋታል።	40
5	ካይለር ለአዲሱ አፓርታማው ብርጭቆ ለመግዛት ወደ መደብር ሄደ። አንድ ብርጭቆ 5 ዶላር ያስከፍላል፣ ነገር ግን እያንዳንዱ ሁለተኛ ብርጭቆ ከዋጋው 60% ብቻ ያስከፍላል። ካይለር 16 ብርጭቆዎችን መግዛት ይፈልጋል። ለእነሱ ምን ያህል መክፈል አለበት?	64	አንድ ብርጭቆ 5 ዶላር ያስከፍላል፣ ከዋጋው 60% ብቻ ያስከፍላል ማለት 5 ዶላር * 0.6 = 3 ዶላር ነው። ካይለር 16 ብርጭቆዎችን መግዛት ይፈልጋል ማለት 16 * 3 ዶላር = 48 ዶላር አለበት።	48
6	ቱሉዝ ከቻርልስተን በእጥፍ የሚበልጡ በጐች አሉት ።ቻርልስተን ከሲያትል በ4 እጥፍ የሚበልጡ በጐች አሉት ።ቱሉዝ ፣ ቻርልስተን እና ሲያትል በጋራ ስንት በጐች አሏቸው ሲያትል 20 በጐች ካሉት?	260	ቱሉዝ 12 በጐች አሏት፣ ቻርልስተን 4 በጐች አሏት፣ ሲያትል 20 በጐች አሏት። እንግድ ቱሉዝ ፣ ቻርልስተን እና ሲያትል በጋራ 36 በጐች አሏቸው።	36
7	ካርላ የ 200 ጊባ ፋይል እያወረደች ነው። በተለምዶ 2 ጊባ/ደቂቃ ማውረድ ትችላለች፣ ነገር ግን 40%  በመጫን መንገድ ላይ ዊንዶውስ ማዘመን ለመጫን ጠፍቶ ዳግም ማስጀመር ያስገድዳል፣ ይህም 20 ደቂቃዎችን ይወስዳል። ከዚያ ካርላ ማውረዱን ከመጀመሪያው እንደገና ማስጀመር አለባት። ፋይሉን ለማውረድ ምን ያህል ጭነት ይወስዳል?	160	ከተለምዶ 2 ጊባ/ደቂቃ ማውረድ ትችላለች ነው። ከዚያ 40% በመጫን መንገድ ላይ ዊንዶውስ ማዘመን ለመጫን ጠፍቶ ዳግም ማስጀመር ያስገድዳል፣ ይህም 20 ደቂቃዎችን ይወስዳል። ከዚያ ካርላ ማውረዱን ከመጀመሪያው እንደገና ማስጀመር አለባት። ፋይሉን ለማውረድ 40 ደቂቃ ይወስዳል።	40
8	ጆን ለ 3 ሰዓታት በ 60 ማይል በሰአት ፍጥነት ይጓዛል እና ከዚያ በቤት ውስጥ በጣም አስፈላጊ የሆነ ነገር እንደረሳ ስለተገነዘበ ይመለሳል። እሱ በ 4 ሰዓታት ውስጥ ወደ ቤት ለመድረስ ይሞክራል ነገር ግን የመጀመሪያዎቹን 2 ሰዓታት በትራፊክ መጨናነጭ ቆሞ ውስጥ ያሳልፋል። ቀጣዩን ግማሽ ሰዓት በሰዓት በ 30 ማይል በሰአት ፍጥነት በመንዳት ያሳልፋል፣ ቀሪውን የ 4 ሰዓታት ጊዜ በ 80 ማይል በሰአት ፍጥነት ለመንዳት ከመቻሉ በፊት። በእነዚያ 4 ሰዓታት መጨረሻ ከቤት ምን ያህል ርቆ ይገኛል?	45	ከቤት እስከ 60 ማይል በ 3 ሰዓታት ይጓዛል፣ ከዚያ በ 30 ማይል በቀጣዩን ግማሽ ሰዓት ይጓዛል፣ ከዚያ በ 80 ማይል በቀሪውን 3 ሰዓታት ይጓዛል። እንግዲ ከቤት እስከ አስፈላጊ የሆነ ነገር ይጓዛል ከ 60 + 30 + 80 = 170 ማይል ርቆ ይገኛል።	170
9	ኤሊዛስ በየሳምንቱ በምትሠራባቸው የመጀመሪያዎቹ 40 ሰዓታት በሰዓት የምትከፈለው ክፍያ 10 ዶላር ነው። በተጨማሪም ከመደበኛ የሰዓት ክፍያዋ በ1.2 እጥፍ ለትርፍ ሰአት ስራ ተጨማሪ ሰዓት ክፍያ ትቀበላለች። ኤሊዛ በዚህ ሳምንት ለ45 ሰዓታት ከሠራች፣ የዚህ ሳምንት ገቢዋ ምን ያህል ነው?	460	ኤሊዛ በዚህ ሳምንት ለ45 ሰዓታት ከሠራች፣ የዚህ ሳምንት ገቢዋ 54 ዶላር ነው።	54
