Unnamed: 0	question	answer	llm	verbalized
0	Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?	3	"Nzuri! (Good!) In Swahili, I'd say: ""Unaomba mawili ya fiberu buluu na nusu ya hiyo kwa fiberu nyeupe. Unaomba mawili na moja, jumla ni matatu."" (You need two blue fibers and half of that in white fibers. You need two and one, total is three.)"	-1
1	Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?	70000	"Ngiyakuthanda ukubonga! (I'm happy to help!)

Let's break it down in isiZulu:

Josh uyabonga indlu ngomhlaba we-80 000 $. Uyafaka i-50 000 $ ekucingeni kwalo. Umnikelo wendlu uwahleka ngokubili kuya ku-150%. Inani elinganiselwe ukuthola iningi?

(Translation: Josh buys a house for $80,000 and invests $50,000 in its restoration. The value of the house increases by 150%. How much profit did he make?)

Ukubonga ukuthola iningi: ($80,000 + $50,000) x 150% = $195,000
Iningi: $195,000 - $130,000 = $65,000

Ngiyakuthanda! Josh uyathola iningi yase-$65,000! (I'm happy! Josh made a profit of $65,000!)"	65000
2	Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?	540	"Ngiyabonga! (Thank you!) In isiZulu, I'd say: ""UJacques uqhakaza izinsuku eziyi-3, eziyi-3 zingu-3 ngalowo oseshini. Uba ngamaphetheni amashumi amahlanu emikhoneni eminye ngalowo oseshini. Kuthatha ukuthi uJacques uqhakaza imimetro engu-?"" (How many meters does Jacques run in total per week?)

Let's calculate: 3 sprints/series × 3 series/week = 9 sprints/week. Each sprint is 60 meters, so 9 sprints × 60 meters/sprint = 540 meters/week.

In isiZulu, I'd say: ""UJacques uqhakaza imimetro engu-540 ngalowo oseshini."" (Jacques runs 540 meters per week.)"	540
3	Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?	20	"Sawubona! (Hello!)

Let's break down the problem in isiZulu:

Wendi ugive izinyoni zakhe (Wendi gives her chickens) 3 bols of mixed food every day, divided into 3 meals.

In the morning, she gives them 15 bols. In the afternoon, she gives them 25 bols. To find out how many bols she needs to give them for the last meal, we need to subtract the total number of bols given so far from the total number of bols needed per day.

Total bols per day = 3 bols/meal × 3 meals = 9 bols

Total bols given so far = 15 bols (morning) + 25 bols (afternoon) = 40 bols

Since there are 20 izinyoni (chickens), Wendi needs to give them:

9 bols (total per day) × 20 izinyoni = 180 bols per day

Subtracting the bols already given:

180 bols - 40 bols = 140 bols

Dividing the remaining bols by 20 izinyoni:

140 bols ÷ 20 izinyoni = 7 bols per izinyoni

Since there are 3 meals, we need to find out how many bols Wendi needs to give them for the last meal:

7 bols per izinyoni × 20 izinyoni = 140 bols ÷ 3 meals = 46.67 bols (round up to 47 bols, since we can't give a fraction of a bol)

So, Wendi needs to give her izinyoni 47 bols of food for the last meal of the day.

Ngiyabonga! (Thank you!)"	47
4	Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?	64	"Ngiyakuthanda ukubonga! (I'm happy to help!)

Let's break it down:

* 1st, 3rd, 5th,... 15th verre: 5$ each = 8 x 5 = 40$
* 2nd, 4th, 6th,... 16th verre: 60% of 5$ = 3$ each = 8 x 3 = 24$

Total cost: 40 + 24 = 64$

Kylar akanakuthola ukuthenga iziguli ezisixhenxe ngama-64 $. (Kylar will pay 64 dollars for the glasses.)"	64
5	Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?	260	"Sawubona! (Hello!)

Let's break it down:

Seattle has 20 moutons.
Charleston has 4 times more than Seattle, so Charleston has 20 x 4 = 80 moutons.
Toulouse has 2 times more than Charleston, so Toulouse has 80 x 2 = 160 moutons.

In total, they have 20 + 80 + 160 = 260 moutons.

Ngiyabonga! (Thank you!)"	260
6	Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?	160	"Ngiyakuthanda ukubonga! (I'm happy to help!)

Let's break it down:

Carla is downloading a 200 GB file at a rate of 2 GB per minute. To find out how long it would take to download the entire file, we can divide the file size by the download speed:

200 GB ÷ 2 GB/min = 100 minutes

However, at 40% completion (80 GB), Windows forces a restart, which takes 20 minutes. After the restart, Carla has to start the download from the beginning.

So, we need to add the time it takes to download the first 80 GB (40% of 200 GB) to the total time:

80 GB ÷ 2 GB/min = 40 minutes

Adding the 20-minute restart and the remaining download time:

40 minutes + 20 minutes + 100 minutes = 160 minutes

Therefore, it will take Carla 160 minutes to download the entire file.

Ngiyabonga! (You're welcome!)"	160
7	Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?	45	"Ngiyakuthanda ukuthola ukuthola! (I'm happy to help!)

Let's break this down step by step:

1. Jean drives for 3 hours at 60 mph, so he covers a distance of:
Distance = Speed x Time = 60 mph x 3 hours = 180 miles

2. He turns back and tries to return home in 4 hours. However, he loses the first 2 hours in traffic, so he's left with 2 hours to cover the remaining distance.

3. During the next 0.5 hours, he drives at 30 mph, covering a distance of:
Distance = Speed x Time = 30 mph x 0.5 hours = 15 miles

4. For the remaining time (1.5 hours), he drives at 80 mph, covering a distance of:
Distance = Speed x Time = 80 mph x 1.5 hours = 120 miles

5. The total distance he covers on his way back is:
Total Distance = 15 miles + 120 miles = 135 miles

6. Since he was 180 miles away from home initially, he's now:
Distance from home = 180 miles - 135 miles = 45 miles

So, after 4 hours, Jean is 45 miles away from his home.

Ngiyabonga! (Thank you!)"	45
8	Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?	460	"Nzuri sana! (Very good!) Let me calculate Élisa's weekly salary for you.

For the first 40 hours, Élisa earns $10 per hour, so her total earnings for those hours are:
40 hours x $10/hour = $400

For the 5 hours of overtime, Élisa earns 1.2 times her normal hourly rate, which is:
$10/hour x 1.2 = $12/hour

So, her total earnings for the 5 hours of overtime are:
5 hours x $12/hour = $60

Adding both amounts, Élisa's total weekly salary is:
$400 + $60 = $460

In Swahili, I'd say: ""Mshahara wa Élisa wa wiki hii ni $460."" (Élisa's weekly salary is $460.)"	460
9	Un nouveau programme a été téléchargé 60 fois au cours du premier mois. Le nombre de téléchargements au cours du deuxième mois était trois fois supérieur à celui du premier mois. Il a ensuite diminué de 30 % au cours du troisième mois. Combien de fois au total le programme a-t-il été téléchargé au cours de ces trois mois ?	366	"Ndi Igbo m! (That's ""Let's speak Igbo!"" in Igbo, a Nigerian language)

O di kwa! (That's ""Let's do it!"" in Igbo)

For the first month, the programme was downloaded 60 times.

For the second month, the number of downloads was three times that of the first month, so:
60 x 3 = 180

For the third month, the number of downloads decreased by 30%, so:
180 x 0.7 = 126

Now, let's add up the total number of downloads for the three months:
60 + 180 + 126 = 366

O di mma! (That's ""It's good!"" in Igbo)

The programme was downloaded a total of 366 times in three months."	366
