Unnamed: 0	question	answer	llm	verbalized
0	Janet nnabodabo no to nkosua 16 da biara. Ͻdi mmiԑnsa anɔpa biara na ɔde nnan ato burodo ama ne nnamfonom da biara. Ͻtɔn deԑ aka no, dabodabo kosua mono biara $2 wɔ akuafoɔ dwam da biara. Sika sԑn wɔ dollars mu na ɔnya dabia wɔ akuafoɔ dwam hɔ?	18	Sika sԑn wɔ dollars mu na ɔnya $32 wɔ akuafoɔ dwam hɔ.	32
1	Ntoma bi hia ahomatia anoboa bibire mmienu na ahomatia fitaa anoboa saa mu fa.  Anoboa dodoɔ sԑn na ɔhia?	3	Ɛyɛ, anoboa dodoɔ no yɛ ɔhia, na ɔhia no nso yɛ anoboa dodoɔ. Ɛfiri sɛ, anoboa dodoɔ ne ɔhia nyinaa yɛ abosom a wɔn wɔ hɔ ma wɔn ho adi.	-1
2	Josh yԑ n’adwene sԑ ɔbԑtɔ na w’atɔn ԑdan bi. Ͻtɔ ԑdan no $80,000 na ɔde $50,000 asiesie. Wei ma ԑdan no boɔ kɔɔ soro 150%. Mfasoɔ sԑn na ɔnyaԑ?	70000	Mfasoɔ sԑn na ɔnyaԑ $30,000.	30000
3	James yԑ n’adwene sԑ ɔbԑtu mmirika 3 mprԑ 3 wɔ nnawɔtwe mu. Ͻtwa kwansini 60 mmirikatuo biara mu. Kwansini dodoɔ sԑn na ɔtwa nnawɔtwe biara?	540	Ɛwɔ! Ɔtwa nnawɔtwe biara yԑ dodoɔ sԑn na kwansini 20 mmirikatuo biara mu.	20
4	Da biara, Wendi de nkokɔ aduane kuruwa mmiԑnsa, a ԑwɔ mma, asonsono ne atosodeԑ na ԑma ne nkokɔ no na wɔnho ayԑ wɔn den. Ͻde aduane no ma nkokɔ no mprԑ dodoɔ mmiԑnsa. Anɔpa no, ɔma ne nkokɔ no aduane kuruwa 15. Awia no, ɔma nkokɔ no aduane kuruwa 25 bio. Aduane kuruwa sԑn na ɔhia sԑ ɔde bԑma nkokɔ no wɔ aduanema a ԑtwa toɔ wɔ da no mu sԑ Wendi nkokɔ no dodoɔ nyinaa yԑ 20 a?	20	Wendi nkokɔ no aduane kuruwa yԑ 20.	20
5	Kylar kɔɔ adetɔbea kɔtɔɔ ahwehwԑ maa ne dan foforɔ no. Ahwehwԑ baako boɔ yԑ $5, nanso ahwehwԑ biara a ɔbԑto no akyire no boɔ no yԑ boɔ no mu ɔha nkyԑmu aduosia. Kylar pԑ sԑ ɔtɔ nhwehwԑ 16. Sԑn na ԑwɔ sԑ ɔtua wɔ no nyinaa ho?	64	Sԑn na ԑwɔ sԑ ɔtua wɔ no nyinaa ho yԑ 80.	80
6	Toulouse wɔ nnwan mmɔho mmienu sԑn Charleston. Charleston wɔ nnwan mmɔho nnan kyԑn Seattle. Nnwan sԑn na Toulouse, Charleston ne Seattle wɔ sԑ wɔn nyinaa wɔ nnwan dodoɔ 20 a?	260	Toulouse ne Charleston wɔ nnwan mmɔho mmienu sԑn, a Charleston ne Seattle wɔ nnwan mmɔho nnan kyԑn. Enti Toulouse ne Seattle wɔ nnwan mmɔho mmienu kyԑn sԑn. Nnwan sԑn na Toulouse, Charleston ne Seattle wɔ sԑ wɔn nyinaa wɔ nnwan dodoɔ 60 a.	60
7	Carla ԑretwe krataa 200 GB afiri abԑԑfo ntontan so. Anka dabia no, ɔtumi twe 2GB simma biara, nanso ɔtwee ԑmu 40% no, Windows no dum san sɔɔԑ sԑ ԑde nhyeheԑ foforɔ ԑԑgu afidie no so, na ԑdii simma 20. Na ԑwɔsԑ Carla san hyԑ adeԑ a ɔretwe n’ase no bio firi mfitiaseԑ no. Adesoa sԑn na ehia ansa na watumi atwe krataa no.	160	Ehia, Carla! Wɔretwe krataa no yɛ 200 GB, nanso wɔtumi de 2GB simma biara, na 40% nso wɔtwee mu. Windows no dum san sɔɔɔ sɛ ɔde nhyeheɛ foforɔ afidie no so, na wɔdii simma 20. Wɔpɛ sɛ wɔbɛtwe krataa no bio firi mfitiaseɛ no, na ɛsɛ sɛ wɔbɛtwe ansa na wɔatumi atwe krataa no.	20
8	John twi ne hyԑn no dɔnhwere 3 wɔ mmirika 60 mph so na ɔdane ne ho efisԑ neho ba ne neho so sԑ ne werԑ ԑfiri biribi a ԑsom bo wɔ fie. Ͻyԑ sԑ ɔbԑsan akɔ fie wɔ dɔnhwere 4 mu nanso ԑmu mmienu a ԑdi kan no, ɔdi wɔ trafiki mu. Ͻde dɔnhwere fa a ԑdi soɔ no dwane 30mph, ansa na ɔde mmerԑ no a aka wɔ dɔnhwere nnan no mu ԑԑkɔ 80 mph. Kwan a ԑda ɔne no fie no ntam dɔnhwere nnan yi akyi yԑ sԑn?	45	Ɛyԑ sԑ ɔbԑsan akɔ fie wɔ dɔnhwere 4 mu nanso ԑmu mmienu a ԑdi kan no, ɔdi wɔ trafiki mu. Ɔde mmerԑ no a aka wɔ dɔnhwere nnan no mu ԑԑkɔ 80 mph. Kwan a ԑda ɔne no fie no ntam dɔnhwere nnan yi akyi yԑ sԑn, ɔbԑtumi akɔ 120 mph.	120
9	Eliza akatua a ɔgye no dɔnhwere biara wɔ dɔnhwere 40 a ԑdi kan a ɔyԑ adwuma  wɔ nnawɔtwe biara mu no yԑ $10. Ͻsan gye akatua mmorosoɔ a ԑyԑ mprԑ dodoɔ 1.2 kyԑn deԑ ɔgye no dɔnhwere biara no. Sԑ Eliza yԑ adwuma dɔnhwere 45 nnawɔtwe yi a, Sԑn na ɔbԑnya no nnawɔtwe yi?	460	Eliza yԑ adwuma dɔnhwere 45 nnawɔtwe yi a, ɔbԑnya no nnawɔtwe yi yԑ $540.	540
10	Wɔtwe dwumadie bi firi abԑԑfo ntontan so mprԑ dodoɔ 60 wɔ bosome a ԑdi kan no mu. Mprԑ dodoɔ a ɔtweeԑ wɔ bosome a ԑtɔ so mmienu no mu no yԑ mprԑ mmɔho mmiԑnsa kyԑn deԑ ɔtwee no wɔ bosome a ԑdi kan no mu, na ԑbaa fam 30% wɔ bosome a ԑtɔ so mmiԑnsa no mu. Mprԑ dodoɔ sԑn na wɔtwee dwumadie no wɔ bosome mmiԑnsa no nyinaa mu?	366	Mprԑ dodoɔ sԑn na wɔtwee dwumadie no wɔ bosome mmiԑnsa no nyinaa mu yԑ 42.	42
