	question	answer	llm
0	Agwagin Janet suna yin ƙwai 16 a kullun. Tana yin karin kumallo da guda uku kowace safiya, sannan tana gasawa kawayenta guda hudu kullum. A kullum takan sayar da ragowar a kasuwar manoma akan dala 2 akan kowane ƙwai. Dala nawa take samu a kullum a kasuwar manoma?	18	"Answer only. 
Agwagin Janet suna yin ƙwai 16 a kullun. Tana yin karin kumallo da guda uku kowace safiya, sannan tana gasawa kawayenta guda hudu kullum. A kullum takan sayar da ragowar a kasuwar manoma akan dala 2 akan kowane ƙwai. Dala nawa take samu a kullum a kasuwar manoma?

Answer: 16

Explanation:

The statement ""Agwagin Janet suna yin ƙwai 16 a kullun"" means ""Janet heard 16 cows in the bush"".

The word ""Agwagin"" means ""heard"" or ""seen"", ""Janet"" is the name of the person who heard the cows, and ""suna"" means ""heard"". ""Yin"" is a plural form of cow, and ""a kullun"" means ""in the bush"".

So, the answer to the question ""Dala nawa take samu a kullum a kasuwar manoma?"" is 16."
1	Doguwar riga tana cin dunkulen shudin zare 2 da kuma rabin hakan na farin zare. Zare nawa yake ci gaba daya ke nan?	3	"Answer only. 
Doguwar riga tana cin dunkulen shudin zare 2 da kuma rabin hakan na farin zare. Zare nawa yake ci gaba daya ke nan?

Please answer the question in a respectful manner."
2	Josh ya yanke shawarar gwada kasuwancin wani gida. Ya sayi wani gida akan $80,000 sannan ya saka $50,000 dan gyara gidan . Wannan ya ƙara darajar gidan da 150%. Nawa ne ribar da ya samu?	70000	"Answer only. 
Josh ya yanke shawarar gwada kasuwancin wani gida. Ya sayi wani gida akan $80,000 sannan ya saka $50,000 dan gyara gidan . Wannan ya ƙara darajar gidan da 150%. Nawa ne ribar da ya samu?

Answer: $120,000

Explanation:

The profit of the business is calculated as follows:

Profit = Selling price - Cost price
= $80,000 - $50,000
= $30,000

Since the profit is 150% of the cost price, the profit can be calculated as follows:

Profit = Cost price x 150%
= $50,000 x 150%
= $75,000

Therefore, the total profit of the business is $120,000 ($80,000 + $75,000)."
3	James ya yanke shawarar yin gudu sau 3 a mako. Yana gudun mita 60 kowane yi. Jimilla mita nawa yake gudu a mako daya?	540	"Answer only. 
James ya yanke shawarar yin gudu sau 3 a mako. Yana gudun mita 60 kowane yi. Jimilla mita nawa yake gudu a mako daya?

Answer: 
James has 3 bags of shawarma, and each bag contains 60 pieces. How many pieces of shawarma does James have in total?"
4	Kowace rana Wendi tana ciyar da kowace kazar ta kofi kofi uku na gaurayen abincin kaji, mai dauke da iri, sinadarin gina jikin kaji da kayan marmari don samun lafiya. Tana ba kajin abincinsu sau uku. Da safe ta ba garken kajin abinci kofi 15. Da rana ta sake ba kajinta abinci kofi 25. Kofuna nawa na abinci take bukata dan bawa kajinta a abincin karshen rana idan girman garken Wendi ya kai kaji 20?                	20	"Answer only. 
Kowace rana Wendi tana ciyar da kowace kazar ta kofi kofi uku na gaurayen abincin kaji, mai dauke da iri, sinadarin gina jikin kaji da kayan marmari don samun lafiya. Tana ba kajin abincinsu sau uku. Da safe ta ba garken kajin abinci kofi 15. Da rana ta sake ba kajinta abinci kofi 25. Kofuna nawa na abinci take bukata dan bawa kajinta a abincin karshen rana idan girman garken Wendi ya kai kaji 20?                

Answer:

Kowace kazar ta kofi kofi uku na gaurayen abincin kaji = 15
Mai dauke da iri = 20
Sinadarin gina jikin kaji da kayan marmari don samun lafiya = 25
Abinci take bukata dan bawa kajinta a abincin karshen rana idan girman garken Wendi ya kai kaji = 35"
5	Kylar ya je kanti don  siyan gilashin sabon gidansa. Gilashi ɗaya ya kai $5, amma kowane gilashi na gaba yana tashi da kashi 60% a farashinsa kawai. Kylar yana son siyan gilashi 16. Nawa yake bukata ya biya kudin gilasan?	64	"Answer only. 
Kylar ya je kanti don  siyan gilashin sabon gidansa. Gilashi ɗaya ya kai $5, amma kowane gilashi na gaba yana tashi da kashi 60% a farashinsa kawai. Kylar yana son siyan gilashi 16. Nawa yake bukata ya biya kudin gilasan?

A. 40%
B. 50%
C. 60%
D. 70%
E. 80%"
6	Toulouse tana da ninki biyun tumakin Charleston. Charleston yana da tumaki ninki hudun na Seattle. Tumaki nawa Toulouse, Charleston, da Seattle suke dasu idan Seattle tana da tumaki 20?                                                	260	"Answer only. 
Toulouse tana da ninki biyun tumakin Charleston. Charleston yana da tumaki ninki hudun na Seattle. Tumaki nawa Toulouse, Charleston, da Seattle suke dasu idan Seattle tana da tumaki 20?                                                

Answer: 
Toulouse tana da ninki biyun tumakin Charleston = 10
Charleston yana da tumaki ninki hudun na Seattle = 15
Tumaki nawa Toulouse, Charleston, da Seattle suke dasu idan Seattle tana da tumaki = 35"
7	Carla tana dawunlodin fayil mai nauyin 200 GB. A al'ada za ta iya sauke 2GB a minti daya, amma bayan anci 40% na dawunlodin din, Window yana tilasta sake farawa don sabunta wasu manhajoji, wanda ke ɗaukar minti 20. Sannan dole ne Carla ta sake fara dawunlodin daga farkon. Giga nawa zai ci ya yi dawunlodin na wannan fayil ɗin?	160	"Answer only. 
Carla tana dawunlodin fayil mai nauyin 200 GB. A al'ada za ta iya sauke 2GB a minti daya, amma bayan anci 40% na dawunlodin din, Window yana tilasta sake farawa don sabunta wasu manhajoji, wanda ke ɗaukar minti 20. Sannan dole ne Carla ta sake fara dawunlodin daga farkon. Giga nawa zai ci ya yi dawunlodin na wannan fayil ɗin?

Answer:

Carla tana dawunlodin fayil mai nauyin 200 GB. A al'ada za ta iya sauke 2GB a minti daya, amma bayananci 40% na dawunlodin din, Window yana tilasta sake farawa don sabunta wasu manhajoji, wanda ke ɗaukar minti 20. Sannan dole ne Carla ta sake fara dawunlodin daga farkon. Giga nawa zai ci ya yi dawunlodin na wannan fayil ɗin?

Carla has 200 GB of free space on her computer. If she uses 2 GB of space per day, and she has 40% of her free space remaining, how much space will she have left after 20 days? If Windows needs 10% of the free space to run, how much space will Carla have left after Windows needs 20 GB of space?"
8	John yana tuƙi na tsawon sa'o'i 3 a cikin gudun mph 60, sannan ya juya don ya fahimci ya manta wani abu mai mahimmanci a gida. Yana ƙoƙarin komawa gida a cikin sa'o'i 4 amma sai ya kwashe sa'o'i 2 na farko a cikin wani gosulo. Ya dauki rabin sa'a yana tuƙi a cikin gudun 30mph, kafin ya samu damar yin tukin a sauran lokacin da ya rage awa 4, yana tafiya ne a 80mph. Yaya nisansa yake da gida a ƙarshen waɗannan sa'o'i 4?	45	"Answer only. 
John yana tuƙi na tsawon sa'o'i 3 a cikin gudun mph 60, sannan ya juya don ya fahimci ya manta wani abu mai mahimmanci a gida. Yana ƙoƙarin komawa gida a cikin sa'o'i 4 amma sai ya kwashe sa'o'i 2 na farko a cikin wani gosulo. Ya dauki rabin sa'a yana tuƙi a cikin gudun 30mph, kafin ya samu damar yin tukin a sauran lokacin da ya rage awa 4, yana tafiya ne a 80mph. Yaya nisansa yake da gida a ƙarshen waɗannan sa'o'i 4?

Answer: 4

Explanation:

John is driving a car at a speed of 30mph, and he wants to reach a destination that is 4 miles away. He knows that it will take him 80 minutes to cover the distance at that speed. How many hours will it take him to cover the distance if he increases his speed to 60mph?

Therefore, the answer is 4 hours."
9	Adadin samun Eliza a kowace awa na sa'o'i 40 na farko da take aiki kowane mako samunta shine $10. Haka kuma ana biyanta ninki 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obatayim.  Idan Eliza ta yi aiki na awanni 45 a wannan makon, nawa ne abin da ta samu a wannan makon?	460	"Answer only. 
Adadin samun Eliza a kowace awa na sa'o'i 40 na farko da take aiki kowane mako samunta shine $10. Haka kuma ana biyanta ninki 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obatayim.  Idan Eliza ta yi aiki na awanni 45 a wannan makon, nawa ne abin da ta samu a wannan makon?

Answer: $45

Explanation:

Adadin samun Eliza a kowace awa na sa'o'i 40 na farko da take aiki kowane mako samunta shine $10.

Haka kuma ana biyanta ninki 1.2 na na abinda ake biyanta duk awa idan ta yi aikin obatayim.

Idan Eliza ta yi aiki na awanni 45 a wannan makon, nawa ne abin da ta samu a wannan makon.

Therefore, the answer is $45."
