Unnamed: 0	question	answer	llm	verbalized
0	Madhadha a Janet anokandira mazai 16 pa zuva. Mangwanani ega ega anodya matatu pakudya kwemangwanani ozobika mamuffins eshamwari dzake zuva regarega nemazai mana. Anozotengesa asara ku musika wevarimi zuva regarega achiita $2 pa zai redhadha. Anowana mari yemadhora mangani pazuva regarega kumusika wevarimi?	18	"Answer only. 
Madhadha a Janet anokandira mazai 16 pa zuva. Mangwanani ega ega anodya matatu pakudya kwemangwanani ozobika mamuffins eshamwari dzake zuva regarega nemazai mana. Anozotengesa asara ku musika wevarimi zuva regarega achiita $2 pa zai redhadha. Anowana mari yemadhora mangani pazuva regarega kumusika wevarimi?

Answer: 
Madhadha a Janet anokandira mazai 16 pa zuva. Mangwanani ega ega anodya matatu pakudya kwemangwanani ozobika mamuffins eshamwari dzake zuva regarega nemazai mana. Anozotengesa asara ku musika wevarimi zuva regarega achiita $2 pa zai redhadha. Anowana mari yemadhora mangani pazuva regarega kumusika wevarimi?

Madhadha (Janet) has 16 muffins to sell. The muffins are in a basket and she wants to sell them at $2 each. How many muffins will she sell?"	2
1	Jira rinotora mabhaudhi 2 eblue fiber nepakati pepakati kufiber jena. Rinotora mabhaudhi mangani jira iri?	3	"Answer only. 
Jira rinotora mabhaudhi 2 eblue fiber nepakati pepakati kufiber jena. Rinotora mabhaudhi mangani jira iri?

Jira rinotora mabhaudhi 2 eblue fiber nepakati pepakati kufiber jena. Rinotora mabhaudhi mangani jira iri?

A) Fiber jena
B) Eblue fiber
C) Pepakati kufiber
D) Mangani jira"	2
2	Josh afunga kumboedza kutenga nekutengesa imba .Anotenga imba ne $80,000 ndokubva aisa $50,000 yekugadzirisa .Izvi zvakakwidza mutengo weimba ne 150% .Akaita purofiti yemarii ?	70000	"Answer only. 
Josh afunga kumboedza kutenga nekutengesa imba .Anotenga imba ne $80,000 ndokubva aisa $50,000 yekugadzirisa .Izvi zvakakwidza mutengo weimba ne 150% .Akaita purofiti yemarii ?

Answer:
$80,000 - $50,000 = $30,000

$30,000 x 150% = $45,000

Therefore, the profit made is $45,000."	45000
3	 James afunga kumhanya masprint 3  ka3 pasvondo. Anomhanya 60 mamita pasprint yoga yoga .Anomhanya mamita mangani pavhiki ?	540	"Answer only. 
 James afunga kumhanya masprint 3  ka3 pasvondo. Anomhanya 60 mamita pasprint yoga yoga .Anomhanya mamita mangani pavhiki ?

Answer:
James afunga kumhanya masprint 3 ka3 pasvondo.
Anomhanya 60 mamita pasprint yoga yoga.
Anomhanya mamita mangani pavhiki?"	60
4	Zuva rega rega , Wendi anopa huku yake  imwe neimwe  makapu matatu emusanganiswa wechikafu  chehuku , chine mhodzi ,upfu hwemahwemusi pamwe nemiriwo kuti dzive neutano .Anopa huku chikafu chadzo katatu .Mangwanani anopa huku dzake 15 makapu echikafu .Masikati anopa huku dzake mamwe 25 makapu echikafu. Makapu mangani echikafu aanoda kupa huku dzake mukudya kwekupedzisira kwezuva kana huku dzaWendi dziri 20 .   	20	"Answer only. 
Zuva rega rega , Wendi anopa huku yake  imwe neimwe  makapu matatu emusanganiswa wechikafu  chehuku , chine mhodzi ,upfu hwemahwemusi pamwe nemiriwo kuti dzive neutano .Anopa huku chikafu chadzo katatu .Mangwanani anopa huku dzake 15 makapu echikafu .Masikati anopa huku dzake mamwe 25 makapu echikafu. Makapu mangani echikafu aanoda kupa huku dzake mukudya kwekupedzisira kwezuva kana huku dzaWendi dziri 20 .   

Please answer the following questions based on the information provided:

1. What is the total number of passengers that Zuva can carry?
2. How many matatus are there in total?
3. What is the maximum number of passengers that each matatu can carry?
4. How many matatus are there in Mangwanani?
5. What is the total number of passengers that Mangwanani can carry?
6. How many matatus are there in Wendi?
7. What is the maximum number of passengers that each matatu in Wendi can carry?
8. How many passengers does Zuva have?

Please answer each question separately and provide the answer in the format of (Answer)"	8
5	Kylar akainda ku chitoro kunotenga magirazi emumba itsva yake. Girazi rimwe raiita $5 asi kutenga rimwe girazi rechipiri kwaiita mutengo uri 60% yemutengo wegirazi rekutanga. Kylar anoda kutenga magirazi 16. Anofanira kubhadhara marii kutenga magirazi aya?	64	"Answer only. 
Kylar akainda ku chitoro kunotenga magirazi emumba itsva yake. Girazi rimwe raiita $5 asi kutenga rimwe girazi rechipiri kwaiita mutengo uri 60% yemutengo wegirazi rekutanga. Kylar anoda kutenga magirazi 16. Anofanira kubhadhara marii kutenga magirazi aya?

Answer: 16

Explanation:

Kylar akainda ku chitoro kunotenga magirazi emumba itsva yake means ""How much money does Kylar have after selling a plot of land worth $500 and paying $60% commission to the agent?""

To find out how much money Kylar has after selling the plot of land, we need to subtract the commission paid to the agent from the sale price.

Commission paid to the agent = $60% of $500 = $300

So, Kylar has $500 - $300 = $200 after selling the plot of land.

Therefore, the answer is 16 (the amount of money Kylar has after selling the plot of land)."	16
6	Toulouse ane makwayi akawanda zvokupfuura Charleston ruviri. Charlestone ane makwayi akawandawo zvokupfuura Seattle  neruna. Toulouse, Charleston na Seatle vane makwayi mangani kana Seatle aine 20? 	260	"Answer only. 
Toulouse ane makwayi akawanda zvokupfuura Charleston ruviri. Charlestone ane makwayi akawandawo zvokupfuura Seattle  neruna. Toulouse, Charleston na Seatle vane makwayi mangani kana Seatle aine 20? 

Toulouse, Charleston, and Seattle are three cities in the United States. Toulouse has a population of 467,000 people, Charleston has a population of 134,000 people, and Seattle has a population of 725,000 people.

Toulouse and Charleston are located in the eastern part of the United States, while Seattle is located in the western part of the country.

Toulouse is located in the state of Alabama, Charleston is located in the state of South Carolina, and Seattle is located in the state of Washington.

Toulouse, Charleston, and Seattle are all major cities in the United States, but they have different populations and are located in different parts of the country."	725000
7	Carla ari kudhaunirodha faira re 200GB. Anowanzo kudhaunirodha 2 GB/minute, asi 40% ari pakati pekudhaunirodha, Windows inomanikidza kutanga patsva kuti iise maupdates, zvinova zvinotora maminetsi 20. Carla anotangazve kudhaunirodha kubvira pokutanga. Zvichatora nguva yakadii kudhaunirodha faira?	160	"Answer only. 
Carla ari kudhaunirodha faira re 200GB. Anowanzo kudhaunirodha 2 GB/minute, asi 40% ari pakati pekudhaunirodha, Windows inomanikidza kutanga patsva kuti iise maupdates, zvinova zvinotora maminetsi 20. Carla anotangazve kudhaunirodha kubvira pokutanga. Zvichatora nguva yakadii kudhaunirodha faira?

Answer: 200 GB / 40% = 133 GB

Explanation:
Carla has 200 GB of free space on their computer, but 40% of that space is occupied by temporary files, which is 80 GB. Therefore, the remaining free space is 133 GB (200 GB - 80 GB)."	80
8	John anotyaira  kwemaawa 3 achimhanya 60mph  ndokudzokera kwaabva mushure mekuyeuka kuti pane chaange akanganwa kumba. Akazama kusvika kumba nemaawa 4 asi wakapedza maawa  2 ekutanga amire mota dzisingafambi. Akazopedza chikamu chepakati nepakati cheawa achimhanya ne30mph, asati agona kutyaira panguva dzasara pamaawa 4 nekumhanya kwe80mph. Anga ari kure zvakadii nekummba pakaperera maawa 4?	45	"Answer only. 
John anotyaira  kwemaawa 3 achimhanya 60mph  ndokudzokera kwaabva mushure mekuyeuka kuti pane chaange akanganwa kumba. Akazama kusvika kumba nemaawa 4 asi wakapedza maawa  2 ekutanga amire mota dzisingafambi. Akazopedza chikamu chepakati nepakati cheawa achimhanya ne30mph, asati agona kutyaira panguva dzasara pamaawa 4 nekumhanya kwe80mph. Anga ari kure zvakadii nekummba pakaperera maawa 4?

Answer:

The speed of the car is 30mph at the first point, 60mph at the second point, and 80mph at the third point. Therefore, the average speed of the car over the entire distance is:

(30 + 60 + 80) / 3 = 55mph"	55
9	Mari inowana Eliza paawa rimwe pachikamu chemaawa 40 ekutanga i$10. Akashanda zvinopfuurira mwero waaanofanira kushanda pabasa, anozowana mari inopfuura $10 paawa nechikamu che 1.2 pamusoro. Kana Eliza akashanda kwemaawa 45 pavhiki rino anowana marii?	460	"Answer only. 
Mari inowana Eliza paawa rimwe pachikamu chemaawa 40 ekutanga i$10. Akashanda zvinopfuurira mwero waaanofanira kushanda pabasa, anozowana mari inopfuura $10 paawa nechikamu che 1.2 pamusoro. Kana Eliza akashanda kwemaawa 45 pavhiki rino anowana marii?

Answer: $48

Explanation:

Mari earned $10 in 1.2 hours, so her hourly wage is:

$10 / 1.2 hours = $8.33 per hour

Eliza worked for 45 hours, so her total earnings are:

$8.33 per hour x 45 hours = $359.50

Therefore, Eliza earned $48 more than Mari."	48
