	question	answer	llm
0	Amadada kaJanet azalela amaqanda angu 16 ngosuku. Udla amathathu ngosuku njalo ekuseni bese ebhaka amamafini enzela abangani bakhe zonke izinsuku ngamane. Udayisa asele emakethe yamafama zonke izinsuku ngo $2 ngeqanda elikahle ledada.Imalini ngamadola ayenzayo ngosuku emakethe yamafama?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Amadada kaJanet azalela amaqanda angu 16 ngosuku. Udla amathathu ngosuku njalo ekuseni bese ebhaka amamafini enzela abangani bakhe zonke izinsuku ngamane. Udayisa asele emakethe yamafama zonke izinsuku ngo $2 ngeqanda elikahle ledada.Imalini ngamadola ayenzayo ngosuku emakethe yamafama?
<eos>
<|assistant|>
Amadola angu-48.<eos>"
1	Irobhu ithatha amabholithi awu-2 enxoza nohhafu wenxoza emhlophe. Mangaki amabholithi ayisamba azosebenza?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Irobhu ithatha amabholithi awu-2 enxoza nohhafu wenxoza emhlophe. Mangaki amabholithi ayisamba azosebenza?
<eos>
<|assistant|>
I-32nd.<eos>"
2	UJohn ukhethe ukuzama ukushintsha indlu. Uthenge indlu ngo $80 00 wabe esebeka u$50000 wokulungisa. Inani elinyukile lendlu ngu 150%. Yingakanani inzuzo ayenzile?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
UJohn ukhethe ukuzama ukushintsha indlu. Uthenge indlu ngo $80 00 wabe esebeka u$50000 wokulungisa. Inani elinyukile lendlu ngu 150%. Yingakanani inzuzo ayenzile?
<eos>
<|assistant|>
UJohn wenza inzuzo engu-$75,000. ($80,000 - $50,000 = $30,000) x 150% = $45,000.<eos>"
3	UJames ukhetha ukugijima ngesivinini esikhulu kathathu ngesonto.Ugijima amamitha angu-60 ngesivinini esikhulu ngasinye. Mangaki amamitha esewonke awagijimayo ngesonto?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
UJames ukhetha ukugijima ngesivinini esikhulu kathathu ngesonto.Ugijima amamitha angu-60 ngesivinini esikhulu ngasinye. Mangaki amamitha esewonke awagijimayo ngesonto?
<eos>
<|assistant|>
UJames ugijima amamayela angu-216 ngesonto.<eos>"
4	Zonke izinsuku uWendi uphakela izinkukhu zakhe izinkomishi ezintathu zokudla okuxutshiwe kwezinkukhu, okubandakanya imbewu, imisundu kanye nezitshalo ukuzisiza zihlale zondlekile. Unikeza izinkukhu ukudla kwazo ngokudla okuhlukene kathathu. Ekuseni unikeza umhlambi wezinkukhu izinkomishi ezingu 15 zokudla. Ntambama unikeza izinkukhu zakhe ezinye izinkomishi ezingu 25 zokudla. Zingaki izinkomishi zokudla okumele azinike izinkukhu zakhe ngesikhathi sokugcina sokudla uma ubuningi bomhlambi wakhe kungu 20 wezinkukhu?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Zonke izinsuku uWendi uphakela izinkukhu zakhe izinkomishi ezintathu zokudla okuxutshiwe kwezinkukhu, okubandakanya imbewu, imisundu kanye nezitshalo ukuzisiza zihlale zondlekile. Unikeza izinkukhu ukudla kwazo ngokudla okuhlukene kathathu. Ekuseni unikeza umhlambi wezinkukhu izinkomishi ezingu 15 zokudla. Ntambama unikeza izinkukhu zakhe ezinye izinkomishi ezingu 25 zokudla. Zingaki izinkomishi zokudla okumele azinike izinkukhu zakhe ngesikhathi sokugcina sokudla uma ubuningi bomhlambi wakhe kungu 20 wezinkukhu?
<eos>
<|assistant|>
UMwendu udinga ukunikeza izinkukhu zakhe izinkomishi ezingu-30 zokudla okunomsoco ekuseni nasemini.<eos>"
5	UKylar uye esitolo ukuyothenga izingilazi zasendlini yakhe entsha. Ingilazi iyinye ibiza u$5, kodwa yonke ingilazi yesibili ibiza u60% kuphela wenani layo. UKylar ufuna ukuthenga izingilazi ezingu16. Udinga malini ukuze awakhokhele?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
UKylar uye esitolo ukuyothenga izingilazi zasendlini yakhe entsha. Ingilazi iyinye ibiza u$5, kodwa yonke ingilazi yesibili ibiza u60% kuphela wenani layo. UKylar ufuna ukuthenga izingilazi ezingu16. Udinga malini ukuze awakhokhele?
<eos>
<|assistant|>
UKylar udinga imali engu-$48.<eos>"
6	UToulouse unezimvu eziphindeke kabili kwezikaCharleston.uChalerston uneziphindeke kane izimvu kwezika Seattle. Zingaki izimvu uToulouse,uCharleston noSeattle abanazo ndawonye uma uSeattle enezimvu ezingu-20?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
UToulouse unezimvu eziphindeke kabili kwezikaCharleston.uChalerston uneziphindeke kane izimvu kwezika Seattle. Zingaki izimvu uToulouse,uCharleston noSeattle abanazo ndawonye uma uSeattle enezimvu ezingu-20?
<eos>
<|assistant|>
UToulouse unezimvu ezingu-40, uCherokee unezimvu ezingu-40, kanti uSeattle unezimvu ezingu-40.<eos>"
7	UCarla ulanda ifayela eliwu 200 GB. Ngokujwayelekile engalanda u2 GB ngeminithi, kodwa uma eseku 40% wokulanda, amaWindi aqale kabusha ukuthi afake uhlelokusebenza olubuyekeziwe, okuthatha amaminithi angu20. Bese uCarla kumele aqale phansi alande kusuka ekuqaleni. Kuthatha isikhathi esingakanani ukulanda ifayela?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
UCarla ulanda ifayela eliwu 200 GB. Ngokujwayelekile engalanda u2 GB ngeminithi, kodwa uma eseku 40% wokulanda, amaWindi aqale kabusha ukuthi afake uhlelokusebenza olubuyekeziwe, okuthatha amaminithi angu20. Bese uCarla kumele aqale phansi alande kusuka ekuqaleni. Kuthatha isikhathi esingakanani ukulanda ifayela?
<eos>
<|assistant|>
Kuthatha cishe amaminithi angu-40 ukulanda ifayela njengoba isivinini sokulanda singama-2 GB ngemizuzu.<eos>"
8	UJohn ushayela amahora amathathu ngesivinini sika 60 mph wabe useyajika ngoba uyabona ukuthi kukhona akukhohliwe okubalulekile ekhaya. Uyazama ukufika ekhaya emahoreni amane kodwa uchitha amahora amabili okuqala kusiminyaminya. Uchitha uhhafu wehora olandelayo eshayela ngesivinini sika30 mph, mande akwazi ukushayela esikhathini esisele samahora amane ehamba ngo 80 mph. Ukude kangakanani nasekhaya ekupheleni kwalawomahora amane?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
UJohn ushayela amahora amathathu ngesivinini sika 60 mph wabe useyajika ngoba uyabona ukuthi kukhona akukhohliwe okubalulekile ekhaya. Uyazama ukufika ekhaya emahoreni amane kodwa uchitha amahora amabili okuqala kusiminyaminya. Uchitha uhhafu wehora olandelayo eshayela ngesivinini sika30 mph, mande akwazi ukushayela esikhathini esisele samahora amane ehamba ngo 80 mph. Ukude kangakanani nasekhaya ekupheleni kwalawomahora amane?
<eos>
<|assistant|>
UJohn ubelokhu ehamba amahora angu-3 ngesivinini esingu-60 ngehora, amahora angu-2 ngesivinini esingu-50 ngehora, kanti ekugcineni uhamba amahora angu-0,5 ngesivinini esingu-80 ngehora, okwenza abe amahora angu-4,5 ehlangene.<eos>"
9	Izinga likaEliza lehora ngalinye emahoreni okuqala angamashumi amane awasebenza ngesonto angu-$10.Ubuye athole inkokhelo yokusebenza okwengeziwe ya 1.2 yesikhathi sezinga lamahora akhe ajwayelekile. Uma u-Eliza esebenze amahora angu 45 kulelisonto, uyimalini umholo wakhe kulelisonto?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Izinga likaEliza lehora ngalinye emahoreni okuqala angamashumi amane awasebenza ngesonto angu-$10.Ubuye athole inkokhelo yokusebenza okwengeziwe ya 1.2 yesikhathi sezinga lamahora akhe ajwayelekile. Uma u-Eliza esebenze amahora angu 45 kulelisonto, uyimalini umholo wakhe kulelisonto?
<eos>
<|assistant|>
Umholo ka-Eliza wesonto wonke ungama-dollar angu-10.50 (amadola angu-1050). Lokhu kubalwa ngokuthatha amahora akhe angu-45 emsonto wonke, bese uwahlukanisa ngamahora angama-4, okuphumela ku-1.25 amahora angaphezulu.<eos>"
