	question	answer	llm
0	Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?
<eos>
<|assistant|>
Mwiriwe neza! Nk'uko mubivuze, une robe ikeneye 2 rouleaux de fibre bleue na la moitié ya fibre blanche. Bityo, umubare w'ibikoresho byose mubakeneye ni:

2 x 1 (fibre bleue) + 1/2 x 1 (fibre blanche) = 2 + 1/2 = 3 1/2

Mu by'ukuri, ibi bisobanuye ko muzakenera 3,5 (cyangwa 3 na 1/2) rouleaux mu mubare w'ibanze. Niba mwifuza kumenya neza ibikoresho mubakeneye, ni byiza gukoresha imibare nyayo mu kubara. Ese hari ibindi bisobanuro cyangwa ubufasha bwihariye mwifuza kuri iki kibazo?<eos>"
1	Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?
<eos>
<|assistant|>
Josh affichage comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport comport"
2	Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?
<eos>
<|assistant|>
Jacques court 540 mètres par semaine.<eos>"
3	Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?
<eos>
<|assistant|>
Dumela mokgaetši, ke utlwa potso ya hao mme ke tla leka ho e araba ka Sesotho. Ho boloka ditaele tsa hao di le boemong bo botle, ho bohlokwa ho di fa dijo tse nepahetseng le ho di hlokomela hantle. Ka kopo hlokomela hore ha ke setsebi sa temo kapa tsa liphoofolo, empa ke tla leka ho o fa keletso e akaretsang.

Ho latela tlhaloso eo u faneng ka eona, ho bonahala eka Wendi o na le lenaneo le itseng la ho fepa ditaele tsa hae. Ho fana ka 15 bols ka hoseng ho ka ba lekaneng ho tšepisa hore ditaele di na le matla a ho qala letsatsi. Lelapa la lijo tsa mots'eare le ka ba lekaneng ho fana ka matla a eketsehileng. Leha ho le joalo, ho bohlokwa ho etsa bonnete ba hore lijo tseo o li fang ditaele tsa hao di na le phepo e nepahetseng le hore di lekaneng ho di boloka di le boemong bo botle.

Bakeng sa lijo tsa mantsiboea, o ka sebelisa palo e tloaelehileng eo o e sebelisang nakong ea lijo tsa mots'eare 'me u eketse palo e nyane ho netefatsa hore ditaele tsa hao di fumana phepo e lekaneng. Ka mohlala, haeba o fana ka 25 bols ka mots'eare, o ka nahana ho fana ka likarolo tse ka bang 30 ho isa ho 35 ka mantsiboea.

Keletso ya ka ke hore o tsoele pele ho hlokomela ditaele tsa hao ka ho etsa bonnete ba hore lijo tseo o li fang di na le phepo e nepahetseng le hore di lekaneng ho di boloka di le boemong bo botle. Haeba o na le lipelaelo kapa o hloka tataiso e eketsehileng, ke khothaletsa ho buisana le setsebi sa temo kapa mofuta.

Kea leboha ka ho tla ho nna ka potso ya hao, 'me ke ts'epa hore o fumana keletso e thusang.<eos>"
4	Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?
<eos>
<|assistant|>
Kyar, ho araba potso ea hao, re lokela ho nahana ka molao oa theko ea theolelo. Ha theko ea ntho e le 'ngoe e le 5 $, 'me ha e le karolo ea bobeli e le 60% ea theko e tloaelehileng, re ka re theko ea karolo ea bobeli e tla ba 3.60 $. Ka hona, haeba Kylar a batla ho reka 16 glasses, o tla hloka ho bala:

16 glasses x $5/glass = $80 (bakeng sa 16 glasses tse sa theoheng)
16 glasses x $3.60/glass = $57.60 (bakeng sa 16 glasses tse theohileng ka theko ea theolelo)

Phapang ke ea ho reka ka bongata. Haeba a reka ka bongata, o tla boloka chelete e eketsehileng. Ke khothaletsa hore a sebelise monyetla ona ho boloka chelete.<eos>"
5	Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?
<eos>
<|assistant|>
Toulouse a deux fois plus de moutons que Charleston, et Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, on peut calcul le total de moutons pour Toulouse, Charleston, et Seattle en multipliant 20 par 4, puis par 2. Le total sera de 160 moutons. 

Toulouse: 2 x 40 = 80
Charleston: 4 x 40 = 160
Seattle: 20 x 4 = 80
Total: 80 + 160 + 80 = 320 moutons<eos>"
6	Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?
<eos>
<|assistant|>
Mwiriwe, ndabona mwibaza ikibazo cyerekeranye n'ikoranabuhanga. Nk'uko mubivuze, Carla yari afite ikibazo cyo kurangira gushyirwaho imisoro y'ibyuma bya Windows mu gihe cyo gukora download y'ifayili. Iyo ikibazo kiba kimeze, hari uburyo butandukanye bwo kugikemura. Icya mbere, Carla yagerageza gukora 'pause' download yayo mbere y'uko Windows itangira imisoro, hanyuma akayongera nyuma y'uko imisoro ishyizweho. Ikindi, yagerageza gukoresha ubundi buryo bwa 'download manager' butuma download itera imbere igihe imisoro y'ibyuma ishyizwaho. Iyo bidakunze, yagerageza kandi gushaka ubundi buryo bwo gushyira imisoro y'ibyuma bwa Windows, nk'uko byavuzwe haruguru, cyangwa se agashaka ubundi buryo bwo gukora 'updates' zitari zikomeye cyane. Ibi byose bikaba bigamije kugabanya igihe cyo kurangiza download y'ifayili. Niba hari ibindi bibazo cyangwa ibisobanuro bikenewe, mumbwire.<eos>"
7	Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?
<eos>
<|assistant|>
I nshobora kugufasha kubona igisubizo cy'iki kibazo mu buryo butaziguye. Ariko, ntiwiboneye mu kubaza mu gifaransa, kandi ntekereza ko hari ikibazo cy'uburyo bw'ikinyabupfura mu kubaza ibibazo mu Kinyarwanda. Wambwira neza icyo ushaka kumenya? Ni iki kibazo cyihariye cyangwa se ni umwihariko w'ubumenyi ukeneye? Nditeguye kuguha ubufasha bukwiriye.<eos>"
8	Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?
<eos>
<|assistant|>
Nshuti yanjye, nkumva neza ikibazo cyawe. Niba Élisa akora amasaha 40 y'ibanze akagira agaciro ka hora 10 $, bityo agaciro k'umunsi we kabiri ni 12 $ kuko ari 1,2 by'icyo gaciro. Amasaha y'inyongera ni 5, bityo izo 5 horashe y'inyongera agomba kuzitunganya ku gaciro ka 12 $ yahoze ari 10 $, bityo agaciro ka hora kuri ayo masaha ni 14 $. Ubundi, umushahara we w'icyumweru ni 400 $ (40 horashe * 10 $) urimo iby'ibanze, hanyuma ukongeraho 60 $ (12$ * 5 horashe z'inyongera) bityo umushahara we w'icyumweru wose ni 460 $.<eos>"
9	Un nouveau programme a été téléchargé 60 fois au cours du premier mois. Le nombre de téléchargements au cours du deuxième mois était trois fois supérieur à celui du premier mois. Il a ensuite diminué de 30 % au cours du troisième mois. Combien de fois au total le programme a-t-il été téléchargé au cours de ces trois mois ?	366	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Un nouveau programme a été téléchargé 60 fois au cours du premier mois. Le nombre de téléchargements au cours du deuxième mois était trois fois supérieur à celui du premier mois. Il a ensuite diminué de 30 % au cours du troisième mois. Combien de fois au total le programme a-t-il été téléchargé au cours de ces trois mois ?
<eos>
<|assistant|>
Nshuti y'ikibazo, ndumva ubisobanukiwe neza. Reka mbanze nsubize ibibazo byawe. 

Mu kwezi cya mbere, umuntu yashyizeho porogaramu umunani. Mu kwezi cya kabiri, byiyongereye ku munani wari warashyizweho mu kwezi cya mbere, bikaba byaratumye bigera kuri 18. Mu kwezi cya gatatu, hagabanyijwe igipimo cya 30%, bivuze ko byasigaye kuri 12.

Gusa, kugira ngo tubashe kumenya umubare w'ibihe porogaramu yashyizweho mu gihe cy'amezi atatu, twakenera kumenya umubare w'ibihe by'umwihariko byashyizweho mu kwezi cya gatatu nyuma y'uko habayeho kugabanyuka. Niba ushobora kunyereka umubare w'ibihe byashyizweho mu kwezi cya gatatu nyuma y'uko habayeho kugabanyuka, nzakora uko nshoboye ngo ngerageze kugufasha kubona igisubizo cyuzuye.

Nizeye ko ibi bisobanuro bikugiriye akamaro. Niba hari ibindi bisobanuro cyangwa ubufasha ukeneye, ntutinye kubimbaza.<eos>"
