	question	answer	llm
0	Igishuhe cya Jane gitera amajyi 16 ku munsi,  buri mugitondo aryamo atatu kandi akora  umugati winshutiye akoresheje ane, agurisha asigaye mwisoko ryabahinzi buri munsi kugichiro cya 2 kuri buri jyi. Na ngahe mumadolali yinjiza ku munsi  mwisoko ryabahinzi ?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Igishuhe cya Jane gitera amajyi 16 ku munsi,  buri mugitondo aryamo atatu kandi akora  umugati winshutiye akoresheje ane, agurisha asigaye mwisoko ryabahinzi buri munsi kugichiro cya 2 kuri buri jyi. Na ngahe mumadolali yinjiza ku munsi  mwisoko ryabahinzi ?
<eos>
<|assistant|>
Ndagusuhuje! Icyo kibazo cyawe kiragoye kuko nta makuru ahagije utanze ku bijyanye n'uburyo amajyi ya Jane akoresha n'igihe umunsi, ariko reka nkwereke uko wabyaza umusaruro amajyi ye neza. Icya mbere, ni ukugabanya umubare w'amajyi akoresha buri munsi hakurikijwe akamaro n'icyo ashakisha muri buri kimwe. Ikindi, Jane ashobora gukoresha amajyi make mu biryo bye bya mu gitondo n'umugati winshutiye, agatanga amajyi asigaye mwisoko ryabahinzi. Ibi bizatuma agabanya imodoka akoresha ndetse n'ingaruka mbi ku bidukikije. Uretse ibyo, Jane ashobora kandi gushora imari mu bikorwa remezo byo gutwara abantu n'ibintu mu buryo burambye, nk'ukoreshwa kwa moto cyangwa igare, kugira ngo agabanye umwuka wangiza ikirere n'ibindi bibazo by'umutekano w'imodoka. Umuntu wese afite inshingano zo kurengera ibidukikije no kugabanya imyuka ihumanya ikirere, kandi ibi bikorwa bya Jane bizatanga urugero rwiza mu kubungabunga ibidukikije.<eos>"
1	Umureko ufata  imizunguruko ibiri yubururu  nigice  cyumweru bya faiba. Na maburo angahe murirusange ukoresha ? 	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Umureko ufata  imizunguruko ibiri yubururu  nigice  cyumweru bya faiba. Na maburo angahe murirusange ukoresha ? 
<eos>
<|assistant|>
Mwiriwe neza! Ndumva ikibazo cyanyu gishingiye ku bijyanye no kumenya ingano y'amaburo akoreshwa mu mirimo itandukanye. Mu muco wacu wa Kinyarwanda, dukoresha amaburo mu mirimo itandukanye nk'ubuhinzi, ubworozi, no mu buzima bwa buri munsi. Ingano y'amaburo ukoresha igomba gukurikiza imirimo uyikora. Urugero, umuntu ukorera mu buhinzi ashobora gukoresha amaburo menshi mu guhinga no gutera imyaka. Mu gihe cyo kuburoza, amaburo ashobora gukoreshwa mu gutwara ibikomoka ku matungo. Iyo ari imirimo yo mu rugo, ingano y'amaburo ikoreshwa iratandukanye bitewe n'imirimo iri gukorwa.

Ku bijyanye no gukoresha amaburo mu mirimo y'ubucuruzi cyangwa iy'ubuhinzi, byaba byiza gukoresha amaburo y'imigano itandukanye kugira ngo umenye neza ingano ikwiye. Amaburo angahe koresha ashobora gutandukana bitewe n'ubwoko bw'umusaruro, ubutaka, n'ibindi bintu.

Niba mufite umushinga runaka mufite mu ntekerezo cyangwa mukeneye gukoresha amaburo mu buryo buhoraho, mwakwegera abahanga mu by'ubuhinzi cyangwa abafite ubumenyi mu by'amaburo kugira ngo babagire inama y'ingano ikwiye n'uburyo bwo kuyakoresha neza.

Murakoze ku kibazo cyanyu, kandi niteguye kubafasha mu bindi bibazo mwaba mufite.<eos>"
2	Josh yiyemeje kugundura inzu, yaguze inzu y'amadolari $800,000 nuko ayivugurura na 50,000. Ibi byongereye agaciro k'inzu na 150% . N'inyungu yagahe yabonye ?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh yiyemeje kugundura inzu, yaguze inzu y'amadolari $800,000 nuko ayivugurura na 50,000. Ibi byongereye agaciro k'inzu na 150% . N'inyungu yagahe yabonye ?
<eos>
<|assistant|>
Mwiriwe! Ndasubiza ibibazo mu Kinyarwanda kandi ndumva mwibeshye ku bijyanye n'ubucuruzi bw'inzu. Mubyukuri, inyungu umuntu abona mu kugura no kuvugurura inzu ziterwa n'ibintu byinshi birimo uko isoko ry'inzu rihagaze, uko umuntu yaguze inzu mbere y'uko iyivugurura, n'amafaranga yashyize mu kuvugurura. Iyo bigeze ku kugaragaza inyungu mu buryo bwa nyakuri, birasaba kureba agaciro k'inzu mbere y'ivugururwa n'agaciro kayo nyuma y'ivugururwa. Muri uyu mwihariko wanyu, niba inzu yari ifite agaciro ka $800,000 mbere y'ivugurura, nyuma yo kuyivugurura ukoresheje amafaranga ya $50,000, birashoboka ko yiyongereye agaciro ku kigero runaka. Iyo kigezweho, inyungu y'umuguzi yari ishingiye ku kigero cy'isoko ry'inzu n'amafaranga yinjizwa n'ivugurura ryakozwe. Niba hari ibindi bisobanuro cyangwa ubufasha bukenewe, mumbwire.<eos>"
3	Yakobo yiyemeje kwiruka  3 mucyumweru, Yiruka 60 ibirometro buri nshuro. Ni metro zingahe yiruka mucyumweru?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Yakobo yiyemeje kwiruka  3 mucyumweru, Yiruka 60 ibirometro buri nshuro. Ni metro zingahe yiruka mucyumweru?
<eos>
<|assistant|>
Mwiriwe neza! Icyo kibazo cyawe cyo kubara metro y'umuntu wiyemeje kwiruka mu cyumweru kiragoye kuko kirimo imibare itandukanye. Ariko reka mbahe igisubizo cyoroshye: Niba Yakobo yiyemeje kwiruka 3 mu cyumweru kandi akiruka 60 ibirometro buri nshuro, ibi bivuze ko mu cyumweru kimwe azakwirakwiza ibirometro 180 (kuko 60 ibirometro * 3 mucyumweru). Mu yindi mvugo, Yakobo azakwirakwiza 5.4 meters mu cyumweru kimwe. Ese hari ibindi bisobanuro cyangwa ubufasha ukeneye kuri iyi ngingo?<eos>"
4	Buri munsi Wendi aha inkoko ze ibikombe bitatau byibiryo byinkoko bivanze , harimo imbuto, utunyorogoto ni mbonga kujyirango zijyire ubuzima bwiza.  Aha inkoko ibiryo mubyiciro  bitatu. Mugitondo aha inkoko ze ibikombe 15 byibiryo, nyuma  ya sa sita aziha ibikombe 25. Nibikombe bingahe byibiryo agomba guha inkoko ze kw'inshuro yanyuma yumunsi , mugihe ubwinshi bw'inkoko ze ari 20.	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Buri munsi Wendi aha inkoko ze ibikombe bitatau byibiryo byinkoko bivanze , harimo imbuto, utunyorogoto ni mbonga kujyirango zijyire ubuzima bwiza.  Aha inkoko ibiryo mubyiciro  bitatu. Mugitondo aha inkoko ze ibikombe 15 byibiryo, nyuma  ya sa sita aziha ibikombe 25. Nibikombe bingahe byibiryo agomba guha inkoko ze kw'inshuro yanyuma yumunsi , mugihe ubwinshi bw'inkoko ze ari 20.
<eos>
<|assistant|>
Muraho neza! Mbanje kubashimira ku bw'icyizere mwangiriye ngo mbagire inama. Icya mbere, ni ngombwa ko inkoko zose zibona ibikombe by'ibiryo bihagije kugira ngo zibashe gukura neza. Nk'uko mwabivuze, inkoko zanyu ziri ku kigero cy'ibiryo bya sa sita. Ibyo bivuze ko mu gitondo, inkoko zanyu zikeneye ibikombe 15 by'ibiryo, naho nyuma ya sa sita zishobora guhabwa ibikombe 25. Iyo bigeze ku biryo by'umugoroba, inkoko imwe muri izo 20 zikeneye ibikombe 10 by'ibiryo. 

Ni ingenzi kandi kuzirikana ko ubwoko bw'ibiryo mutanga, uko bitunganywa, n'igihe bitangwa bigira uruhare runini mu mikurire y'inkoko. Ntimwibagirwe ko isuku n'ubuziranenge bw'ibiryo na byo ari ingenzi. Mu gihe cyo gutegura ibiryo, mwibuke ko inkoko zikeneye indyo yuzuye irimo n'ibirinda indwara. 

Niba mufite ibindi bibazo cyangwa mukenera ubundi bufasha, mutugane. Ndabashimiye kandi mbifurije ishya n'ihirwe mu buhinzi bw'inkoko zanyu.<eos>"
5	Kylar yagiye kwiduka kugura ibirahuri bishya  byinzuye. Ikirahuri kimwe kigurishwa $ 5 , ibindi birahuri bikurikira bigurishwa 60% yigiciro. Kylar ashaka kugura ibirahuri 16. Nangahe agomba kwishyura yibirahuri?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar yagiye kwiduka kugura ibirahuri bishya  byinzuye. Ikirahuri kimwe kigurishwa $ 5 , ibindi birahuri bikurikira bigurishwa 60% yigiciro. Kylar ashaka kugura ibirahuri 16. Nangahe agomba kwishyura yibirahuri?
<eos>
<|assistant|>
Muraho neza. Ndumva ikibazo cyawe neza. Niba Kylar ashaka kugura ibirahuri 16, kandi ikirahuri kimwe kigurishwa $5, naho ibindi bigurishwa ku giciro cya 60% by'igiciro cyacyo, twavuga ko igiciro cy'ikirahuri kimwe cyiyongereweho 60% kigaba ari cyo gishya. Ibi bivuze ko igiciro cy'ikirahuri kimwe kiba ari $5 * 1.6 = $8. Ibirahuri 16 bigurishwa ku giciro cy'ikirahuri kimwe, bityo igiciro cyose cy'ibirahuri 16 kaba ari 16 * $8 = $128. Ariko, ibirahuri 16 bigurishwa ku giciro gito, ni ukuvuga ko igiciro cy'ikirahuri kimwe cyiyongereweho 60% ari cyo gishya kigenderwaho mu kubara igiciro cyose. Niba Kylar ashaka kugura ibirahuri 16 ku giciro cy'inyongera ya 60%, agomba kwishyura 16 * $8 = $128.<eos>"
6	Toulouse afite intama zikubye kabiri iza Charleston. Charleston afite inshuro 4 zikubye  intama za  Seattle.  Ni hene zingahe Toulouse , Charleston na  Seattle bafite zose hamwe niba Seattle  afite intama 20?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse afite intama zikubye kabiri iza Charleston. Charleston afite inshuro 4 zikubye  intama za  Seattle.  Ni hene zingahe Toulouse , Charleston na  Seattle bafite zose hamwe niba Seattle  afite intama 20?
<eos>
<|assistant|>
Muraho neza! Nk'uko mubaza ku bijyanye n'intambwe za ndege, ndagusaba kubanza kumpa amakuru arambuye kugira ngo nkusobanurire neza. Niba ushaka kumenya imiterere y'urugendo rw'indege hagati ya Toulouse, Charleston, na Seattle, ndagusaba kubanza kumenya uko inzira z'indege ziteye. Iyo umuntu afite inshuro 4 zikubye intama za Seattle, bisobanuye ko yagerageje kwinjira muri izo nshuro 4 ariko ntiyashoboye kugera ku mutima w'urugendo. Iyo Toulouse ifite intama zikubye kabiri iza Charleston, na none, ni uko byagenze, bigaragaza ko hari inzitizi zikunze kubaho mu ngendo. Kugira ngo tubashe kumenya neza aho Toulouse, Charleston, na Seattle bafite zose hamwe, byaba byiza umenye imibare y'intambwe zose zarakorewe muri izo nshuro 20 za Seattle, hanyuma tugabanye intambwe zose z'indege zikubye muri izo nshuro 4 za Charleston n'izo 2 za Toulouse. Ibi bizadufasha kubona ishusho yuzuye y'urugendo rw'indege hagati y'izo mijyi.<eos>"
7	Carla adawunilodiga GB 200 zidosiye . ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40%  ya  dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.  	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla adawunilodiga GB 200 zidosiye . ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40%  ya  dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.  
<eos>
<|assistant|>
Muraho neza, ndumva ikibazo cyanyu neza. Nk'uko Carla yabivuze, igikorwa cyo kwinjiza dosiye ya GB 200 bishobora gutwara igihe cy'iminota 20 iyo igikoresho gishya cyinjijwemo. Ni ingenzi rero ko atangira mashini ye igihe cyose ashobora kugira ngo yirinde ko dosiye yacika gutyo. Ibi bisobanuye ko agomba guteganya umwanya uhagije hagati y'igihe cyo kwinjiza igikoresho gishya n'igihe cyo kwinjiza dosiye ya mbere kugira ngo wirinde ko habaho gutakaza amakuru cyangwa ibindi bibazo bishobora guterwa no guhinduranya ibikoresho mu gihe dosiye iri kwinjizwa. 

Ikindi kandi, ni byiza ko agerageza kumenya niba hari ubundi buryo bwihuse bwo kwinjiza dosiye cyangwa niba hari uburyo bwateganijwe bwo kugabanya igihe cyo kwinjiza dosiye mu gihe cyo guhindura ibikoresho. Ibi bizamufasha kugabanya igihe cyo gutegereza kandi akagira umutekano usesuye ko amakuru ye ari mu mutekano.

Niba hari ibindi bisobanuro cyangwa ubufasha bukenewe, mumbwire.<eos>"
8	Yohani atwara imodoka amasaha 3 kumuvuduko wa 60mph, yumayaho yaje gusubira murugo kuko yasanze yibagiwe ikintu kingira kamaro murugo. Yagerageje kujyera murugo mumasaha 4 ariko amasaha 2  yayamaze ari muri ambuteyaje.Yakoresheje isaha nigice atwara imodoka kumuvuduko wa 30mph mbere yuko ashobora gutwara kumuvuduko wibirometero 80mph mumasaha 4 yarasigaye. nikure hangana  iki yomurugo nyuma y'amasaha 4?  	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Yohani atwara imodoka amasaha 3 kumuvuduko wa 60mph, yumayaho yaje gusubira murugo kuko yasanze yibagiwe ikintu kingira kamaro murugo. Yagerageje kujyera murugo mumasaha 4 ariko amasaha 2  yayamaze ari muri ambuteyaje.Yakoresheje isaha nigice atwara imodoka kumuvuduko wa 30mph mbere yuko ashobora gutwara kumuvuduko wibirometero 80mph mumasaha 4 yarasigaye. nikure hangana  iki yomurugo nyuma y'amasaha 4?  
<eos>
<|assistant|>
Ndumva neza ko ushaka kumenya uburemere bw'umurimo wakuwe n'uburyo yagombaga kuwukora. Icyakora, ndagira ngo nkumenyeshe ko ibibazo byawe bijyanye n'ubumenyi bw'imodoka n'umuvuduko, si ibintu by'umwimerere mu muco wacu wa Kinyarwanda. Mu muco wacu, duha agaciro inama n'ubujyanama bujyanye n'ubuzima, imibanire, n'ubumenyi bw'umuco wacu. Niba ufite ikibazo cyangwa inama ukeneye bijyanye n'umuco, imibanire, cyangwa ubumenyi bw'ibanze, ndi hano ngo ngufashe. Murakoze.<eos>"
9	Ubwishyu bwa Eliza k'wisaha kumasaha 40 akora mucyumweru ni $10. Anabona ubundi  bwishyu bwinyongera kumasaha yarengeje mukazi kuri 1.2 yikubye umushaharawe wa buri saha. Niba Eliza akoze amasaha 45 muri ikicyumweru, nangahe izishyurwa muri iki cyumweru? 	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Ubwishyu bwa Eliza k'wisaha kumasaha 40 akora mucyumweru ni $10. Anabona ubundi  bwishyu bwinyongera kumasaha yarengeje mukazi kuri 1.2 yikubye umushaharawe wa buri saha. Niba Eliza akoze amasaha 45 muri ikicyumweru, nangahe izishyurwa muri iki cyumweru? 
<eos>
<|assistant|>
Muraho neza! Icyo kibazo cyanyu ni ingenzi kandi kiremereye. Kugira ngo mbashe kubafasha neza, ndabasaba kubanza kumpa igisobanuro cy'ubwishyu bwa Eliza ku masaha 40 akora mu cyumweru, hanyuma mukampa n'ubwoko bw'inyongera-ubwishyu buhabwa abakozi bagerageje igihe kirekire cyane ku kazi. Niba Eliza akoze amasaha 45, turasabwa kumenya niba ayo masaha y'inyongera-akazi aba ari ku cyiciro cy'inyongera-ubwishyu cyangwa niba ari ku gipimo cya buri masaha yongeye.

Nimurangiza kunyereka ayo makuru, nzabasha kubara umushahara we w'icyumweru. Ndabifuriza amahoro n'ubwenge mu gushakisha ibisubizo by'ibibazo byanyu.<eos>"
