	question	answer	llm
0	Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?
<eos>
<|assistant|>
Mwiriwe neza! Ndasobanukirwa ko mwifuza ubufasha mu guhindura no gusobanura ibyo mwambwiye mu rurimi rw'icyongereza. Icyakora, mbisobanure mu buryo busanzwe kugira ngo mubashe kumva neza ibyo mushaka. Niba hari ikindi kibazo cyangwa se ikindi gisobanuro mwifuza, mumbwire. Murakoze.<eos>"
1	Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?
<eos>
<|assistant|>
Lumela, ke utlwa potso ya hao. Na o batla ho tseba ka bahoebi ba li-roll mokokotlong kapa o batla tlhaiso-leseling e batsi ka sehlahisoa sena? Ha o hlalosa ka li-roll tsa fibre ya langi blue le ndambo ya bilamba ya mpembe, ke utlwa eka o bua ka sehlahisoa se itseng sa feshene. Leha ho le jwalo, ha o hlalosa ka 'motuya boni ya ba rouleau na nyoso', ke sa utlwisise hantle. Na o ka ntlhalosetsa ka ho eketsehileng kapa o hlalose taba ya hao ka tsela e fapaneng?<eos>"
2	Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?
<eos>
<|assistant|>
Nshuti yanjye, ndumva ikibazo cyawe ari mu bijyanye n'amafaranga n'umutungo, ariko ntabwo ugaragarizwa neza. Niba ushaka inama cyangwa ibisobanuro ku bijyanye n'uburyo bwo gukoresha neza amafaranga cyangwa kuzigama, cyangwa se ku bijyanye n'uburyo bwo kubyaza umusaruro umutungo wawe, ndi tayari kugufasha. Ndagusaba kumbwira neza ikibazo cyawe kugira ngo nkwereke uko cyakemuka mu buryo bwiza.<eos>"
3	Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?
<eos>
<|assistant|>
Mwiriwe neza! Nshimishijwe n'uko mwifuza kumenya byinshi ku bijyanye n'ibibazo byanyu. Ariko ndumva hari amakosa yo mu rurimi rw'Ikinyarwanda mu byo mwanditse. Niba mwifuza ko tuganira mu Kinyarwanda cyangwa mu rurimi runaka rw'Afurika, mumbwire neza ibyo mushaka kumenya. Nzagira umuhate wo kubafasha mu buryo bwose bushoboka. Murakoze.<eos>"
4	Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?
<eos>
<|assistant|>
Mwiriwe neza! Ndumva ibibazo byanyu bisaba kwitonderwa kandi bikasobanurwa neza. Mbere na mbere, biragaragara ko hari amakosa y'ururimi n'ikibazo cyo kubisobanura mu buryo burambuye. Niba mwifuza ko mbasobanurira ibyo mwifuza muri uru rurimi rw'ikinyarwanda, byaba byiza mbisobanuriye mu buryo bwimbitse. Mwansobanurira neza icyo ushaka ko twaganiraho? Ese ni ikibazo cy'ubuhinzi, imibereho y'amatungo, cyangwa hari ikindi kintu mubaza? Nditeguye kubafasha uko nshoboye kugira ngo mubashe kubona ibisubizo by'ibibazo byanyu. Murakoze.<eos>"
5	Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?
<eos>
<|assistant|>
Ndabona umubare w'ibibazo byawe uri hejuru cyane kandi ndumva ko ushaka kumenya ibijyanye n'ubucuruzi. Icyakora, ndacyafata umwanzuro wo kugusubiza mu buryo burambuye ariko bunoze. 

Mu by'ukuri, umuntu ucuruza ibintu nk'ibyo uvuze agomba kumenya neza ibiciro by'ibyo acuruza, ndetse n'igipimo cy'umutungo we. Mu gihe ucuruza ibintu by'agaciro kenshi nk'ibiyobyabwenge, ni ngombwa kubahiriza amategeko agenga ubucuruzi bwabyo, cyane cyane ibijyanye n'umutungo n'ubuziranenge.

Nk'uko wabivuze, Kylar yari afite umutungo wa $5 kuri buri verre ya 16, bikaba byaranditse ko yari afite umutungo wa $80 ($5*16). Iyo umuntu afite umutungo nk'uyu, akwiye kugenzura neza niba ibyo acuruza biri mu rwego rwiza kandi bishobora gucuruzwa ku giciro cyiza.

Iyo uvuze ko Kylar yari afite umutungo wa $5 kuri buri verre, n'ubwo yari afite umutungo wa $80 ($5*16), hari ibyo yagombaga kwitondera. Icya mbere ni ukureba niba ibikoresho afite bihuye n'ibyo ashaka gucuruza, ndetse no kumenya neza isoko n'abaguzi be.

Ku bijyanye n'umutungo wakoze ku byo acuruza, ni byiza ko agerageza kugenzura neza ibyo afite, akamenya niba hari uburyo bwo kubona umutungo mwinshi aho gukoresha umutungo we wose. Ibi bishobora kuba ari ukureba niba hari abandi bacuruzi bashobora kumpa umutungo cyangwa se niba hari ubundi buryo bwo kubona umutungo utabangamiye ubuziranenge bw'ibyo acuruza.

Mu gihe cyose, ni byiza ko umuntu ucuruza yitondera amategeko agenga ubucuruzi, akamenya neza agaciro k'ibyo acuruza, kandi akagira ubumenyi buhagije ku isoko n'abaguzi be. Ibi bizamufasha kugira ubucuruzi burambye kandi butekanye.

Nizeye ko ibi bisobanuro bigufashije. Niba hari ibindi bisobanuro cyangwa inama ukeneye, ntutinye kubimbaza.<eos>"
6	Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?
<eos>
<|assistant|>
Molo, ndivuyiswa kukwazi ukunceda. Ndicela uqinisekise umbuzo wakho ukuze ndikwazi ukukunika impendulo ecacileyo. Ngaba ufuna ukwazi ngezifundo zembali okanye ngolwazi lwenkcubeko? Nceda undazise ngakumbi ngombuzo wakho.<eos>"
7	Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?
<eos>
<|assistant|>
Mwiriwe neza! Icya mbere, ndashaka kumenya niba mwumva neza ikibazo cyanyu. Niba mwifuza ko umukoro wanyu wa mudasobwa (computer) ukorwa neza, hari intambwe mwakurikiza. 

1. Mbanza kurema ko mudasobwa yanyu ifite umwanya uhagije ku mpapuro z'imirimo (hard drive) kugira ngo ikore neza. 
2. Niba mudasobwa yanyu itagira umwanya uhagije, mwashyiraho umwanya (space) ukoresheje gukuraho ibyo muterwa ntibikenewe cyangwa gukoresha porogaramu zituma umwanya ukoreshwa neza.
3. Mwakoresha kandi porogaramu zifasha mu gucunga umwanya (file managers) nka CCleaner cyangwa Advanced SystemCare kugira ngo muvumbure umwanya ku mpapuro z'imirimo.
4. Niba ikibazo gikomeje, mwakwegera umuntu wabigize umwuga mu bya mudasobwa (computer technician) kugira ngo abafashe gukemura ikibazo.

Mugire amahoro!<eos>"
8	Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?
<eos>
<|assistant|>
Mwiriwe, ndumva ibyo mubaza bijyanye n'ubumenyi bw'imodoka n'ingendo. Niba mwifuza kumenya uko umuntu yashobora kugabanya ibyago byo kugongana n'imodoka cyangwa se uko yagabanya umuvuduko ku mihanda, ndabagira inama zikurikira:

1. Mbere na mbere, ni ngombwa kwirinda gukoresha telefone cyangwa ibindi bikoresho bishobora kubangamira umutekano wanyu mu gihe muri mu modoka.
2. Kugabanya umuvuduko mu gihe cy'imvura cyangwa mu bihe by'ubukonje kuko bitera urubura, bigatuma inzira iba muremure kandi bigongera ibyago byo kugongana.
3. Kugendera mu muhanda ukurikije amategeko, ukoresheje neza ibimenyetso byo ku muhanda n'ibyuma byo mu modoka (turn signal, brake lights, etc.) kugira ngo abandi bakoresha umuhanda babashe kubona no gusobanukirwa n'ibyo mukora.
4. Kugenzura neza imodoka yawe mbere yo gufata urugendo, harimo no kureba neza ko amatara ya moteri, amavili, n'ibindi bikoresho by'ingenzi bikora neza.
5. Kwiga no kumenya amategeko y'umuhanda n'uburyo bwo gutwara imodoka neza, harimo no kumenya uko wakwitwara mu gihe cy'ibibazo n'ibyago.

Mu gihe cy'akazi, ni byiza kandi gukorana n'abandi mu buryo bwubaha kandi bwubaka umubano mwiza n'abafatanyabikorwa, kugira ngo mukorere hamwe mu mutekano n'ubwuzuzanye.

Niba hari ibindi bisobanuro cyangwa inama mukenera, mumbwire. Murakoze.<eos>"
9	PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?
<eos>
<|assistant|>
Ntate kapa Mme, kea utloisisa hore potso ea hao e mabapi le lihlahisoa tsa mabenkele le theko ea tsona. Empa, ke hloka ho hlakisa hore ha ke na tsebo e tobileng mabapi le lihlahisoa tse itseng tse rekisoang mabenkeleng kapa litheko tsa tsona. Leha ho le joalo, ke ka u eletsa hore o etele lebenkele leo u buang ka lona ho fumana tlhaiso-leseling e nepahetseng mabapi le theko le lihlahisoa. Hape, o ka botsa basebetsi ba lebenkele ka litheko tse khethehileng kapa litlhahiso tseo ba ka bang le tsona. Ke tšepa hore sena se ka u thusa ho fumana se o se batlang.<eos>"
